,DAPI_X,DAPI_Y,scene
JE-TMA-41_scene01_cell00000,0.0,0.0,scene01
JE-TMA-41_scene01_cell00001,3801.6715758468335,906.3961708394697,scene01
JE-TMA-41_scene01_cell00002,3021.7845188284523,901.7531380753137,scene01
JE-TMA-41_scene01_cell00003,3461.391304347826,913.2457466918713,scene01
JE-TMA-41_scene01_cell00004,3012.495016611296,920.3372093023256,scene01
JE-TMA-41_scene01_cell00005,3490.28801843318,924.9608294930877,scene01
JE-TMA-41_scene01_cell00006,3053.2269938650306,919.8036809815953,scene01
JE-TMA-41_scene01_cell00007,3071.046666666666,920.6666666666665,scene01
JE-TMA-41_scene01_cell00008,3507.1536050156737,924.1347962382443,scene01
JE-TMA-41_scene01_cell00009,3416.267918088737,938.6774744027304,scene01
JE-TMA-41_scene01_cell00010,3449.4944029850744,939.0298507462686,scene01
JE-TMA-41_scene01_cell00011,3477.657142857143,941.8979591836736,scene01
JE-TMA-41_scene01_cell00012,3043.0467571644044,950.9547511312218,scene01
JE-TMA-41_scene01_cell00013,3085.0071428571428,949.1928571428572,scene01
JE-TMA-41_scene01_cell00014,4206.859060402685,956.5100671140939,scene01
JE-TMA-41_scene01_cell00015,3416.80593607306,961.9406392694065,scene01
JE-TMA-41_scene01_cell00016,3771.6783625731,1003.5409356725146,scene01
JE-TMA-41_scene01_cell00017,3805.3716216216217,1019.5472972972972,scene01
JE-TMA-41_scene01_cell00018,3834.8215223097113,1031.6929133858266,scene01
JE-TMA-41_scene01_cell00019,3881.596428571429,1048.35,scene01
JE-TMA-41_scene01_cell00020,3858.372093023256,1051.9581395348837,scene01
JE-TMA-41_scene01_cell00021,3243.4793388429753,1054.3553719008264,scene01
JE-TMA-41_scene01_cell00022,3664.9846938775513,1051.280612244898,scene01
JE-TMA-41_scene01_cell00023,3718.5775451950517,1060.5033301617507,scene01
JE-TMA-41_scene01_cell00024,3250.884318766067,1069.5012853470437,scene01
JE-TMA-41_scene01_cell00025,3827.2411764705876,1060.6470588235297,scene01
JE-TMA-41_scene01_cell00026,3665.398907103825,1066.877049180328,scene01
JE-TMA-41_scene01_cell00027,3925.0649819494574,1066.115523465704,scene01
JE-TMA-41_scene01_cell00028,3440.574229691877,1068.7170868347341,scene01
JE-TMA-41_scene01_cell00029,3648.214566929134,1076.4350393700788,scene01
JE-TMA-41_scene01_cell00030,3528.6413502109704,1069.2151898734178,scene01
JE-TMA-41_scene01_cell00031,3807.649006622517,1074.0960264900662,scene01
JE-TMA-41_scene01_cell00032,2791.7837209302324,1076.1976744186047,scene01
JE-TMA-41_scene01_cell00033,3582.673956262425,1077.8608349900596,scene01
JE-TMA-41_scene01_cell00034,3037.546012269939,1088.9447852760736,scene01
JE-TMA-41_scene01_cell00035,3478.5230769230766,1071.1384615384616,scene01
JE-TMA-41_scene01_cell00036,3084.589147286821,1074.3410852713178,scene01
JE-TMA-41_scene01_cell00037,3412.2772925764198,1084.2947598253272,scene01
JE-TMA-41_scene01_cell00038,3819.729166666666,1079.9583333333333,scene01
JE-TMA-41_scene01_cell00039,3767.131964809384,1080.3137829912023,scene01
JE-TMA-41_scene01_cell00040,3968.9,1081.3361111111112,scene01
JE-TMA-41_scene01_cell00041,3472.7548387096776,1077.909677419355,scene01
JE-TMA-41_scene01_cell00042,3497.1640625,1083.5703125,scene01
JE-TMA-41_scene01_cell00043,3292.939655172414,1085.9310344827586,scene01
JE-TMA-41_scene01_cell00044,3104.8450704225347,1084.1079812206572,scene01
JE-TMA-41_scene01_cell00045,3433.9162162162156,1084.7108108108107,scene01
JE-TMA-41_scene01_cell00046,3746.730848861283,1092.9327122153206,scene01
JE-TMA-41_scene01_cell00047,3832.088480801336,1091.8297161936564,scene01
JE-TMA-41_scene01_cell00048,3210.814442413163,1102.479890310786,scene01
JE-TMA-41_scene01_cell00049,3071.429378531073,1085.3022598870057,scene01
JE-TMA-41_scene01_cell00050,3887.049773755656,1091.2398190045246,scene01
JE-TMA-41_scene01_cell00051,3385.5069124423962,1087.5622119815669,scene01
JE-TMA-41_scene01_cell00052,3856.414043583535,1089.73607748184,scene01
JE-TMA-41_scene01_cell00053,3912.1162464986,1097.750700280112,scene01
JE-TMA-41_scene01_cell00054,3195.357894736842,1090.4894736842105,scene01
JE-TMA-41_scene01_cell00055,3488.105263157894,1090.7129186602874,scene01
JE-TMA-41_scene01_cell00056,3519.357142857143,1088.65306122449,scene01
JE-TMA-41_scene01_cell00057,3927.964028776979,1087.7841726618706,scene01
JE-TMA-41_scene01_cell00058,3063.4816753926702,1102.2094240837696,scene01
JE-TMA-41_scene01_cell00059,3687.102857142857,1093.3028571428572,scene01
JE-TMA-41_scene01_cell00060,3724.682070240296,1103.5637707948244,scene01
JE-TMA-41_scene01_cell00061,3387.4264705882347,1108.1176470588234,scene01
JE-TMA-41_scene01_cell00062,3954.4591836734694,1097.391156462585,scene01
JE-TMA-41_scene01_cell00063,3775.3118741058656,1109.0243204577969,scene01
JE-TMA-41_scene01_cell00064,4013.783233532934,1104.6179640718562,scene01
JE-TMA-41_scene01_cell00065,3087.6903096903093,1111.2827172827174,scene01
JE-TMA-41_scene01_cell00066,3700.7414772727284,1102.0113636363637,scene01
JE-TMA-41_scene01_cell00067,3657.684887459807,1104.823151125402,scene01
JE-TMA-41_scene01_cell00068,3793.8405797101454,1099.108695652174,scene01
JE-TMA-41_scene01_cell00069,3253.4721189591082,1108.85687732342,scene01
JE-TMA-41_scene01_cell00070,3546.284629981025,1106.7779886148007,scene01
JE-TMA-41_scene01_cell00071,3046.6205673758864,1105.4645390070925,scene01
JE-TMA-41_scene01_cell00072,3441.0,1101.3509615384612,scene01
JE-TMA-41_scene01_cell00073,2783.2897959183674,1106.5836734693878,scene01
JE-TMA-41_scene01_cell00074,3886.9527559055123,1106.5905511811025,scene01
JE-TMA-41_scene01_cell00075,3029.657894736842,1106.5631578947368,scene01
JE-TMA-41_scene01_cell00076,3147.473233404711,1110.316916488223,scene01
JE-TMA-41_scene01_cell00077,3622.0457746478883,1111.6161971830986,scene01
JE-TMA-41_scene01_cell00078,3353.4582417582424,1122.0505494505494,scene01
JE-TMA-41_scene01_cell00079,4049.9063004846525,1117.6203554119547,scene01
