,CD20_Ring,CD44_Ring,CD45_Ring,CD4_Ring,CD68_Ring,CD8_Ring,CK14_Ring,CK19_Ring,CK5_Ring,CK7_Ring,ER_Nuclei,Ecad_Ring,HER2_Ring,Ki67_Nuclei,LamAC_Nuclei,PCNA_Nuclei,PD1_Ring,Vim_Ring,aSMA_Ring,pHH3_Nuclei,batch
BM-Her2N75-15_scene017_cell03397,3315.1951219512193,1704.3577235772354,2251.1056910569105,2654.308943089431,1004.569105691057,2067.9674796747972,489.1056910569105,579.0081300813007,575.3008130081299,261.9837398373984,1876.6621621621616,1117.1951219512196,2299.219512195121,404.6824324324325,1483.2195945945944,1544.3716216216214,1598.3495934959344,865.6747967479672,1411.60162601626,1030.4425675675675,BM-Her2N75-15
BM-Her2N75-15_scene017_cell04298,3770.204819277109,1181.2951807228915,1514.686746987952,1849.951807228916,665.0843373493976,2046.0481927710848,616.4397590361447,1736.6626506024093,752.8493975903615,1360.8373493975905,14884.833333333336,4373.614457831325,2257.048192771085,429.0543478260869,1914.945652173913,1703.1938405797105,1499.0240963855426,983.1204819277107,1912.4698795180725,1101.8659420289855,BM-Her2N75-15
BM-Her2N75-15_scene017_cell03468,4551.598684210527,3448.947368421052,2188.559210526316,2968.565789473684,1208.8618421052631,2894.5394736842104,656.9605263157895,792.1184210526317,689.9013157894735,323.95394736842104,2819.884848484849,2163.0263157894738,1780.6644736842104,420.64242424242417,1778.6181818181815,2144.009090909091,1497.8092105263156,1310.2565789473686,2391.9802631578946,1377.3712121212118,BM-Her2N75-15
BM-Her2N75-15_scene017_cell04755,4401.0953125,9065.2203125,4253.0453125,2315.6359375,1178.803125,3125.7015625,590.596875,653.8,654.859375,293.6515625,2284.041385948028,1223.65625,2365.646875,435.13282001924927,1359.6997112608278,1900.1684311838305,1979.084375,1246.625,1904.46875,1310.1424446583253,BM-Her2N75-15
BM-Her2N75-15_scene017_cell04596,3986.771812080537,1715.1879194630872,1558.4295302013422,1876.8590604026847,678.1409395973154,2080.03355704698,591.3221476510067,1283.6778523489936,674.6845637583892,1209.0671140939598,4805.754716981132,5229.912751677853,2918.657718120805,434.0330188679245,1946.3317610062893,1919.8254716981128,1485.510067114094,1012.6442953020136,1893.1610738255035,1159.8066037735848,BM-Her2N75-15
BM-Her2N75-15_scene017_cell02520,3736.9216867469877,1230.2560240963855,1676.9518072289154,1667.3825301204818,690.6265060240962,1877.6174698795185,605.5903614457833,1247.0391566265062,662.0572289156628,592.7530120481928,11877.722371967657,4778.4578313253005,2573.707831325301,399.9029649595688,1973.6010781671162,1913.3261455525603,1377.3343373493976,971.9096385542167,1849.6084337349398,994.2425876010782,BM-Her2N75-15
BM-Her2N75-15_scene017_cell02893,3760.129032258064,1120.6516129032261,1566.0774193548386,1957.167741935484,651.3225806451613,2161.7354838709675,629.0,2891.6451612903224,710.858064516129,1621.3677419354838,12109.504237288138,5176.438709677419,2290.4387096774194,430.3877118644068,1514.4936440677966,1907.0889830508474,1374.838709677419,843.7032258064518,1700.161290322581,1126.677966101695,BM-Her2N75-15
BM-Her2N75-15_scene017_cell04070,4247.918674698795,1636.1626506024093,1666.1234939759036,2476.117469879518,1291.7740963855424,2573.521084337349,641.3132530120482,1954.46686746988,717.0843373493976,1544.0240963855426,11612.297682709448,4444.3524096385545,2860.731927710844,426.6167557932264,2244.2709447415327,2184.9304812834225,1448.3734939759036,1139.7861445783133,1952.71686746988,1465.8770053475935,BM-Her2N75-15
BM-Her2N75-15_scene017_cell07224,3848.7353497164463,1077.0302457466921,1658.7051039697546,1714.8393194706994,765.2608695652175,1948.5727788279773,610.2362948960302,1731.4310018903589,668.0756143667297,1602.6370510396976,18214.021276595744,5151.703213610586,2701.0340264650285,392.61702127659566,2503.4,2184.008510638298,1388.1039697542533,982.742911153119,1741.5330812854447,1098.0127659574468,BM-Her2N75-15
BM-Her2N75-15_scene017_cell04820,3520.8783783783783,2031.391891891892,1322.6756756756754,1666.8243243243246,613.8513513513514,1801.2027027027027,480.9324324324325,597.1891891891893,619.0675675675676,261.3918918918919,2019.463768115942,1218.472972972973,1731.8513513513512,389.4154589371981,2884.1014492753625,1648.1014492753625,1393.0675675675675,1003.945945945946,2022.9054054054047,1244.608695652174,BM-Her2N75-15
BM-Her2N75-15_scene017_cell05422,2874.314720812183,2345.0,2561.4771573604057,1819.6091370558374,618.4771573604061,2142.6649746192893,481.70050761421317,648.1421319796955,688.2385786802031,261.522842639594,1935.0162454873648,1213.8324873096444,1213.5431472081218,404.8393501805054,1769.0090252707585,1427.848375451263,1493.0152284263959,1147.8629441624366,2221.786802030457,1008.3140794223826,BM-Her2N75-15
BM-Her2N75-15_scene017_cell05417,2048.45,1009.25,1370.55625,1445.4875,530.2875,1183.1,571.83125,3542.375,708.3125,5308.88125,7179.886330935252,2189.58125,1335.6375,545.3582733812949,1841.3841726618705,2297.874820143885,1320.08125,690.375,1277.55,761.5151079136691,BM-Her2N75-15
BM-Her2N75-15_scene017_cell05788,4870.076628352491,4611.6398467432955,1479.0996168582376,2208.7816091954023,799.904214559387,2443.869731800766,627.9540229885058,599.7931034482757,625.0114942528736,303.23371647509583,2079.7149059334297,1164.0229885057472,3068.616858237548,380.0593342981186,1479.836468885673,1761.6497829232997,1430.4061302681991,1328.2758620689654,1766.1647509578547,1319.49493487699,BM-Her2N75-15
BM-Her2N75-15_scene017_cell04661,3714.021834061136,4028.0611353711793,1528.628820960699,1774.2620087336245,723.5633187772926,2025.545851528384,568.235807860262,655.9650655021834,655.7336244541485,278.9170305676856,2200.9929378531074,1201.1703056768558,1540.0436681222711,430.2118644067797,1458.026836158192,1967.6129943502826,1456.5065502183404,1214.5065502183404,2225.152838427948,1286.973163841808,BM-Her2N75-15
BM-Her2N75-15_scene017_cell06235,2286.046753246753,1071.7428571428572,1454.1454545454544,1456.0792207792208,621.9727272727273,1266.1376623376625,548.8272727272728,1833.7727272727273,685.9363636363636,1588.2376623376624,9368.54372019078,4576.620779220779,2440.181818181818,403.825119236884,1627.006359300477,1610.3942766295706,1384.5766233766233,692.9987012987013,1390.751948051948,830.5071542130365,BM-Her2N75-15
BM-Her2N75-15_scene017_cell01831,3418.559193954661,10041.284634760705,1632.758186397985,1974.1738035264484,1379.984886649874,2336.408060453401,494.5541561712847,622.8639798488665,610.4508816120907,280.02015113350126,2149.6943925233645,1201.317380352645,1199.55919395466,518.5373831775701,3445.6411214953278,2020.0943925233648,1521.2367758186401,1511.0528967254404,2752.163727959697,1273.417757009346,BM-Her2N75-15
BM-Her2N75-15_scene017_cell07982,4062.601156069364,1230.8843930635835,1465.936416184971,1740.3121387283234,685.2485549132948,1976.2196531791903,524.606936416185,639.6763005780348,655.3179190751445,272.1791907514451,1843.5132450331125,1200.878612716763,1220.1965317919075,385.4735099337749,4032.0099337748334,1661.341059602649,1444.2658959537573,2128.7803468208094,9227.317919075143,1256.0993377483446,BM-Her2N75-15
BM-Her2N75-15_scene017_cell06257,2728.5679012345677,2046.3271604938275,1478.5308641975312,1755.3765432098764,555.4629629629628,1482.58024691358,422.9382716049383,629.8395061728395,593.9814814814815,337.037037037037,1960.64742014742,1259.9382716049386,1219.3456790123455,397.2051597051597,5392.517199017199,1876.7800982800986,1550.4012345679016,1223.9320987654319,2566.91975308642,1322.6130221130222,BM-Her2N75-15
BM-Her2N75-15_scene017_cell06706,2746.66875,3432.33125,1913.98125,1507.3375,571.0875,1569.7,465.15625,561.66875,615.9625,240.375,1925.6025236593061,1070.53125,1069.975,381.6372239747634,4592.082018927446,1793.0536277602523,1423.00625,1277.6875,1470.75625,955.0567823343848,BM-Her2N75-15
BM-Her2N75-15_scene017_cell00459,3389.947368421052,1153.3374613003095,1412.9690402476779,1618.1362229102167,577.4582043343652,1717.5386996904026,538.9566563467492,1951.114551083592,645.3374613003095,1853.058823529412,10551.083900226757,4520.953560371517,2432.773993808049,406.6326530612245,2130.532879818594,1529.18820861678,1388.7058823529412,926.2383900928792,1373.1857585139321,1024.4331065759636,BM-Her2N75-15
BM-Her2N75-15_scene017_cell03438,3737.745098039216,1932.7189542483661,1574.8562091503268,2069.59477124183,1659.2679738562092,2594.169934640523,504.562091503268,1043.7712418300653,619.5751633986928,514.3986928104575,2373.314482758621,2727.751633986928,2765.1111111111113,445.3503448275862,1598.8137931034482,1858.4096551724133,1319.202614379085,1094.875816993464,2325.967320261438,1166.3062068965514,BM-Her2N75-15
BM-Her2N75-15_scene017_cell00596,3782.8203125,969.890625,1720.1015625,1746.296875,643.5703125,1875.171875,630.546875,2656.9375,737.3046875,1998.0625,4809.996794871795,5859.578125,3040.4453125,761.0096153846154,2046.897435897436,2074.153846153846,1478.5390625,1007.9609375,1593.21875,1154.3557692307693,BM-Her2N75-15
BM-Her2N75-15_scene017_cell02301,2447.743295019157,909.1724137931036,1359.6743295019155,1537.6513409961685,489.0383141762452,1449.4061302681991,436.0996168582376,1693.4214559386976,567.2375478927203,729.4674329501918,6800.9028132992335,2904.590038314176,1781.7739463601529,358.4731457800512,1284.601023017903,1354.8056265984656,1241.8275862068965,631.5862068965517,1236.6091954022988,758.6445012787724,BM-Her2N75-15
BM-Her2N75-15_scene017_cell05546,3367.75,2076.759259259259,2776.6203703703704,1834.1018518518522,529.0185185185185,1914.3981481481478,484.01851851851853,649.8981481481483,622.8055555555555,275.6388888888889,2297.9145728643216,1277.925925925926,2591.398148148149,410.5175879396985,1851.0335008375207,1899.0117252931327,1579.9537037037037,941.4166666666664,2029.1018518518522,1405.110552763819,BM-Her2N75-15
BM-Her2N75-15_scene017_cell04171,4078.944444444444,1668.388888888889,1387.166666666667,1573.833333333333,648.2222222222222,1995.4444444444448,562.7777777777778,603.2222222222222,648.5,251.0555555555556,1749.9432624113474,1147.3333333333333,3124.277777777778,396.30496453900713,7126.744680851064,1480.8368794326238,1391.111111111111,1315.5555555555557,2042.111111111111,1062.2553191489362,BM-Her2N75-15
BM-Her2N75-15_scene017_cell06564,6447.0583333333325,2275.8416666666667,1458.975,2332.025,714.2958333333332,3254.508333333333,661.0291666666667,645.1625,572.5375,369.35,2443.4328593996843,1113.1375,4253.7,373.2353870458136,1736.2780410742496,2494.3902053712477,1486.6833333333334,1543.283333333333,1953.6833333333327,1599.8704581358609,BM-Her2N75-15
BM-Her2N75-15_scene017_cell01390,4920.12,2355.76,1596.96,1883.26,626.24,2475.54,482.42,640.7,535.7,272.16,2181.1764705882347,1118.46,1941.54,368.1176470588235,1124.0980392156862,1931.0098039215686,1326.3,1075.52,2563.26,1213.8725490196075,BM-Her2N75-15
BM-Her2N75-15_scene017_cell04974,3667.594059405941,2289.742574257425,1370.4900990099009,1779.1782178217825,614.7227722772278,1820.5742574257424,474.18811881188117,631.3910891089109,622.7772277227722,276.81188118811883,1998.40206185567,1268.8267326732673,2138.8861386138615,408.4072164948453,5107.70618556701,1620.340206185567,1533.3465346534656,1061.351485148515,4999.1584158415835,1146.7164948453608,BM-Her2N75-15
BM-Her2N75-15_scene017_cell01748,4274.779069767442,3709.325581395349,1661.2441860465115,2407.674418604651,1181.1976744186047,2729.8023255813955,600.2209302325581,683.2790697674419,673.1976744186046,393.70930232558135,2152.043478260869,1390.8255813953488,2096.8488372093025,435.1242236024845,3555.204968944099,1886.6894409937888,1513.0116279069766,1371.9767441860465,2212.3720930232557,1154.7515527950309,BM-Her2N75-15
BM-Her2N75-15_scene017_cell04084,3557.0846560846558,1898.15873015873,1492.015873015873,1880.2433862433866,779.7195767195767,1884.4126984126983,504.6084656084657,632.1587301587301,628.3333333333334,263.64550264550263,2020.0174291939002,1281.7989417989418,1890.227513227513,400.92810457516333,1359.9607843137255,1587.9498910675381,1405.7936507936508,1146.3756613756614,1578.772486772487,1146.6601307189544,BM-Her2N75-15
BM-Her2N75-15_scene017_cell01235,2585.7593582887703,1236.7433155080216,2284.1229946524068,1508.2192513368984,463.8983957219251,1635.2192513368984,452.66844919786087,1372.7967914438502,597.4010695187168,918.0588235294116,5801.6859504132235,3530.3475935828887,4386.278074866311,388.7520661157025,1377.7396694214874,1577.559917355372,1608.5828877005347,663.4545454545455,1133.1176470588236,796.8842975206611,BM-Her2N75-15
BM-Her2N75-15_scene017_cell05024,2407.2528735632186,2463.5172413793107,1620.4655172413793,1333.8735632183907,460.39080459770116,1381.057471264368,377.0517241379312,601.4770114942529,555.1896551724138,239.17241379310346,1751.8912133891215,1144.155172413793,1669.333333333333,394.3284518828452,1164.581589958159,1264.0355648535565,1394.4195402298853,1032.9137931034484,1816.0057471264367,971.9832635983264,BM-Her2N75-15
BM-Her2N75-15_scene017_cell04886,2731.1521739130435,1143.5108695652175,1373.2717391304348,1526.3152173913047,580.3695652173913,1464.608695652174,523.2826086956521,1580.0434782608695,642.8152173913044,950.1847826086956,6681.570297029703,6603.20652173913,2887.858695652174,389.40594059405936,1533.3663366336636,1375.4158415841587,1340.0217391304348,760.9347826086956,1469.054347826087,872.3821782178218,BM-Her2N75-15
BM-Her2N75-15_scene017_cell05398,3247.8938775510205,1069.9278911564627,1506.0013605442175,1766.4503401360544,580.3074829931973,1794.534693877551,609.2557823129251,2037.409523809524,738.3605442176871,1766.3877551020407,6440.589357429719,3989.315646258504,2044.1700680272104,5059.233935742972,1707.3835341365461,4648.221887550201,1473.2925170068027,857.1768707482993,1724.3795918367346,949.258032128514,BM-Her2N75-15
BM-Her2N75-15_scene017_cell03709,3472.14,2514.14,1755.66,2678.54,1887.54,2471.16,503.02,644.28,618.68,284.78,2319.391304347826,1255.88,1791.88,427.68840579710144,1899.9420289855072,1731.8840579710145,1395.1,1079.46,1592.9,1205.5289855072465,BM-Her2N75-15
