,CD44_Ring,CD45_Ring,CD4_Ring,CK14_Ring,CK19_Ring,CK5_Ring,CK7_Ring,ER_Nuclei,Ecad_Ring,Ki67_Nuclei,PD1_Ring,Vim_Ring,aSMA_Ring,pHH3_Nuclei,batch
BM-Her2N75-15_scene017_cell03397,0.475923,0.9004235,0.86580235,0.5333582,0.20789728,0.42882663,0.09939998,0.43455607,0.3361944,0.35397905,0.9744167,0.44375163,0.5129597,0.5672822,BM-Her2N75-15
BM-Her2N75-15_scene017_cell04298,0.32986358,0.6058621,0.6034311,0.672213,0.6235619,0.5611706,0.5163191,3.4467018,1.3161396,0.37529737,0.91386396,0.50395525,0.6949694,0.60660243,BM-Her2N75-15
BM-Her2N75-15_scene017_cell03468,0.9630803,0.87540543,0.968309,0.71639997,0.28441614,0.5142493,0.122912265,0.6529668,0.6509135,0.36793938,0.9131233,0.6716477,0.86921793,0.7582744,BM-Her2N75-15
BM-Her2N75-15_scene017_cell04755,2.5313623,1.7011827,0.75533146,0.64403194,0.23475187,0.48812923,0.111415155,0.528888,0.36823145,0.38061425,1.2065276,0.6390297,0.6920619,0.7212634,BM-Her2N75-15
BM-Her2N75-15_scene017_cell04596,0.47894722,0.62335885,0.6122079,0.64482284,0.46091428,0.50290686,0.45873553,1.1128107,1.573823,0.37965226,0.9056253,0.51908934,0.6879528,0.6385001,BM-Her2N75-15
BM-Her2N75-15_scene017_cell02520,0.34353536,0.6707668,0.5438793,0.660382,0.44775888,0.49349448,0.22489807,2.7503812,1.4379679,0.3497984,0.8396771,0.49820846,0.6721263,0.5473533,BM-Her2N75-15
BM-Her2N75-15_scene017_cell02893,0.31292954,0.62641793,0.6384036,0.6859096,1.0382671,0.5298704,0.6151676,2.804052,1.5577313,0.37646368,0.8381556,0.43248886,0.61781895,0.620262,BM-Her2N75-15
BM-Her2N75-15_scene017_cell04070,0.45688027,0.66643554,0.8076785,0.69933695,0.7017662,0.53451145,0.58582246,2.68892,1.3374265,0.3731652,0.88298535,0.58426327,0.7095947,0.80699885,BM-Her2N75-15
BM-Her2N75-15_scene017_cell07224,0.30074877,0.66346824,0.5593591,0.66544825,0.6216835,0.49798056,0.60806096,4.217602,1.5502876,0.34342533,0.84624267,0.50376165,0.632853,0.60448116,BM-Her2N75-15
BM-Her2N75-15_scene017_cell04820,0.56724364,0.52905923,0.54369724,0.5244455,0.21442533,0.4614502,0.09917542,0.4676229,0.36667165,0.3406249,0.8492687,0.5146305,0.7351004,0.6851856,BM-Her2N75-15
BM-Her2N75-15_scene017_cell05422,0.65481526,1.0245695,0.5935337,0.52528304,0.23272036,0.51300997,0.09922511,0.4480684,0.3652752,0.35411632,0.9102007,0.58840346,0.8073716,0.55509996,BM-Her2N75-15
