,CD44_Ring,CD45_Ring,CD4_Ring,CK14_Ring,CK19_Ring,CK5_Ring,CK7_Ring,ER_Nuclei,Ecad_Ring,Ki67_Nuclei,PD1_Ring,Vim_Ring,aSMA_Ring,pHH3_Nuclei,batch
BM-Her2N75-15_scene017_cell03397,-0.070694424,0.13791303,0.19886509,-0.21664923,-0.6212501,-0.18998204,-0.62717205,-0.26353434,-0.48132312,-0.29692063,0.10622755,-0.24021208,-0.19747083,-0.09278763,BM-Her2N75-15
BM-Her2N75-15_scene017_cell04298,-0.21675384,-0.15664841,-0.06350616,-0.07779443,-0.20558546,-0.057638094,-0.21025294,2.7486115,0.49862206,-0.2756023,0.045674834,-0.18000847,-0.015461125,-0.0534674,BM-Her2N75-15
BM-Her2N75-15_scene017_cell03468,0.41646287,0.112894945,0.30137172,-0.03360748,-0.54473126,-0.10455935,-0.60365975,-0.045123618,-0.16660404,-0.2829603,0.044934187,-0.012315993,0.15878738,0.098204546,BM-Her2N75-15
BM-Her2N75-15_scene017_cell04755,1.9847449,0.93867224,0.08839419,-0.10597551,-0.5943955,-0.13067944,-0.6151569,-0.16920243,-0.44928607,-0.27028543,0.33833846,-0.044934038,-0.01836864,0.061193578,BM-Her2N75-15
BM-Her2N75-15_scene017_cell04596,-0.067670204,-0.13915165,-0.05472938,-0.105184615,-0.36823308,-0.11590181,-0.2678365,0.41472033,0.75630546,-0.27124742,0.03743616,-0.16487437,-0.022477726,-0.021569736,BM-Her2N75-15
BM-Her2N75-15_scene017_cell02520,-0.20308205,-0.091743715,-0.123058,-0.08962548,-0.3813885,-0.12531419,-0.50167394,2.052291,0.6204504,-0.30110127,-0.028512029,-0.18575525,-0.038304247,-0.1127165,BM-Her2N75-15
BM-Her2N75-15_scene017_cell02893,-0.23368788,-0.13609256,-0.028533673,-0.06409782,0.20911975,-0.08893828,-0.11140442,2.1059618,0.74021375,-0.274436,-0.030033497,-0.25147486,-0.09261159,-0.039807804,BM-Her2N75-15
BM-Her2N75-15_scene017_cell04070,-0.089737155,-0.096074946,0.14074126,-0.0506705,-0.12738119,-0.084297225,-0.14074957,1.9908296,0.519909,-0.2777345,0.01479623,-0.09970046,-0.0008358146,0.14692903,BM-Her2N75-15
BM-Her2N75-15_scene017_cell07224,-0.24586865,-0.099042244,-0.107578196,-0.0845592,-0.2074639,-0.12082811,-0.11851108,3.5195115,0.7327701,-0.30747434,-0.021946458,-0.18020207,-0.07757757,-0.05558867,BM-Her2N75-15
BM-Her2N75-15_scene017_cell04820,0.020626213,-0.23345126,-0.12324003,-0.22556198,-0.6147221,-0.15735848,-0.6273966,-0.23046751,-0.45084587,-0.31027478,-0.01892045,-0.16933322,0.024669847,0.02511578,BM-Her2N75-15
BM-Her2N75-15_scene017_cell05422,0.10819783,0.26205903,-0.073403575,-0.22472441,-0.596427,-0.10579871,-0.62734693,-0.250022,-0.4522423,-0.29678336,0.042011593,-0.09556026,0.096941076,-0.10496987,BM-Her2N75-15
BM-Her2N75-15_scene017_cell05417,-0.26479554,-0.2142994,-0.19543734,-0.12643898,0.44276926,-0.090835735,1.2876854,0.96446943,-0.15861297,-0.17387028,-0.063415796,-0.3300721,-0.24618368,-0.24083832,BM-Her2N75-15
BM-Her2N75-15_scene017_cell05788,0.74113184,-0.17088296,0.053539596,-0.065238416,-0.6137871,-0.15292792,-0.6115213,-0.21651588,-0.46723133,-0.31845865,0.0038426246,-0.0030791801,-0.06862674,0.06634235,BM-Her2N75-15
BM-Her2N75-15_scene017_cell04661,0.57817394,-0.15107168,-0.08819524,-0.13035971,-0.59361815,-0.13002779,-0.6207473,-0.18843298,-0.4560527,-0.2745898,0.019754441,-0.061398212,0.09816422,0.048438363,BM-Her2N75-15
BM-Her2N75-15_scene017_cell06235,-0.24734512,-0.18086441,-0.19198248,-0.15152425,-0.17071734,-0.107514784,-0.12397438,1.4712704,0.5597122,-0.2976705,-0.024096875,-0.3287272,-0.20504741,-0.20285663,BM-Her2N75-15
BM-Her2N75-15_scene017_cell01831,2.2573,-0.109420784,-0.022986507,-0.21070784,-0.6055033,-0.16378133,-0.6203288,-0.20031156,-0.45600843,-0.19733076,0.059216533,0.090613775,0.2896739,0.0409758,BM-Her2N75-15
BM-Her2N75-15_scene017_cell07982,-0.20290661,-0.17614813,-0.09926925,-0.17793596,-0.59946674,-0.13033764,-0.6233038,-0.27121022,-0.4561405,-0.31372282,0.01229206,0.40726572,2.64267,0.03144162,BM-Her2N75-15
BM-Her2N75-15_scene017_cell06257,0.02479675,-0.17111047,-0.09435544,-0.28880325,-0.60299873,-0.17605756,-0.5986959,-0.2440869,-0.4383678,-0.30346105,0.076996356,-0.0565666,0.22235836,0.0680589,BM-Her2N75-15
BM-Her2N75-15_scene017_cell06706,0.411823,0.003066052,-0.17526266,-0.24276555,-0.6274759,-0.15967299,-0.6353707,-0.2522018,-0.49536553,-0.31707844,-0.00066867215,-0.029011134,-0.17597477,-0.1342892,BM-Her2N75-15
BM-Her2N75-15_scene017_cell00459,-0.22456071,-0.19733466,-0.1391215,-0.16228795,-0.12858485,-0.13777705,-0.02349782,1.745097,0.5429604,-0.29521474,-0.021579472,-0.2091667,-0.21143074,-0.09609593,BM-Her2N75-15
BM-Her2N75-15_scene017_cell03438,-0.006927107,-0.13258113,0.00813862,-0.19979441,-0.45437336,-0.15698014,-0.5314026,-0.14853053,0.0033371479,-0.26134807,-0.0639514,-0.12272186,0.13479908,-0.01799155,BM-Her2N75-15
BM-Her2N75-15_scene017_cell00596,-0.27578622,-0.07448418,-0.09731714,-0.062410947,0.12484624,-0.06922506,0.0315184,0.4157026,0.945789,0.0147617245,0.03318635,-0.16727507,-0.13147329,-0.024570532,BM-Her2N75-15
BM-Her2N75-15_scene017_cell02301,-0.2927411,-0.21865208,-0.16537467,-0.2744511,-0.22111152,-0.19599237,-0.44980276,0.8767128,0.056552652,-0.33734027,-0.11112228,-0.3602077,-0.26106107,-0.24241865,BM-Her2N75-15
BM-Her2N75-15_scene017_cell05546,0.033294585,0.34811455,-0.06867621,-0.2221967,-0.5957965,-0.1545722,-0.6219911,-0.16598998,-0.43295485,-0.29181656,0.095012695,-0.20138618,0.02692159,0.11347567,BM-Her2N75-15
