,CD20_Ring,CD44_Ring,CD45_Ring,CD4_Ring,CD68_Ring,CD8_Ring,CK14_Ring,CK19_Ring,CK5_Ring,CK7_Ring,ER_Nuclei,Ecad_Ring,HER2_Ring,Ki67_Nuclei,LamAC_Nuclei,PCNA_Nuclei,PD1_Ring,Vim_Ring,aSMA_Ring,pHH3_Nuclei
BM-Her2N75-15_scene017_cell03397,11.69531318087741,10.735858681916712,11.137058819178668,11.374664011880967,9.973796515993985,11.014695253552315,8.936949089046191,9.179929312680054,9.170678244762152,8.038829790884899,10.874721794502536,10.126956241098423,11.167555830198632,8.664207019577079,10.535488843329118,10.593738095090753,10.643269609144204,9.759346940855767,10.464138946933717,10.010447776470842
BM-Her2N75-15_scene017_cell04298,11.880809792004813,10.207374559263386,10.56575590145292,10.85405161726821,9.379561047810745,10.999329352169193,9.270154575736232,10.762932309539915,9.558132523545472,10.411338690486431,13.861652367817701,12.094940160056339,11.140860562061706,8.748375180716513,10.903840922744937,10.734873726410202,10.550769961021045,9.942691139525447,10.901975475967989,10.107041720628484
BM-Her2N75-15_scene017_cell03468,12.15247457472045,11.752358637307347,11.096424748646605,11.536036279940857,10.240626595724244,11.499616449284703,9.361857223284321,9.631392481568048,9.432335849174969,8.344091462959128,11.461932059443924,11.07950232792484,10.799009956129805,8.719876223175191,10.797352027940553,11.066768046783956,10.549601033160867,10.35673429589432,11.22459278251566,10.428748760342469
BM-Her2N75-15_scene017_cell04755,12.103974666916194,13.146285504333957,12.054619685090639,11.177815625182664,10.204330420280474,11.610425808098883,9.20847062146473,9.354910511586791,9.357242704711755,8.202866106414014,11.158004579819076,10.258161139183942,11.208628743716528,8.768623750470317,10.410133002587834,10.892670635727692,10.951346192138955,10.284968651604022,10.895930232570908,10.35660871548385
BM-Her2N75-15_scene017_cell04596,11.961367142994359,10.744991818638175,10.60680264421856,10.874873072633367,9.407567192460043,11.02308451364448,9.210238221051819,10.327190917166288,9.400206086416468,10.240871350744905,12.230847470991332,12.352846991636241,11.511583531399562,8.76498109498708,10.927282977238452,10.907510724772091,10.537713518325672,9.9853357600469,10.887343303181437,10.180911916626231
BM-Her2N75-15_scene017_cell02520,11.868020628136465,10.265915067840417,10.712485565117834,10.70423439540842,9.433849349930089,10.875455615128834,9.244578763891035,10.285447483433305,9.372989585466506,9.213719116768356,13.53609205350396,12.222631256754921,11.33019301435098,8.647109277048015,10.947345504695368,10.902620928742458,10.428710164236008,9.926162007048866,10.853783955414231,9.958904411182042
BM-Her2N75-15_scene017_cell02893,11.876950086122894,10.131408926397087,10.61386074064376,10.935288640049542,9.349441759152828,11.078641510089735,9.29920801838728,11.498173644416235,9.475445804517543,10.663885156827286,13.56397131439923,12.338022854639924,11.16203798236341,8.752841271500786,10.565572086179843,10.897912737144276,10.426095636688038,9.722300750268428,10.732304216796344,10.139139417079814
BM-Her2N75-15_scene017_cell04070,12.052880015055678,10.67698194401888,10.703145262140348,11.2744465703615,10.336254480538843,11.330088369963267,9.327133254018623,10.933297376579612,9.488009484979523,10.593413623416225,13.503490073971394,12.118082079304228,11.482672818824568,8.740174574699777,11.132673835218238,11.094031804655227,10.501213700449537,10.155812649405803,10.932005691838551,10.51853219370064
BM-Her2N75-15_scene017_cell07224,11.910543555722843,10.074181940281845,10.696711211273646,10.744698742012035,9.58169182364387,10.928942297153144,9.25558640217956,10.75858217947026,9.38602545341792,10.647131940222827,14.152841059813852,12.33111378291997,11.39983012716553,8.620648798613399,11.290249290993629,11.093423183715995,10.439938868888053,9.942137524378495,10.766970329997347,10.101992429162637
BM-Her2N75-15_scene017_cell04820,11.782129373859604,10.988962898374682,10.370333963898041,10.703751619143901,9.264093851300077,10.81554557202739,8.91268708264551,9.224458027272979,9.276281621537771,8.035579330050508,10.980470765345485,10.25204206888069,10.758932186207932,8.608866368931878,11.49440633413707,10.68746443775189,10.445084772003504,9.97290218844144,10.98292614665987,10.282635205747937
BM-Her2N75-15_scene017_cell05422,11.489504161173024,11.19598729802851,11.323323428749537,10.830205510899004,9.274907275093875,11.065863734663456,8.914984533715149,9.342390585798933,9.428859645419035,8.036299149807133,10.918875343258957,10.246541679654658,10.24619802795614,8.664764945352195,10.789541001286839,10.480637115308184,10.54497913818634,10.165990983802782,11.118153863974527,9.97915946833975
BM-Her2N75-15_scene017_cell05417,11.001021077937065,9.98049663618346,10.421598075591945,10.49833814075647,9.053348959615342,10.209575209726896,9.161966388714625,11.790908440496917,9.470277561770532,12.374463881670463,12.809946210371535,11.097098010757867,10.38439254002428,9.093703495722313,10.847358207223161,11.166712194269932,10.367503483546116,9.433324626715926,10.32029286553226,9.574622112119513
BM-Her2N75-15_scene017_cell05788,12.250024963482938,12.171376936354267,10.531478563158807,11.109688081021162,9.645485901268495,11.255541881826593,9.296810748642669,9.230724441911068,9.290045336628115,8.249036237301066,11.022863589008463,10.186142707418057,11.583842877972181,8.573871845322367,10.532196614989047,10.78353014183259,10.483217348057703,10.37642482008091,10.787220831801164,10.366863052322442
BM-Her2N75-15_scene017_cell04661,11.859154974510522,11.976227981195425,10.578965896321257,10.793816250578063,9.500967960570602,10.984807102052406,9.152882607432439,9.359672846217684,9.359164512216493,8.128855455063878,11.10459412661585,10.231425574846881,10.589692028338817,8.752253062868265,10.510790703926308,10.942963807273498,10.509286651755977,10.247341952559418,11.120336930204765,10.330886818490638
BM-Her2N75-15_scene017_cell06235,11.159270143191645,10.067088579597012,10.506947655021111,10.50886360291439,9.283025195576759,10.307357552616123,9.102834659471242,10.841385652611638,9.424032646724138,10.634119173122672,13.193763077621671,12.160382236284722,11.25336403509484,8.66115500123516,10.668890619716704,10.654093821129207,10.436270779753396,9.438789152820803,10.442686387224855,9.699584866159508
BM-Her2N75-15_scene017_cell01831,11.739594647877631,13.293799901456168,10.673978749724073,10.947763892105407,10.431481815645025,11.190693903849933,8.952898919376928,9.285087704457718,9.256092800218614,8.134529775374,11.070586821178193,10.23160206475523,10.22949082252404,9.0210837513864,11.750975371822944,10.980920987104753,10.571977064483383,10.562292895456919,11.426874692812705,10.315622558466925
BM-Her2N75-15_scene017_cell07982,11.988543092678109,10.266651156458163,10.518590623946983,10.765959120983604,9.422587395901132,10.94925743643208,9.037840504756122,9.323451814160277,9.358251012496313,8.093703781224484,10.849024433399336,10.231075478818607,10.254079682059574,8.594225720621086,11.977641243936755,10.699000692352735,10.497119224781997,11.056488931595359,13.171851990934014,10.295882942705568
BM-Her2N75-15_scene017_cell06257,11.414456870940748,10.999525946431353,10.530924077280623,10.778386456862293,9.120141857705258,10.534867249022,8.72771040330693,9.301129201163361,9.2167009556901,8.40103751386311,10.937850044407325,10.300281935879987,10.253074152743013,8.637368104536856,12.397010669091024,10.874812407453419,10.599356139482598,10.258486063694468,11.326384403931815,10.370265675173638
BM-Her2N75-15_scene017_cell06706,11.423992372683553,11.745393340814774,10.90311455113898,10.558743561476685,9.16009201188641,10.617191940251333,8.864669799840307,9.13614202970837,9.26903899242628,7.915132448950651,10.911843245349027,10.065458209863301,10.064709088002372,8.579833419526524,12.165246830738553,10.809007300530974,10.475739763005876,10.320448009955344,10.523323038913638,9.900952495386068
BM-Her2N75-15_scene017_cell00459,11.727472676838108,10.17284933063302,10.465534816428827,10.661008653779735,9.176068913017815,10.746966624718405,9.07669979300765,10.930821998132197,9.336143801483317,10.85647130158557,13.3652403202485,12.142730460615805,11.24897948675188,8.671125811746212,11.057675594331927,10.579493395709981,10.44056386763282,9.856796488701136,10.42436132140382,10.002017666329843
BM-Her2N75-15_scene017_cell03438,11.868338398454952,10.917162414132665,10.621920185059293,11.015829521116114,10.697200401747544,11.341613295629127,8.981744479930141,10.028971375862593,9.277462148390383,9.009545067914706,11.213295320176051,11.414025373769727,11.4336433935111,8.802032730258208,10.643688280150036,10.860628936779154,10.36654364479732,10.097868608181075,11.184235234456564,10.18896734204375
BM-Her2N75-15_scene017_cell00596,11.885627863714562,9.923164968778726,10.74911651823533,10.770909035276791,9.332193932321516,10.873576283012138,9.302746008221884,11.376091465461208,9.528072507998761,10.96510786281291,12.232120122946469,12.516827273017928,11.570541348351089,9.57366539219172,10.999927747838177,11.019002582497802,10.53093207144812,9.978654605423568,10.638633886316361,10.17412145446067
BM-Her2N75-15_scene017_cell02301,11.257825826871803,9.829996050430418,10.410106091081246,10.587450638093992,8.936750742086478,10.502241212546288,8.771818303297614,10.726577047625025,9.15035035458071,9.512676143339283,12.731722677392213,11.504615446196444,10.79990806718723,8.48974018882031,10.328227266813764,10.404934647765652,10.279410454120054,9.305118289008334,10.273340105785987,9.569180613289566
BM-Her2N75-15_scene017_cell05546,11.717997652527231,11.020812789918176,11.4396337179591,10.841644422435605,9.049898957201686,10.903428596736424,8.921896021744162,9.346287999436647,9.284952591054855,8.111860169341426,11.166737141499016,10.320716991888629,11.340071593257736,8.684810281396453,10.854894479942217,10.891792606360447,10.626579405416548,9.880221243273244,10.987336395065363,10.457494312681355
BM-Her2N75-15_scene017_cell04171,11.994333792184793,10.705104358426416,10.438965076453224,10.620983439054605,9.342568572502726,10.96321721095829,9.138982802621626,9.238935434582448,9.34318571544788,7.9775979429084325,10.773916620081769,10.165325766870497,11.609768708296803,8.634103010563075,12.799229944436187,10.533170929211446,10.443058648903097,10.36255268567645,10.996551949374492,10.054272357016403
BM-Her2N75-15_scene017_cell06564,12.65464908014553,11.152818253494063,10.511727949873666,11.187986051556758,9.482396227488083,11.668667116138984,9.370750968254995,9.33575321609159,9.163744007829829,8.532745526976576,11.255284064423615,10.121711576879333,12.054841695358137,8.547802173531677,10.762612951996605,11.285049712784767,10.538851753279518,10.592721756241014,10.932719188648077,10.644640854873353
BM-Her2N75-15_scene017_cell01390,12.264770981234612,11.202589134281483,10.64201557995933,10.879782333917596,9.292873754906324,11.274110207607198,8.917133351136266,9.325755172998837,9.067972077885702,8.093602428795734,11.091552060451871,10.128587264096351,10.923728590995193,8.527936902475156,10.13583500568453,10.9158866997639,10.37427877413153,10.072159407356073,11.324326834330734,10.246589254837188
BM-Her2N75-15_scene017_cell04974,11.841011559681194,11.161599627325185,10.421528491856753,10.797805964672362,9.266137116852791,10.830970093158218,8.892354954479343,9.30467322889897,9.284887074883214,8.117964490190648,10.965352898975592,10.310415939953598,11.063318318845841,8.67739272230109,12.318742249795957,10.66297112831175,10.583408639318604,10.053045453803499,12.28775808797517,10.164550600897952
BM-Her2N75-15_scene017_cell01748,12.061971595347877,11.857330073679357,10.698916616301892,11.234023681804764,10.20725557234285,11.415109170268407,9.231751424273689,9.41844100970984,9.397027840664732,8.624646710173312,11.072161738044613,10.442762713792568,11.034695011354493,8.768595313880606,11.796122763823352,10.882405719493388,10.564160570209847,10.42309147363464,11.11203028963489,10.174615585551482
BM-Her2N75-15_scene017_cell04084,11.796885121141408,10.89114477447956,10.544013788245428,10.877470794560665,9.608660635806073,10.88066463456729,8.981876809122623,9.30642341218645,9.297680548640685,8.047917326966251,10.980866048192294,10.325079353452907,10.885107213503034,8.65079365026069,10.410409781267978,10.633857913408777,10.45819501351447,10.164122105023582,10.625501086204114,10.164479748694648
BM-Her2N75-15_scene017_cell01235,11.3369301335238,10.273496442639624,11.15805610377459,10.559586692805821,8.860771637167382,10.67615036522949,8.825494519358582,10.423952904787905,9.224968943522951,9.844013392636452,12.502505134966103,11.78600311846346,12.099110434948255,8.606412860592531,10.429134360737875,10.624393306688273,10.652471156970345,9.376026699599295,10.147354589866985,9.640035743872108
BM-Her2N75-15_scene017_cell05024,11.233771171893176,11.267089358576657,10.66308262783056,10.382487383611396,8.849845441534047,10.432601894443355,8.562439823830179,9.234762383754717,9.119433101359272,7.907926642361043,10.775520748087514,10.161327386306441,10.70592032170842,8.626907979774533,10.186834280384236,10.304962229673848,10.446483225792816,10.013900184582877,10.82734726743593,9.926271179024317
BM-Her2N75-15_scene017_cell04886,11.41582212496493,10.160515449078947,10.424451585713301,10.576782130448168,9.183311737927207,10.517284252937374,9.034200879888623,10.626661326620777,9.330502866925066,9.893581824296284,12.706187393582773,12.689169520484159,11.496283922947613,8.608831195545358,10.583427258342168,10.426700686356583,10.389116909437256,9.573523706084346,10.52165377706373,9.77046928230909
