,CD44_Ring,CD45_Ring,CD4_Ring,CD68_Ring,CK14_Ring,CK19_Ring,CK5_Ring,CK7_Ring,ER_Nuclei,Ecad_Ring,Ki67_Nuclei,PD1_Ring,Vim_Ring,aSMA_Ring,pHH3_Nuclei,batch
BM-Her2N75-15_scene017_cell03397,0.10189736608175151,0.2744409842855551,0.2233303253382029,0.1680904465765143,0.05619328599734089,0.032064201235071345,0.05895445262924753,0.014949972326626598,0.01798043684450985,0.08851279164113529,0.009398295806758529,0.3469171063759237,0.08245934093038271,0.0844306321299141,0.1320047446716803,BM-Her2N75-15
BM-Her2N75-15_scene017_cell04298,0.07069212509776585,0.1851415233648933,0.1561065703775306,0.11166972319129456,0.07074751276411385,0.09598730698182402,0.07708551546444944,0.07755445347370264,0.35724567863225887,0.3432020083371794,0.011898406673838078,0.3255820832683983,0.09361432405178767,0.11423959515480805,0.14442905458733657,BM-Her2N75-15
BM-Her2N75-15_scene017_cell03468,0.20505902299075185,0.2668847433172456,0.24942039356748305,0.20172641116712992,0.07536874887123507,0.04385652858022184,0.07066249490516292,0.018485779980840198,0.04288012371520569,0.1710509539881344,0.011035530037069467,0.32532086010755035,0.1246169170114439,0.1426535627524453,0.19220753966208803,BM-Her2N75-15
BM-Her2N75-15_scene017_cell04755,0.5181896543592309,0.5124147307186026,0.19509762525323923,0.19679464402748528,0.06779750064751144,0.03620360006679377,0.06708437375562397,0.016756865016914667,0.02873590544903055,0.09693422273847216,0.01252189981948306,0.4282622417599456,0.11859542106770635,0.11376436640280138,0.18057221507392954,BM-Her2N75-15
BM-Her2N75-15_scene017_cell04596,0.10254249165715001,0.19046413319827948,0.15836427286982444,0.11384974725657686,0.06788031988150214,0.07102003756614682,0.0691089335698362,0.06892461483457284,0.09524583332069676,0.4086429222459163,0.012409090323661479,0.3226759594701204,0.09641662947272085,0.11309268709354242,0.154497406341264,BM-Her2N75-15
BM-Her2N75-15_scene017_cell02520,0.0736166312957799,0.20487547486406466,0.14077380144894625,0.11593376756612332,0.06950928665224276,0.06899758835414953,0.06781948706708782,0.0338181576009569,0.2800336040325301,0.37424401076394503,0.008907978994573873,0.2993858920545192,0.09255002354393825,0.11050502440667682,0.12570249632321345,BM-Her2N75-15
BM-Her2N75-15_scene017_cell02893,0.06706891315349996,0.1913945181355909,0.16509941723699653,0.10937121225616003,0.07218052972804528,0.15921878725819483,0.07280152581009046,0.09234994858011618,0.2860206139409328,0.40458090223260507,0.012035176854879794,0.29884802696473345,0.08037124234422427,0.10161842117020596,0.14874184718943692,BM-Her2N75-15
BM-Her2N75-15_scene017_cell04070,0.09783415796692406,0.2035594911950823,0.20848990702802472,0.215296791171117,0.07358487399474882,0.10796348453135127,0.07343690716090902,0.08796025142762785,0.27317085469946234,0.3486386457343654,0.011648367576978578,0.31468594995193494,0.10847517113385131,0.11662955664993843,0.2074994238778424,BM-Her2N75-15
BM-Her2N75-15_scene017_cell07224,0.06446213441383032,0.20265784438179243,0.14476165202403626,0.12837724206510454,0.07003956550539958,0.09569939154092096,0.06843408576691058,0.09128708925817754,0.44139629628927235,0.4027007781090609,0.008160510107944009,0.3017067115402635,0.09357848120403195,0.10407961530125819,0.1437591424137257,BM-Her2N75-15
BM-Her2N75-15_scene017_cell04820,0.12135704055573529,0.16175491171237694,0.14072688556701304,0.10310892942314678,0.05525757423834565,0.033070517613607825,0.06342791529496879,0.014916202200480864,0.02175079605961492,0.09652428907979688,0.007832053896292098,0.3027761944377836,0.09559109161653434,0.12079541562002297,0.1692149335680857,BM-Her2N75-15
BM-Her2N75-15_scene017_cell05422,0.13997279823343242,0.31184682402679514,0.15355996184701995,0.10388229740649742,0.05534551410125706,0.035890491518132825,0.07049275340574007,0.014923674093344252,0.019521165592350287,0.09615727635091628,0.009414393551668657,0.32429000275966147,0.10924066185611542,0.13258427205712986,0.12815267338965464,BM-Her2N75-15
BM-Her2N75-15_scene017_cell05417,0.06041073246101376,0.16759000788988695,0.1221080832187482,0.08912496953285794,0.06565409511448227,0.1944782952905882,0.0725417380505451,0.29703424630527836,0.15765411601770313,0.17314002536041098,0.02382357818270524,0.2870404059949369,0.0657897602594548,0.07643437855808734,0.08511485601601787,BM-Her2N75-15
BM-Her2N75-15_scene017_cell05788,0.27264412721516945,0.18080982322489147,0.18616724991174718,0.1341445491067939,0.07206121189712315,0.033214639675646036,0.0640352612185392,0.017303586369225955,0.023341543860389558,0.09221745617193908,0.006872165946772657,0.3108181713622016,0.12632124393929964,0.10554455279257643,0.18219183066808445,BM-Her2N75-15
BM-Her2N75-15_scene017_cell04661,0.23886263429975624,0.186838209388648,0.14975279097787228,0.12142821635499354,0.06524330518485583,0.03632341428310177,0.06717366429988193,0.015916155416187447,0.026543419449825897,0.09515579891252175,0.012017139308103966,0.31643628795665996,0.11555430705305748,0.13278359481513674,0.1765585593526702,BM-Her2N75-15
BM-Her2N75-15_scene017_cell06235,0.06414613253219724,0.17777161005666794,0.1229997508858215,0.10446665247645415,0.06302517512962862,0.10132953679258008,0.07025772373996472,0.09046991214597472,0.21489169598770136,0.3587900174656843,0.009310346305932856,0.30094663112184544,0.06603940660484056,0.08318738723249676,0.09715857609902886,BM-Her2N75-15
BM-Her2N75-15_scene017_cell01831,0.5686000989138642,0.19950371266625874,0.1665249946317868,0.22967859192291637,0.05681695720770332,0.03449152892313586,0.06254738607739839,0.01597909680766747,0.025189097862423564,0.09516743163281162,0.021074520329717215,0.33035710492976966,0.14358639212464772,0.1638995424835766,0.17420947209335466,BM-Her2N75-15
BM-Her2N75-15_scene017_cell07982,0.07365416049114373,0.1792072584726091,0.14690151798429532,0.11503619010032286,0.060255630996313175,0.03542197994404333,0.06713120680335723,0.015531708737886557,0.017105191980698323,0.09513272773774165,0.007427634686351644,0.3138018377144031,0.2015779688398405,0.5210562599387525,0.17120736445292742,BM-Her2N75-15
BM-Her2N75-15_scene017_cell06257,0.12224465034042947,0.18074058358511855,0.14816680051881084,0.09334050714253754,0.0486135190214454,0.034877583466660124,0.060864128907857765,0.019232218377858892,0.020197900087651155,0.09980344482552739,0.008631212062035331,0.33662328124990454,0.11644687619336834,0.15298393314653352,0.18273173592687753,BM-Her2N75-15
BM-Her2N75-15_scene017_cell06706,0.20408533375056387,0.23364702626104544,0.1273139935893826,0.09595569462456527,0.05345097692637069,0.03110442876906819,0.06311062325253629,0.01371698933962817,0.019272615828992354,0.08482046764769409,0.007034050902126981,0.30922483599941986,0.12153546136358258,0.08795701795186536,0.11887676337484382,BM-Her2N75-15
BM-Her2N75-15_scene017_cell00459,0.0690218807926024,0.17275695502709745,0.13663395891467303,0.09702175911458702,0.06189668749829802,0.1077793129350495,0.06611179437078801,0.10548500523710458,0.24566366168746887,0.3545199364080119,0.009598362649724744,0.3018364080429616,0.08821310348704395,0.08213980180678593,0.13095875762015607,BM-Her2N75-15
BM-Her2N75-15_scene017_cell03438,0.11549037829099297,0.19246240267035233,0.1745195738028291,0.274798451890186,0.057962340180030915,0.05777031961051039,0.06347978288161782,0.02934969549232741,0.031092637203200938,0.21538653378912553,0.01356990517053253,0.28685084713753506,0.10421752537930268,0.1387501626171644,0.15562621917485583,BM-Her2N75-15
BM-Her2N75-15_scene017_cell00596,0.058057636727525036,0.21011819854695094,0.14740420450086364,0.10807608286841557,0.07235698007617264,0.14642993449578467,0.07549995194799664,0.11369334524381734,0.09535756701643126,0.45620848123653196,0.04589210551436121,0.3211765763140494,0.09597215261520803,0.09525273896209331,0.15355063862206486,BM-Her2N75-15
BM-Her2N75-15_scene017_cell02301,0.054426946823560265,0.1662640402457487,0.1298646525107797,0.08221351491419183,0.050122022329492595,0.09360726346369591,0.05813003253518924,0.041612581508538915,0.14771110103529236,0.2292267060589197,0.004657443353604943,0.2701464588560815,0.06019488089811267,0.07399092158693744,0.08461356074021724,BM-Her2N75-15
BM-Her2N75-15_scene017_cell05546,0.12405293073976094,0.33768110799652706,0.15477639613250452,0.0889124276894315,0.055610903093104916,0.03598767064891936,0.06380986555009954,0.015729112079707622,0.029102151447302053,0.10122576945097629,0.00999690070748739,0.3429689913802131,0.08965462280698697,0.1211630588585119,0.19700354413938034,BM-Her2N75-15
BM-Her2N75-15_scene017_cell04171,0.09975448167973097,0.16961378022617266,0.13290831114706103,0.10885328075062856,0.06461963684547757,0.033404433864032364,0.0664348336922899,0.014326419727030094,0.014634586249792766,0.09089717231951934,0.008538860716058624,0.3023546578031123,0.12511815233897985,0.12193484513932919,0.13754038242215355,BM-Her2N75-15
BM-Her2N75-15_scene017_cell06564,0.13587169031320845,0.17835966453996238,0.19646642125067745,0.11988270782154176,0.07583246222497664,0.035725595559667395,0.058671929537316925,0.021075728662547918,0.03294363437376698,0.08819175310640116,0.00617204863232217,0.322928295303376,0.14662640259408075,0.11668693699774423,0.2305901695292672,BM-Her2N75-15
BM-Her2N75-15_scene017_cell01390,0.1406106496090871,0.19515082090755428,0.1589012746828541,0.10517995012254801,0.055427890198746436,0.03547863356417293,0.05490476171028574,0.015530613750338533,0.02602025238720348,0.08861286765541725,0.005646974782485374,0.28838196912506314,0.10238191509478758,0.15276803426511223,0.16388327612606343,BM-Her2N75-15
BM-Her2N75-15_scene017_cell04974,0.1366962122643158,0.16758194769386975,0.15016560930519568,0.10325462459324687,0.054485329128629335,0.03496345350246702,0.0638069710618221,0.015796040448271306,0.021194718542503634,0.10050628891623548,0.009780407975768336,0.3329594185301486,0.1010380132928741,0.2938592769178688,0.15222360519157233,BM-Her2N75-15
BM-Her2N75-15_scene017_cell01748,0.22029005667050844,0.20296645681679376,0.20278130596577532,0.1971877487353938,0.06889634544675734,0.03783490076877495,0.06895711095417194,0.02246540545965221,0.02525111612680539,0.11015049207603238,0.012521018065019618,0.32858920722335744,0.13045302221737312,0.13202673527512682,0.1536193861833376,BM-Her2N75-15
BM-Her2N75-15_scene017_cell04084,0.11343458160615678,0.18238215262658,0.15864820212286337,0.1307849688950135,0.05796764697487992,0.03500593731300231,0.06437466371963986,0.015044790374396032,0.02176541393643721,0.10153200361621896,0.00901314697022958,0.3055177716030936,0.1090997074376649,0.09439243795156811,0.1522138134174948,BM-Her2N75-15
BM-Her2N75-15_scene017_cell01235,0.07400407806101415,0.2784274364598841,0.12738819371912907,0.07799868094949557,0.05202051938471248,0.07593765333521302,0.061213656970116444,0.05235891485287043,0.1214583587798688,0.27800972423116077,0.0077639943310913095,0.34911270586552634,0.0632280210303899,0.0678117146483472,0.091290221060459,BM-Her2N75-15
BM-Her2N75-15_scene017_cell05024,0.1469951418796342,0.19800914134264694,0.11270788100679179,0.07741046932373137,0.04335127353982462,0.033307840497382425,0.05689806173803428,0.013648369572269866,0.014686020145809298,0.09064574518129895,0.008336088494909856,0.3030674804916109,0.09834008671978253,0.10850786830749351,0.12182562411045501,BM-Her2N75-15
BM-Her2N75-15_scene017_cell04886,0.06843477423108926,0.16792087427571498,0.12891087848496874,0.09750889421194962,0.06010415044959243,0.08736331361720451,0.06585414845805633,0.05418875330134131,0.14457859778847373,0.5117143376439933,0.007831077380483753,0.29134161808487635,0.07250200266998044,0.08785558226646993,0.10446415214657814,BM-Her2N75-15
BM-Her2N75-15_scene017_cell05398,0.06403765915687551,0.18408444981395053,0.14909680259869834,0.09749850679687028,0.06992765709660416,0.1125185774482297,0.07560766160737324,0.10057413828155885,0.13825042771437823,0.3135769056222285,0.42905619551381596,0.3200479688931523,0.08165177303718685,0.10305925939073486,0.11786637345225658,BM-Her2N75-15
BM-Her2N75-15_scene017_cell03709,0.14999233710098872,0.21443693387026372,0.22534584731660898,0.31116201291571566,0.057785868605813764,0.0356767568203994,0.06338831230865728,0.016250681288111114,0.02966912338440153,0.0994825334063282,0.011758293819910923,0.3032140845605496,0.10275559480540652,0.09523375782294223,0.16243542948039214,BM-Her2N75-15
BM-Her2N75-15_scene017_cell07388,0.06141736652156787,0.18224285301897186,0.1308330295455549,0.10764848927731815,0.058030351928939565,0.0713495525578512,0.06679917434096852,0.07886481555312846,0.1134579806643879,0.30686184912932385,0.007011811300968927,0.27512610247872094,0.06864075738351133,0.09150691078053107,0.11049990018731491,BM-Her2N75-15
BM-Her2N75-15_scene017_cell05066,0.09469217914407471,0.19975523058485803,0.1868576326358694,0.10074479051373471,0.059912300141852635,0.036746222993675026,0.057768038340471124,0.017465428038432946,0.0241479799849816,0.08680498916576068,0.032073831172440184,0.33970976608547215,0.13532980914828868,0.12394584731188013,0.13815499533308442,BM-Her2N75-15
BM-Her2N75-15_scene017_cell06590,0.06474347535028399,0.17645529228252863,0.12695197441582073,0.10773647906608207,0.06335584276443343,0.09083877808201984,0.06894441464787035,0.12542643859096256,0.3054552338723269,0.35588209134717563,0.039352194418570664,0.29376314600862535,0.07519030696040183,0.0934603327535467,0.10189226937027206,BM-Her2N75-15
