,HER2,Vim,CD20,CD3,CD31,CD4,CD44,CD45,CD68,CD8,PD1,PDPN,aSMA,CK14,CK17,CK19,CK5,CK7,Ecad,DAPI2,ER,Ki67,LamAC,PCNA,pHH3,batch
JE-TMA-41_scene01_cell2077,0.5961010857644109,0.6718219712739011,0.7584422254138306,0.8952066848287322,0.854650930637657,0.8706444703026673,0.7470703080343974,0.8532611413715335,0.6486969655477546,0.9751313765574371,0.4805007860483154,0.424767368720263,0.08526987458036289,0.4953891528823716,0.12425433533942148,0.6337527766818863,0.208976277527591,0.49191938909648275,0.7308873965172858,0.9022500231276545,0.507989868517542,0.47411115328029896,0.8243983107894886,0.11364653488983675,0.09158203340024124,JE-TMA-41
JE-TMA-41_scene01_cell3182,0.6386140865026654,0.8892458748036384,0.74765834396381,0.9393258482694801,0.6573289334480437,1.0,0.7275352911872291,0.8842791463211059,0.7298057499577605,0.9706568719107371,0.7152424602866176,0.6500340880470806,0.6150032628731256,0.5248410066503123,0.47744761389588514,0.6363166819397147,0.5062240787690191,0.49311509377832297,0.7362234136714585,0.9180478582815016,0.6264043084971892,0.5460652023250894,0.8341200880961329,0.66874269207797,0.5317000004444187,JE-TMA-41
JE-TMA-41_scene01_cell2387,0.6046037989104159,0.8504820710078067,0.7668460681476955,0.9347838282336068,0.671721974078269,0.8287723629146556,0.7062621966951651,0.884685561673604,0.7026030483325812,0.8974001109527205,0.6171455940054743,0.5382944768486191,0.5372029107554146,0.5270877095706534,0.28801926239138,0.6314276769355375,0.3775809157536506,0.5229189891029146,0.7332066558006133,0.9348505679823383,0.634193476703877,0.5156167958987504,0.8629075313014019,0.6086240511417214,0.4581748809429118,JE-TMA-41
JE-TMA-41_scene01_cell2004,0.5445153145734929,0.7958898955356367,0.7399285473465175,0.8996942993252718,0.7046303601519537,0.771676627069968,0.730392551290061,0.8691851807985872,0.454001708346044,0.7156340792912838,0.35664538159389797,0.30521135231382523,0.2140780408972323,0.43251351463823795,0.0868022807401639,0.6301534015935778,0.09999826159160297,0.44438993742681354,0.7340847572988254,0.8921765540685134,0.45070108744926635,0.6464681689789878,0.838082746287626,0.245719800667288,0.08787415950823878,JE-TMA-41
JE-TMA-41_scene01_cell2704,0.6194310671221587,0.7635708477768122,0.8856007161906732,0.867380864011926,0.6750819437101733,0.7426839124286772,0.7230051811779113,0.9026343549658197,0.7832231965289981,0.7753260142817644,0.6346372135434006,0.7328710110137442,0.48767707736433874,0.5229025556466547,0.27674446420842097,0.6318273452874198,0.4019470807169679,0.528117251786766,0.7337179492697476,0.9194302976720768,0.6003605154400786,0.5258907771340826,0.8348688137712151,0.592916700226536,0.41630213848243547,JE-TMA-41
JE-TMA-41_scene01_cell1970,0.6066948124464763,0.5849119791825198,0.9145450386846738,0.8780922143052242,0.6114066698868176,0.7063489964391527,0.6140246584479879,0.900465419144986,0.7022495708480135,0.750384636286171,0.6438760870556249,0.4582837494992388,0.4355369307268331,0.5382550973007603,0.2898446364400453,0.630955897061947,0.4353995914089128,0.522909618665767,0.7430155399687738,0.9479668921536767,0.606048029356073,0.9186895730209483,0.8344757605000903,0.950392497475214,0.4540205025347735,JE-TMA-41
JE-TMA-41_scene01_cell365,0.5959191211995509,0.7000398938101426,0.9203284993479273,0.8886448686606233,0.5436196128402553,0.8055697064331261,0.6554462440122514,0.8795859808381096,0.8415442637891233,0.7612499809623686,0.8130958358678828,0.5673564502853702,0.12119011769706861,0.5213019609164964,0.0868022807401639,0.6308400734746169,0.45165467091825245,0.4924670794517901,0.7682056247282965,0.9129793149671785,0.5527635896490342,0.7295201134812864,0.8297249412082722,0.7551696119550405,0.5963828163586704,JE-TMA-41
JE-TMA-41_scene01_cell1513,0.10317468845864808,0.7611800762610127,0.8012728737185796,0.8878814325270588,0.6903244631049295,0.8911169897692826,0.7444755655258065,0.8803176354140277,0.6406444178245849,0.7738252387916266,0.6304611513474192,0.10997631912448386,0.08526987458036289,0.0912618071994296,0.0868022807401639,0.6357135362351585,0.08359183081962833,0.2025319695095111,0.7479153296640041,0.8679025170648985,0.10208508196789541,0.4222726892057026,0.8321898848211721,0.09203279536620554,0.08787415950823878,JE-TMA-41
JE-TMA-41_scene01_cell788,0.598170561553336,0.5100035243163656,0.936048375383435,0.8772350940949123,0.5719746139672601,0.7019839288124233,0.6377444548721286,0.8842485228993126,0.5223576029153042,0.768503209070725,0.7292888688926434,0.6366128891492391,0.08713865373474726,0.5347160787602852,0.10358239919768192,0.6290846346133075,0.48947990614128667,0.4978663250480478,0.7461727383122927,0.9138753333731473,0.6156199082703595,0.8644470618871215,0.8274942665999017,0.8141173628495845,0.4220052945596698,JE-TMA-41
JE-TMA-41_scene01_cell1438,0.6284149917106049,0.748988131679611,0.7353021152747302,0.8705805927980901,0.6225986046294206,0.7519164444690009,0.6267681027182328,0.8545245014599985,0.6298534812741403,0.72424852247851,0.5634802597860243,0.519405602400259,0.4940668476398747,0.5205602601027867,0.44841650303950653,0.6359037419521738,0.47731244274733575,0.5017086977433367,0.7349402138823428,0.8403778361963014,0.6121227851796672,0.6486902816532206,0.8272619770114797,0.7007703338800926,0.575153307588499,JE-TMA-41
