,HER2,Vim,CD20,CD3,CD31,CD4,CD44,CD45,CD68,CD8,PD1,PDPN,aSMA,CK14,CK17,CK19,CK5,CK7,Ecad,DAPI2,ER,Ki67,LamAC,PCNA,pHH3,batch
JE-TMA-41_scene01_cell2077,6.785488,8.520808,11.138873,10.795531,9.737971,11.932144,9.283199,10.900681,6.80427,12.617743,4.958532,3.8892965,0.0,6.030733,0.5310456,8.032013,1.6457877,6.320115,9.356504,12.450885,4.7890043,5.8805776,9.671323,0.30686066,0.05964295,JE-TMA-41
JE-TMA-41_scene01_cell3182,7.4379177,12.064096,10.945865,11.447625,6.936201,14.067538,8.977189,11.3855,7.9517274,12.548648,8.508649,7.1064544,7.9684124,6.526717,5.5242267,8.074207,6.312338,6.3411083,9.442504,12.711615,6.4266458,7.125795,9.813991,8.045899,6.3049216,JE-TMA-41
JE-TMA-41_scene01_cell2387,6.9157963,11.43192,11.289292,11.380487,7.139749,11.241056,8.6441,11.391853,7.5662932,11.417537,7.0144114,5.488597,6.6606245,6.564637,2.5919154,7.993752,4.155918,6.865472,9.393883,12.988937,6.535499,6.597425,10.236535,7.1084957,5.1212425,JE-TMA-41
JE-TMA-41_scene01_cell2004,5.9975877,10.541792,10.807527,10.861853,7.6058683,10.298946,9.021939,11.149569,4.104906,8.613448,3.1792948,2.3334591,1.6573294,4.9819374,0.0,7.972785,0.26006284,5.489377,9.408035,12.284635,4.0171523,8.875939,9.872148,1.8325775,0.0,JE-TMA-41
JE-TMA-41_scene01_cell2704,7.1432605,10.014991,13.41531,10.384338,7.1872964,9.820723,8.906243,11.672427,8.709725,9.533609,7.2802505,8.316053,5.833798,6.494008,2.4339175,8.000328,4.5563774,6.957115,9.402123,12.734431,6.063421,6.775519,9.824979,6.864206,4.45839,JE-TMA-41
JE-TMA-41_scene01_cell1970,6.9478574,7.1095624,13.933557,10.542615,6.288508,9.221649,7.2028418,11.638522,7.561288,9.149002,7.420795,4.3536034,4.972534,6.7532744,2.6177526,7.985989,5.1137424,6.865307,9.551982,13.205422,6.1426373,13.637852,9.81921,12.4558,5.0550117,JE-TMA-41
JE-TMA-41_scene01_cell365,6.7827005,8.980061,14.037111,10.698558,5.33985,10.858158,7.8493133,11.31214,9.538403,9.316531,10.003818,5.9068904,0.5198675,6.467006,0.0,7.984083,5.3870034,6.3297305,9.958095,12.627962,5.4034004,10.3277025,9.74949,9.397393,7.3573737,JE-TMA-41
JE-TMA-41_scene01_cell1513,0.14501758,9.976028,11.90555,10.687276,7.4031262,12.270071,9.242547,11.323577,6.6907063,9.510462,7.2167516,0.16205676,0.0,0.11003455,0.0,8.064281,0.0,1.6410285,9.630965,11.884039,0.0,4.994236,9.785664,0.0,0.0,JE-TMA-41
JE-TMA-41_scene01_cell788,6.8171945,5.9013367,14.318582,10.529949,5.735285,9.149705,7.5728483,11.385022,5.0371895,9.428383,8.723093,6.911035,0.031279165,6.693468,0.25643167,7.9552,6.0273457,6.4245634,9.602874,12.64275,6.2760935,12.688515,9.716754,10.320439,4.547989,JE-TMA-41
JE-TMA-41_scene01_cell1438,7.2812085,9.777349,10.724731,10.431618,6.446075,9.972993,7.401557,10.920426,6.53866,8.746168,6.201508,5.218125,5.940096,6.4544954,5.053949,8.067411,5.820782,6.4920955,9.421823,11.429834,6.227316,8.914752,9.713346,8.546358,7.011227,JE-TMA-41
