,HER2,Vim,CD20,CD3,CD31,CD4,CD44,CD45,CD68,CD8,PD1,PDPN,aSMA,CK14,CK17,CK19,CK5,CK7,Ecad,DAPI2,ER,Ki67,LamAC,PCNA,pHH3,batch
JE-TMA-41_scene01_cell2077,7.0699162,8.458436,11.150153,10.552293,10.8497,12.462458,10.043364,9.028271,7.5272713,15.470864,4.5716853,5.0559306,-2.8550909,6.3148537,1.7665496,8.385399,2.8105943,6.51589,9.249313,12.785989,5.206605,6.176293,9.703393,0.05405192,3.1294975,JE-TMA-41
JE-TMA-41_scene01_cell3182,7.7398505,11.279366,10.955914,11.402799,7.4176254,15.425113,9.825619,11.141926,8.570478,15.301446,8.004547,8.440583,6.679524,6.7017136,6.0730205,8.427176,7.0320287,6.535261,9.333052,13.018,6.7009377,7.155683,9.835923,7.761333,7.2316456,JE-TMA-41
JE-TMA-41_scene01_cell2387,7.2037206,10.776069,11.301533,11.315233,7.6669645,11.50364,9.588606,11.169624,8.220062,12.527988,6.5596623,6.7384953,5.1146884,6.7312903,3.5439887,8.347517,5.0812974,7.0191107,9.285709,13.264774,6.8002653,6.740109,10.228444,6.827776,6.454158,JE-TMA-41
JE-TMA-41_scene01_cell2004,6.2608767,10.067409,10.816692,10.638794,8.237946,10.196552,9.857461,10.113341,5.073154,5.6524315,2.851214,3.419092,-0.8720111,5.4968095,1.3085386,8.326757,1.5570458,5.749338,9.299489,12.638051,4.5022974,8.532209,9.889948,1.5735078,3.0903218,JE-TMA-41
JE-TMA-41_scene01_cell2704,7.437288,9.648005,13.441115,10.015986,7.7252088,9.533062,9.775136,12.392836,9.25961,7.9086447,6.8167214,9.713158,4.125348,6.676201,3.4077203,8.354028,5.443559,7.103673,9.293733,13.038302,6.3694983,6.8801837,9.84613,6.5844884,6.01877,JE-TMA-41
JE-TMA-41_scene01_cell1970,7.236642,7.3348966,13.962669,10.222422,6.6242228,8.701905,8.563063,12.245021,8.215512,6.9655967,6.952624,5.5444107,3.0948017,6.8784246,3.5662725,8.33983,5.94776,7.018958,9.4396515,13.457414,6.4417825,12.277556,9.840772,12.153137,6.410655,JE-TMA-41
JE-TMA-41_scene01_cell365,7.067054,8.824062,14.066885,10.425813,5.462148,10.972405,9.0230665,10.822103,10.013,7.3763742,9.450333,7.1785665,-2.2330427,6.65514,1.3085386,8.337944,6.1949563,6.5247626,9.835088,12.943562,5.7672358,9.674052,9.776006,9.107281,7.922938,JE-TMA-41
JE-TMA-41_scene01_cell1513,0.2512825,9.616985,11.921722,10.4110985,7.989593,12.931299,10.014437,10.871962,7.4240255,7.851887,6.7553196,1.1346401,-2.8550909,1.6968026,1.3085386,8.417349,1.3217889,2.1983283,9.516559,12.281582,0.8366832,5.479166,9.809609,-0.2515495,3.0903218,JE-TMA-41
JE-TMA-41_scene01_cell788,7.1024733,6.3729877,14.350151,10.205902,5.9465427,8.60209,8.8263445,11.139843,5.9207363,7.650632,8.211909,8.23499,-2.817664,6.8317766,1.5297033,8.309346,6.77422,6.6122684,9.489205,12.95672,6.56356,11.530882,9.745596,10.026539,6.077622,JE-TMA-41
JE-TMA-41_scene01_cell1438,7.5789366,9.45881,10.73337,10.077651,6.817237,9.744323,8.704461,9.114356,7.2857933,5.9778576,5.773608,6.453942,4.252539,6.6453815,5.6674194,8.420447,6.5873594,6.6745825,9.312914,11.877408,6.519051,8.5627365,9.74243,8.259738,7.6955748,JE-TMA-41
