,HER2_cellmem25,Vim_nucadj2,CD20_perinuc5,CD3_perinuc5,CD31_perinuc5,CD4_perinuc5,CD44_perinuc5,CD45_perinuc5,CD68_perinuc5,CD8_perinuc5,PD1_perinuc5,PDPN_perinuc5,aSMA_perinuc5,CK14_cytoplasm,CK17_cytoplasm,CK19_cytoplasm,CK5_cytoplasm,CK7_cytoplasm,Ecad_cytoplasm,DAPI2_nuclei,ER_nuclei,Ki67_nuclei,LamAC_nuclei,PCNA_nuclei,pHH3_nuclei,batch
JE-TMA-41_scene01_cell2077,7.068897814610647,8.458729499976231,11.150163009832587,10.552631040445286,10.853868820015407,12.466841198450247,10.043751021645647,9.024575400447597,7.527183596267295,15.486546911827109,4.569884916968515,5.055044997806951,-2.86058808359215,6.31452704264749,1.7657046420521305,8.384105490125563,2.8083902001820538,6.513971844098547,9.248431149972694,12.78645878310138,5.20511314432934,6.174542407171559,9.702764651162722,0.047982578324926806,3.1284562549793478,JE-TMA-41
JE-TMA-41_scene01_cell3182,7.739335225347116,11.280946455361825,10.955780009056236,11.403900962354156,7.418788518252523,15.432402323565245,9.825905269186318,11.147062338738595,8.571093362856717,15.316804241318835,8.005199038535332,8.442045801150194,6.682186250443488,6.70155518625031,6.073329461126706,8.42591364823546,7.032228301632,6.533356176755361,9.332229825425104,13.01862170971151,6.700455212474041,7.154473344722575,9.835385683897659,7.760571925516193,7.231758574811213,JE-TMA-41
JE-TMA-41_scene01_cell2387,7.202802626406577,10.777419906440771,11.301654340934748,11.316256871663489,7.668345989074309,11.507083215845405,9.588782550062854,11.174876593052813,8.220441174763225,12.538037189275311,6.559282086234047,6.738777055255897,5.116011547081261,6.731144827942268,3.5436200363608306,8.346195940134894,5.080386249151344,7.017537908068484,9.284853406424027,13.265558146241656,6.7998498629095865,6.7386698019746065,10.228175575248962,6.82637191796855,6.454052050223129,JE-TMA-41
JE-TMA-41_scene01_cell2004,6.259250612203351,10.068436359313935,10.816456046933567,10.639209874432975,8.239827070646028,10.19871319978549,9.857762259878694,10.11417994732053,5.071413454887415,5.649317633147937,2.8481844901474886,3.4170707248418646,-0.8758112721605729,5.496127080212097,1.3075708837364637,8.325421178436168,1.5541279083475947,5.746893566353638,9.298642977314534,12.638424033871193,4.50032989630688,8.531759781727832,9.889447402303347,1.568484946770882,3.089269482868876,JE-TMA-41
JE-TMA-41_scene01_cell2704,7.436545279298701,9.648840920030088,13.442816378429562,10.015842842440275,7.726641226783228,9.534572089137374,9.775399120385789,12.403199035245567,9.260689228503908,7.909850130321303,6.81652481756719,9.715503106735,4.125824584109092,6.676031395174061,3.4073151450200427,8.352711435270747,5.442854298476077,7.102158269267758,9.292882450641747,13.038937790887612,6.3687918619539445,6.878821877436336,9.845599854882074,6.582916793826898,6.018541929321239,JE-TMA-41
JE-TMA-41_scene01_cell1970,7.2357486654047625,7.334677286365585,13.96475537394486,10.222463507043177,6.624690997310207,8.702600079845901,8.562763995720019,12.254766644823025,8.215888130196811,6.964996752843723,6.95252430628488,5.543863984376581,3.094396236317724,6.878343122384939,3.565909799950023,8.33850370477603,5.9473423332511945,7.017385215412661,9.438906457371887,13.45832377399913,6.441124904627786,12.279174885802739,9.840237486689846,12.15540093593442,6.410537001771283,JE-TMA-41
JE-TMA-41_scene01_cell365,7.066033211373352,8.824522701259419,14.069047926093322,10.426037308388098,5.461598705458536,10.975327388392657,9.022981061324758,10.825902701203749,10.014585993300214,7.376560716873914,9.45201737968952,7.179153471724157,-2.2380076076648177,6.654961291924663,1.3075708837364637,8.336615957686721,6.194679287903233,6.522850444870143,9.83462772679498,12.94413481976274,5.766122594737555,9.674233119094021,9.775427173703438,9.107446670169487,7.923245376786639,JE-TMA-41
JE-TMA-41_scene01_cell1513,0.24514310909443893,9.617807552532136,11.922301821150159,10.41130984811009,7.991257039931815,12.936142636172871,10.014810764624439,10.875970082755934,7.423868325295895,7.852984023390942,6.755079110209193,1.1310339860241188,-2.86058808359215,1.6944675471955666,1.3075708837364637,8.416078848561378,1.3187370392865487,2.1934455878733505,9.515869040618005,12.281721210703878,0.8322399395126423,5.477030606861048,9.809053869845343,-0.25782933319563384,3.089269482868876,JE-TMA-41
JE-TMA-41_scene01_cell788,7.101479276418545,6.372329468939153,14.352523095793071,10.20592911940071,5.946417480634078,8.60268680265842,8.82616784960707,11.14497081100749,5.919566640194695,7.6513434174096355,8.212709345820256,8.236310056576098,-2.8231291058108603,6.831674809111028,1.5287948496891741,8.307997215539544,6.774272816280714,6.610416342833165,9.488496040944566,12.957302243693777,6.562984688099774,11.532088054312982,9.744996521533016,10.027337913681006,6.077410207940313,JE-TMA-41
JE-TMA-41_scene01_cell1438,7.578300430567685,9.459559895278165,10.73307201463785,10.07756282309851,6.817874180849842,9.746040109683143,8.70422796406248,9.11102042503724,7.285542995015446,5.975366732649316,5.772666422239027,6.454026111183903,4.253124498421785,6.645198575410469,5.667619752951186,8.419179601995738,6.587305853764189,6.672773160484249,9.31207752568644,11.877282420013858,6.518445692583801,8.562303752857332,9.741828153069198,8.259320174498875,7.6958182916896645,JE-TMA-41
JE-TMA-41_scene01_cell2057,7.169152724377406,10.18714190002775,12.564758754335944,10.495692306046207,8.164509587254743,11.314294999320165,9.735602927574414,11.006082452346945,8.19356189300728,8.615815599389439,6.558413145471139,2.638617457132861,0.44730124453513564,6.473184423989133,1.5074848913073442,8.314905911788033,3.762988046907818,6.6664240089892814,9.349298582804625,12.641988342349407,6.408247680344596,7.424653901091258,9.908809760063113,7.168072570587677,5.239723107589723,JE-TMA-41
JE-TMA-41_scene01_cell2446,7.169556908775538,10.361468211560622,11.196100100670286,11.975019825752828,7.565929980159579,12.635928363553692,10.226902241398193,12.022965231217576,7.503906859730006,10.114242222842133,5.739941569125223,7.442916659535489,4.397180969861232,6.782443335522886,3.901606779987086,8.333807241971941,6.002807648194566,7.042743648228575,9.306388576134339,13.139298602059908,7.082324778515501,8.017920683284267,9.934450640751633,7.477300197305096,6.471680910609619,JE-TMA-41
JE-TMA-41_scene01_cell634,7.112515371549135,7.682107218032179,14.179358787817803,10.322199597656185,7.1158477157571705,9.310541403990717,8.529616085610865,10.453551390195326,6.694742756854738,6.2838093107256245,9.792330084472207,8.642936382094998,-0.7963311505166084,6.953708049971644,3.074985537388473,8.320395457418824,6.8583689457788655,6.642292366230001,9.689053224382747,13.18960736092325,6.363340317914069,9.330187393180815,9.768303116299098,8.042381618411763,6.390254749871534,JE-TMA-41
JE-TMA-41_scene01_cell1095,7.065777911901096,6.406093497993371,14.226220671230694,10.817963003692276,6.065871961893165,11.635832390418829,8.714196571650426,11.691221544010483,6.018722999361351,7.884952665866684,11.123256254793066,8.140933721513775,-2.86058808359215,6.879422197134761,1.8828837166665924,8.341657903021819,6.601410140452325,6.665306966779022,9.439112599479463,13.046613221433873,6.29201026391172,8.693229659720151,9.793156676510916,9.06582447157199,5.877574483416318,JE-TMA-41
JE-TMA-41_scene01_cell863,7.103300730784156,6.238924916367948,14.339814594316023,10.235673262878768,5.7304969256082146,8.120944890385738,8.750577027941429,11.252386657142813,5.994828342816359,8.336986356198565,8.014302636489623,7.5577122997210395,-2.3306392356547017,6.648394296784942,1.9110226204330747,8.314323745092139,6.91766305784937,6.578199146783472,9.453331633094084,12.800608181175413,6.197736009020323,11.430228061370054,9.748317582452923,10.444707960024507,6.727659022597147,JE-TMA-41
JE-TMA-41_scene01_cell2940,7.009122425652366,11.065179349267495,11.638100369562151,11.901269889693483,8.425983155034427,12.81482223484596,10.530761582492033,12.541456296481753,4.8375242903345175,12.18490444123549,8.000451596662641,6.350064092727664,6.150849573389108,6.627433436735239,4.3415065267542134,8.315588287505351,6.298327808063941,6.551503698900003,9.346756163477869,13.52595211373828,6.675809938980865,7.653673569905184,10.495996234571018,7.339145017471449,7.124839250384353,JE-TMA-41
JE-TMA-41_scene01_cell3617,7.2974003861853065,8.8044081635483,11.278830383828739,10.342057662574433,5.67967931554814,10.665544107417908,9.329875446516727,9.453168121983683,6.925069934645082,6.857298043964337,6.161792029460861,7.8082631834422145,2.8283904854158193,11.112147763433628,11.03595734045745,8.432687778083748,13.263969440688307,7.089648446274855,11.341109477144192,13.127527318236938,6.2867672384491255,7.06727751136472,9.918694687939087,8.21814651153995,6.06984973537575,JE-TMA-41
JE-TMA-41_scene01_cell1731,8.151941642892371,10.419849221332255,11.821689351736413,11.276841419122189,7.774486016915764,12.109874420269719,10.671747538544912,12.881087265004501,8.61583172573106,9.733954163761123,7.28201557305481,8.918794823764442,6.3633916892363835,7.041450375197112,5.539643861699764,8.388892618234753,6.747651106361743,7.138256721762668,9.41550837380053,13.466361838339695,7.265764344575325,8.163838994845202,9.964987223313464,9.003901740838801,7.716360492964701,JE-TMA-41
JE-TMA-41_scene01_cell2555,7.5842477152830625,9.350013806325412,11.03964600239475,10.375242890653062,6.37111265509823,11.032127624442609,8.798613923637287,10.098185123069184,6.413694128177238,5.843759024103211,5.659034165438172,7.972161794208055,4.050379749817115,6.068624416491216,4.862068913098332,8.39041102350224,1.3471257211881174,6.494248724611625,9.308304934245498,13.08991360507258,7.0251615816285895,6.393911765082075,9.824292576962891,7.6296219458341294,5.1515148914989455,JE-TMA-41
JE-TMA-41_scene01_cell3239,7.084882424745526,10.779502727606854,10.990794240220998,10.9326775962615,5.432644136156283,12.807386779331043,9.494369875230346,10.01392834979162,7.373667454121792,10.450856286248595,6.943180210722405,8.278256939018856,5.383359550181023,6.7544785075346825,3.6972781042657608,8.343457847920927,6.769036548558561,6.733866446408394,9.332781446435188,13.176213768020503,6.03662033686908,6.242033037536746,10.133101617465979,7.665945220743989,6.597232166131648,JE-TMA-41
JE-TMA-41_scene01_cell1076,7.4388038445364355,9.361324775140767,13.817908047663014,10.947505282304572,8.076826432917484,11.751862344388739,10.193384134146608,11.9760705746531,7.8752891904757565,7.956098243094549,8.896013631521253,8.320087392475445,2.1420433658744065,6.753778683194281,3.6894782967661817,8.41664956279768,6.751176462370762,6.724712998856315,9.527586692455063,12.88219792199523,5.974878797307106,6.09219009763293,9.806425650944934,8.032066253055678,6.7225368274756505,JE-TMA-41
JE-TMA-41_scene01_cell2542,7.198994608110122,11.543495461325783,11.670981565220664,11.241485587331574,7.082884683688601,12.746677416264324,9.543905687706513,11.546329619715184,7.24754258459576,9.072231212889333,6.970654199390827,6.264118505544929,5.802726384069233,6.612550601171602,4.395705005675032,8.376116445188957,9.053745873870298,6.814729136780756,9.287837695175817,12.696863424122593,6.860396118636122,6.680058488177542,10.168929947959098,6.197829861487068,5.217350290347063,JE-TMA-41
JE-TMA-41_scene01_cell2411,7.213287560994258,10.773928819566425,11.068698232303344,12.28644895921213,6.56591373228923,13.820571407051224,10.418417245043916,12.547468481049465,6.882505982176225,11.79902384044005,6.381193130194936,8.528609798029951,5.288490357949484,6.676283274691261,3.0966421300331484,8.32318413132932,5.218688603796167,6.953914218538612,9.328467731961862,13.133862912343197,7.009897258316941,6.6884921929206875,9.942153975161256,6.441613275542911,5.466707086320381,JE-TMA-41
JE-TMA-41_scene01_cell977,7.040972824298589,8.38613989066025,14.339957751061409,10.286734949320644,6.861674236853969,9.654995157278506,9.66829192756346,12.091854447031285,7.59987389277196,7.562602784757141,8.729801153597474,7.626682158986139,-2.86058808359215,6.880835680107229,1.572128067505583,8.324302654882743,6.229216707870336,6.659043227738406,9.509342161573077,13.217027247269856,6.497411082876161,9.466741177010887,9.789061655704215,8.871136146151652,6.235862945861153,JE-TMA-41
JE-TMA-41_scene01_cell1518,6.952983264691452,8.967234592573245,12.038623357424239,10.554128699734688,7.280519699670694,8.611744140176143,8.970600073903409,9.462770570957952,5.8991724169906385,10.026872254992192,7.170794495647131,4.793369419891045,2.4442827674400895,6.8239118633091485,4.784419976431272,8.335823829231652,6.67969604049076,6.702608828267643,9.236159014040725,12.185862784377694,5.8932726424344954,6.529187873893641,9.72068406521246,7.826518116360516,5.803643927141806,JE-TMA-41
JE-TMA-41_scene01_cell2332,7.308948989041509,10.288975921419603,11.09281918952255,12.342088576789743,7.8533848200592145,14.649468618266749,10.208935276477765,13.04033737394837,7.28301405598778,10.86144993999158,6.806504083892797,5.943189162693217,3.935379876711673,6.711598404954113,2.660481549834415,8.359190664284558,5.030331346596967,6.942090081003268,9.308642778255134,13.359778994696725,7.026568246996603,6.814167609276163,9.889813864197958,7.063615777847079,6.430437676606389,JE-TMA-41
JE-TMA-41_scene01_cell1183,7.254357372358214,9.090440668074242,13.863867089201669,9.989511147629912,7.39043290367961,8.037738238819847,10.27541810349998,10.733837174666366,7.613245777170324,8.010159479667365,6.929020436862693,7.076344291098168,-2.298344051217705,6.715909933508,1.9875554591640365,8.359072322202115,6.520948624850062,6.694512777357144,9.362260722180006,12.920948205814891,5.635911570671617,5.916962073819594,9.839033124942453,7.763923059335038,6.554652935430838,JE-TMA-41
JE-TMA-41_scene01_cell2294,2.4367463373758236,9.059363411536602,10.725018016142446,10.190986889626135,5.336641954020517,10.32640848517051,8.647434188538694,8.632455130211506,1.523673565778422,-15.51107916218427,2.5420272175050744,0.9604218604185784,-2.86058808359215,4.008758018231889,1.3075708837364637,8.307419820701814,1.3187370392865487,4.880220072354099,9.18428278005254,11.5334855427259,3.4171925527649547,8.602638779524472,9.806834103264968,1.7918139427937572,3.089269482868876,JE-TMA-41
JE-TMA-41_scene01_cell3345,7.6481432082478085,9.558968570172452,12.45505869472511,10.10944129810691,7.625349630093457,9.41628639227598,9.778725169969592,10.697193302366433,7.972612307426508,8.389762445222107,8.587295822836133,9.59216091092957,5.055249162164253,9.301743697689181,8.75747679145799,9.544069768579794,12.817473965514806,8.036472223974428,10.763054559209504,12.479438698352508,7.0840077190694295,12.514230829573405,9.897062938550718,10.61585961639339,7.260324864784353,JE-TMA-41
JE-TMA-41_scene01_cell235,7.254034788352148,9.326524583106078,12.931535879797389,10.538543116001504,7.932049291113337,11.772338724000367,9.070577155268547,11.187093451690966,7.719715064551701,8.423630144020663,10.687891642153025,7.808508447781929,-2.635015502719374,6.655636309948977,2.1647201474357103,8.466662453833152,6.673870543553403,6.623565566322329,9.909755072666716,12.463961869731436,6.262393468549709,8.067405542477516,10.01465712495093,8.132003810654842,5.783111742264717,JE-TMA-41
JE-TMA-41_scene01_cell1341,6.983589615255111,9.157787445366573,12.900661741709186,10.68972747815021,8.253649323132997,10.152943479652196,10.170050264777272,11.255468404504855,8.902528477289785,7.744387622227137,8.253728503349695,2.815723838893086,-2.1076917421470167,6.761925172806443,1.390884732876617,8.380120988559403,6.03152768207181,6.542025779454299,9.376985567447473,12.90855662734377,5.539826496556472,6.851288887278379,9.838454802265021,7.807790321953278,6.603112745669121,JE-TMA-41
JE-TMA-41_scene01_cell42,6.99300897279317,8.563811310305024,12.089584295646675,10.084361948094314,5.977151732952833,8.922924015247478,8.663028266105444,9.029706538535175,6.907664153918436,5.147427384154454,7.374062215165435,4.660874665136094,1.166427654139572,6.901198326303582,4.076965082827783,8.314579516689678,6.808514428868525,6.630090314371493,9.913652685478457,12.198151298507273,6.226741086267751,7.369108911918518,9.692878768958895,7.683816502947779,6.446715754184043,JE-TMA-41
