,HER2_cellmem25,Vim_nucadj2,CD20_perinuc5,CD3_perinuc5,CD31_perinuc5,CD4_perinuc5,CD44_perinuc5,CD45_perinuc5,CD68_perinuc5,CD8_perinuc5,PD1_perinuc5,PDPN_perinuc5,aSMA_perinuc5,CK14_cytoplasm,CK17_cytoplasm,CK19_cytoplasm,CK5_cytoplasm,CK7_cytoplasm,Ecad_cytoplasm,DAPI2_nuclei,ER_nuclei,Ki67_nuclei,LamAC_nuclei,PCNA_nuclei,pHH3_nuclei,batch
JE-TMA-41_scene01_cell2077,-1.4107332,0.546211,-0.022082942,0.36761978,4.7251787,4.431349,0.77122396,-0.8927124,-0.17975603,8.168558,-2.566546,-1.3610282,-6.517415,-0.81748194,-3.4266064,-1.8229278,-3.9626677,-2.8809092,-1.2675436,0.6959012,-2.266963,-3.2641187,-0.93472296,-8.891651,-3.792141,JE-TMA-41
JE-TMA-41_scene01_cell3182,-0.74079895,3.3671405,-0.21632256,1.2181256,1.293104,7.394004,0.55347914,1.2209426,0.8634511,7.9991403,0.8663158,2.0236244,3.0172,-0.43062207,0.8798646,-1.7811502,0.25876662,-2.8615382,-1.1838052,0.92791206,-0.77263033,-2.2847285,-0.80219275,-1.1843703,0.310007,JE-TMA-41
JE-TMA-41_scene01_cell2387,-1.2769289,2.8638437,0.12929665,1.1305602,1.5424432,3.4725313,0.31646627,1.2486411,0.51303494,5.2256827,-0.578569,0.3215365,1.4523644,-0.4010453,-1.6491672,-1.8608097,-1.6919646,-2.3776886,-1.2311475,1.1746867,-0.67330277,-2.7003026,-0.4096718,-2.1179273,-0.46748075,JE-TMA-41
JE-TMA-41_scene01_cell2004,-2.2197728,2.1551836,-0.35554376,0.4541209,2.1134243,2.1654434,0.58532137,0.19235817,-2.6338732,-1.6498743,-4.2870173,-2.9978669,-4.534335,-1.6355262,-3.8846173,-1.8815693,-5.216216,-3.6474612,-1.2173679,0.54796344,-2.9712706,-0.9082023,-0.74816805,-7.3721952,-3.8313167,JE-TMA-41
JE-TMA-41_scene01_cell2704,-1.0433617,1.7357795,2.2688792,-0.1686866,1.6006874,1.5019532,0.5029964,2.4718525,1.5525829,0.60633886,-0.32150987,3.2961988,0.46302408,-0.45613477,-1.7854356,-1.854299,-1.3297029,-2.2931263,-1.2231243,0.9482148,-1.1040698,-2.5602279,-0.7919856,-2.3612149,-0.9028684,JE-TMA-41
JE-TMA-41_scene01_cell1970,-1.2440076,-0.57732844,2.7904332,0.037748605,0.4997014,0.6707965,-0.70907694,2.3240378,0.50848496,-0.33670917,-0.18560746,-0.87254816,-0.56752235,-0.253911,-1.6268834,-1.8684963,-0.825502,-2.3778412,-1.0772054,1.367326,-1.0317856,2.8371449,-0.79734427,3.207434,-0.5109836,JE-TMA-41
JE-TMA-41_scene01_cell365,-1.4135957,0.91183734,2.8946488,0.24113968,-0.6623731,2.9412966,-0.24907309,0.9011194,2.3059723,0.07406841,2.3121014,0.7616076,-5.8953667,-0.4771957,-3.8846173,-1.8703827,-0.5783058,-2.8720367,-0.68176913,0.85347396,-1.7063323,0.23364057,-0.8621102,0.16157748,1.0012993,JE-TMA-41
JE-TMA-41_scene01_cell1513,-8.229367,1.7047603,0.7494863,0.22642544,1.8650717,4.9001904,0.7422971,0.95097846,-0.28300175,0.5495814,-0.3829117,-5.2823186,-6.517415,-5.435533,-3.8846173,-1.7909778,-5.451473,-7.198471,-1.0002983,0.19149427,-6.6368847,-3.9612455,-0.8285065,-9.197253,-3.8313167,JE-TMA-41
JE-TMA-41_scene01_cell788,-1.3781762,-1.5392373,3.1779149,0.021229059,-0.1779786,0.57098114,-0.44579512,1.2188598,-1.786291,0.34832606,1.073678,1.8180313,-6.479988,-0.300559,-3.6634526,-1.8989805,0.0009579301,-2.7845309,-1.0276515,0.86663276,-0.9100081,2.0904703,-0.89252,1.0808356,-0.8440167,JE-TMA-41
JE-TMA-41_scene01_cell1438,-0.9017129,1.5465848,-0.4388663,-0.10702202,0.6927156,1.713214,-0.5676785,-0.8066271,-0.42123398,-1.3244482,-1.3646231,0.036982972,0.59021515,-0.48695418,0.47426352,-1.7878793,-0.18590263,-2.7222168,-1.203943,-0.21267958,-0.954517,-0.8776752,-0.8956862,-0.6859653,0.77393615,JE-TMA-41
