,HER2,Vim,CD20,CD3,CD31,CD4,CD44,CD45,CD68,CD8,PD1,PDPN,aSMA,CK14,CK17,CK19,CK5,CK7,Ecad,DAPI2,ER,Ki67,LamAC,PCNA,pHH3,batch
JE-TMA-41_scene01_cell2077,0.5159099132782511,0.6143066226695155,0.13624920422479336,0.3091289400658601,0.8008058053451921,0.7112357289697024,0.45134284635450017,0.1413634912915347,0.5770025342025351,0.9704636694149651,0.3823221398874606,0.31796863732353214,0.0,0.41257676935301446,0.03745598637805142,0.015701705278607037,0.11108058940197697,0.3417137619629712,0.02817233941716868,0.6077546505572484,0.4096659619007754,0.3904503747074987,0.04308914661505536,0.023188459742135972,0.004267790715792766,JE-TMA-41
JE-TMA-41_scene01_cell3182,0.5665983315754187,0.8697595472316644,0.09770158896898984,0.5999620921625706,0.5311902358202366,1.0000000000000002,0.4090199037807416,0.32283099859819586,0.6743070035889457,0.9651494480148599,0.6597269201565873,0.5809867057356893,0.550436522895339,0.44650820085711646,0.3896376483560383,0.022572538194840064,0.426044140378655,0.3432468976917955,0.047422688443746974,0.671143730294629,0.549754803084697,0.4731285971397805,0.09603469560536615,0.60800240339654,0.4511528651253706,JE-TMA-41
JE-TMA-41_scene01_cell2387,0.5260338036985417,0.8241828409466352,0.166290835058319,0.5700185547515835,0.550777763219392,0.6177815543105314,0.36295184900663013,0.3252088575053671,0.6416221405792346,0.8781526789331997,0.5429677809797357,0.44871911515023866,0.4600980591109508,0.44910242581688825,0.18281432215676094,0.009471493951516585,0.2804990210627355,0.3815411814084676,0.03653914820303106,0.7385667586520452,0.5590664297620044,0.4380466247289264,0.25284542569723323,0.5371658788523797,0.36645391767398916,JE-TMA-41
JE-TMA-41_scene01_cell2004,0.4546965519268809,0.760009179691556,0.070072568727928,0.3387083803982298,0.5956326090922137,0.49038227424414527,0.4152091792627861,0.23452200296540582,0.348096300624981,0.6624829046816639,0.24329322622086974,0.19077146594482663,0.11448386842358273,0.34082615004882244,0.0,0.006057288638360969,0.017552648854295874,0.2810449699789053,0.039707014546859654,0.5673357334146063,0.34363938319634973,0.5893322100016997,0.11761734013487901,0.13848191405460575,0.0,JE-TMA-41
JE-TMA-41_scene01_cell2704,0.5437058824117119,0.7220295480101053,0.590898981577836,0.12573774394643067,0.5553532830893833,0.4257132092631746,0.399207757437787,0.43022748388422016,0.7385852587593557,0.7332548734532731,0.5637403601518489,0.6798772150733445,0.4029830761836871,0.44427050182877365,0.17167034365825168,0.010542377958168592,0.3075275529950084,0.3882338904911632,0.03838370087543819,0.6766908775869012,0.5186834167019088,0.44987144743936136,0.10011256214965103,0.5187056781028809,0.31902308704102605,JE-TMA-41
JE-TMA-41_scene01_cell1970,0.5285246896693961,0.5125630267088557,0.6944033016547366,0.19632880486615534,0.4688624742100933,0.34470196428695465,0.16361767720007814,0.417536654001899,0.6411977048949495,0.7036737689169589,0.5747224542428765,0.35592792961724273,0.3434893061275239,0.46200753257191435,0.18463668325346375,0.0082074167076982,0.34514627623387595,0.3815291202907458,0.07192850720270938,0.791198818581929,0.5254598528306614,0.9055070471925981,0.0979718288383169,0.9412442691813344,0.36171474550648103,JE-TMA-41
JE-TMA-41_scene01_cell365,0.5156933422268937,0.6474163935832979,0.7150851565723659,0.2658790966930553,0.37757268514700537,0.5660031489459829,0.25302833091239796,0.29537246822357144,0.8088571831581959,0.7165588369709383,0.7765588489302008,0.4829166242059456,0.03591104853165711,0.44242323908998377,0.0,0.007897085477413857,0.36358975093433327,0.3424159775945689,0.1628339545998707,0.6508059132167006,0.4622232553883855,0.685724391954698,0.07209763079647136,0.7101303978703225,0.5264617860449251,JE-TMA-41
JE-TMA-41_scene01_cell1513,0.0,0.7192205175423121,0.28936984305010993,0.26084729430271114,0.5761226683200875,0.7569328318296566,0.4457203929891256,0.29965315962123107,0.5673723177009367,0.731474584553269,0.5587785636826614,0.013248916885971643,0.0,0.007527724481765197,0.0,0.020956141725416266,0.0,0.0,0.08960837342106176,0.46994233655769424,0.0,0.33160030906611293,0.08552217814714469,0.0,0.0,JE-TMA-41
JE-TMA-41_scene01_cell788,0.5183732323771649,0.4254561573765711,0.7713004046852134,0.1906799227365994,0.415625546343378,0.33497311315283596,0.21479167061862015,0.32265182694171823,0.42715400555535643,0.7251616681943747,0.6764835038083153,0.5650102314376773,0.0021606807988488325,0.45791602582551855,0.018086772671142393,0.0031938604069410292,0.4068089097402025,0.3493416202680617,0.08332045363976093,0.6544012245594559,0.5368761040911582,0.8424742730574772,0.05994929339090049,0.7798819953685544,0.3254343721644221,JE-TMA-41
JE-TMA-41_scene01_cell1438,0.5544233039225495,0.704896841772441,0.053536766716340445,0.14682435232462065,0.4840251862937166,0.44630440269532645,0.1911011463461303,0.1487540876252842,0.5544788064218898,0.6726907313496457,0.47944781065508074,0.4266067222908393,0.41032585337412214,0.4415673666209193,0.3564677708507791,0.021465877847061776,0.3928671482561253,0.35427350354913134,0.04279323038262817,0.3595153864274283,0.5327034847637293,0.5919092955772464,0.05868425430367141,0.6458204406676264,0.5016930312695164,JE-TMA-41
JE-TMA-41_scene01_cell2057,0.5234897188105456,0.770753814860953,0.4167738133791472,0.28967624782425183,0.5897211211689077,0.5990093127579288,0.3914760942270221,0.31077737942595984,0.6391166824409475,0.7553570693486054,0.5428975847515267,0.13032055865046527,0.19080228241627328,0.4264865244874351,0.016344521664882733,0.004329310599486602,0.1822631416770359,0.35377134546566247,0.05134385480955306,0.5683086735215293,0.5223797928148762,0.49592410907692475,0.12534714172705597,0.5630756232174243,0.23420301611102412,JE-TMA-41
JE-TMA-41_scene01_cell2446,0.52352023780667,0.7865329880477825,0.14535864461609105,0.7950821720846024,0.5427392313585656,0.7277001927870952,0.4869253508822333,0.3977183952763399,0.5748328424146858,0.8022693001947818,0.47680527939924305,0.5033992089275509,0.41863519597275284,0.45359984891979616,0.21208251082941185,0.007435578063456072,0.34928222682608895,0.38353476896231886,0.041486363980228536,0.7040929877947573,0.5855296486399177,0.5459788546007344,0.13558375502721498,0.5865230990148936,0.36837388045676994,JE-TMA-41
JE-TMA-41_scene01_cell634,0.5192076544356539,0.5440106706187531,0.7369607013602106,0.23040332866785995,0.5074127703281825,0.40389866105670524,0.1571778054313202,0.26353751968392647,0.49940942209504613,0.6823473169615731,0.8040393619232794,0.5965869299164336,0.11906835808036677,0.4686149490837747,0.14449983280236084,0.005231473557028465,0.41307980449786114,0.35186276255602766,0.1293926557126941,0.717829316453642,0.5181726827765978,0.6566967915924754,0.06925381397780006,0.6293708407143835,0.3595058484366366,JE-TMA-41
JE-TMA-41_scene01_cell1095,0.5156740600210785,0.42851229594747914,0.7462537786900536,0.3997785404490264,0.425001401659018,0.6303182518790393,0.19303787368996717,0.3693551422902823,0.43639652626962344,0.7324753867834854,0.9115129083428362,0.5576038458472201,0.0,0.46210218564009614,0.04703628431616394,0.008725796539868602,0.393918886578595,0.35368299353032673,0.07197597183664506,0.678786344422158,0.51149023154873,0.6029556801028272,0.0791758840293677,0.7069743118857643,0.3036704890728595,JE-TMA-41
JE-TMA-41_scene01_cell863,0.5185109529728809,0.4133810196845974,0.7687802299118749,0.20084222155980225,0.39867821344578847,0.28806463999206033,0.20010591049219095,0.3318359837295777,0.4341692537865982,0.7466275199642007,0.6604620224771004,0.5123136558616977,0.030567971029236488,0.4418475176033448,0.04933685702902574,0.0042336777393181535,0.4175012459950237,0.34679356515090765,0.07524232812597198,0.6116177985783504,0.5026582967969837,0.8338802356787389,0.061274740899021296,0.8115294265382041,0.39625208572291704,JE-TMA-41
