,HER2_cellmem25,Vim_nucadj2,CD20_perinuc5,CD3_perinuc5,CD31_perinuc5,CD4_perinuc5,CD44_perinuc5,CD45_perinuc5,CD68_perinuc5,CD8_perinuc5,PD1_perinuc5,PDPN_perinuc5,aSMA_perinuc5,CK14_cytoplasm,CK17_cytoplasm,CK19_cytoplasm,CK5_cytoplasm,CK7_cytoplasm,Ecad_cytoplasm,DAPI2_nuclei,ER_nuclei,Ki67_nuclei,LamAC_nuclei,PCNA_nuclei,pHH3_nuclei,batch
JE-TMA-41_scene01_cell2077,-1.3738719,0.6860797,-0.021943,0.28185934,3.857394,3.1939855,1.0838482,-0.2047656,-0.19771908,3.3314188,-2.6542103,-1.2936754,-5.4468327,-1.0480751,-3.9730136,-1.8411372,-4.380499,-3.1221373,-1.3017663,0.78204393,-2.4843688,-4.150069,-1.0062199,-8.928288,-5.7733116,JE-TMA-41
JE-TMA-41_scene01_cell3182,-0.7214424,4.2293677,-0.21495143,0.9339532,1.0556237,5.3293796,0.777838,0.2800538,0.9497385,3.262324,0.89590675,1.9234824,2.5215797,-0.55209106,1.0201674,-1.7989428,0.28605127,-3.101144,-1.2157668,1.0427737,-0.84672725,-2.904852,-0.8635521,-1.18925,0.47196707,JE-TMA-41
JE-TMA-41_scene01_cell2387,-1.2435638,3.5971916,0.12847623,0.8668155,1.2591716,2.5028977,0.4447491,0.28640717,0.56430435,2.131213,-0.5983307,0.30562493,1.213792,-0.51417106,-1.912144,-1.8793981,-1.8703685,-2.5767806,-1.264388,1.3200965,-0.7378739,-3.4332218,-0.44100758,-2.1266537,-0.71171206,JE-TMA-41
JE-TMA-41_scene01_cell2004,-2.1617725,2.7070634,-0.3532895,0.3481807,1.7252909,1.5607878,0.8225882,0.04412241,-2.8970828,-0.6728756,-4.4334474,-2.8495128,-3.789503,-2.096871,-4.5040593,-1.9003651,-5.766224,-3.9528754,-1.2502354,0.6157937,-3.2562208,-1.1547074,-0.8053951,-7.402572,-5.8329544,JE-TMA-41
JE-TMA-41_scene01_cell2704,-1.0160996,2.1802623,2.2544937,-0.12933357,1.306719,1.082564,0.70689225,0.566981,1.7077365,0.2472857,-0.33249155,3.1330814,0.3869654,-0.5848002,-2.0701418,-1.872822,-1.4699092,-2.4851372,-1.2561473,1.0655904,-1.2099522,-3.255128,-0.85256386,-2.3709435,-1.3745643,JE-TMA-41
JE-TMA-41_scene01_cell1970,-1.2115027,-0.72516614,2.7727404,0.02894299,0.40793055,0.48349053,-0.9965093,0.533076,0.559299,-0.13732162,-0.19194713,-0.8293686,-0.47429836,-0.32553378,-1.8863068,-1.887161,-0.91254425,-2.5769455,-1.1062888,1.5365815,-1.1307358,3.607205,-0.85833263,3.2206507,-0.77794284,JE-TMA-41
JE-TMA-41_scene01_cell365,-1.3766595,1.1453321,2.876295,0.1848859,-0.54072744,2.1199994,-0.35003784,0.20669432,2.5364137,0.030207485,2.3910754,0.72391844,-4.926965,-0.61180204,-4.5040593,-1.8890669,-0.6392832,-3.112522,-0.7001762,0.9591212,-1.8699726,0.29705578,-0.9280529,0.16224383,1.5244192,JE-TMA-41
JE-TMA-41_scene01_cell1513,-8.014342,2.1413,0.7447339,0.17360394,1.5225488,3.5319123,1.043196,0.21813078,-0.31128263,0.22413811,-0.39599052,-5.020915,-5.4468327,-6.968774,-4.5040593,-1.8088686,-6.0262866,-7.8012238,-1.0273055,0.21519805,-7.273373,-5.036411,-0.8918791,-9.235149,-5.8329544,JE-TMA-41
JE-TMA-41_scene01_cell788,-1.3421656,-1.9333918,3.1577654,0.01627724,-0.1452926,0.4115463,-0.62650275,0.279576,-1.9647994,0.14205918,1.110351,1.7280631,-5.4155536,-0.38534012,-4.2476277,-1.9179499,0.0010590674,-3.017689,-1.0553969,0.9739089,-0.9972795,2.657868,-0.9607887,1.08529,-1.2849656,JE-TMA-41
JE-TMA-41_scene01_cell1438,-0.8781516,1.942621,-0.43608466,-0.08205421,0.5654976,1.2348343,-0.7977941,-0.18501978,-0.46332884,-0.5401556,-1.411234,0.035152886,0.49326336,-0.6243128,0.54988956,-1.8057387,-0.2055044,-2.950157,-1.2364482,-0.2390065,-1.0460571,-1.1158948,-0.96419716,-0.6887913,1.1782726,JE-TMA-41
JE-TMA-41_scene01_cell2057,-1.2763096,2.856098,1.3826467,0.23824303,1.66386,2.364078,0.6509898,0.24785109,0.53475857,0.53465253,-0.59922904,-3.5889301,-2.6846771,-0.8447527,-4.272329,-1.9109771,-3.325847,-2.957033,-1.1982497,0.6197963,-1.1667417,-2.5615282,-0.7845659,-1.783781,-2.559936,JE-TMA-41
JE-TMA-41_scene01_cell2446,-1.2759167,3.0749643,0.023668382,1.3714436,1.1756374,3.3157392,1.3411229,0.480128,-0.22330473,1.144595,-1.4450523,0.97445536,0.61355364,-0.44843093,-1.4971838,-1.8919008,-0.85126543,-2.5494826,-1.2422866,1.1783004,-0.4285182,-1.807653,-0.7569828,-1.4734931,-0.68488044,JE-TMA-41
JE-TMA-41_scene01_cell634,-1.3314258,-0.28896838,2.9858255,0.105343744,0.8085348,0.92124707,-1.043072,0.12164183,-1.1127315,-0.41460243,2.74276,2.1142998,-3.7231357,-0.22895184,-2.4553614,-1.9054368,0.09396936,-2.9831674,-0.8495731,1.2347999,-1.2159227,-0.1401295,-0.9357166,-0.9064741,-0.8088123,JE-TMA-41
JE-TMA-41_scene01_cell1095,-1.376908,-1.891001,3.0323563,0.48511022,-0.04786141,2.5956054,-0.7837908,0.40435094,-1.8558073,0.237151,4.1181645,1.6374702,-5.4468327,-0.32415047,-3.8371856,-1.8839777,-0.18992184,-2.9582427,-1.1060771,1.0742097,-1.2940406,-0.94952434,-0.90898037,0.120478615,-1.5891186,JE-TMA-41
JE-TMA-41_scene01_cell863,-1.3403932,-2.1008813,3.1451464,0.03906243,-0.32140476,0.06466156,-0.7326863,0.30411214,-1.8820724,0.42115387,0.9053138,1.0834942,-5.0043144,-0.62021774,-3.8045685,-1.9115646,0.1594782,-3.0525796,-1.0914849,0.79793406,-1.3972863,2.5284324,-0.95721626,1.5040913,-0.2952787,JE-TMA-41
JE-TMA-41_scene01_cell2940,-1.4320418,3.958473,0.46254262,1.3149499,1.8771268,3.4445539,1.767957,0.59856194,-3.154172,1.9874686,0.8910001,-0.063595794,2.0779028,-0.6470794,-0.98727417,-1.9102886,-0.5247712,-3.0814908,-1.200859,1.6125312,-0.87371767,-2.2705088,-0.15289876,-1.612122,0.30923447,JE-TMA-41
JE-TMA-41_scene01_cell3617,-1.151507,1.1200788,0.10581408,0.12055485,-0.36285335,1.896936,0.08106063,-0.106866166,-0.8595576,-0.18116108,-1.0091044,1.3214812,-0.69641864,5.1001716,6.772595,-1.7921059,7.170959,-2.4986851,0.8458653,1.1650805,-1.2997826,-3.0156536,-0.77393246,-0.73010635,-1.2964727,JE-TMA-41
JE-TMA-41_scene01_cell1731,-0.31991878,3.1482618,0.64483273,0.8366222,1.3457428,2.9369464,1.9660017,0.6761405,0.99891424,0.98979646,0.14855513,2.3763247,2.2553797,-0.1165084,0.40154597,-1.8363059,-0.028353203,-2.4460433,-1.1303014,1.545608,-0.22762194,-1.622231,-0.72413254,0.058343876,1.2095374,JE-TMA-41
JE-TMA-41_scene01_cell2555,-0.8723642,1.805085,-0.13167849,0.14597599,0.20110337,2.1608996,-0.6652086,0.040468883,-1.421658,-0.5937273,-1.5286638,1.4771609,0.32396758,-1.3632044,-0.38386443,-1.8347733,-5.9949226,-3.1434972,-1.2403201,1.1228385,-0.4911212,-3.8713126,-0.8754854,-1.3206491,-2.6941905,JE-TMA-41
JE-TMA-41_scene01_cell3239,-1.3583165,3.5998065,-0.18018523,0.57298464,-0.56434375,3.4392,0.31212637,0.021222781,-0.36646318,1.2816151,-0.20160356,1.7679067,1.4370328,-0.48426858,-1.7340312,-1.8821609,-0.004725921,-2.8839939,-1.2152013,1.2197576,-1.5737337,-4.0643077,-0.54328346,-1.2842011,-0.49378982,JE-TMA-41
JE-TMA-41_scene01_cell1076,-1.0139014,1.8192861,2.6269321,0.5843429,1.592342,2.6791549,1.294039,0.46941632,0.18491556,0.26611122,1.8164905,1.8076396,-1.2695326,-0.4851655,-1.7430725,-1.8082926,-0.02445792,-2.8939068,-1.0152797,0.8895631,-1.6413506,-4.254716,-0.8947058,-0.91682434,-0.303075,JE-TMA-41
JE-TMA-41_scene01_cell2542,-1.2472693,4.5589976,0.49519166,0.8095388,0.7816493,3.3954854,0.38171026,0.37125462,-0.50509834,0.7204388,-0.17321125,-0.14523175,1.787213,-0.66615194,-0.92445016,-1.8492005,2.5194497,-2.7964203,-1.2613248,0.68142366,-0.6715659,-3.5077,-0.50474167,-2.7573514,-2.593988,JE-TMA-41
JE-TMA-41_scene01_cell2411,-1.2333604,3.5928085,-0.10283174,1.6100062,0.35998982,4.168758,1.6101458,0.59993523,-0.90634394,1.8303937,-0.7823712,2.0057058,1.3578154,-0.58447737,-2.430258,-1.9026229,-1.7175703,-2.645684,-1.2196282,1.1721959,-0.50783813,-3.4969835,-0.7486963,-2.512732,-2.2144642,JE-TMA-41
JE-TMA-41_scene01_cell977,-1.4010469,0.5949437,3.1452885,0.078176424,0.6012222,1.1692759,0.5564368,0.49586362,-0.11781835,0.105936855,1.6447233,1.1490059,-5.4468327,-0.32233945,-4.197398,-1.9014933,-0.6011257,-2.9650266,-1.0340041,1.265593,-1.0690936,0.033391535,-0.9133854,-0.0748768,-1.0437986,JE-TMA-41
JE-TMA-41_scene01_cell1518,-1.486673,1.3245065,0.8602325,0.2830066,0.94284695,0.41806847,-0.42361763,-0.104672715,-1.9872165,1.1090306,0.033617347,-1.5422292,-1.0171565,-0.39528838,-0.47387126,-1.8898661,-0.10343073,-2.9178455,-1.3143605,0.10754443,-1.7307228,-3.6994143,-0.9869423,-1.1230774,-1.7016412,JE-TMA-41
JE-TMA-41_scene01_cell2332,-1.1402684,2.9839513,-0.07888117,1.6526278,1.4100953,4.765617,1.3158848,0.7125165,-0.46610832,1.4487494,-0.34284702,-0.45006803,0.22794019,-0.5392203,-2.9358337,-1.8662827,-1.9256697,-2.6584895,-1.239973,1.4259105,-0.48958054,-3.337285,-0.80500126,-1.888596,-0.7476532,JE-TMA-41
JE-TMA-41_scene01_cell1183,-1.1933938,1.4791925,2.6725655,-0.14950378,1.0324961,0.0047469735,1.4092734,0.18566485,-0.10312032,0.28811726,-0.21623626,0.6262646,-4.9773474,-0.53369516,-3.7158556,-1.8664029,-0.2788167,-2.926613,-1.1849478,0.9330821,-2.0125751,-4.4773817,-0.8596287,-1.1858873,-0.5585963,JE-TMA-41
JE-TMA-41_scene01_cell2294,-5.881605,1.4401748,-0.44408122,0.004831242,-0.6426466,1.6527363,-0.8775718,-0.29433376,-6.796731,-9.286324,-4.749836,-5.182972,-5.4468327,-4.0029645,-4.5040593,-1.9185331,-6.0262866,-4.891474,-1.3675994,-0.6251073,-4.4424314,-1.0646405,-0.8942661,-7.1784773,-5.8329544,JE-TMA-41
JE-TMA-41_scene01_cell3345,-0.81018513,2.0674274,1.2737228,-0.057634424,1.2241021,0.99739033,0.71156335,0.17729445,0.29189253,0.44263634,1.497456,3.0159245,1.1630541,2.7801023,4.131496,-0.67044187,6.6776643,-1.4732845,0.25263125,0.4372449,-0.42667523,3.9058957,-0.79720306,1.6758299,0.51544553,JE-TMA-41
JE-TMA-41_scene01_cell235,-1.1937076,1.7755954,1.7468292,0.27106756,1.4742571,2.6938987,-0.28317907,0.28919762,0.013909826,0.45642266,3.6682503,1.3217144,-5.258475,-0.6109366,-3.5104952,-1.7578166,-0.109866604,-3.0034482,-0.6230764,0.41986322,-1.3264755,-1.7447715,-0.6707001,-0.81654453,-1.7328917,JE-TMA-41
