,HER2,Vim,CD20,CD3,CD31,CD4,CD44,CD45,CD68,CD8,PD1,PDPN,aSMA,CK14,CK17,CK19,CK5,CK7,Ecad,DAPI2,ER,Ki67,LamAC,PCNA,pHH3,batch
JE-TMA-41_scene01_cell2077,-0.8509661,0.30452204,-0.020758977,1.1049887,3.8150706,2.930177,0.669168,-0.73180246,-0.13527724,4.660278,-1.8799716,-0.581814,-1.9630057,-0.6937372,-1.1490943,-1.1432158,-1.8903995,-1.1832167,-0.99063635,1.2885157,-1.4252529,-1.519116,-1.8768407,-3.9708562,-3.927271,JE-TMA-41
JE-TMA-41_scene01_cell3182,-0.4468562,1.877239,-0.20335588,3.6614358,1.0440413,4.8891973,0.48023722,1.0008721,0.6498004,4.5636225,0.6345687,0.8650614,0.90876216,-0.36543778,0.29505777,-1.1170157,0.123445116,-1.1752608,-0.9251914,1.7181013,-0.48575726,-1.0633092,-1.610731,-0.5289192,0.32105353,JE-TMA-41
JE-TMA-41_scene01_cell2387,-0.7702541,1.5966423,0.12154577,3.3982296,1.2453562,2.29617,0.27458814,1.0235763,0.3860905,2.9813256,-0.4237965,0.13745086,0.43744335,-0.34033766,-0.5530396,-1.166973,-0.80715543,-0.9765393,-0.96219194,2.1750247,-0.4233095,-1.2567168,-0.8225844,-0.94582933,-0.48413917,JE-TMA-41
JE-TMA-41_scene01_cell2004,-1.3389853,1.2015518,-0.33423227,1.3649944,1.706361,1.431874,0.5078663,0.15768674,-1.9821521,-0.941276,-3.1402016,-1.2815319,-1.3657141,-1.3879515,-1.3026859,-1.1799921,-2.4884074,-1.4980469,-0.9514222,1.0145981,-1.8680553,-0.42267612,-1.5022545,-3.2922935,-3.9678426,JE-TMA-41
JE-TMA-41_scene01_cell2704,-0.62936467,0.96772707,2.1328797,-0.50703496,1.292382,0.99314934,0.43643552,2.0263073,1.168414,0.34592447,-0.2355031,1.409063,0.1394599,-0.38708836,-0.59873646,-1.1628895,-0.6343377,-0.9418087,-0.95592105,1.755694,-0.69413525,-1.1915264,-1.5902352,-1.0544773,-0.93504155,JE-TMA-41
JE-TMA-41_scene01_cell1970,-0.75039566,-0.32187077,2.6231713,0.113466255,0.40345496,0.4435569,-0.6152452,1.9051337,0.38266602,-0.19209662,-0.13595572,-0.37299803,-0.17093429,-0.2154759,-0.54556686,-1.1717932,-0.3938075,-0.9766019,-0.8418795,2.5317104,-0.64868957,1.3204027,-1.6009948,1.432384,-0.5291922,JE-TMA-41
JE-TMA-41_scene01_cell365,-0.85269266,0.5083651,2.7211394,0.724819,-0.5347946,1.9448974,-0.21611354,0.73869467,1.7353861,0.04225698,1.6935937,0.32557303,-1.7756486,-0.40496132,-1.3026859,-1.1729765,-0.27588183,-1.1795727,-0.5328303,1.5802726,-1.0727812,0.10873609,-1.7310412,0.07215764,1.0369797,JE-TMA-41
JE-TMA-41_scene01_cell1513,-4.9640217,0.9504331,0.70456094,0.6805891,1.5058436,3.2401931,0.64406925,0.77956724,-0.21297632,0.31354457,-0.2804794,-2.2580922,-1.9630057,-4.6127396,-1.3026859,-1.1231794,-2.6006372,-2.9564805,-0.7817737,0.35456645,-4.172648,-1.8435577,-1.663568,-4.107332,-3.9678426,JE-TMA-41
JE-TMA-41_scene01_cell788,-0.83132744,-0.8581514,2.9874265,0.06381212,-0.14369851,0.3775549,-0.38680306,0.9991614,-1.344294,0.19872525,0.786459,0.777174,-1.9517329,-0.25506276,-1.2285194,-1.190911,0.0004570328,-1.1436334,-0.8031506,1.6046379,-0.57212734,0.97290164,-1.7921,0.48268238,-0.8740925,JE-TMA-41
JE-TMA-41_scene01_cell1438,-0.54392076,0.8622482,-0.41256103,-0.32168192,0.55929285,1.1328431,-0.4925582,-0.6612361,-0.31700453,-0.75561607,-0.99957436,0.01580949,0.17776904,-0.41324222,0.15904176,-1.1212356,-0.088685155,-1.1180402,-0.94093007,-0.39379314,-0.6001107,-0.4084686,-1.7984581,-0.30634022,0.8015149,JE-TMA-41
