,HER2,Vim,CD20,CD3,CD31,CD4,CD44,CD45,CD68,CD8,PD1,PDPN,aSMA,CK14,CK17,CK19,CK5,CK7,Ecad,DAPI2,ER,Ki67,LamAC,PCNA,pHH3,batch
JE-TMA-41_scene01_cell2077,-0.85630846,0.32360336,-0.061058648,1.2148888,3.8758562,2.91956,0.7151081,-0.71947175,-0.05501222,4.796574,-1.8611087,-0.6568019,-1.8255805,-0.6511128,-1.1056168,-1.0830867,-1.8854359,-1.1480457,-0.95915127,1.332519,-1.4898365,-1.5327688,-1.7907544,-4.0929093,-3.8615055,JE-TMA-41
JE-TMA-41_scene01_cell3182,-0.45219857,1.8963203,-0.24365555,3.771336,1.1048268,4.87858,0.52617735,1.0132028,0.73006546,4.6999187,0.65343165,0.7900735,1.0461874,-0.32281333,0.33853537,-1.0568867,0.12840861,-1.1400898,-0.8937063,1.7621046,-0.5503408,-1.076962,-1.5246447,-0.6509724,0.38681892,JE-TMA-41
JE-TMA-41_scene01_cell2387,-0.77559644,1.6157236,0.0812461,3.5081298,1.3061417,2.285553,0.32052824,1.0359069,0.4663555,3.117622,-0.40493354,0.06246298,0.57486856,-0.29771322,-0.509562,-1.106844,-0.8021919,-0.9413682,-0.93070686,2.2190282,-0.48789302,-1.2703696,-0.7364982,-1.0678825,-0.4183738,JE-TMA-41
JE-TMA-41_scene01_cell2004,-1.3443277,1.2206331,-0.37453195,1.4748945,1.7671466,1.421257,0.5538064,0.17001745,-1.901887,-0.8049796,-3.1213386,-1.3565198,-1.2282889,-1.345327,-1.2592083,-1.119863,-2.483444,-1.4628758,-0.91993713,1.0586015,-1.9326389,-0.4363289,-1.4161682,-3.4143467,-3.9020772,JE-TMA-41
JE-TMA-41_scene01_cell2704,-0.63470703,0.98680836,2.09258,-0.39713478,1.3531675,0.9825323,0.48237562,2.038638,1.248679,0.48222086,-0.21664014,1.3340751,0.2768851,-0.3444639,-0.55525887,-1.1027604,-0.6293742,-0.9066376,-0.924436,1.7996974,-0.7587188,-1.2051792,-1.504149,-1.1765305,-0.86927617,JE-TMA-41
JE-TMA-41_scene01_cell1970,-0.755738,-0.30278945,2.5828717,0.22336642,0.46424046,0.4329399,-0.5693051,1.9174644,0.46293104,-0.055800244,-0.117092766,-0.44798592,-0.033509098,-0.17285147,-0.50208926,-1.1116642,-0.388844,-0.9414308,-0.8103944,2.5757139,-0.7132731,1.3067499,-1.5149086,1.3103309,-0.46342683,JE-TMA-41
JE-TMA-41_scene01_cell365,-0.858035,0.5274464,2.6808398,0.8347192,-0.47400913,1.9342804,-0.17017344,0.7510254,1.8156512,0.17855336,1.7124567,0.25058514,-1.6382234,-0.36233687,-1.2592083,-1.1128474,-0.27091834,-1.1444017,-0.5013452,1.6242759,-1.1373647,0.09508332,-1.6449549,-0.049895555,1.102745,JE-TMA-41
JE-TMA-41_scene01_cell1513,-4.969364,0.96951437,0.6642613,0.79048926,1.5666292,3.229576,0.69000936,0.79189795,-0.13271129,0.44984096,-0.26161644,-2.33308,-1.8255805,-4.570115,-1.2592083,-1.0630504,-2.5956738,-2.9213095,-0.7502886,0.39856985,-4.2372313,-1.8572105,-1.5774817,-4.2293854,-3.9020772,JE-TMA-41
JE-TMA-41_scene01_cell788,-0.8366698,-0.8390701,2.9471269,0.17371228,-0.08291302,0.36693788,-0.34086296,1.0114921,-1.2640289,0.33502164,0.805322,0.7021861,-1.8143077,-0.21243833,-1.1850419,-1.130782,0.005420521,-1.1084623,-0.7716655,1.6486412,-0.6367109,0.95924884,-1.7060137,0.3606292,-0.80832714,JE-TMA-41
JE-TMA-41_scene01_cell1438,-0.5492631,0.8813295,-0.4528607,-0.21178176,0.6200783,1.1222261,-0.4466181,-0.6489054,-0.2367395,-0.6193197,-0.9807114,-0.059178386,0.31519422,-0.37061778,0.20251934,-1.0611066,-0.08372167,-1.0828692,-0.909445,-0.34978974,-0.66469425,-0.42212138,-1.7123718,-0.4283934,0.8672803,JE-TMA-41
