,HER2_cellmem25,Vim_nucadj2,CD20_perinuc5,CD3_perinuc5,CD31_perinuc5,CD4_perinuc5,CD44_perinuc5,CD45_perinuc5,CD68_perinuc5,CD8_perinuc5,PD1_perinuc5,PDPN_perinuc5,aSMA_perinuc5,CK14_cytoplasm,CK17_cytoplasm,CK19_cytoplasm,CK5_cytoplasm,CK7_cytoplasm,Ecad_cytoplasm,DAPI2_nuclei,ER_nuclei,Ki67_nuclei,LamAC_nuclei,PCNA_nuclei,pHH3_nuclei,batch
JE-TMA-41_scene01_cell2077,109.31521739130434,366.2982456140351,2253.94019138756,1776.3732057416269,852.9282296650717,3906.808612440192,622.0478468899521,1910.7535885167465,110.76076555023924,6284.198564593302,30.09330143540669,13.818181818181818,0.0,64.37799043062199,0.4449760765550239,260.744019138756,2.129186602870813,78.89952153110049,654.5239234449759,5597.733766233766,26.64610389610389,57.915584415584405,814.3766233766232,0.2370129870129869,0.04220779220779222,JE-TMA-41
JE-TMA-41_scene01_cell3182,172.39490445859872,4281.080906148867,1971.5759717314486,2792.049469964664,121.46289752650176,17168.2332155477,502.9681978798587,2674.3286219081274,246.57597173144882,5990.279151943463,363.21554770318016,136.80212014134278,249.4558303886926,91.20141342756183,45.02120141342756,268.51236749116606,78.46996466431095,80.07067137809187,694.7879858657242,6706.758522727273,85.02272727272727,138.6619318181818,899.1306818181819,263.2755681818182,78.0625,JE-TMA-41
JE-TMA-41_scene01_cell2387,119.74305555555556,2761.807971014493,2501.7391304347825,2665.0483091787437,140.01932367149755,2419.444444444445,399.06763285024147,2686.135265700483,188.53140096618358,2734.4009661835753,128.28502415458937,43.89855072463768,100.16908212560386,93.65700483091787,5.028985507246377,253.89371980676327,16.82608695652174,115.6038647342995,671.7294685990338,8128.424657534247,91.76438356164385,95.83287671232875,1205.4356164383564,136.99726027397259,33.805479452054804,JE-TMA-41
JE-TMA-41_scene01_cell2004,62.893081761006286,1489.7180327868855,1791.212962962963,1859.9876543209878,193.80246913580243,1258.7716049382716,518.8456790123456,2270.719135802469,16.206790123456788,390.6574074074074,8.058641975308642,4.040123456790123,2.1543209876543212,30.60185185185185,0.0,250.216049382716,0.19753086419753085,43.92283950617285,678.3611111111112,4988.345679012346,15.191358024691358,468.8117283950617,936.1574074074074,2.561728395061728,0.0,JE-TMA-41
JE-TMA-41_scene01_cell2704,140.36296296296294,1033.6958174904944,10923.726457399103,1335.5874439461886,144.7443946188341,903.340807174888,478.7847533632287,3263.0044843049327,417.6860986547085,740.1434977578474,154.44394618834082,317.69955156950675,56.03587443946189,89.13452914798206,4.403587443946189,255.0582959641256,22.529147982062785,123.25112107623319,675.5829596412557,6813.685714285714,65.87619047619047,108.55555555555556,906.0126984126983,115.50158730158728,20.984126984126984,JE-TMA-41
JE-TMA-41_scene01_cell1970,122.45637583892618,137.09931506849315,15645.547413793103,1490.5689655172416,77.16810344827586,596.0258620689656,146.32327586206898,3187.189655172414,187.875,566.7068965517243,170.34913793103448,19.44396551724137,30.396551724137932,106.8793103448276,5.137931034482759,252.52586206896552,33.625,115.59051724137932,749.6422413793103,9444.570637119114,69.65096952908587,12745.836565096954,902.393351800554,5616.842105263158,32.24376731301939,JE-TMA-41
JE-TMA-41_scene01_cell365,109.10227272727272,503.9724770642202,16809.91911764706,1660.8308823529412,39.5,1855.2279411764707,229.6102941176471,2541.6911764705883,742.6102941176471,636.6102941176471,1025.7132352941176,59.0,0.4338235294117647,87.46323529411768,0.0,252.19117647058826,40.845588235294116,79.43382352941177,993.6838235294116,6328.8785425101205,41.32388663967611,1284.1336032388665,859.7732793522267,673.3684210526316,162.97975708502025,JE-TMA-41
JE-TMA-41_scene01_cell1513,0.10574412532637076,1006.1256830601093,3835.4335664335663,1647.8857808857806,168.26340326340323,4938.2331002331,604.7365967365968,2561.927738927739,102.30069930069928,728.3473193473192,147.75058275058277,0.11888111888111888,0.0,0.07925407925407925,0.0,266.6643356643357,0.0,2.1188811188811187,791.8834498834499,3778.655786350149,0.0,30.87240356083086,881.6290801186943,0.0,0.0,JE-TMA-41
JE-TMA-41_scene01_cell788,111.76646706586828,58.769470404984425,20431.54520547945,1477.5315068493148,52.27123287671233,566.9835616438356,189.39452054794518,2673.441095890411,31.83561643835617,688.0109589041095,421.5835616438356,119.34520547945203,0.021917808219178082,102.49863013698628,0.19452054794520549,247.172602739726,64.22465753424657,84.8986301369863,776.5945205479453,6394.095709570957,76.4983498349835,6600.207920792079,840.4620462046205,1277.6798679867986,22.392739273927393,JE-TMA-41
JE-TMA-41_scene01_cell1438,154.54716981132074,876.5575221238937,1691.2551984877127,1380.1153119092628,86.18903591682421,1004.0094517958412,168.07939508506615,1937.0982986767483,91.96786389413988,428.3969754253308,72.59357277882798,36.22306238185254,60.39697542533082,86.69943289224953,32.21928166351607,267.24574669187143,55.523629489603024,89.01512287334593,684.8846880907372,2757.817142857143,73.92190476190477,481.62285714285713,838.4761904761905,372.86095238095237,128.0,JE-TMA-41
