,HER2,Vim,CD20,CD3,CD31,CD4,CD44,CD45,CD68,CD8,PD1,PDPN,aSMA,CK14,CK17,CK19,CK5,CK7,Ecad,DAPI2,ER,Ki67,LamAC,PCNA,pHH3,batch
JE-TMA-41_scene01_cell2077,109.315216,366.29825,2253.9402,1776.3732,852.9282,3906.8086,622.04785,1910.7535,110.760765,6284.1987,30.093302,13.818182,0.0,64.37799,0.4449761,260.74402,2.1291866,78.89952,654.5239,5597.734,26.646105,57.915585,814.37665,0.23701298,0.042207792,JE-TMA-41
JE-TMA-41_scene01_cell3182,172.3949,4281.081,1971.5759,2792.0496,121.4629,17168.232,502.9682,2674.3286,246.57597,5990.2793,363.21555,136.80212,249.45583,91.201416,45.021202,268.51236,78.46996,80.07067,694.78796,6706.7583,85.02273,138.66193,899.1307,263.27557,78.0625,JE-TMA-41
JE-TMA-41_scene01_cell2387,119.74306,2761.8079,2501.739,2665.0483,140.01932,2419.4443,399.06763,2686.1353,188.5314,2734.401,128.28502,43.898552,100.16908,93.657005,5.0289855,253.89372,16.826086,115.60387,671.7295,8128.425,91.76438,95.83288,1205.4357,136.99725,33.80548,JE-TMA-41
JE-TMA-41_scene01_cell2004,62.89308,1489.718,1791.213,1859.9877,193.80247,1258.7716,518.8457,2270.7192,16.20679,390.6574,8.058642,4.0401235,2.154321,30.601852,0.0,250.21605,0.19753087,43.92284,678.3611,4988.3457,15.191358,468.81174,936.1574,2.5617285,0.0,JE-TMA-41
JE-TMA-41_scene01_cell2704,140.36296,1033.6958,10923.727,1335.5874,144.7444,903.3408,478.78476,3263.0044,417.6861,740.1435,154.44394,317.69955,56.035873,89.13453,4.4035873,255.05829,22.529148,123.25112,675.58295,6813.6855,65.87619,108.55556,906.0127,115.50159,20.984127,JE-TMA-41
JE-TMA-41_scene01_cell1970,122.456375,137.09932,15645.548,1490.569,77.168106,596.0259,146.32327,3187.1897,187.875,566.7069,170.34914,19.443966,30.396551,106.87931,5.137931,252.52586,33.625,115.590515,749.6422,9444.57,69.65097,12745.837,902.3934,5616.8423,32.243767,JE-TMA-41
JE-TMA-41_scene01_cell365,109.10227,503.97247,16809.92,1660.8309,39.5,1855.2279,229.61029,2541.6912,742.6103,636.6103,1025.7133,59.0,0.43382353,87.463234,0.0,252.19118,40.84559,79.43382,993.68384,6328.8784,41.323887,1284.1335,859.77325,673.3684,162.97975,JE-TMA-41
JE-TMA-41_scene01_cell1513,0.10574412,1006.1257,3835.4336,1647.8857,168.2634,4938.233,604.7366,2561.9277,102.3007,728.3473,147.75058,0.11888112,0.0,0.079254076,0.0,266.66434,0.0,2.1188812,791.8834,3778.6558,0.0,30.872404,881.6291,0.0,0.0,JE-TMA-41
JE-TMA-41_scene01_cell788,111.766464,58.76947,20431.545,1477.5315,52.271233,566.9836,189.39452,2673.4412,31.835617,688.011,421.58356,119.34521,0.021917809,102.49863,0.19452055,247.1726,64.224655,84.89863,776.59454,6394.0957,76.49835,6600.208,840.46204,1277.6798,22.392738,JE-TMA-41
JE-TMA-41_scene01_cell1438,154.54716,876.5575,1691.2552,1380.1154,86.18903,1004.00946,168.07939,1937.0983,91.967865,428.39697,72.593575,36.22306,60.396976,86.69943,32.21928,267.24576,55.52363,89.01512,684.8847,2757.8171,73.921906,481.62286,838.4762,372.86096,128.0,JE-TMA-41
