,HER2,Vim,CD20,CD3,CD31,CD4,CD44,CD45,CD68,CD8,PD1,PDPN,aSMA,CK14,CK17,CK19,CK5,CK7,Ecad,ER,Ki67,LamAC,PCNA,pHH3,batch
JE-TMA-41_scene01_cell2077,0.48487255,1.7101372,5.287051,1.3209205,24.912464,10.390001,2.2955992,0.84016633,1.0636177,8.715638,0.10179535,0.5065931,0.0,0.66958296,0.008510997,0.3652197,0.004559941,0.11211402,0.5199283,0.20975469,0.104664885,0.6862481,0.00041061654,0.0010463422,JE-TMA-41
JE-TMA-41_scene01_cell3182,0.76466537,19.987091,4.6247115,2.0761826,3.5477078,45.658226,1.8561488,1.1759135,2.3678293,8.307998,1.228634,5.0153494,3.2189512,0.94856817,0.8611143,0.3761007,0.16805406,0.1137782,0.5519125,0.6692879,0.25058946,0.75766754,0.4561155,1.9351897,JE-TMA-41
JE-TMA-41_scene01_cell2387,0.5311257,12.894058,5.8683114,1.9817439,4.089707,6.4344153,1.4727153,1.1811049,1.8104366,3.7923768,0.43394437,1.6093799,1.2925711,0.9741083,0.09618872,0.35562462,0.036035344,0.16426986,0.53359574,0.72235733,0.17318891,1.0157806,0.23734286,0.83804667,JE-TMA-41
JE-TMA-41_scene01_cell2004,0.2789651,6.9550495,4.2016354,1.3830966,5.6606135,3.3476527,1.914743,0.9984447,0.15563118,0.54180795,0.027259631,0.14811635,0.027799128,0.31828392,0.0,0.35047337,0.00042303908,0.06241313,0.53886366,0.119584404,0.84723526,0.7888687,0.0044381027,0.0,JE-TMA-41
JE-TMA-41_scene01_cell2704,0.62258625,4.8260174,25.623707,0.9931499,4.2277174,2.4023986,1.7669024,1.4347566,4.010972,1.0265148,0.5224311,11.647292,0.72308093,0.9270709,0.08422681,0.35725582,0.04824922,0.1751364,0.5366568,0.5185689,0.19618131,0.76346684,0.20010237,0.520202,JE-TMA-41
JE-TMA-41_scene01_cell1970,0.54316074,0.6400758,36.699646,1.108395,2.2539382,1.5851068,0.53998995,1.4014206,1.8041333,0.7859733,0.5762329,0.71284187,0.39223385,1.1116309,0.0982725,0.35370868,0.07201249,0.16425091,0.5954866,0.5482834,23.03424,0.7604169,9.730978,0.7993314,JE-TMA-41
JE-TMA-41_scene01_cell365,0.48392802,2.3528972,39.430904,1.2350026,1.1537223,4.933904,0.84735155,1.1175922,7.131167,0.88292325,3.4696372,2.1630192,0.0055980124,0.9096881,0.0,0.3532399,0.08747636,0.11287325,0.7893437,0.32529628,2.3206828,0.7245024,1.1665868,4.040311,JE-TMA-41
JE-TMA-41_scene01_cell1513,0.00046903282,4.697301,8.996749,1.2253766,4.9146643,13.133033,2.231714,1.1264902,0.9823771,1.0101545,0.4997897,0.0043583415,0.0,0.0008243063,0.0,0.3735122,0.0,0.0030108711,0.6290414,0.0,0.055792525,0.74291956,0.0,0.0,JE-TMA-41
JE-TMA-41_scene01_cell788,0.49574518,0.27437714,47.92613,1.0987002,1.5267465,1.5078701,0.6989397,1.1755232,0.30571228,0.9542115,1.4260731,4.3753557,0.00028282506,1.0660683,0.0037205678,0.34621045,0.1375458,0.12063859,0.61689645,0.60218513,11.927877,0.7082294,2.2135348,0.55512184,JE-TMA-41
JE-TMA-41_scene01_cell1438,0.6855009,4.092386,3.9671652,1.026261,2.5174232,2.6701229,0.62027854,0.8517502,0.88315254,0.5941494,0.24555925,1.3279861,0.7793561,0.90174395,0.6162538,0.37432656,0.11891137,0.12648802,0.5440457,0.5819037,0.8703875,0.706556,0.64596826,3.1731534,JE-TMA-41
JE-TMA-41_scene01_cell2057,0.5191066,7.712456,14.000934,1.2815614,5.4234242,5.843891,1.6996063,1.1499463,1.7735424,1.2530761,0.43367216,0.07401703,0.07463729,0.7724962,0.003332711,0.34789464,0.011778994,0.12587982,0.5586645,0.534575,0.31840235,0.8003529,0.30148178,0.21484894,JE-TMA-41
JE-TMA-41_scene01_cell2446,0.5192492,8.976668,5.456948,2.8119268,3.8579886,11.305143,2.7444632,1.3509042,1.0447521,1.9131716,0.23979168,2.580188,0.84824604,1.0200076,0.134619,0.3525439,0.075230055,0.16743487,0.5418453,0.8969947,0.53816736,0.8158188,0.37423968,0.8542442,JE-TMA-41
JE-TMA-41_scene01_cell634,0.4994827,0.86769253,42.5413,1.1687144,2.984683,2.1479633,0.52272296,1.0535854,0.5595682,0.6482989,4.4283643,5.729755,0.029715303,1.1893175,0.060007166,0.3492386,0.14683776,0.12359455,0.71161604,0.51639473,1.7135242,0.72065985,0.5552548,0.78188485,JE-TMA-41
JE-TMA-41_scene01_cell1095,0.48384404,0.28269795,43.93581,1.5208746,1.6354562,6.8616443,0.62636447,1.2817572,0.33045644,1.0193193,11.494366,4.1068263,0.0,1.1127075,0.011239497,0.35449314,0.120225966,0.12577313,0.59557426,0.488762,0.9769968,0.7341555,1.1332492,0.4448907,JE-TMA-41
JE-TMA-41_scene01_cell863,0.49636015,0.24379112,47.50875,1.1162024,1.3479441,1.1850394,0.64908284,1.1956947,0.3243215,1.1581674,1.2366941,2.7856355,0.0046321666,0.9043367,0.011933855,0.34775248,0.15375844,0.11772208,0.6016368,0.45446265,10.904185,0.70998704,2.9596725,1.1267726,JE-TMA-41
JE-TMA-41_scene01_cell2940,0.46553597,16.564606,7.397978,2.7039158,6.2920847,12.361234,3.6906,1.46652,0.12866078,3.432602,1.2244513,1.2377045,2.3633442,0.88746274,0.19980127,0.34806132,0.094879575,0.11535826,0.55765337,0.656737,0.38997063,1.2404937,0.3397938,1.7261212,JE-TMA-41
JE-TMA-41_scene01_cell3617,0.56641304,2.3119886,5.776817,1.1811099,1.3089415,4.226713,1.1437353,0.8991882,0.66875,0.76240724,0.32558346,3.2918026,0.33442256,48.218266,47.432903,0.37789387,20.112503,0.17348617,2.306527,0.48678926,0.23193058,0.8062804,0.6276831,0.55051476,JE-TMA-41
JE-TMA-41_scene01_cell1731,1.0114716,9.444764,8.394679,1.9406849,4.344435,8.693957,4.234187,1.5475622,2.4502633,1.7183802,0.7305251,6.8781996,2.6744056,1.2865638,0.554168,0.36644968,0.13472685,0.1799862,0.5856442,1.032193,0.6122246,0.83462745,1.085405,3.243213,JE-TMA-41
JE-TMA-41_scene01_cell2555,0.6882742,3.719841,4.899643,1.2021196,1.9490027,5.0758567,0.68033963,0.99591786,0.44985604,0.5724408,0.2260991,3.6710696,0.6916345,0.5361558,0.31349137,0.36684042,4.706891e-05,0.11044545,0.5425857,0.85856956,0.12735929,0.7514194,0.41625786,0.19355473,JE-TMA-41
JE-TMA-41_scene01_cell3239,0.490177,12.91746,4.7375674,1.6164379,1.1345158,12.315435,1.3430448,0.98271483,0.9451521,2.1039221,0.57236624,4.4989023,1.5110458,0.9947267,0.11134153,0.35494155,0.13698679,0.13249058,0.5521291,0.40123832,0.11118607,0.94620544,0.42695248,0.9787386,JE-TMA-41
JE-TMA-41_scene01_cell1076,0.6235423,3.7566845,33.171593,1.6292199,5.1597133,7.2709045,2.6562228,1.3409078,1.3895768,1.040016,2.3286793,4.625552,0.22055657,0.9941021,0.11052645,0.3736619,0.1350969,0.13157363,0.6343134,0.3825064,0.09721534,0.74146366,0.5512734,1.1205664,JE-TMA-41
JE-TMA-41_scene01_cell2542,0.5297519,25.118792,7.5673614,1.9045796,2.9290376,11.947791,1.4095923,1.252678,0.85767573,1.4254848,0.5838092,1.1675959,1.9297055,0.8756708,0.2095454,0.36317635,0.7981875,0.14087097,0.5347315,0.75670284,0.16438408,0.97184676,0.15267766,0.20925897,JE-TMA-41
