,HER2_cellmem25,Vim_nucadj2,CD20_perinuc5,CD3_perinuc5,CD31_perinuc5,CD4_perinuc5,CD44_perinuc5,CD45_perinuc5,CD68_perinuc5,CD8_perinuc5,PD1_perinuc5,PDPN_perinuc5,aSMA_perinuc5,CK14_cytoplasm,CK17_cytoplasm,CK19_cytoplasm,CK5_cytoplasm,CK7_cytoplasm,Ecad_cytoplasm,ER_nuclei,Ki67_nuclei,LamAC_nuclei,PCNA_nuclei,pHH3_nuclei,batch
JE-TMA-41_scene01_cell2077,-2.1987047,-1.5724295,-2.9076319,0.21421078,22.43206,8.608016,-0.008564712,-0.14868873,-0.80455714,7.7409043,-0.9430496,-4.0825086,-5.8796716,-4.4067693,-8.5114155,-2.0236166,-1.2964474,-3.6188884,-1.4936711,-2.284513,-6.22492,-0.78733486,-2.3835478,-3.7297862,JE-TMA-41
JE-TMA-41_scene01_cell3182,-1.9189118,16.704525,-3.5699716,0.9694729,1.0673039,43.87624,-0.4480151,0.18705839,0.49965447,7.333264,0.18378903,0.42624754,-2.6607203,-4.1277843,-7.658812,-2.0127354,-1.1329533,-3.6172242,-1.4616868,-1.8249797,-6.078995,-0.71591544,-1.927843,-1.7956427,JE-TMA-41
JE-TMA-41_scene01_cell2387,-2.1524515,9.611491,-2.3263717,0.8750342,1.609303,4.65243,-0.8314487,0.19224983,-0.057738256,2.817643,-0.6109006,-2.979722,-4.5871005,-4.102244,-8.423738,-2.0332115,-1.264972,-3.5667326,-1.4800036,-1.7719103,-6.156396,-0.45780244,-2.1466155,-2.8927858,JE-TMA-41
JE-TMA-41_scene01_cell2004,-2.404612,3.6724827,-3.9930477,0.2763869,3.1802096,1.5656674,-0.389421,0.009589611,-1.7125437,-0.43292594,-1.0175853,-4.4409857,-5.8518724,-4.7580686,-8.519926,-2.0383627,-1.3005843,-3.6685894,-1.4747357,-2.3746831,-5.4823494,-0.68471426,-2.3795204,-3.7308323,JE-TMA-41
JE-TMA-41_scene01_cell2704,-2.060991,1.5434506,17.429024,-0.11355981,1.7473135,0.6204133,-0.5372615,0.44590157,2.1427972,0.051780872,-0.5224139,7.0581903,-5.1565905,-4.1492815,-8.435699,-2.0315804,-1.2527581,-3.555866,-1.4769425,-1.9756987,-6.1334033,-0.71011615,-2.183856,-3.2106304,JE-TMA-41
JE-TMA-41_scene01_cell1970,-2.1404164,-2.6424909,28.504963,0.0016852886,-0.22646566,-0.1968784,-1.764174,0.41256553,-0.06404156,-0.18876058,-0.46861205,-3.87626,-5.4874377,-3.9647214,-8.421654,-2.0351274,-1.2289948,-3.5667515,-1.4181128,-1.9459842,16.704657,-0.71316606,7.3470197,-2.931501,JE-TMA-41
JE-TMA-41_scene01_cell365,-2.199649,-0.92966956,31.236221,0.12829295,-1.3266816,3.151919,-1.4568124,0.12873715,5.262992,-0.09181065,2.4247923,-2.4260826,-5.8740735,-4.166664,-8.519926,-2.0355964,-1.213531,-3.6181293,-1.2242557,-2.1689713,-4.008902,-0.7490806,-1.2173717,0.30947843,JE-TMA-41
JE-TMA-41_scene01_cell1513,-2.683108,1.4147341,0.8020658,0.11866692,2.4342604,11.3510475,-0.07244992,0.13763517,-0.88579774,0.03542059,-0.54505527,-4.5847435,-5.8796716,-5.075528,-8.519926,-2.0153239,-1.3010074,-3.7279916,-1.384558,-2.4942677,-6.2737923,-0.7306634,-2.3839586,-3.7308323,JE-TMA-41
JE-TMA-41_scene01_cell788,-2.187832,-3.0081897,39.731445,-0.008009526,-0.9536573,-0.27411518,-1.6052243,0.1866681,-1.5624626,-0.020522421,0.38122812,-0.21374615,-5.879389,-4.010284,-8.516206,-2.0426257,-1.1634616,-3.610364,-1.3967029,-1.8920825,5.598293,-0.76535356,-0.17042363,-3.1757107,JE-TMA-41
JE-TMA-41_scene01_cell1438,-1.9980763,0.80981904,-4.227518,-0.08044872,0.037019294,0.8881376,-1.6838855,-0.13710487,-0.9850223,-0.38058448,-0.7992857,-3.2611158,-5.1003156,-4.174608,-7.9036727,-2.0145097,-1.182096,-3.6045144,-1.4695537,-1.9123639,-5.4591975,-0.76702696,-1.7379903,-0.557679,JE-TMA-41
