,HER2,Vim,CD20,CD3,CD31,CD4,CD44,CD45,CD68,CD8,PD1,PDPN,aSMA,CK14,CK17,CK19,CK5,CK7,Ecad,DAPI2,ER,Ki67,LamAC,PCNA,pHH3,batch
JE-TMA-41_scene01_cell2077,89.56853786674003,303.463532207105,2284.590488051985,1548.968030357703,1645.6388157828237,3980.849591873768,936.8521046504128,880.244401159396,191.40376830605732,5292.923204222658,-51.479878995042384,58.36799190708604,-53.0839283900109,33.89321760897474,52.25807458202951,274.17241111278736,14.726318825869384,62.58306117452776,617.9974016811727,7462.054874118092,30.15400279890514,-259.19307730897617,836.9262527921115,11.011783772192075,82.22653475799312,JE-TMA-41
JE-TMA-41_scene01_cell3182,186.06684864916485,3568.9972101403678,2007.5891625580725,2659.894772973533,208.13013977200626,17837.436837287256,826.6447234151158,2603.8074353436687,393.55022053756784,5035.661410615283,316.1767809202008,350.23945443362913,221.1822787461133,53.555573901520404,85.87815027507702,284.41161927333314,90.56219370297583,63.56453321831714,652.9026864883951,8845.372814123359,91.65568420882965,-207.20902632478783,915.963734737183,226.78203751661476,140.61129565708148,JE-TMA-41
JE-TMA-41_scene01_cell2387,105.52088634615052,2301.688645591159,2527.682883591803,2520.983350407649,244.59805281431113,2426.7334674513613,730.4854715600349,2630.4577151291824,307.157067528012,2185.856240087103,56.89126529511245,129.75618637705298,57.047772401854274,55.35559276890825,55.715405028091425,265.1432495024278,29.32601609082201,93.34281253852123,632.9130739343611,10618.65819415761,98.75823656267141,-234.7821321270212,1201.608863447781,123.19606465105869,107.4925338347761,JE-TMA-41
JE-TMA-41_scene01_cell2004,18.55268215400281,1240.5691833990154,1830.6518726800382,1640.4239183337518,350.29514156576596,1213.9705584285948,841.3392405027065,1692.7690536866291,50.67026254202784,134.42452194761591,-75.79884724442195,35.162228647677125,-50.71534294828285,9.134319060460427,51.92246676553799,260.2958229333933,12.807438619342179,33.27116409611517,638.6620651284661,6701.947525620216,18.086052053078447,5.33960726177861,950.4930642624277,12.918745439092845,82.19494948962638,JE-TMA-41
JE-TMA-41_scene01_cell2704,137.06489256836846,860.1762010852071,10789.711981721328,1066.8452795177966,253.8839980459192,842.5882874457391,804.2631183292541,3932.582890747036,648.2293882048177,440.32269175325416,85.76205203109481,779.5540195032547,8.5251617762774,52.04048527145898,55.2437201114127,266.67822769168697,34.99135931573369,99.7515267161939,636.2536710613335,8978.746233068225,71.48418056437589,-226.59134122545402,922.381570757892,105.56319210658398,97.89795707282896,JE-TMA-41
JE-TMA-41_scene01_cell1970,109.67167762124575,112.27621529453216,15421.85192021246,1236.3610517083794,121.08001459191206,521.4812666156151,496.5723453617656,3761.4518333906663,306.18008228529436,288.51712295155477,103.31612344032126,71.71937545801677,-19.664196611355237,65.04792978163573,55.79757330264965,263.3403173500981,46.013825622836066,93.33162348229098,700.4563657014819,12260.324211179817,75.46103501788264,7909.2209380659715,919.0063655945553,4618.307160208644,106.32385955830028,JE-TMA-41
JE-TMA-41_scene01_cell365,89.24277941639923,418.3051058208262,16564.10912140124,1422.5902181924025,47.05295207615549,1837.1953983782944,573.6538958814551,2304.4144669252823,1131.8443963178322,349.70215262051767,1047.3548999694372,165.5956761384971,-52.60695763724431,50.81537696909675,51.92246676553799,262.8991777999979,53.18665887781981,63.03082802362496,912.0184162178357,8374.032404991336,45.61752616172305,530.2393059138874,879.2609185702215,563.1807567814809,204.15724363837916,JE-TMA-41
JE-TMA-41_scene01_cell1513,-77.49840556797938,837.1784537016958,3836.0466593321676,1408.431025012853,300.10459304510243,5058.563509516115,920.8306371447555,2350.093024434411,178.8118597796934,429.99771098486764,78.37479946352892,25.856145933165635,-53.0839283900109,-13.239639410623852,51.92246676553799,281.97579848406735,12.611214180567345,-1.762272870023935,737.0756808140995,5193.06658794874,2.0814600502955614,-276.6033282555004,899.6426065602136,10.81736227292231,82.19494948962638,JE-TMA-41
JE-TMA-41_scene01_cell788,93.31841900714983,46.93701939506957,20116.948752074506,1222.1009188507273,72.15155492246848,491.1355712787331,536.4344787664068,2601.804255711321,73.93210334337783,394.6921522020126,380.59573984238193,308.8098518685154,-53.059830679447714,61.836760190693326,52.06917715658204,256.2843572196484,76.41110120019016,67.61055988865519,723.8216031055906,8455.37979411202,82.67497543444603,3952.698826410434,861.252216270792,1058.896761472202,98.952060197587,JE-TMA-41
JE-TMA-41_scene01_cell1438,158.76366633025066,729.0985769572653,1732.5926025549118,1115.5490747565477,138.80834840697287,947.7748656752353,516.7074806117882,939.710455565831,163.43254090679812,167.45720558344266,-4.573649789173885,111.54033767385863,13.320011488631565,50.25548804608758,76.2227437930112,282.74215124311854,67.76762101459303,71.06035052433936,644.3174550504143,3919.7453127766735,79.96060476182936,13.587340223293722,859.4003186807091,316.67481577622164,177.98091982665446,JE-TMA-41
JE-TMA-41_scene01_cell2057,101.37559226678854,1375.8947637348049,5928.8786084817275,1491.0743183145612,334.3360711487782,2194.7215392504304,787.3862872075067,2470.5047858780517,301.43864467562753,583.3053700559052,56.80244770218917,30.365456720306554,-46.72456318367978,41.146349786572216,52.053883081862864,257.8691933894265,18.074838356997816,70.70166774407471,660.2713659481806,6719.234112266511,73.62636318525563,-183.05141756109788,963.2021497461755,153.5649995430598,88.6804581357497,JE-TMA-41
JE-TMA-41_scene01_cell2446,101.42476357384612,1601.77080825653,2355.6440425757983,3742.1117877004767,229.00710601449174,4340.401334328175,1049.4202725198359,3502.1252130245084,188.4796940351675,999.8911972391484,-6.455449383340294,192.60083000081949,19.189683075877042,58.59049163277558,57.23079803949179,262.2442261519161,47.506277150444475,95.20941565508338,641.9160453631148,9669.444126590997,122.13084086517361,-104.76251462992741,980.3177451767217,188.01491417388627,107.9814773221618,JE-TMA-41
JE-TMA-41_scene01_cell634,94.60745888561644,152.94436536943726,17864.926375924464,1325.0859606157653,170.24753270678303,742.6227894485107,492.24204763769364,1975.8345926284812,113.27853857607906,201.63092115787097,1360.1612335684315,396.48600630081415,-50.55207792699389,70.52313374186963,54.28868470273261,259.13388460805595,80.72112804840867,69.35389157429154,827.1919061700239,10036.52418193263,71.19320356491073,313.9456893642234,875.0085436945429,273.72317398512007,105.79721192809937,JE-TMA-41
JE-TMA-41_scene01_cell1095,89.21381117901092,48.42369396899437,18448.13314672358,1843.0836877908173,79.46598767356687,2594.5881229940796,518.2337334355652,3147.158475686145,77.76732911361441,435.78158924713495,3665.604444228667,291.4267912052385,-53.0839283900109,65.12380417375726,52.3656654815768,264.0784930092268,68.37739183692929,70.63873409808912,700.5520305404073,9029.680241264785,67.4949760056324,51.565754062260794,889.9437084365934,547.3958599475461,95.6245825274909,JE-TMA-41
JE-TMA-41_scene01_cell863,93.53052206035625,41.472232552317564,19942.39464348979,1247.8450763820263,60.12099563213148,364.298136063931,523.9311583894549,2705.3545901368198,76.81644457967431,523.408525565466,318.8065496044108,205.9003249939949,-52.68925114452088,50.438219666061,52.393045615783194,257.7354074731659,83.93124674641865,65.89050143997747,707.1683547210546,7539.3953417172315,62.90451865025352,3588.0194179288,863.1972893082244,1412.1831549484168,116.20811992144382,JE-TMA-41
JE-TMA-41_scene01_cell2940,82.8994940647085,2957.5035169012517,3167.4144371328757,3583.23673990987,392.783102227753,4755.330149093188,1286.696812164435,4095.6406106580416,46.48998023498109,1958.802503775237,314.81208193269066,105.69601937194093,148.28148164331407,49.248976512713,59.80108208684334,258.0260680356737,56.62060248398643,64.49640257740066,659.1678339345569,12897.186595650484,89.97593325373904,-157.55599210906803,1450.2912295845476,171.70523930120794,134.30027643430347,JE-TMA-41
