,HER2_cellmem25,Vim_nucadj2,CD20_perinuc5,CD3_perinuc5,CD31_perinuc5,CD4_perinuc5,CD44_perinuc5,CD45_perinuc5,CD68_perinuc5,CD8_perinuc5,PD1_perinuc5,PDPN_perinuc5,aSMA_perinuc5,CK14_cytoplasm,CK17_cytoplasm,CK19_cytoplasm,CK5_cytoplasm,CK7_cytoplasm,Ecad_cytoplasm,DAPI2_nuclei,ER_nuclei,Ki67_nuclei,LamAC_nuclei,PCNA_nuclei,pHH3_nuclei,batch
JE-TMA-41_scene01_cell2077,89.568535,303.46353,2284.5906,1548.968,1645.6388,3980.8496,936.8521,880.2444,191.40376,5292.9233,-51.479877,58.367992,-53.083927,33.89322,52.258076,274.17242,14.726318,62.58306,617.9974,7462.0547,30.154003,-259.19308,836.9263,11.011784,82.22653,JE-TMA-41
JE-TMA-41_scene01_cell3182,186.06685,3568.9973,2007.5891,2659.8948,208.13014,17837.438,826.6447,2603.8074,393.55023,5035.6616,316.1768,350.23944,221.18228,53.555573,85.87815,284.41162,90.562195,63.564533,652.9027,8845.373,91.655685,-207.20903,915.96375,226.78204,140.6113,JE-TMA-41
JE-TMA-41_scene01_cell2387,105.52089,2301.6887,2527.6829,2520.9834,244.59805,2426.7334,730.4855,2630.4578,307.15707,2185.8562,56.891266,129.75618,57.04777,55.355595,55.715405,265.14325,29.326015,93.34281,632.9131,10618.658,98.75824,-234.78214,1201.6089,123.19607,107.49253,JE-TMA-41
JE-TMA-41_scene01_cell2004,18.552683,1240.5692,1830.6519,1640.424,350.29514,1213.9706,841.33923,1692.769,50.67026,134.42451,-75.79885,35.162228,-50.715343,9.134319,51.922466,260.29584,12.807439,33.271164,638.66205,6701.9478,18.086052,5.3396072,950.49304,12.918745,82.19495,JE-TMA-41
JE-TMA-41_scene01_cell2704,137.0649,860.1762,10789.712,1066.8453,253.884,842.5883,804.2631,3932.583,648.2294,440.3227,85.762054,779.554,8.525162,52.040485,55.24372,266.67822,34.99136,99.751526,636.25366,8978.746,71.484184,-226.59134,922.3816,105.563194,97.89796,JE-TMA-41
JE-TMA-41_scene01_cell1970,109.67168,112.276215,15421.852,1236.3611,121.08002,521.48126,496.57236,3761.452,306.18008,288.51712,103.316124,71.719376,-19.664196,65.04793,55.797573,263.34033,46.013824,93.33163,700.45636,12260.324,75.46104,7909.2207,919.00635,4618.307,106.32386,JE-TMA-41
JE-TMA-41_scene01_cell365,89.24278,418.3051,16564.11,1422.5902,47.05295,1837.1954,573.6539,2304.4146,1131.8444,349.70215,1047.3549,165.59567,-52.606956,50.815376,51.922466,262.89917,53.18666,63.030827,912.01843,8374.032,45.617527,530.2393,879.2609,563.1808,204.15724,JE-TMA-41
JE-TMA-41_scene01_cell1513,-77.498405,837.17847,3836.0466,1408.431,300.10458,5058.5635,920.8306,2350.093,178.81186,429.9977,78.3748,25.856146,-53.083927,-13.239639,51.922466,281.9758,12.611215,-1.7622728,737.0757,5193.0664,2.08146,-276.60333,899.6426,10.817362,82.19495,JE-TMA-41
JE-TMA-41_scene01_cell788,93.31842,46.93702,20116.95,1222.101,72.15156,491.13556,536.4345,2601.8042,73.932106,394.69214,380.59573,308.80984,-53.05983,61.83676,52.069176,256.28436,76.4111,67.61056,723.8216,8455.38,82.67497,3952.6987,861.2522,1058.8967,98.95206,JE-TMA-41
JE-TMA-41_scene01_cell1438,158.76367,729.0986,1732.5927,1115.5491,138.80835,947.77484,516.70746,939.71045,163.43254,167.4572,-4.57365,111.54034,13.320011,50.25549,76.22274,282.74216,67.767624,71.06035,644.31744,3919.7454,79.9606,13.58734,859.4003,316.6748,177.98093,JE-TMA-41
JE-TMA-41_scene01_cell2057,101.375595,1375.8948,5928.8784,1491.0743,334.33606,2194.7214,787.3863,2470.505,301.43866,583.30536,56.80245,30.365458,-46.724564,41.14635,52.053883,257.8692,18.074839,70.70167,660.27136,6719.234,73.626366,-183.05142,963.20215,153.565,88.68046,JE-TMA-41
JE-TMA-41_scene01_cell2446,101.42477,1601.7708,2355.644,3742.1118,229.00711,4340.4014,1049.4203,3502.1252,188.47969,999.8912,-6.4554496,192.60083,19.189684,58.590492,57.230797,262.24423,47.50628,95.20942,641.916,9669.444,122.130844,-104.76251,980.31775,188.01491,107.981476,JE-TMA-41
JE-TMA-41_scene01_cell634,94.60746,152.94437,17864.926,1325.0859,170.24753,742.6228,492.24203,1975.8346,113.27854,201.63092,1360.1613,396.486,-50.55208,70.52313,54.288685,259.13388,80.72113,69.35389,827.1919,10036.524,71.19321,313.94568,875.00854,273.72318,105.79721,JE-TMA-41
JE-TMA-41_scene01_cell1095,89.21381,48.423695,18448.133,1843.0837,79.46599,2594.5881,518.2337,3147.1584,77.76733,435.7816,3665.6045,291.4268,-53.083927,65.1238,52.365665,264.0785,68.377396,70.63873,700.552,9029.681,67.49497,51.565754,889.9437,547.3959,95.62458,JE-TMA-41
JE-TMA-41_scene01_cell863,93.530525,41.472233,19942.395,1247.8451,60.120995,364.29813,523.93115,2705.3545,76.816444,523.4085,318.80655,205.90033,-52.68925,50.43822,52.393047,257.7354,83.931244,65.8905,707.16833,7539.3955,62.90452,3588.0195,863.19727,1412.1831,116.20812,JE-TMA-41
JE-TMA-41_scene01_cell2940,82.89949,2957.5034,3167.4146,3583.2368,392.7831,4755.33,1286.6968,4095.6406,46.48998,1958.8025,314.81207,105.69602,148.28148,49.248978,59.801083,258.02606,56.6206,64.4964,659.16785,12897.187,89.97594,-157.55598,1450.2913,171.70525,134.30028,JE-TMA-41
JE-TMA-41_scene01_cell3617,117.6912,410.996,2489.4185,1343.3186,57.496742,1559.3462,647.98236,1183.2343,130.20119,273.64456,21.536062,238.66675,-24.589926,3385.035,1922.3088,286.09903,9341.688,98.778275,2567.7654,9585.612,67.23096,-213.85605,969.76196,308.01703,98.81299,JE-TMA-41
JE-TMA-41_scene01_cell1731,271.1884,1685.4053,3584.2515,2460.5889,261.73724,3314.4883,1423.0201,4511.673,406.3271,876.9585,153.65744,470.82986,174.78503,77.37687,73.77456,275.32983,75.103546,102.61176,689.7151,12334.274,140.22511,-78.38044,1001.1327,524.7423,180.09575,JE-TMA-41
JE-TMA-41_scene01_cell2555,159.72015,662.53625,2122.57,1374.222,100.56268,1892.9674,531.7699,1679.7971,96.27369,153.75691,-10.922962,263.21832,5.845812,24.489521,64.28414,275.6975,12.633047,61.59899,642.72406,9322.825,116.98821,-251.10844,909.0492,207.90996,88.03767,JE-TMA-41
JE-TMA-41_scene01_cell3239,91.397995,2305.87,2054.7874,1983.6492,45.76065,4737.3364,697.9661,1612.0197,173.04216,1120.2737,102.05454,316.80756,75.662605,56.808743,56.312916,264.5005,76.15181,74.600464,653.13904,9937.387,55.78124,-256.86996,1124.6123,212.97372,111.73951,JE-TMA-41
JE-TMA-41_scene01_cell1076,137.39464,669.119,13946.361,2002.4503,316.5925,2755.383,1027.291,3450.809,241.92584,448.84332,675.0915,325.00616,-34.291718,56.764717,56.280773,282.11667,75.27519,74.05968,742.8293,8002.3926,53.274246,-261.8469,898.0315,271.838,116.020775,JE-TMA-41
JE-TMA-41_scene01_cell2542,105.04707,4485.8755,3238.2534,2407.4812,166.50346,4592.892,714.6552,2997.88,159.48375,692.1124,105.78806,101.157585,111.333916,48.4179,60.185314,272.24957,382.84628,79.54293,634.1525,6991.5933,103.35487,-237.91876,1152.9888,83.108215,88.51172,JE-TMA-41
JE-TMA-41_scene01_cell2411,106.831825,2294.6985,2163.9746,4486.049,116.05911,7922.4785,1190.6997,4102.813,126.84616,1735.2393,39.802147,369.41968,68.72508,52.055267,54.343456,259.77805,31.304438,88.785446,651.2904,9630.637,115.65229,-237.47734,985.52344,96.6177,90.637695,JE-TMA-41
JE-TMA-41_scene01_cell977,86.41954,284.70782,19944.346,1292.9966,143.10431,901.1235,760.2883,3578.2031,200.87625,379.77975,589.68506,214.3878,-53.083927,65.223206,52.101097,260.03705,54.30076,70.28682,733.8916,10242.724,78.710266,392.04446,887.46387,479.33844,102.137146,JE-TMA-41
JE-TMA-41_scene01_cell1518,76.87637,474.00583,4149.738,1550.515,190.03337,493.82437,563.0416,1190.2642,73.178566,970.47,135.3205,52.80242,-30.489079,61.315426,63.490868,262.7143,71.88425,72.76893,613.0581,4854.0776,50.135906,-245.28581,847.1549,236.95702,94.56081,JE-TMA-41
JE-TMA-41_scene01_cell2332,119.23092,1503.665,2198.9858,4632.4033,275.1608,12034.56,1037.4688,4714.589,163.16621,1283.4673,84.53504,86.30946,1.9802779,54.16125,53.4048,268.21136,28.660074,87.96219,642.8666,11390.329,117.11209,-230.49565,950.73157,143.5044,106.85168,JE-TMA-41
JE-TMA-41_scene01_cell1183,112.05718,527.98413,14392.215,1046.5483,204.3028,345.3157,1082.758,2221.3599,202.67664,458.94495,100.15889,156.27611,-52.66106,54.422894,52.470722,268.1831,64.98559,72.30151,665.92676,8232.806,41.420918,-266.89203,918.24963,227.28789,110.408844,JE-TMA-41
JE-TMA-41_scene01_cell2294,-71.77168,513.81824,1723.4159,1209.3208,41.624165,1300.5953,508.28928,620.4827,26.775747,-207.51009,-77.767624,25.57401,-53.083927,-7.8499947,51.922466,256.15216,12.611215,15.265999,592.64825,3111.7463,8.524218,24.824175,898.2818,13.409718,82.19495,JE-TMA-41
JE-TMA-41_scene01_cell3345,170.24216,795.2444,5502.9966,1141.3363,237.94254,788.4167,805.70294,2188.6372,258.61783,534.3871,524.1358,720.5604,53.203888,666.6586,351.12357,705.83276,6639.709,205.59709,1718.8184,5977.4927,122.285645,9796.906,955.46954,1589.4412,142.4215,JE-TMA-41
JE-TMA-41_scene01_cell235,112.01561,649.0721,7610.5537,1534.4802,289.15424,2784.7373,583.7776,2642.2024,217.68527,541.51917,2660.5542,238.70158,-52.93059,50.85429,52.669968,294.6837,71.616,68.32466,959.35516,5911.64,66.01734,-96.19285,1036.0183,290.68564,94.279785,JE-TMA-41
