,HER2_cellmem25,Vim_nucadj2,CD20_perinuc5,CD3_perinuc5,CD31_perinuc5,CD4_perinuc5,CD44_perinuc5,CD45_perinuc5,CD68_perinuc5,CD8_perinuc5,PD1_perinuc5,PDPN_perinuc5,aSMA_perinuc5,CK14_cytoplasm,CK17_cytoplasm,CK19_cytoplasm,CK5_cytoplasm,CK7_cytoplasm,Ecad_cytoplasm,DAPI2_nuclei,ER_nuclei,Ki67_nuclei,LamAC_nuclei,PCNA_nuclei,pHH3_nuclei,batch
JE-TMA-41_scene01_cell2077,90.08360589737879,303.8376127239043,2285.541242805636,1548.7763268948788,1644.9349493379077,3978.7341842175906,936.8917582806018,880.6648006544893,191.4852553397652,5289.5861699076195,-51.269523115777645,58.478483313031404,-52.70665280170482,34.29377472525266,52.52538254708304,275.3805408333103,15.214001614787094,64.1753834901233,619.1639576791817,7460.5607999522235,30.365425439121964,-257.28747360535203,837.5276752429111,11.827696744105197,82.3281481232673,JE-TMA-41
JE-TMA-41_scene01_cell3182,186.52332169536965,3565.3636821888385,2008.7197780942797,2659.0038028920794,208.1082672106212,17826.503834876803,826.7571366636731,2603.3420416994686,393.521087072627,5032.500593726206,316.1565558892672,350.2587526972529,221.38610003934747,53.93306101447541,86.12150301795629,285.61375832640897,90.99773159368374,65.15616829994087,654.0457507353622,8843.009727805682,91.82782342833201,-205.346835530587,916.5123126864777,227.44890060135322,140.67114960351475,JE-TMA-41
JE-TMA-41_scene01_cell2387,106.02627334318208,2299.6104267356895,2528.475562575181,2520.179864826495,244.55887720709435,2425.6070024545843,730.6613950351255,2629.978736561678,307.1752132090693,2184.6463853917894,57.033652044236504,129.84436942054435,57.35539456229924,55.730971412969325,55.98024795028675,266.3566387080946,29.803659641631384,94.9135965417172,634.0696084353185,10615.180353910775,98.92584098233974,-232.89691164565897,1201.9664947647561,123.9344830606226,107.57607353602643,JE-TMA-41
JE-TMA-41_scene01_cell2004,19.110877934497353,1239.7932071363866,1831.8974989896233,1640.1746918370322,350.20581589086777,1213.6159792269914,841.4419521291118,1692.771898562285,50.828779175365014,134.61927814147765,-75.57324429053415,35.27996790355019,-50.33956709995249,9.563921363266786,52.190012237276676,261.5120572948656,13.296441571324067,34.88400977136371,639.8146935300745,6700.931602320938,18.30518265875486,7.024283656934358,951.0185260319151,13.733340839350603,82.29658502397773,JE-TMA-41
JE-TMA-41_scene01_cell2704,137.5511247548908,859.8670492340356,10785.13581220893,1066.9571222439383,253.84042155944724,842.4700612346986,804.390324629961,3931.4348123318296,648.060836062012,440.3080131462227,85.8863334459702,779.4392122372378,8.863472293916459,52.41975133717324,55.50890052891725,267.89071548927404,35.4651082594296,101.31782359245017,637.4079316021409,8976.298948184567,71.6692068454426,-224.712956606724,922.9258689065566,106.31379047013502,97.9883628102804,JE-TMA-41
JE-TMA-41_scene01_cell1970,110.17454015238218,112.88493556692771,15414.265419705116,1236.3661662588968,121.0994396066353,521.5673559557313,496.9027439323462,3760.3916539061192,306.19875818213006,288.60637923873895,103.42939340897772,71.82569561912248,-19.308057500664802,65.41193390787373,56.0623579831726,264.5547740598272,46.4799937123546,94.90241968061491,701.567328741126,12255.814563536704,75.64351904195746,7904.304148017766,919.5528811845369,4615.94028176129,106.408238862312,JE-TMA-41
JE-TMA-41_scene01_cell365,89.7580514504649,418.5382535776256,16555.780974190006,1422.4780688088395,47.1074935675923,1836.4442166092417,573.9333553346289,2304.103078832475,1131.4111375422283,349.74951500362295,1046.8760459157972,165.67266614600302,-52.22998378249332,51.19607949453115,52.190012237276676,264.11386957160244,53.647897809503775,64.62283532481206,912.9867164028988,8371.96515062752,45.81907195468489,531.4856050013541,879.8340294356364,563.6152560565888,204.17163774704963,JE-TMA-41
JE-TMA-41_scene01_cell1513,-76.88188386824709,836.8975321271397,3835.9891356936887,1408.3278017312891,300.03907507205133,5055.762201499592,920.880853749374,2349.7580712475046,178.90024336538173,429.9901007899149,78.50371377334463,25.976793303567263,-52.70665280170482,-12.783788832098196,52.190012237276676,283.1793592162371,13.100352286941302,-0.12489734606151615,738.1619550789464,5192.998603970564,2.310813674154531,-274.6831805672939,900.2020567227461,11.633409284190066,82.29658502397773,JE-TMA-41
JE-TMA-41_scene01_cell788,93.83121435770227,47.62592958677476,20106.31212385924,1222.1150105780537,72.19419262781601,491.24096463347803,536.7385729190803,2601.3398973119233,74.07789230121935,394.70870138393434,380.53509894704257,308.8420991417239,-52.68257059916658,62.20453476081394,52.33661714696825,257.5029252273375,76.85636967979087,69.19935968337404,724.9168047593653,8453.261678938627,82.8528469816062,3951.0866174779885,861.8373406052478,1058.9887534911406,99.04170882166837,JE-TMA-41
JE-TMA-41_scene01_cell1438,159.23672452950711,728.9502810434838,1733.9020153804074,1115.6302006361389,138.81936161404144,947.589644671373,517.0245489654615,940.1003052136045,163.5293424283391,167.6293455703794,-4.392714160819708,111.63421675516832,13.655289254580964,50.636849403091105,76.47297186115236,283.94526911581556,68.21883473998923,72.64673516864923,645.4662748351868,3920.4778559911783,80.14021006246188,15.265128360265862,859.9867109402607,317.27956311895707,178.0140470401034,JE-TMA-41
JE-TMA-41_scene01_cell2057,101.88349636234875,1374.9526867525299,5927.460966100418,1490.9190917792293,334.2543111208521,2193.742690427206,787.5246382502454,2470.1080562503066,301.45992866471715,583.1927814482757,56.94489015239438,30.484696293921445,-46.35131113586846,41.53839745597509,52.32133492218463,259.08683861157215,18.560219374464168,72.2883055840689,661.4094333942114,6718.206870599868,73.81001992033015,-181.20940365761567,963.7191361839087,154.28243856388633,88.77745754813057,JE-TMA-41
JE-TMA-41_scene01_cell2446,101.93263795099335,1600.551450994038,2356.5485378848357,3740.539633655393,228.97533133547705,4338.0571256933745,1049.385599757503,3501.19826295679,188.56278345680138,999.4933679059936,-6.2733336321277875,192.66938734502878,19.521249837827156,58.96207395101817,57.49456051639277,263.4593142850922,47.97142199523921,96.77889724925353,643.0664662223348,9666.563078571582,122.28351606617633,-102.98587975194164,980.823294646552,188.70854566068704,108.06466878824169,JE-TMA-41
JE-TMA-41_scene01_cell634,95.11947120683067,153.5031763475762,17855.75208842873,1325.035171199274,170.24362499554152,742.5681634840014,492.5752812103178,1975.6919815836152,113.4027930337983,201.77966873865373,1359.4862565786104,396.49085702715496,-50.176405126479324,70.88071504585827,54.55454484167518,260.3507790443698,81.16343408192108,70.94147094910386,828.2173883936287,10033.412442639554,71.37841522971797,315.37261085091586,875.5844918663629,274.3576048451371,105.88196611331192,JE-TMA-41
JE-TMA-41_scene01_cell1095,89.7291002305916,49.11078028732982,18438.58014210582,1842.7069160353494,79.50515282005111,2593.35491714985,518.5497862212974,3146.4138852109068,77.91101357231992,435.77001518460645,3663.483566687889,291.4644728781875,-52.70665280170482,65.48771922322032,52.632895609641594,265.29250218387165,68.82818717549526,72.2254147742251,701.6629063264947,9027.201505532976,67.6825429245124,53.21182280337962,890.5096880617109,547.8412483038189,95.71661255088149,JE-TMA-41
JE-TMA-41_scene01_cell863,94.043190355516,42.1678498623603,19931.87086488164,1247.8429463459263,60.16933670231374,364.4842502670957,524.2434726213817,2704.8369752914705,76.96065204433577,523.3369411811826,318.78466729890425,205.96473216180917,-52.31222620062783,50.81936665677313,52.6602579966451,258.95312767657083,84.37134025971261,67.4805094021076,708.2747770407,7537.853010668367,63.095020982428366,3586.7119941754663,863.7811086472971,1412.0310770969081,116.285430476953,JE-TMA-41
JE-TMA-41_scene01_cell2940,83.41861114578887,2954.6202579100354,3167.7915437977995,3581.7646388066096,392.6736352110572,4752.7217787711315,1286.505402647912,4094.4086334325275,46.65078450545144,1957.7481341318728,314.7926962349995,105.79172791365286,148.53140251471018,49.63151852126475,60.06301495037468,259.24360736291897,57.079477440534106,66.08738151979469,660.3066620199486,12892.276592930506,90.14914783508513,-155.73525953484545,1450.4826186426799,172.41015065382044,134.3646441430942,JE-TMA-41
JE-TMA-41_scene01_cell3617,118.18919395843102,411.23811133225735,2490.236023120964,1343.256360516098,57.54632935657736,1558.7717948473796,648.212763463973,1183.4989608808849,130.31617661932628,273.7440036239602,21.70062248166286,238.72091455899522,-24.23067204372336,3381.5040186332685,1921.24370844962,287.30018139416075,9335.762726970757,100.3452536993027,2567.616969186471,9582.783736718779,67.41869636686414,-211.98830244906935,970.2745652691126,308.6277681080429,98.90273969754988,JE-TMA-41
JE-TMA-41_scene01_cell1731,271.59316833426806,1684.0833297796696,3584.3575903406636,2459.823349401705,261.6899368640421,3312.796923990237,1422.738745290837,4510.227059050481,406.2909496027287,876.6448595233373,153.73913658057108,470.8115044559147,175.01819601163885,77.726411344631,74.02653507074717,276.5372746200019,75.54971263301172,104.17605803761171,690.8333010696863,12329.718280299712,140.3662271235283,-76.62584130982691,1001.6243208457522,525.2033331329618,180.12735664021827,JE-TMA-41
JE-TMA-41_scene01_cell2555,160.1926256443561,662.4696545289465,2123.626018598308,1374.140350477645,100.59183926675622,1892.1806963546733,532.0770413955559,1679.8066410676552,96.40724771500302,153.9384390503069,-10.738044306490224,263.2648194809285,6.185816911798042,24.90110886686864,64.54287964014463,276.904735693199,13.122169740562867,63.19200269039766,643.8739656816192,9320.161792068728,117.14416939905851,-249.20958530214716,909.6023844215202,208.58985203334464,88.13512560577658,JE-TMA-41
