,HER2_cellmem25,Vim_nucadj2,CD20_perinuc5,CD3_perinuc5,CD31_perinuc5,CD4_perinuc5,CD44_perinuc5,CD45_perinuc5,CD68_perinuc5,CD8_perinuc5,PD1_perinuc5,PDPN_perinuc5,aSMA_perinuc5,CK14_cytoplasm,CK17_cytoplasm,CK19_cytoplasm,CK5_cytoplasm,CK7_cytoplasm,Ecad_cytoplasm,DAPI2_nuclei,ER_nuclei,Ki67_nuclei,LamAC_nuclei,PCNA_nuclei,pHH3_nuclei,batch
JE-TMA-41_scene01_cell2077,-758.3158,-280.9451,-1216.0192,315.0858,1509.3213,3382.0166,-2.1478953,-763.29626,-124.70247,4885.2793,-307.69135,-264.2786,-500.96896,-310.58084,-335.62436,-1904.2609,-601.3502,-2134.2979,-1630.0875,2539.1372,-305.74805,-2217.5605,-871.3175,-1128.5785,-112.58869,JE-TMA-41
JE-TMA-41_scene01_cell3182,-661.8175,2984.5886,-1493.0206,1426.0126,71.81259,17238.604,-112.35529,960.2667,77.444,4628.0176,59.965332,27.592848,-226.70274,-290.9185,-302.00427,-1894.0217,-525.51434,-2133.3164,-1595.1823,3922.4556,-244.24635,-2165.5764,-792.28,-912.80817,-54.203926,JE-TMA-41
JE-TMA-41_scene01_cell2387,-742.36346,1717.28,-972.9269,1287.1012,108.2805,1827.9003,-208.51453,986.9171,-8.949155,1778.2124,-199.32019,-192.89041,-390.83725,-289.11844,-332.16702,-1913.29,-586.75055,-2103.538,-1615.1719,5695.7407,-237.1438,-2193.1497,-506.6349,-1016.39417,-87.32269,JE-TMA-41
JE-TMA-41_scene01_cell2004,-829.33167,656.1606,-1669.9579,406.54172,213.97758,615.13745,-97.660774,49.228413,-265.43597,-273.2193,-332.0103,-287.48438,-498.60037,-335.33972,-335.95996,-1918.1375,-603.2691,-2163.6096,-1609.4229,1779.0303,-317.81598,-1953.0278,-757.75073,-1126.6715,-112.62028,JE-TMA-41
JE-TMA-41_scene01_cell2704,-710.81946,275.76758,7289.102,-167.03691,117.56645,243.75522,-134.73688,2289.0425,332.12314,32.678886,-170.4494,456.9074,-439.35986,-292.43356,-332.6387,-1911.7551,-581.0852,-2097.1294,-1611.8313,4055.8286,-264.41785,-2184.9587,-785.8622,-1034.0271,-96.91727,JE-TMA-41
JE-TMA-41_scene01_cell1970,-738.2127,-472.13242,11921.242,2.4788423,-15.23753,-77.351845,-442.42764,2117.9114,-9.926145,-119.126686,-152.89534,-250.92722,-467.54922,-279.42612,-332.08487,-1915.093,-570.06274,-2103.5493,-1547.6285,7337.4067,-260.441,5950.8535,-789.2374,3478.7168,-88.49136,JE-TMA-41
JE-TMA-41_scene01_cell365,-758.6416,-166.10353,13063.5,188.70796,-89.264595,1238.3623,-365.34613,660.8739,815.73816,-57.941658,791.1434,-157.05092,-500.49197,-293.65866,-335.95996,-1915.5342,-562.8899,-2133.85,-1336.0665,3451.1147,-290.28452,-1428.128,-828.98285,-576.4094,9.342018,JE-TMA-41
JE-TMA-41_scene01_cell1513,-925.38275,252.76982,335.43692,174.54878,163.78703,4459.7305,-18.16938,706.55237,-137.29437,22.353905,-177.83665,-296.79044,-500.96896,-357.71368,-335.95996,-1896.4575,-603.46533,-2198.643,-1511.0093,270.14896,-333.8206,-2234.9707,-808.6012,-1128.7728,-112.62028,JE-TMA-41
JE-TMA-41_scene01_cell788,-754.5659,-537.4716,16616.34,-11.781289,-64.16599,-107.69755,-402.5655,958.26355,-242.17412,-12.951667,124.38428,-13.836748,-500.94485,-282.6373,-335.81326,-1922.1489,-539.66547,-2129.2703,-1524.2633,3532.4624,-253.22707,1994.3313,-846.9916,-80.69351,-95.86317,JE-TMA-41
JE-TMA-41_scene01_cell1438,-689.12067,144.68993,-1768.0171,-118.33317,2.4908023,348.94174,-422.29254,-703.8302,-152.67369,-240.1866,-260.7851,-211.10626,-434.565,-294.21857,-311.6597,-1895.6912,-548.3089,-2125.8206,-1603.7675,-1003.17206,-255.94144,-1944.78,-848.84344,-822.9154,-16.834297,JE-TMA-41
JE-TMA-41_scene01_cell2057,-746.5088,791.48615,2428.2688,257.1921,198.01851,1595.8883,-151.61371,826.96423,-14.667569,175.66156,-199.40901,-292.28113,-494.6096,-303.3277,-335.82855,-1920.5641,-598.0017,-2126.1792,-1587.8136,1796.3164,-262.27567,-2141.419,-745.0416,-986.0252,-106.134766,JE-TMA-41
JE-TMA-41_scene01_cell2446,-746.4596,1017.3621,-1144.9657,2508.2295,92.68956,3741.5684,110.42028,1858.5846,-127.62654,592.2474,-262.6669,-130.04576,-428.69534,-285.88354,-330.65164,-1916.1891,-568.57025,-2101.6714,-1606.169,4746.527,-213.7712,-2063.13,-727.926,-951.5753,-86.83375,JE-TMA-41
JE-TMA-41_scene01_cell634,-753.2769,-431.46426,14364.316,91.2037,33.92998,143.7897,-446.75797,332.29398,-202.82768,-206.01288,1103.9498,73.8394,-498.4371,-273.95093,-333.59375,-1919.2994,-535.3554,-2127.5269,-1420.8931,5113.607,-264.70883,-1644.4218,-833.2352,-865.86707,-89.01801,JE-TMA-41
JE-TMA-41_scene01_cell1095,-758.67053,-535.9849,14947.523,609.2015,-56.85156,1995.755,-420.7663,1503.6178,-238.3389,28.13778,3409.393,-31.219805,-500.96896,-279.35025,-335.51675,-1914.3549,-547.69916,-2126.2422,-1547.533,4106.763,-268.40707,-1906.8016,-818.30005,-592.19434,-99.19064,JE-TMA-41
JE-TMA-41_scene01_cell863,-754.3538,-542.9364,16441.785,13.962852,-76.196556,-234.53497,-415.06885,1061.8138,-239.28978,115.7647,62.595093,-116.74626,-500.57428,-294.03583,-335.48938,-1920.6979,-532.1453,-2130.9902,-1540.9166,2616.478,-272.99753,1629.6521,-845.0465,272.59286,-78.6071,JE-TMA-41
