,HER2,Vim,CD20,CD3,CD31,CD4,CD44,CD45,CD68,CD8,PD1,PDPN,aSMA,CK14,CK17,CK19,CK5,CK7,Ecad,DAPI2,ER,Ki67,LamAC,PCNA,pHH3,batch
JE-TMA-41_scene01_cell2077,0.01318236703827499,0.024456475306738265,0.019405205068283242,0.16530803540985234,0.2375968325956025,0.22298863393044382,0.05767103500408668,0.05570880541641707,0.03123410554860212,0.7662684745556037,0.004032828340940166,0.0028736444555653596,0.0,0.002561694811593788,2.401043102539785e-05,0.0009934372796963978,7.381089116772956e-05,0.001859011609871493,0.004315675351123142,0.28554920180055493,0.00806710640393376,0.0016943068280231063,0.015310650912235602,2.4614248685220073e-05,2.621109275796949e-06,JE-TMA-41
JE-TMA-41_scene01_cell3182,0.020796537885481633,0.28583306286893867,0.012956125083409771,0.41293310462460725,0.033435973140487026,1.0,0.04536736064920917,0.15231524447355613,0.06953346601162572,0.7304291900933937,0.04874406871868857,0.028449521017048122,0.010943143632922044,0.0036290382167051423,0.0024292956591880446,0.00144947660915061,0.0027202585315743042,0.001887367470812055,0.00748873838202789,0.35426042725739126,0.025740625734106664,0.004056522268351684,0.03589156750544681,0.02734166760074968,0.004847691199638856,JE-TMA-41
JE-TMA-41_scene01_cell2387,0.014441081927981497,0.18439642901331119,0.025064828585840124,0.38196982199436375,0.038615297086163805,0.13584121963632093,0.03463203578018954,0.15380900443703951,0.05316512257521939,0.3334212367168349,0.017211995348818603,0.009129191420192813,0.0043942234245254765,0.0037267498059500802,0.0002713586550186891,0.0005912918335600342,0.0005832971480527083,0.0027476965671878375,0.005671581237727638,0.442341799418936,0.02778166178326023,0.002803568314146256,0.11027191491799831,0.014227425577285405,0.002099324582729201,JE-TMA-41
JE-TMA-41_scene01_cell2004,0.0075788821731042864,0.09946335457266844,0.008836709842778297,0.1856935010805073,0.05362682629984338,0.067835253793617,0.04700787066963484,0.10125114007353184,0.004570251846900478,0.047635104551680275,0.0010753646266424986,0.000840188566351641,9.45058849199314e-05,0.001217692639824347,0.0,0.000375394930119061,6.847652103339925e-06,0.0010121567567466158,0.006194196652669119,0.24779368551778896,0.004599182757947479,0.013714977073827597,0.0448828059792602,0.00026604035742811027,0.0,JE-TMA-41
JE-TMA-41_scene01_cell2704,0.016930052706896237,0.06901631809007563,0.21741947596054015,0.057843079677161124,0.03993412178394439,0.04700990674541195,0.042868653031363876,0.22679368645778517,0.11778585699326474,0.09024995361773058,0.02072301229283165,0.06606915199958194,0.0024581851690214577,0.0035467938549326172,0.0002376128474270989,0.0006596580429277053,0.0007810008233020077,0.002932851812663696,0.00597526072834198,0.36088525535398697,0.019944012833145952,0.003175767297413768,0.03756273478792574,0.011995059128228906,0.001303116960295361,JE-TMA-41
JE-TMA-41_scene01_cell1970,0.014768599155179137,0.00915365021179031,0.32526388011034046,0.0956280623117583,0.021072758055558315,0.02900375639152092,0.008517714069753525,0.2172017009292799,0.052980020053057034,0.0691018313118713,0.02285778671642304,0.004043588689020208,0.0013334377911491911,0.004252884766139505,0.0002772372386213995,0.0005109920198498874,0.0011656522787474506,0.0027473733979075593,0.011811600999295027,0.5238855184458195,0.021086826971745028,0.37287645698519944,0.03668384506728978,0.5833197165562365,0.0020023420598434217,JE-TMA-41
JE-TMA-41_scene01_cell365,0.013156663089376066,0.033648510709996575,0.35185763996923075,0.13713845339422492,0.010559132821181075,0.10278273240105756,0.01712318409862901,0.13553414146597728,0.20941321769239934,0.07762555462654987,0.1376636581230256,0.012269705603038937,1.903099713603372e-05,0.0034802906173283486,0.0,0.0004913443690317317,0.0014159629145948146,0.0018719481211158056,0.031043622702225812,0.33084832904741085,0.012510804275408809,0.0375670271485004,0.026334368329718805,0.06993058895821298,0.010121063687946595,JE-TMA-41
JE-TMA-41_scene01_cell1513,0.0,0.06717555494153837,0.05552584841197839,0.13398239692257957,0.046498562786731236,0.283421700078538,0.05588238357344084,0.13809444288005016,0.028848399735956383,0.08881157773840218,0.01982463764222164,2.4722649668325482e-05,0.0,3.1536362391058287e-06,0.0,0.0013409882720053917,0.0,0.0,0.01514047565890106,0.17284560662154025,0.0,0.0009031649197435242,0.03164163527272515,0.0,0.0,JE-TMA-41
JE-TMA-41_scene01_cell788,0.013478250462544014,0.0039238356147194035,0.434574056178695,0.09244948886394866,0.014123739051783771,0.027302114358142032,0.012967967098542272,0.1522029559303316,0.00897752014533888,0.08389313331494154,0.056578148642533264,0.0248191616333401,9.614917522175322e-07,0.004078571065376008,1.0496119781584285e-05,0.00019673000633661265,0.002226427313206517,0.0020042619293185134,0.013935611232910955,0.3348889525261344,0.023159870960887226,0.19308753350956523,0.021645001401089742,0.13268948004525594,0.0013905919630299466,JE-TMA-41
JE-TMA-41_scene01_cell1438,0.018642188249995834,0.05852473401509866,0.006553716554906587,0.06869911400102752,0.023590609886595594,0.052908268604587194,0.010765622997692664,0.05904190108515103,0.025934580297263345,0.05223690713927136,0.009737160217436258,0.007532988329929577,0.0026494982139468044,0.003449897797719338,0.001738517823382485,0.0013751198895779262,0.0019247953974389563,0.002103930384123774,0.006708295819489549,0.10959807875762144,0.022379852364943224,0.014089763638292136,0.021162773979011174,0.038722317804508674,0.007948816314539933,JE-TMA-41
