,HER2,Vim,CD20,CD3,CD31,CD4,CD44,CD45,CD68,CD8,PD1,PDPN,aSMA,CK14,CK17,CK19,CK5,CK7,Ecad,DAPI2,ER,Ki67,LamAC,PCNA,pHH3,batch
JE-TMA-41_scene01_cell2077,-495.70108,-336.8023,-1239.5621,288.07053,768.0066,3236.7532,-2.3208249,-338.15643,-83.78325,5581.3906,-278.78952,-111.357315,-455.65082,-423.69498,-444.99796,-1444.7356,-605.35394,-2546.7695,-1880.3429,2035.6603,-290.21222,-3444.516,-934.33734,-1375.8136,-150.45367,JE-TMA-41
JE-TMA-41_scene01_cell3182,-432.6214,3577.9805,-1521.9264,1303.747,36.54129,16498.178,-121.400475,425.41864,52.031956,5287.471,54.33271,11.626625,-206.195,-396.87155,-400.42172,-1436.9673,-529.0132,-2545.5984,-1840.0789,3144.6846,-231.83559,-3363.7698,-849.5833,-1112.775,-72.43339,JE-TMA-41
JE-TMA-41_scene01_cell2387,-485.27325,2058.7073,-991.76324,1176.7457,55.09771,1749.389,-225.30106,437.22528,-6.012614,2031.5928,-180.59781,-81.27695,-355.48175,-394.41595,-440.41394,-1451.5859,-590.65704,-2510.0652,-1863.1373,4566.351,-225.09393,-3406.5989,-543.2783,-1239.0533,-116.69041,JE-TMA-41
JE-TMA-41_scene01_cell2004,-542.1232,786.6175,-1702.2893,371.68503,108.88087,588.7163,-105.52297,21.809258,-178.33722,-312.15073,-300.8242,-121.135376,-453.49652,-457.4711,-445.44293,-1455.2635,-607.2856,-2581.7463,-1856.5057,1426.2721,-301.66696,-3033.6199,-812.5566,-1373.4889,-150.4959,JE-TMA-41
JE-TMA-41_scene01_cell2704,-464.65335,330.59525,7430.224,-152.71523,59.822792,233.2855,-145.58392,1014.0944,223.14207,37.33536,-154.43889,192.52406,-399.61496,-398.93845,-441.03934,-1450.4213,-584.954,-2502.418,-1859.2838,3251.6118,-250.98213,-3393.876,-842.7013,-1260.549,-129.51176,JE-TMA-41
JE-TMA-41_scene01_cell1970,-482.55994,-566.0012,12152.046,2.2663352,-7.7535,-74.029434,-478.0454,938.2797,-6.6690164,-136.10123,-138.53369,-105.73153,-425.25427,-381.19366,-440.305,-1452.9537,-573.85815,-2510.0786,-1785.2246,5882.4966,-247.20735,9243.405,-846.3206,4240.7915,-118.25212,JE-TMA-41
JE-TMA-41_scene01_cell365,-495.91403,-199.12807,13316.418,172.5283,-45.421608,1185.1726,-394.7584,292.7812,548.0663,-66.197845,716.83044,-66.1755,-455.217,-400.60974,-445.44293,-1453.2885,-566.6375,-2546.2354,-1541.183,2766.8047,-275.53442,-2218.298,-888.94073,-702.6822,12.483863,JE-TMA-41
JE-TMA-41_scene01_cell1513,-604.9106,303.02512,341.93134,159.58311,83.34179,4268.1777,-19.632105,313.01776,-92.24332,25.539158,-161.13225,-125.05662,-455.65082,-487.9937,-445.44293,-1438.8153,-607.48315,-2623.5503,-1742.9834,216.58214,-316.8583,-3471.5593,-867.0849,-1376.0505,-150.4959,JE-TMA-41
JE-TMA-41_scene01_cell788,-493.24985,-644.33105,16938.043,-10.77114,-32.650375,-103.07173,-434.97415,424.5312,-162.7084,-14.797147,112.70072,-5.8302913,-455.6289,-385.57434,-445.2484,-1458.307,-543.2585,-2540.7705,-1758.2722,2832.022,-240.35997,3097.7764,-908.25195,-98.370766,-128.10315,JE-TMA-41
JE-TMA-41_scene01_cell1438,-450.46915,173.45695,-1802.2471,-108.18728,1.2674272,333.95416,-456.28928,-311.8117,-102.57615,-274.41116,-236.28926,-88.95244,-395.25385,-401.37354,-413.22363,-1438.2339,-551.9595,-2536.654,-1849.982,-804.2565,-242.93642,-3020.8088,-910.2378,-1003.18964,-22.495888,JE-TMA-41
JE-TMA-41_scene01_cell2057,-487.98297,948.8483,2475.282,235.14061,100.760216,1527.3424,-163.81943,366.36273,-9.854625,200.69186,-180.67828,-123.15656,-449.86673,-413.80023,-445.26868,-1457.1046,-601.98315,-2537.082,-1831.5789,1440.131,-248.94879,-3326.2458,-798.9283,-1202.0315,-141.82922,JE-TMA-41
