,HER2_cellmem25,Vim_nucadj2,CD20_perinuc5,CD3_perinuc5,CD31_perinuc5,CD4_perinuc5,CD44_perinuc5,CD45_perinuc5,CD68_perinuc5,CD8_perinuc5,PD1_perinuc5,PDPN_perinuc5,aSMA_perinuc5,CK14_cytoplasm,CK17_cytoplasm,CK19_cytoplasm,CK5_cytoplasm,CK7_cytoplasm,Ecad_cytoplasm,DAPI2_nuclei,ER_nuclei,Ki67_nuclei,LamAC_nuclei,PCNA_nuclei,pHH3_nuclei,batch
JE-TMA-41_scene01_cell2077,-758.3159054178133,-280.9451826850481,-1216.0191640896007,315.08685117342844,1509.3213966063324,3382.0163709236886,-2.147905268848987,-763.2964890487744,-124.70251658775771,4885.303232144577,-307.6913253800574,-264.2786152628209,-500.9689300880429,-310.5808537126609,-335.6243023288567,-1904.2614290282554,-601.3502576368838,-2134.2978254062423,-1630.0876075373596,2539.1457688172204,-305.7480793093138,-2217.5721625455644,-871.3175304519435,-1128.578771378933,-112.58870613407836,JE-TMA-41
JE-TMA-41_scene01_cell3182,-661.8175751971941,2984.588803961825,-1493.0204924969682,1426.0171752410533,71.81260520052929,17238.60426813663,-112.35546829417638,960.2672992876923,77.44407525828645,4628.040185235695,59.965327824562216,27.592888118636928,-226.70273967398404,-290.91849531353165,-302.00422137739133,-1894.0222583784234,-525.5143984312967,-2133.316359651933,-1595.1823196696332,3922.468098186241,-244.2463838914788,-2165.587841323688,-792.2800483128078,-912.8084423838114,-54.203934970254736,JE-TMA-41
JE-TMA-41_scene01_cell2387,-742.3635770676937,1717.2801097258546,-972.9267061170582,1287.1053090205767,108.28052231138264,1827.9003867790802,-208.5148867901254,986.9175907341466,-8.949137716988462,1778.2211313202229,-199.32018503969906,-192.89041421969966,-390.8372460507584,-289.11847066072323,-332.16696774246805,-1913.2906533679147,-586.7505601060486,-2103.5380707744653,-1615.1719339763615,5695.759300164131,-237.14383108024066,-2193.161126149127,-506.63491890085294,-1016.394446070556,-87.32270501255196,JE-TMA-41
JE-TMA-41_scene01_cell2004,-829.3317987783329,656.160589859536,-1669.9577842360002,406.543031240826,213.97762285494986,615.1374876895023,-97.66092682048037,49.228501780718624,-265.43611782590364,-273.2206074845609,-332.01030363312026,-287.48438778863584,-498.6003711210986,-335.3397437286511,-335.959910685241,-1918.138000773042,-603.2691228389066,-2163.609831095452,-1609.4229422781837,1779.0359247807291,-317.81602580866723,-1953.0380338258392,-757.7507187027819,-1126.671816087528,-112.62030134578745,JE-TMA-41
JE-TMA-41_scene01_cell2704,-710.8195644913902,275.7675431628127,7289.102299283382,-167.03742277784605,117.56646857897869,243.75520380487697,-134.73711758411866,2289.0433361023015,332.1234202978409,32.67905590321713,-170.44939767354583,456.9075380465332,-439.3598566859477,-292.43358969848674,-332.63865158084565,-1911.7555339868836,-581.0852148832287,-2097.1293878846936,-1611.8312836445116,4055.8419550146746,-264.4178968727718,-2184.970149839142,-785.862212276341,-1034.0272737944638,-96.91728701049357,JE-TMA-41
JE-TMA-41_scene01_cell1970,-738.2127849564814,-472.13250643409435,11921.24276550196,2.478883248773122,-15.237525942917793,-77.35181439520568,-442.4284011760501,2117.9122038668243,-9.926123661912044,-119.12725578816031,-152.8953258811617,-250.9272251093421,-467.54920459391593,-279.42614379471956,-332.08479766961347,-1915.0935055494947,-570.062774901665,-2103.5493237693554,-1547.6286362870276,7337.430707005222,-260.44104216316015,5950.884738850083,-789.2374174479648,3478.7178367705806,-88.49137957908977,JE-TMA-41
JE-TMA-41_scene01_cell365,-758.6416756051042,-166.1035845911211,13063.499978704818,188.70865207313096,-89.26460046592335,1238.362322534651,-365.34672273662017,660.8741998686638,815.7387987191509,-57.94192804427214,791.1434880944076,-157.05091888576558,-500.4919770945717,-293.6586981321044,-335.959910685241,-1915.5346854407833,-562.8898884635046,-2133.85016080953,-1336.0665672208588,3451.126141577808,-290.2845408844824,-1428.1356013459942,-828.9828645698874,-576.4096230261623,9.342028069323117,JE-TMA-41
JE-TMA-41_scene01_cell1513,-925.3829302852718,252.76979342588618,335.43708338446305,174.5494136720224,163.78706873476995,4459.730534836455,-18.169400024701112,706.5527773646353,-137.29443416452756,22.354024834652794,-177.83665040235536,-296.7904705708978,-500.9689300880429,-357.7137157273599,-335.959910685241,-1896.458079813223,-603.4653869522454,-2198.643268586519,-1511.0093179636187,270.15001420954843,-333.82060578067507,-2234.9825256964245,-808.6011765298513,-1128.773131818999,-112.62030134578745,JE-TMA-41
JE-TMA-41_scene01_cell788,-754.5660468647058,-537.4716962916866,16616.339646746266,-11.781294892040213,-64.16599481948076,-107.6975094835399,-402.5661874967694,958.2641187788447,-242.17427733848032,-12.951706780923029,124.38428815283422,-13.836719756490211,-500.94483918059916,-282.63730813712976,-335.81320142911363,-1922.1494876620327,-539.6654836128597,-2129.2703964892335,-1524.263343922276,3532.4737977733344,-253.22710128202704,1994.3418724021378,-846.9915669135345,-80.6934520638993,-95.86318076946476,JE-TMA-41
JE-TMA-41_scene01_cell1438,-689.1207863586027,144.6899183495683,-1768.0170553924977,-118.33348033406962,2.4908093814563634,348.94179711643073,-422.2932183890855,-703.8304086227193,-152.67376409127365,-240.18776292350847,-260.78510988592313,-211.10626575517867,-434.56499439034513,-294.21858152252867,-311.6596192406881,-1895.6917268510756,-548.3089260611902,-2125.820637455793,-1603.7674989483965,-1003.1754224213656,-255.94147212944614,-1944.790316540514,-848.8434645081643,-822.9156373773183,-16.83430152563681,JE-TMA-41
