,HER2_cellmem25,Vim_nucadj2,CD20_perinuc5,CD3_perinuc5,CD31_perinuc5,CD4_perinuc5,CD44_perinuc5,CD45_perinuc5,CD68_perinuc5,CD8_perinuc5,PD1_perinuc5,PDPN_perinuc5,aSMA_perinuc5,CK14_cytoplasm,CK17_cytoplasm,CK19_cytoplasm,CK5_cytoplasm,CK7_cytoplasm,Ecad_cytoplasm,DAPI2_nuclei,ER_nuclei,Ki67_nuclei,LamAC_nuclei,PCNA_nuclei,pHH3_nuclei,batch
JE-TMA-41_scene01_cell2077,-495.7011,-336.8023,-1239.5621,288.07053,768.0066,3236.7532,-2.3208315,-338.15643,-83.78326,5581.3906,-278.78952,-111.357315,-455.65082,-423.69498,-444.99802,-1444.7356,-605.35394,-2546.7695,-1880.3429,2035.6603,-290.2122,-3444.516,-934.33716,-1375.8136,-150.45367,JE-TMA-41
JE-TMA-41_scene01_cell3182,-432.62143,3577.9805,-1521.9264,1303.747,36.54129,16498.178,-121.40048,425.41864,52.031948,5287.471,54.33272,11.626622,-206.195,-396.87155,-400.42178,-1436.9673,-529.0132,-2545.5984,-1840.0789,3144.6846,-231.83557,-3363.7698,-849.5831,-1112.775,-72.43339,JE-TMA-41
JE-TMA-41_scene01_cell2387,-485.2733,2058.7073,-991.76324,1176.7457,55.09771,1749.389,-225.30106,437.22528,-6.0126214,2031.5928,-180.5978,-81.27695,-355.48175,-394.41595,-440.414,-1451.5859,-590.65704,-2510.0652,-1863.1373,4566.351,-225.09392,-3406.5989,-543.27814,-1239.0533,-116.69041,JE-TMA-41
JE-TMA-41_scene01_cell2004,-542.1233,786.6175,-1702.2893,371.68503,108.88087,588.7163,-105.52298,21.809254,-178.33723,-312.15073,-300.8242,-121.135376,-453.49652,-457.4711,-445.443,-1455.2635,-607.2856,-2581.7463,-1856.5057,1426.2721,-301.66693,-3033.6199,-812.5564,-1373.4889,-150.4959,JE-TMA-41
JE-TMA-41_scene01_cell2704,-464.65338,330.59525,7430.224,-152.71524,59.822792,233.2855,-145.58392,1014.0944,223.14206,37.335358,-154.43887,192.52406,-399.61496,-398.93845,-441.0394,-1450.4213,-584.954,-2502.418,-1859.2838,3251.6118,-250.98212,-3393.876,-842.7011,-1260.549,-129.51176,JE-TMA-41
JE-TMA-41_scene01_cell1970,-482.55997,-566.0012,12152.046,2.2663267,-7.7535005,-74.029434,-478.0454,938.2797,-6.669024,-136.10123,-138.53368,-105.73153,-425.25427,-381.19366,-440.30505,-1452.9537,-573.85815,-2510.0786,-1785.2246,5882.4966,-247.20734,9243.405,-846.32043,4240.7915,-118.25212,JE-TMA-41
JE-TMA-41_scene01_cell365,-495.91406,-199.12805,13316.418,172.52829,-45.421608,1185.1726,-394.7584,292.7812,548.0663,-66.197845,716.83044,-66.1755,-455.217,-400.60974,-445.443,-1453.2885,-566.6375,-2546.2354,-1541.183,2766.8047,-275.5344,-2218.298,-888.94055,-702.6822,12.483864,JE-TMA-41
JE-TMA-41_scene01_cell1513,-604.91064,303.02512,341.93134,159.5831,83.34179,4268.1777,-19.63211,313.01776,-92.243324,25.539154,-161.13223,-125.05662,-455.65082,-487.9937,-445.443,-1438.8153,-607.48315,-2623.5503,-1742.9834,216.58218,-316.85828,-3471.5593,-867.0847,-1376.0505,-150.4959,JE-TMA-41
JE-TMA-41_scene01_cell788,-493.24988,-644.33105,16938.043,-10.771149,-32.650375,-103.07173,-434.97415,424.5312,-162.70842,-14.79715,112.70073,-5.830294,-455.6289,-385.57434,-445.24847,-1458.307,-543.2585,-2540.7705,-1758.2722,2832.022,-240.35995,3097.7764,-908.2518,-98.37079,-128.10315,JE-TMA-41
JE-TMA-41_scene01_cell1438,-450.46918,173.45697,-1802.2471,-108.18729,1.267427,333.95416,-456.28928,-311.8117,-102.57616,-274.41116,-236.28925,-88.95244,-395.25385,-401.37354,-413.2237,-1438.2339,-551.9595,-2536.654,-1849.982,-804.2564,-242.9364,-3020.8088,-910.2376,-1003.18964,-22.495886,JE-TMA-41
JE-TMA-41_scene01_cell2057,-487.983,948.8483,2475.282,235.1406,100.760216,1527.3424,-163.81943,366.36273,-9.854632,200.69186,-180.67827,-123.15656,-449.86673,-413.80023,-445.26874,-1457.1046,-601.98315,-2537.082,-1831.5789,1440.131,-248.94878,-3326.2458,-798.9281,-1202.0315,-141.82922,JE-TMA-41
JE-TMA-41_scene01_cell2446,-487.95087,1219.6327,-1167.1329,2293.175,47.164375,3580.8616,119.30966,823.3925,-85.74784,676.6377,-237.99428,-54.79652,-389.91516,-390.0029,-438.40475,-1453.7853,-572.3557,-2507.838,-1852.7522,3805.3535,-202.90894,-3204.6406,-780.5746,-1160.0348,-116.037025,JE-TMA-41
JE-TMA-41_scene01_cell634,-492.40723,-517.2475,14642.42,83.384,17.265017,137.6137,-482.7243,147.21332,-136.2729,-235.36798,1000.2545,31.113226,-453.34802,-373.72437,-442.30566,-1456.1451,-538.91974,-2538.6902,-1639.0322,4099.6465,-251.2583,-2554.265,-893.5005,-1055.5505,-118.95589,JE-TMA-41
