,HER2,Vim,CD20,CD3,CD31,CD4,CD44,CD45,CD68,CD8,PD1,PDPN,aSMA,CK14,CK17,CK19,CK5,CK7,Ecad,ER,Ki67,LamAC,PCNA,pHH3,batch
JE-TMA-41_scene01_cell2077,0.33507103,0.11050602,0.3471451,0.94770736,3.7923057,3.6343238,0.46008497,0.6276936,0.24876569,6.6442595,0.05930347,0.031452958,0.0,0.047936596,0.00015185466,0.14770405,0.0008516387,0.01237911,0.076308124,0.008823354,0.006586489,0.3502382,9.14688e-05,0.00012931647,JE-TMA-41
JE-TMA-41_scene01_cell3182,0.52842176,1.2915301,0.30365622,1.4895777,0.5400507,15.970815,0.37201014,0.8785324,0.55380297,6.3335,0.715772,0.31138912,0.23524117,0.06790963,0.0153641505,0.1521046,0.031386662,0.01256286,0.08100234,0.02815367,0.015769422,0.3866883,0.101604134,0.23916832,JE-TMA-41
JE-TMA-41_scene01_cell2387,0.36703426,0.833191,0.38531035,1.4218217,0.62255657,2.2506976,0.2951622,0.88241094,0.42343646,2.891072,0.25280532,0.09992192,0.09446119,0.06973809,0.0017162156,0.14382355,0.006730151,0.018137917,0.07831404,0.03038604,0.010898658,0.5184206,0.052870415,0.10357341,JE-TMA-41
JE-TMA-41_scene01_cell2004,0.19277874,0.44942287,0.27587727,0.99231625,0.86168826,1.1709771,0.3837536,0.7459443,0.036400013,0.4130406,0.015880791,0.009196132,0.0020315622,0.022786492,0.0,0.14174025,7.900901e-05,0.0068913684,0.0790872,0.005030331,0.05331593,0.40261236,0.0009886303,0.0,JE-TMA-41
JE-TMA-41_scene01_cell2704,0.43023804,0.31184864,1.6824396,0.71254516,0.6435653,0.84033626,0.35412335,1.0719157,0.9381117,0.78255093,0.3043555,0.72314805,0.052842803,0.06637061,0.0015027893,0.14448325,0.009011279,0.01933775,0.078763306,0.021813655,0.012345553,0.38964805,0.044574738,0.06429128,JE-TMA-41
JE-TMA-41_scene01_cell1970,0.37535107,0.041360557,2.4096804,0.79522884,0.3431063,0.55445534,0.10822502,1.0470102,0.4219622,0.59917706,0.33569914,0.04425837,0.028664477,0.07958357,0.0017533948,0.14304869,0.013449432,0.018135823,0.08739756,0.023063602,1.4495288,0.38809147,2.1676693,0.098788634,JE-TMA-41
JE-TMA-41_scene01_cell365,0.33441833,0.15204002,2.5890133,0.88606477,0.17562565,1.7258329,0.16982655,0.8349602,1.6678827,0.6730857,2.0213253,0.13429585,0.00040910312,0.065126136,0.0,0.1428591,0.016337546,0.01246294,0.115849316,0.013683624,0.14603895,0.3697619,0.25986847,0.49933827,JE-TMA-41
JE-TMA-41_scene01_cell1513,0.000324125,0.3035312,0.59072196,0.87915844,0.748136,4.5938106,0.44728106,0.84160805,0.22976461,0.7700789,0.2911652,0.00027059732,0.0,5.9013506e-05,0.0,0.15105774,0.0,0.0003324464,0.092322275,0.0,0.0035109848,0.37916142,0.0,0.0,JE-TMA-41
JE-TMA-41_scene01_cell788,0.34258455,0.017729761,3.1468053,0.7882733,0.23240936,0.52743864,0.14008178,0.8782408,0.07150194,0.7274314,0.8307951,0.27165368,2.0668875e-05,0.07632167,6.6383014e-05,0.14001623,0.025688779,0.013320353,0.090539806,0.025330981,0.7506131,0.36145675,0.49308625,0.068606995,JE-TMA-41
JE-TMA-41_scene01_cell1438,0.47371522,0.26444265,0.26048204,0.73630106,0.38321534,0.9339837,0.12431649,0.63634795,0.20655735,0.45294252,0.14305678,0.08245097,0.056955397,0.0645574,0.010995306,0.1513871,0.022208514,0.013966219,0.07984775,0.024477841,0.054772884,0.36060268,0.14389567,0.3921671,JE-TMA-41
