,HER2,Vim,CD20,CD3,CD31,CD4,CD44,CD45,CD68,CD8,PD1,PDPN,aSMA,CK14,CK17,CK19,CK5,CK7,Ecad,DAPI2,ER,Ki67,LamAC,PCNA,pHH3,batch
JE-TMA-41_scene01_cell2077,-0.10139757730243901,0.2463264935534623,2.2820060116644503,1.6240273646024608,18.883408173809638,19.00954481670189,0.8726303896066601,-0.5029497711318777,-0.2106825585578759,21.59613004074288,-0.9756811022092273,-0.2662759939644595,-0.41320406545212435,-1.3693948030751084,-0.26806491341660565,-0.42696359272468143,-0.8470708158102958,-0.12452312782887426,-0.19577764292012192,1.3612668469213478,-0.4280274161439082,-0.27264617062702096,-1.0222735465974644,-0.38248897685378774,-1.262010601083498,JE-TMA-41
JE-TMA-41_scene01_cell3182,0.017831232294693716,4.555549362339839,1.188917665343154,6.274619604820349,1.5324562098388261,89.85628991178818,0.6085876171205488,1.271622729228026,0.7056030806276038,20.471301649252162,0.7060452236534936,1.2497109427621393,2.6579265965686636,-0.29159283630035476,1.0033249975546934,-0.4230619878938183,0.6419318989316253,-0.12422357219854065,-0.18156740362160134,1.990010146006686,-0.2158040689206933,-0.2568127761401742,-0.9281969168477989,-0.24227548554004727,0.34738852602175085,JE-TMA-41
JE-TMA-41_scene01_cell2387,-0.08168760744052685,2.88319964494459,3.241285246240224,5.693104969050575,1.972629714334866,11.063572703806296,0.3782023793292595,1.2990617423953417,0.314001815052555,8.01106913326959,-0.4799723738707287,0.1045158910236321,0.8200096021662251,-0.1929238019852989,-0.13732115263528577,-0.4304041131228519,-0.5604124258831537,-0.11513492469461184,-0.1897053566379838,2.7960003194115037,-0.19129533955771258,-0.26521104239993143,-0.5881997951214386,-0.3095885165739869,-0.5655433308398196,JE-TMA-41
JE-TMA-41_scene01_cell2004,-0.1891414490222275,1.4829382439158671,0.4906963990921122,2.006882334665917,3.2484096213525557,4.862889499679405,0.6437937516126182,0.3336215327426263,-0.8485967674857138,-0.9584278915006115,-1.0869203463925174,-0.3868072514972042,-0.3866815294556276,-2.72656642857601,-0.2807563894238324,-0.4322512003081651,-0.8847471496369761,-0.1334694313765129,-0.1873648767814281,1.0157843190160816,-0.4696701897373521,-0.19207434354098274,-0.88709741532361,-0.3812497803282748,-1.2628812615490514,JE-TMA-41
JE-TMA-41_scene01_cell2704,-0.04271330163007586,0.9809687786272465,35.84448196564828,-0.3942484537977274,2.084712236132439,2.9640652118133044,0.5549641492020819,2.639724030805775,1.8600080727298747,0.3790539485491996,-0.34791230183042426,3.479580523063637,0.27667154056609866,-0.3746430846553481,-0.15515857116976042,-0.42981921196299816,-0.4491760255607063,-0.11317891650341792,-0.1883453589985886,2.050630754147978,-0.2854097071310156,-0.26271627700763595,-0.92055790888761,-0.3210468495676593,-0.8300216208625643,JE-TMA-41
JE-TMA-41_scene01_cell1970,-0.07655907934404291,-0.005965742990084622,54.12359490402248,0.3153830370463142,0.4817477065960781,1.3222911014565717,-0.18222353143001652,2.4635279727700574,0.3095733655749684,-0.28468721574305983,-0.26761691486283845,-0.19692860833908332,-0.03898237709052682,0.3383665888725127,-0.1342138405394989,-0.43109111119703963,-0.23275494371390884,-0.11513833870407045,-0.16220790409458455,3.5421675807254207,-0.2716868126006969,2.2153036198870395,-0.9245753676079048,2.6114592249044506,-0.5977582595747601,JE-TMA-41
JE-TMA-41_scene01_cell365,-0.10180007040256277,0.3978723130924388,58.63111055816277,1.09498060876514,-0.4117703109893445,8.049348818983217,0.002453996553293085,0.9633691157670952,4.052129135590487,-0.017167198827782403,4.050582595526513,0.29066702701125885,-0.40786312496976895,-0.4417979665270278,-0.2807563894238324,-0.43125920496526565,-0.09191965545245599,-0.12438646455533688,-0.07607925555177174,1.7757773220513031,-0.37466756071754226,-0.03219946011384451,-0.9718834593896093,-0.023674259490716953,2.0990579387024972,JE-TMA-41
JE-TMA-41_scene01_cell1513,-0.30781768018502836,0.9506207710659025,8.404283048579773,1.0357074027716304,2.6426022294135243,24.519742247102478,0.8342450691619792,1.0103995262282353,-0.2677589156829275,0.3339100219618813,-0.3817029166211173,-0.4351432557028022,-0.41320406545212435,-3.9530063171067797,-0.2807563894238324,-0.42399015042928356,-0.8885999266259496,-0.14416200939060314,-0.14729987830150887,0.32997058083820746,-0.524897105279666,-0.2779490154543856,-0.9476236172723471,-0.38261531733787074,-1.2628812615490514,JE-TMA-41
JE-TMA-41_scene01_cell788,-0.09676439672860657,-0.09218783683331269,72.6511492024503,0.25568694465057096,-0.10882629104973444,1.1671379021003006,-0.08671895986109568,1.269560090724252,-0.7431559298039631,0.17954293532790389,1.0007088996225235,1.0345246758088271,-0.4129342282919292,0.16234484308856598,-0.27520833190516286,-0.4337797525288028,0.3640816919042991,-0.12298868134920944,-0.15269574080056303,1.81275111955649,-0.24679373238856128,1.01021923124243,-0.9933188427121618,0.2984557710393899,-0.8009648290269644,JE-TMA-41
JE-TMA-41_scene01_cell1438,-0.01590330658674223,0.807997762181763,0.10373990862283487,-0.19036364865173877,0.6957315538884544,3.5018691067928285,-0.13398232408742822,-0.44172383244154245,-0.3374700250742081,-0.8139987188697824,-0.7611237558436897,0.009902397429987612,0.33036245224774546,-0.4724885957973744,0.6381924299561911,-0.4236981403428607,0.19437089371079916,-0.12193576862452972,-0.18506253607387357,-0.24877705557431795,-0.25616018364453585,-0.18956223417863277,-0.9955231337813449,-0.18386066759011324,1.3774970610650423,JE-TMA-41
JE-TMA-41_scene01_cell2057,-0.08680933473365358,1.6615148531813573,16.66290944169243,1.3816706539026955,3.0557811830275226,9.877328567789483,0.5145294073628393,1.1343749644095862,0.28808147841808424,1.0042186152855856,-0.48037866060195544,-0.41172179463006675,-0.3419942688514754,-0.9718106904748505,-0.27578669855003485,-0.4331758559543339,-0.7813241673392217,-0.12204524249564994,-0.17856756939788487,1.0236414975407753,-0.2780176933237673,-0.2494548104914648,-0.8719700550074149,-0.28985394171486234,-1.0841056459553888,JE-TMA-41
JE-TMA-41_scene01_cell2446,-0.08674858055473528,1.9595826958441978,2.562394062267351,10.805027022540779,1.7844445291702122,20.847882245522776,1.142329317419459,2.196526705670647,-0.223936766939001,2.825661476683026,-0.7697314273451074,0.4309323870274622,0.3960888169561918,-0.015601037364480557,-0.08001445897461826,-0.43150877440912533,-0.2034513308340512,-0.11456521632297054,-0.186040154980024,2.3645653674921894,-0.11064368158481423,-0.2256094388184927,-0.8515977221350235,-0.2674674346663092,-0.5520654102104224,JE-TMA-41
JE-TMA-41_scene01_cell634,-0.09517172811472428,0.04770026508550152,63.764334890505246,0.6868056511808955,1.0752072390417613,2.45295608585441,-0.19259837121497264,0.625064631337735,-0.564807134011101,-0.664580684307662,5.4814139392922785,1.4899166966144417,-0.38485334867827514,0.6384925636031781,-0.19127456409482463,-0.432693949487029,0.44870710591640944,-0.12245659868241622,-0.11061283509844654,2.531409809273245,-0.2864137745802437,-0.0980785644002875,-0.9769449792883135,-0.21177183040960412,-0.6122755404924224,JE-TMA-41
JE-TMA-41_scene01_cell1095,-0.10183586831943381,-0.09022600926586756,66.06575050569803,2.8552624154316057,-0.020539935053573415,11.921788831288637,-0.13032561082582542,1.8310544378880593,-0.7257716958162688,0.35919883818890613,16.02691675641224,0.9442366411011451,-0.41320406545212435,0.34252566333477913,-0.26399621276114627,-0.43080983026555303,0.20634340590012737,-0.12206444989844288,-0.16216896365936012,2.0737811808129667,-0.2991752281014831,-0.177994706924824,-0.9591679936698937,-0.03393172404227388,-0.8926880844504806,JE-TMA-41
