,HER2,Vim,CD20,CD3,CD31,CD4,CD44,CD45,CD68,CD8,PD1,PDPN,aSMA,CK14,CK17,CK19,CK5,CK7,Ecad,DAPI2,ER,Ki67,LamAC,PCNA,pHH3,batch
JE-TMA-41_scene01_cell2077,-0.101397574,0.24632649,2.282006,1.6240274,18.883408,19.009544,0.8726304,-0.5029498,-0.21068256,21.59613,-0.9756811,-0.266276,-0.41320407,-1.3693948,-0.26806492,-0.4269636,-0.8470708,-0.124523126,-0.19577764,1.3612669,-0.42802742,-0.27264616,-1.0222735,-0.38248897,-1.2620106,JE-TMA-41
JE-TMA-41_scene01_cell3182,0.017831232,4.555549,1.1889176,6.2746196,1.5324562,89.85629,0.6085876,1.2716228,0.70560306,20.471302,0.7060452,1.2497109,2.6579266,-0.29159284,1.003325,-0.423062,0.6419319,-0.124223575,-0.1815674,1.9900101,-0.21580407,-0.25681278,-0.9281969,-0.24227549,0.34738854,JE-TMA-41
JE-TMA-41_scene01_cell2387,-0.08168761,2.8831997,3.2412853,5.6931047,1.9726297,11.063573,0.37820238,1.2990618,0.31400183,8.011069,-0.47997236,0.10451589,0.8200096,-0.1929238,-0.13732116,-0.43040413,-0.5604124,-0.115134925,-0.18970536,2.7960002,-0.19129534,-0.26521105,-0.5881998,-0.30958852,-0.56554335,JE-TMA-41
JE-TMA-41_scene01_cell2004,-0.18914145,1.4829383,0.4906964,2.0068824,3.2484095,4.8628893,0.64379376,0.33362153,-0.84859675,-0.9584279,-1.0869204,-0.38680726,-0.38668153,-2.7265663,-0.28075638,-0.43225121,-0.88474715,-0.13346943,-0.18736488,1.0157843,-0.46967018,-0.19207434,-0.8870974,-0.3812498,-1.2628813,JE-TMA-41
JE-TMA-41_scene01_cell2704,-0.042713303,0.9809688,35.844482,-0.39424846,2.0847123,2.9640653,0.5549641,2.639724,1.8600081,0.37905395,-0.3479123,3.4795806,0.27667153,-0.3746431,-0.15515856,-0.42981923,-0.449176,-0.11317892,-0.18834536,2.0506308,-0.28540972,-0.26271626,-0.9205579,-0.32104686,-0.8300216,JE-TMA-41
JE-TMA-41_scene01_cell1970,-0.07655908,-0.005965743,54.123596,0.31538305,0.48174772,1.3222911,-0.18222353,2.463528,0.30957335,-0.28468722,-0.26761693,-0.1969286,-0.038982376,0.3383666,-0.13421384,-0.4310911,-0.23275495,-0.11513834,-0.1622079,3.5421677,-0.27168682,2.2153037,-0.9245754,2.6114593,-0.59775823,JE-TMA-41
JE-TMA-41_scene01_cell365,-0.10180007,0.3978723,58.63111,1.0949806,-0.4117703,8.049349,0.0024539966,0.96336913,4.0521293,-0.0171672,4.0505824,0.29066703,-0.4078631,-0.44179797,-0.28075638,-0.4312592,-0.09191965,-0.12438647,-0.07607926,1.7757773,-0.37466756,-0.03219946,-0.9718835,-0.023674259,2.099058,JE-TMA-41
JE-TMA-41_scene01_cell1513,-0.30781767,0.9506208,8.404284,1.0357074,2.6426022,24.519743,0.8342451,1.0103996,-0.2677589,0.33391002,-0.38170293,-0.43514326,-0.41320407,-3.9530063,-0.28075638,-0.42399016,-0.88859993,-0.14416201,-0.14729989,0.32997057,-0.5248971,-0.277949,-0.9476236,-0.38261533,-1.2628813,JE-TMA-41
JE-TMA-41_scene01_cell788,-0.09676439,-0.09218784,72.651146,0.25568694,-0.108826295,1.1671379,-0.08671896,1.2695601,-0.74315596,0.17954293,1.0007089,1.0345247,-0.4129342,0.16234484,-0.27520832,-0.43377975,0.36408168,-0.12298868,-0.15269575,1.8127512,-0.24679373,1.0102192,-0.99331886,0.29845577,-0.80096483,JE-TMA-41
JE-TMA-41_scene01_cell1438,-0.015903307,0.80799776,0.10373991,-0.19036365,0.6957316,3.5018692,-0.13398233,-0.44172382,-0.33747002,-0.8139987,-0.7611238,0.009902397,0.33036244,-0.47248858,0.6381924,-0.42369813,0.1943709,-0.12193577,-0.18506254,-0.24877706,-0.25616017,-0.18956223,-0.99552315,-0.18386067,1.3774971,JE-TMA-41
