,HER2,Vim,CD20,CD3,CD31,CD4,CD44,CD45,CD68,CD8,PD1,PDPN,aSMA,CK14,CK17,CK19,CK5,CK7,Ecad,DAPI2,ER,Ki67,LamAC,PCNA,pHH3,batch
JE-TMA-41_scene01_cell2077,-0.08804097195972926,0.2413550249884443,1.7353118594519161,2.922673977552712,25.346307798552573,23.272517084032657,1.0562543165433915,-0.9603079093300835,-0.11765741050118317,30.672461156236714,-1.1129185811328428,-0.2735930619859601,0.7663179956299757,-1.3153595509531648,-0.18614227527342564,-0.42695875547241124,0.25266829793220147,-0.11604772864773916,-0.15327157333020225,1.1975211309605367,-0.4085311357242648,-0.48104007772467516,-0.9482997583665453,-0.439717732713928,-1.007987550513381,JE-TMA-41
JE-TMA-41_scene01_cell3182,0.026445286613258623,5.681082559632665,0.661211512930219,10.693168992375213,2.031251404128514,110.54540609190659,0.7404686782878889,2.3087333045858123,0.7519840811182875,29.082921647321292,0.7342615114043455,1.3266574675826694,33.44550489783738,-0.3149735064297854,1.189582513132379,-0.4225390411134532,1.9016698630596132,-0.11576128036444355,-0.13984213620778219,1.7444384022972241,-0.21566495936776975,-0.45816858258057636,-0.8567819025501829,-0.2927153703844628,0.45757177636009383,JE-TMA-41
JE-TMA-41_scene01_cell2387,-0.06911500552292416,3.5699998659883345,2.6779275144410524,9.721538299512527,2.6227273339886277,13.48423598510173,0.46493625420211365,2.3592802467180025,0.38031756717466186,11.47487289714408,-0.5684403625577371,0.11780867789792138,13.888657810535477,-0.22339162673344504,-0.04466920941727537,-0.4308561700296074,0.570129212616223,-0.10707016657351287,-0.14753294081105217,2.445535197355921,-0.1933917036747852,-0.4702999717917492,-0.5260323253116519,-0.3632875782611117,-0.3737669740955578,JE-TMA-41
JE-TMA-41_scene01_cell2004,-0.1722946741853072,1.8023862805854876,-0.02488092018642174,3.5623717159021417,4.337035572857513,5.845895713488909,0.7825739480596273,0.5807877622638432,-0.7230981606867768,-1.2002791158665462,-1.2351019185267367,-0.4008238525183556,1.0485382507173142,-2.575048748183116,-0.199875251370635,-0.43294854266961713,0.2109435017515633,-0.12460272517832016,-0.14532106118806598,0.8970003986423802,-0.4463755997946167,-0.36465317008817644,-0.8168002732536955,-0.4384185532244447,-1.0087804360779722,JE-TMA-41
JE-TMA-41_scene01_cell2704,-0.03169097727171899,1.168727354416345,34.71477437027535,-0.44958519986705214,2.773336490134108,3.506820766470018,0.6763369135938363,4.828990553362224,1.8476233829981188,0.6897695076614049,-0.42338781038595663,3.6804707887536345,8.107123859042076,-0.3920584594257477,-0.06397041707153406,-0.4301935977389104,0.6933183689097504,-0.10519971378749438,-0.1462476687333356,1.7971697625664147,-0.2789217839303755,-0.4666962303936021,-0.8493506835514852,-0.37530070793301007,-0.6146075383873795,JE-TMA-41
JE-TMA-41_scene01_cell1970,-0.06419047696434221,-0.07712492484669387,52.67636159555852,0.7361106872410844,0.6193791678845547,1.4843937827864697,-0.20531287360664885,4.504409680769357,0.37611452559397385,-0.24818944958008438,-0.3351927030719891,-0.20039110585974385,4.748324055874775,0.2697374702533839,-0.04130688682792538,-0.4316343700638916,0.9329946826469122,-0.10707342968292077,-0.12154637239421284,3.094594767367712,-0.26645057103772285,3.1128318535458117,-0.8532588851334816,2.699192149997174,-0.40310265443565174,JE-TMA-41
JE-TMA-41_scene01_cell365,-0.0884274572261341,0.43265818319009125,57.10557649237403,2.0387101433793573,-0.5812710301240325,9.77115038425915,0.015554771083493235,1.7408816988192484,3.9281531492978625,0.12985369641204625,4.4078452556143235,0.3143067186481684,0.8231499473203314,-0.4543897713712326,-0.199875251370635,-0.43182480980157745,1.0889632495699493,-0.11591704752817167,-0.04015018944425042,1.5580863228235993,-0.36003829407805854,-0.13371207607367108,-0.8992802462092261,-0.06352985412339307,2.0526859883128123,JE-TMA-41
JE-TMA-41_scene01_cell1513,-0.28625032215528023,1.1304176915540807,7.751239255528312,1.9396727695852194,3.522991944171162,30.06028026888318,1.0103468474067296,1.827519168613934,-0.17182825088852888,0.6259748278837582,-0.4605028604776177,-0.4518465278513042,0.7663179956299757,-3.713396495136699,-0.199875251370635,-0.42359046022185387,0.2066767211263496,-0.1348276143861079,-0.10745749893503465,0.30043998957254636,-0.4965652006778073,-0.48870009996712727,-0.875680221721925,-0.4398502127773096,-1.0087804360779722,JE-TMA-41
JE-TMA-41_scene01_cell788,-0.08359208455570755,-0.18596699083034762,70.88206921285503,0.6363667643857839,-0.17419497295659503,1.293267516263778,-0.09109286359378388,2.3049335272871776,-0.6230248989301646,0.40783257555237784,1.0579152232028843,1.099510460329302,0.7691895134469888,0.10635893104377381,-0.19387189742102962,-0.43468005546986,1.593963617235758,-0.1145803981180854,-0.11255687519026025,1.5902483016716196,-0.2438280128310204,1.3720736104101046,-0.9201326081885,0.2741971443872866,-0.5881476965436101,JE-TMA-41
JE-TMA-41_scene01_cell1438,-0.005947398787988223,0.9503781897106454,-0.4051155883167974,-0.10892194011380663,0.90691647477867,4.169316931011016,-0.14761814447172072,-0.8475200967850021,-0.2379906790529644,-0.9961804790847967,-0.8772523752568039,0.0179362538412845,8.67843635056336,-0.48287594970411796,0.7944858340388326,-0.42325964671545724,1.4060167790843972,-0.1135735436236931,-0.14314523249770628,-0.2029881650305092,-0.2523401253513776,-0.36102439523417507,-0.9222769527317687,-0.23147221172577237,1.3956145345963487,JE-TMA-41
