,HER2,Vim,CD20,CD3,CD31,CD4,CD44,CD45,CD68,CD8,PD1,PDPN,aSMA,CK14,CK17,CK19,CK5,CK7,Ecad,DAPI2,ER,Ki67,LamAC,PCNA,pHH3,batch
JE-TMA-41_scene01_cell2077,-0.9762311,-0.22044116,-3.618674,1.3370154,18.116827,16.462101,0.2820884,-1.2099099,-0.4294314,21.358738,-1.8918132,-1.220226,-10.250147,-10.951093,-8.722053,-0.66167563,-6.530829,-0.68091977,-0.6599903,1.2073773,-1.2088648,-0.6575903,-0.98707896,-0.75070596,-2.4618392,JE-TMA-41
JE-TMA-41_scene01_cell3182,-0.8570023,4.0887814,-4.7117624,5.9876075,0.7658757,87.308846,0.01804561,0.5646626,0.48685423,20.23391,-0.21008687,0.2957608,-7.179016,-9.873291,-7.4506626,-0.65777403,-5.0418262,-0.6806202,-0.6457801,1.8361206,-0.99664146,-0.64175695,-0.89300233,-0.61049247,-0.85244,JE-TMA-41
JE-TMA-41_scene01_cell2387,-0.95652115,2.4164321,-2.6593947,5.4060926,1.2060492,8.516129,-0.21233964,0.5921016,0.095252976,7.7736773,-1.3961045,-0.8494342,-9.016933,-9.774622,-8.591309,-0.66511613,-6.2441707,-0.67153156,-0.653918,2.6421106,-0.97213274,-0.65015525,-0.5530052,-0.6778055,-1.7653719,JE-TMA-41
JE-TMA-41_scene01_cell2004,-1.063975,1.0161706,-5.4099836,1.7198704,2.4818292,2.3154452,0.053251747,-0.37333867,-1.0673456,-1.1958197,-2.0030525,-1.3407574,-10.223624,-12.308264,-8.734744,-0.6669632,-6.5685053,-0.68986607,-0.65157753,0.8618947,-1.2505076,-0.5770185,-0.85190284,-0.7494668,-2.46271,JE-TMA-41
JE-TMA-41_scene01_cell2704,-0.9175468,0.5142011,29.943802,-0.68126047,1.3181318,0.41662112,-0.03557789,1.9327638,1.6412593,0.1416621,-1.2640444,2.5256305,-9.560271,-9.956341,-8.609146,-0.66453123,-6.132934,-0.6695756,-0.652558,1.8967413,-1.0662471,-0.64766043,-0.88536334,-0.6892638,-2.0298502,JE-TMA-41
JE-TMA-41_scene01_cell1970,-0.9513926,-0.4727334,48.222916,0.028371029,-0.28483272,-1.2251531,-0.7727655,1.7565677,0.0908245,-0.52207905,-1.183749,-1.1508787,-9.875925,-9.243331,-8.5882015,-0.66580313,-5.916513,-0.67153496,-0.62642056,3.388278,-1.0525242,1.8303595,-0.8893808,2.2432423,-1.7975868,JE-TMA-41
JE-TMA-41_scene01_cell365,-0.9766336,-0.06889536,52.73043,0.80796856,-1.1783508,5.5019045,-0.58808804,0.25640893,3.8333805,-0.25455904,3.1344504,-0.66328305,-10.244806,-10.023496,-8.734744,-0.6659712,-5.7756777,-0.6807831,-0.5402919,1.6218878,-1.155505,-0.41714364,-0.9366889,-0.39189124,0.8992294,JE-TMA-41
JE-TMA-41_scene01_cell1513,-1.1826512,0.4838531,2.5036035,0.7486953,1.8760217,21.9723,0.24370307,0.30343938,-0.48650774,0.096518174,-1.297835,-1.3890934,-10.250147,-13.534704,-8.734744,-0.6587022,-6.572358,-0.70055866,-0.61151254,0.176081,-1.3057345,-0.6628932,-0.91242903,-0.7508323,-2.46271,JE-TMA-41
JE-TMA-41_scene01_cell788,-0.9715979,-0.5589555,66.750465,-0.03132508,-0.87540674,-1.3803064,-0.677261,0.5625999,-0.9619048,-0.057848915,0.08457687,0.08057458,-10.249877,-9.419353,-8.729196,-0.6684918,-5.3196764,-0.6793853,-0.61690843,1.6588616,-1.0276312,0.625275,-0.9581243,-0.0697612,-2.0007935,JE-TMA-41
JE-TMA-41_scene01_cell1438,-0.8907368,0.3412301,-5.7969403,-0.47737566,-0.07084886,0.954425,-0.7245243,-1.148684,-0.55621886,-1.0513905,-1.6772559,-0.9440477,-9.50658,-10.054187,-7.815795,-0.65841013,-5.4893875,-0.6783324,-0.6492752,-0.40266663,-1.0369976,-0.5745064,-0.9603286,-0.55207765,0.17766856,JE-TMA-41
JE-TMA-41_scene01_cell2057,-0.96164286,1.1947472,10.762228,1.0946587,2.2892008,7.3298845,-0.076012604,0.42741477,0.069332615,0.76682675,-1.3965107,-1.3656719,-10.178937,-10.553509,-8.729774,-0.66788787,-6.465082,-0.6784419,-0.64278024,0.86975193,-1.058855,-0.634399,-0.8367755,-0.6580709,-2.283934,JE-TMA-41
JE-TMA-41_scene01_cell2446,-0.9615821,1.492815,-3.338286,10.518015,1.0178641,18.300438,0.5517873,1.4895666,-0.4426856,2.5882695,-1.6858635,-0.5230177,-9.440854,-9.597299,-8.534002,-0.6662208,-5.8872094,-0.67096186,-0.6502528,2.2106757,-0.89148104,-0.6105536,-0.81640315,-0.63568443,-1.751894,JE-TMA-41
JE-TMA-41_scene01_cell634,-0.9700053,-0.41906738,57.863655,0.39979365,0.3086268,-0.09448801,-0.78314036,-0.08189559,-0.783556,-0.90197253,4.565282,0.5359666,-10.221796,-8.943205,-8.645262,-0.66740596,-5.235051,-0.6788532,-0.57482547,2.37752,-1.0672512,-0.48302275,-0.9417504,-0.5799888,-1.8121041,JE-TMA-41
JE-TMA-41_scene01_cell1095,-0.9766694,-0.55699366,60.16507,2.5682504,-0.7871204,9.374345,-0.72086763,1.1240942,-0.9445206,0.121806994,15.110785,-0.00971346,-10.250147,-9.239172,-8.717983,-0.66552186,-5.4774146,-0.6784611,-0.62638164,1.9198917,-1.0800126,-0.56293887,-0.92397344,-0.4021487,-2.0925167,JE-TMA-41
JE-TMA-41_scene01_cell863,-0.9713359,-0.5661669,66.06165,0.07644587,-1.0206175,-2.0288079,-0.70721734,0.6692152,-0.9488307,0.50493926,-0.19805788,-0.4539398,-10.245728,-10.044169,-8.7169485,-0.6679388,-5.172022,-0.6799103,-0.6236881,1.2425301,-1.0958529,0.5142003,-0.9558091,0.15981407,-1.5251232,JE-TMA-41
JE-TMA-41_scene01_cell2940,-0.9844711,3.2818503,-0.13491926,9.852928,2.9946659,20.42191,1.1202716,2.1006472,-1.0862939,6.7809277,-0.2163292,-0.97440326,-7.9953322,-10.109359,-8.436803,-0.6678281,-5.708254,-0.68033576,-0.6432295,3.6777434,-1.0024377,-0.6266335,-0.25700384,-0.6462829,-1.0264058,JE-TMA-41
