,HER2,Vim,CD20,CD3,CD31,CD4,CD44,CD45,CD68,CD8,PD1,PDPN,aSMA,CK14,CK17,CK19,CK5,CK7,Ecad,DAPI2,ER,Ki67,LamAC,PCNA,pHH3,batch
JE-TMA-41_scene01_cell2077,-0.529902,-0.30127883,-0.24834518,0.82354516,4.5861645,2.8710217,-0.0023041498,-0.64022017,-0.36862245,10.901994,-0.5439152,-0.3467305,-0.2700294,-0.25127494,-0.3715538,-0.7190428,-0.27076682,-0.65235376,-0.7185998,1.262666,-0.64265877,-0.7382507,-1.5072541,-0.88067085,-0.18570371,JE-TMA-41
JE-TMA-41_scene01_cell3182,-0.4624701,3.2006009,-0.30491662,3.7271924,0.21820694,14.633994,-0.1205283,0.8054309,0.22892575,10.3278885,0.10600252,0.036201514,-0.122196,-0.23536713,-0.3343346,-0.71517646,-0.2366206,-0.6520538,-0.7032123,1.9505646,-0.51338696,-0.7209446,-1.3705306,-0.7122975,-0.08940392,JE-TMA-41
JE-TMA-41_scene01_cell2387,-0.51875466,1.8415698,-0.19869888,3.3641174,0.32901695,1.5517198,-0.22368242,0.827784,-0.02645382,3.9682608,-0.35234424,-0.25307003,-0.21066684,-0.23391083,-0.36772636,-0.72245216,-0.2641931,-0.64295197,-0.71202445,2.8323863,-0.49845797,-0.730124,-0.87640554,-0.7931294,-0.14402999,JE-TMA-41
JE-TMA-41_scene01_cell2004,-0.579527,0.7036508,-0.34105217,1.0625848,0.6501839,0.5221953,-0.10476489,0.04129056,-0.784633,-0.6097164,-0.5869046,-0.3771762,-0.2687527,-0.2713061,-0.37192535,-0.72428256,-0.27163082,-0.661313,-0.70949006,0.8846787,-0.66802466,-0.6501848,-1.3107998,-0.87918276,-0.1857558,JE-TMA-41
JE-TMA-41_scene01_cell2704,-0.4967121,0.29572648,1.4886389,-0.436587,0.3572328,0.20692578,-0.14453802,1.9199512,0.9817615,0.072926246,-0.30130848,0.5994573,-0.2368212,-0.23659292,-0.36824855,-0.72187257,-0.2616422,-0.6409931,-0.7105518,2.0168886,-0.55578595,-0.7273972,-1.3594286,-0.80688894,-0.15985528,JE-TMA-41
JE-TMA-41_scene01_cell1970,-0.5158541,-0.5063035,2.4346516,0.0064790365,-0.04630018,-0.06566462,-0.474611,1.7764136,-0.029341796,-0.26584324,-0.27027765,-0.32921365,-0.25201568,-0.22606927,-0.3676354,-0.72313297,-0.25667915,-0.64295536,-0.68224895,3.6487567,-0.5474269,1.9811056,-1.3652673,2.7145693,-0.14595759,JE-TMA-41
JE-TMA-41_scene01_cell365,-0.5301296,-0.17812547,2.6679325,0.49322915,-0.2712359,1.0512561,-0.39192235,0.5543128,2.4113355,-0.12930264,1.398528,-0.20604901,-0.2697723,-0.23758408,-0.37192535,-0.7232995,-0.2534495,-0.6522169,-0.588985,1.7161757,-0.61015564,-0.4754398,-1.4340211,-0.44979328,0.015408732,JE-TMA-41
JE-TMA-41_scene01_cell1513,-0.6466463,0.27106425,0.06850563,0.45622128,0.49767697,3.7859023,-0.019491032,0.59262604,-0.40584433,0.049885057,-0.31436718,-0.38938567,-0.2700294,-0.2894077,-0.37192535,-0.7160962,-0.2717192,-0.6720211,-0.66610587,0.1343402,-0.7016651,-0.74404675,-1.3987638,-0.88082254,-0.1857558,JE-TMA-41
JE-TMA-41_scene01_cell788,-0.5272816,-0.57637167,3.393522,-0.03079286,-0.19497226,-0.09142533,-0.4318492,0.8037506,-0.7158706,-0.028902974,0.21987785,-0.018153645,-0.2700164,-0.22866726,-0.37176293,-0.72579724,-0.24299234,-0.6508171,-0.6719488,1.7566282,-0.53226376,0.6639352,-1.4651736,-0.062968016,-0.15811664,JE-TMA-41
JE-TMA-41_scene01_cell1438,-0.48154926,0.15516199,-0.36107862,-0.30928934,0.007568472,0.29621956,-0.45301118,-0.5903426,-0.45130587,-0.53600067,-0.46099764,-0.276969,-0.23423672,-0.23803706,-0.34502366,-0.7158069,-0.2468842,-0.64976263,-0.706997,-0.4988589,-0.5379691,-0.647439,-1.4683771,-0.6421509,-0.027766487,JE-TMA-41
