,HER2,Vim,CD20,CD3,CD31,CD4,CD44,CD45,CD68,CD8,PD1,PDPN,aSMA,CK14,CK17,CK19,CK5,CK7,Ecad,DAPI2,ER,Ki67,LamAC,PCNA,pHH3,batch
JE-TMA-41_scene01_cell2077,-0.5199474139975809,-0.31469339835369603,-0.2718510449303594,0.9319877056224913,6.390500673778333,2.8021781839154785,0.03095351883149356,-0.6189863942121909,-0.2940733558668016,12.008764427772656,-0.5257062720051418,-0.3429765585352513,-0.23674906286119027,-0.23929035581279565,-0.34753302198017183,-0.6957168533161968,-0.254772339336977,-0.6401290508592022,-0.703237765587793,1.1699290840342813,-0.6678211654577759,-0.8053035776354864,-1.4266019717520173,-0.9370919559399528,-0.17622367223793528,JE-TMA-41
JE-TMA-41_scene01_cell3182,-0.45426961744859756,3.851549916992753,-0.3232733492094566,3.9657226976734448,0.366654014956039,14.228625777054747,-0.08903141043997854,0.7944405958766911,0.3038335636591295,11.380952648703893,0.08892181085338742,0.03065933856567459,-0.08926073133403557,-0.22334928926417374,-0.3111247842187614,-0.6916266884887096,-0.21837924869171255,-0.6398419818378954,-0.6878214859607955,1.7988179082606757,-0.5374969021470771,-0.786924963786741,-1.2920435981891871,-0.7645798181377158,-0.07596063338352478,JE-TMA-41
JE-TMA-41_scene01_cell2387,-0.5090900632517811,2.2346885010493542,-0.22672355036036082,3.5863813748196116,0.5194720113172363,1.5206198937785322,-0.19372185560555338,0.816295449925677,0.04830068638995793,4.426393172523373,-0.34453734683738146,-0.25158980106712714,-0.17752506452246278,-0.22188993927765,-0.34378896462970315,-0.6993236338812429,-0.2477660411879357,-0.6311322062049495,-0.6966501110673933,2.6049944881450324,-0.5224463621261898,-0.7966732604024437,-0.8057434626758445,-0.8473986350482545,-0.13283485692984498,JE-TMA-41
JE-TMA-41_scene01_cell2004,-0.568281582408778,0.880887719640445,-0.3561198439258766,1.1817366378294278,0.9623931063450203,0.5205488701543652,-0.0730332280592294,0.04733321908349697,-0.7103336225155591,-0.57984555173952,-0.5663613808758174,-0.37268314899255717,-0.23547534120828056,-0.2593633877850901,-0.3478964720299141,-0.7012600084332007,-0.25569319087085096,-0.6487023931325286,-0.694110977394967,0.8243665917801565,-0.6933935692720468,-0.7117799371712115,-1.2332587225739353,-0.9355672875937652,-0.176277910661806,JE-TMA-41
JE-TMA-41_scene01_cell2704,-0.4876208728862263,0.39557354141349393,1.30703265582225,-0.38460026757128457,0.5583844743563903,0.21429885859464765,-0.1133987120505597,1.8841178622522372,1.0571212686208828,0.1666571042978686,-0.29627275726937297,0.5802414614277472,-0.20361838495443502,-0.22457763635201106,-0.3442997829317473,-0.6987104811851851,-0.2450472882580467,-0.6292577304814788,-0.6951747024210002,1.859452451535092,-0.5802410799702549,-0.7937774773202374,-1.2811174469930213,-0.8614964125741829,-0.14931143822387122,JE-TMA-41
JE-TMA-41_scene01_cell1970,-0.5062649727039665,-0.5586145757751395,2.1669392742229063,0.07831579750960824,0.001872458975169764,-0.05049305047199544,-0.4483876659627816,1.7437797255611172,0.045410975403330604,-0.2038036609586172,-0.266926855499549,-0.3258849489432145,-0.21877739415079273,-0.21403198818528124,-0.3436999897719336,-0.7000438549933748,-0.2397576725966655,-0.6311354573343384,-0.6668188733895798,3.351334499695668,-0.5718139505136428,2.082581551818322,-1.2868636193680436,2.7465229519428407,-0.13484178721402493,JE-TMA-41
JE-TMA-41_scene01_cell365,-0.5201691229099394,-0.16817584134043884,2.3789869347861416,0.5868730463381236,-0.308336226048743,1.0344738463694678,-0.3644674798021957,0.5489200408458572,2.4875534181279084,-0.05448992580076708,1.3112649037700899,-0.20571027416099127,-0.23649255835128916,-0.22557087415479232,-0.3478964720299141,-0.7002200323517445,-0.23631550917096816,-0.6399980930859218,-0.5733803665822255,1.584535480717424,-0.6350534152955984,-0.5262052975255049,-1.354528676559468,-0.4956229721567621,0.03316561708858327,JE-TMA-41
JE-TMA-41_scene01_cell1513,-0.6336549428392989,0.366232488871482,0.016159992815209172,0.5482071700870306,0.7520708998138952,3.6908850458776397,0.013510663369125894,0.5863792360933316,-0.3313175795293875,0.1414604537554957,-0.3086223803082601,-0.38459622490156353,-0.23674906286119027,-0.2775028344082635,-0.3478964720299141,-0.6925996995184163,-0.2557873692295808,-0.6589492685181466,-0.6506455712422305,0.13839414192636693,-0.7273078950475327,-0.8114588573959107,-1.3198296700333436,-0.9372473785523474,-0.176277910661806,JE-TMA-41
JE-TMA-41_scene01_cell788,-0.5173951780944598,-0.6419758316005313,3.038533262033493,0.03937406383073888,-0.20316108701078048,-0.07551677718256025,-0.4049889887358718,0.7927977361307691,-0.6415299813546737,0.05530194406594556,0.1966138723050391,-0.022376286459673447,-0.2367360993783669,-0.21663540727902267,-0.34773758835532553,-0.7028623774492663,-0.2251702547950639,-0.6386585707403245,-0.6564994328518406,1.62151783750188,-0.5565273773179179,0.683781091808144,-1.3851878345911357,-0.09928914250152374,-0.14750124634160908,JE-TMA-41
JE-TMA-41_scene01_cell1438,-0.47285247010673087,0.22834168216403117,-0.37432348145532884,-0.2515994715475222,0.0761626733131245,0.30103804689437447,-0.42646613887855567,-0.5702205989085171,-0.37680640627787193,-0.4992338296447035,-0.4472910119636749,-0.274908585345291,-0.20103993038121953,-0.22602480157025243,-0.3215809334199156,-0.6922936276152217,-0.22931820005245654,-0.6376495228452442,-0.6916132270629683,-0.4404874171452622,-0.5622791837067808,-0.708863961844465,-1.3883406152321167,-0.6927089211884312,-0.011786491630006652,JE-TMA-41
