,HER2,Vim,CD20,CD3,CD31,CD4,CD44,CD45,CD68,CD8,PD1,PDPN,aSMA,CK14,CK17,CK19,CK5,CK7,Ecad,DAPI2,ER,Ki67,LamAC,PCNA,pHH3,batch
JE-TMA-41_scene01_cell2077,-0.53937674,-0.2613443,-0.31896433,0.90308195,4.6375465,2.883599,0.033924986,-0.63583267,-0.2803461,10.993759,-0.5639207,-0.35724452,-0.23377723,-0.24011856,-0.355715,-0.64837104,-0.2361631,-0.6779883,-0.70225286,1.2794453,-0.67132765,-0.76637304,-1.4397621,-0.9264495,-0.16961312,JE-TMA-41
JE-TMA-41_scene01_cell3182,-0.47194487,3.2405355,-0.37553576,3.8067293,0.2695892,14.646571,-0.08429917,0.8098184,0.31720212,10.419654,0.08599706,0.025687495,-0.08594383,-0.22421075,-0.3184958,-0.6445047,-0.20201688,-0.6776883,-0.6868654,1.9673439,-0.54205585,-0.74906695,-1.3030386,-0.75807613,-0.073313326,JE-TMA-41
JE-TMA-41_scene01_cell2387,-0.5282294,1.8815043,-0.269318,3.4436543,0.3803992,1.5642971,-0.18745328,0.8321715,0.06182254,4.0600266,-0.3723497,-0.26358405,-0.17441466,-0.22275445,-0.35188755,-0.6517804,-0.22958936,-0.6685865,-0.6956775,2.8491654,-0.52712685,-0.75824636,-0.8089136,-0.838908,-0.1279394,JE-TMA-41
JE-TMA-41_scene01_cell2004,-0.5890018,0.7435853,-0.4116713,1.1421216,0.70156616,0.5347726,-0.06853576,0.04567807,-0.6963566,-0.5179506,-0.60691005,-0.38769022,-0.23250052,-0.26014972,-0.35608655,-0.6536108,-0.2370271,-0.6869475,-0.6931431,0.901458,-0.69669354,-0.6783072,-1.2433078,-0.9249614,-0.16966522,JE-TMA-41
JE-TMA-41_scene01_cell2704,-0.50618684,0.335661,1.4180198,-0.3570502,0.40861505,0.21950307,-0.10830888,1.9243387,1.0700378,0.16469207,-0.32131395,0.5889433,-0.20056903,-0.22543654,-0.35240975,-0.65120083,-0.22703846,-0.66662765,-0.69420487,2.0336678,-0.58445483,-0.75551957,-1.2919366,-0.85266757,-0.14376469,JE-TMA-41
JE-TMA-41_scene01_cell1970,-0.5253289,-0.46636897,2.3640325,0.08601584,0.0050820718,-0.05308732,-0.43838188,1.780801,0.058934566,-0.17407742,-0.2902831,-0.33972767,-0.21576351,-0.21491289,-0.3517966,-0.65246123,-0.22207542,-0.6685899,-0.665902,3.665536,-0.57609576,1.9529833,-1.2977753,2.6687908,-0.129867,JE-TMA-41
JE-TMA-41_scene01_cell365,-0.53960437,-0.13819094,2.5973134,0.57276595,-0.21985365,1.0638334,-0.35569322,0.5587003,2.4996119,-0.03753681,1.3785225,-0.21656303,-0.23352012,-0.2264277,-0.35608655,-0.65262777,-0.21884577,-0.67785144,-0.5726381,1.732955,-0.6388245,-0.50356215,-1.3665291,-0.4955719,0.031499326,JE-TMA-41
JE-TMA-41_scene01_cell1513,-0.6561211,0.31099877,-0.002113514,0.5357581,0.5490592,3.7984796,0.016738104,0.59701353,-0.31756797,0.14165089,-0.33437264,-0.3998997,-0.23377723,-0.27825132,-0.35608655,-0.6454245,-0.23711546,-0.6976556,-0.64975893,0.15111947,-0.730334,-0.7721691,-1.3312718,-0.9266012,-0.16966522,JE-TMA-41
JE-TMA-41_scene01_cell788,-0.53675634,-0.53643715,3.322903,0.04874395,-0.14359,-0.078848034,-0.39562008,0.8081381,-0.62759423,0.06286285,0.19987239,-0.028667664,-0.23376423,-0.21751088,-0.35592413,-0.6551255,-0.20838861,-0.6764516,-0.65560186,1.7734075,-0.56093264,0.6358128,-1.3976816,-0.10874665,-0.14202605,JE-TMA-41
JE-TMA-41_scene01_cell1438,-0.49102402,0.19509652,-0.43169776,-0.22975253,0.058950726,0.30879685,-0.41678205,-0.5859551,-0.3630295,-0.44423485,-0.4810031,-0.287483,-0.19798455,-0.22688068,-0.32918486,-0.64513516,-0.21228047,-0.67539716,-0.69065005,-0.48207963,-0.566638,-0.67556137,-1.4008851,-0.6879295,-0.011675894,JE-TMA-41
JE-TMA-41_scene01_cell2057,-0.5311261,0.88870513,0.4253014,0.75176394,0.65307355,1.3673402,-0.12641338,0.69800985,0.044918805,0.48377234,-0.37250674,-0.39398354,-0.23034942,-0.23425043,-0.35594106,-0.65452707,-0.23465537,-0.67550683,-0.683617,0.91005445,-0.5799521,-0.7410246,-1.2213229,-0.81521004,-0.15896803,JE-TMA-41
JE-TMA-41_scene01_cell2446,-0.53109175,1.1309292,-0.3044532,6.635338,0.33302516,3.1888256,0.15468167,1.563289,-0.28898972,1.4134259,-0.4843296,-0.18113258,-0.19482072,-0.22013727,-0.35020995,-0.65287507,-0.22140343,-0.66801596,-0.6917087,2.377139,-0.47799942,-0.71496135,-1.1917154,-0.7883275,-0.12713294,JE-TMA-41
JE-TMA-41_scene01_cell634,-0.5358556,-0.42275742,2.862977,0.31791753,0.15448058,0.13464157,-0.44302717,0.28310144,-0.5112855,-0.36797276,1.9314797,0.08636247,-0.23241252,-0.21048318,-0.35346702,-0.6540495,-0.20644796,-0.67591876,-0.61003256,2.559681,-0.58506644,-0.57556874,-1.3738852,-0.7214462,-0.13073567,JE-TMA-41
JE-TMA-41_scene01_cell1095,-0.53962463,-0.5348429,2.9820838,1.6718168,-0.12136466,1.7067902,-0.41514477,1.265558,-0.61625725,0.15455814,6.0068808,-0.051474046,-0.23377723,-0.2148515,-0.3555959,-0.65218246,-0.2120059,-0.675526,-0.6658599,2.0589964,-0.59283984,-0.662918,-1.3480495,-0.50788945,-0.14751439,JE-TMA-41
JE-TMA-41_scene01_cell863,-0.53660816,-0.5422975,3.287254,0.11603189,-0.1801456,-0.18652137,-0.4090329,0.89499193,-0.6190681,0.35010654,0.09064577,-0.16368377,-0.23356447,-0.22673285,-0.35556558,-0.6545776,-0.20500255,-0.67697734,-0.6629432,1.3179054,-0.6024886,0.514407,-1.3943169,0.16693556,-0.1135639,JE-TMA-41
