,CK19,HER2,Vim,CD20,CD3,CD31,CD4,CD44,CD45,CD68,CD8,PD1,PDPN,aSMA,CK14,CK17,CK5,CK7,Ecad,Ki67,LamAC,PCNA,pHH3,ER,batch
JE-TMA-41_scene01_cell2077,0.009588897,0.19715449,0.14131993,1.032443,1.1027715,4.0616317,4.1516404,0.41163835,0.45747417,0.29306784,6.9637427,0.06409558,0.052631754,0.0,0.15211461,0.00026527393,0.0023078944,0.04352499,0.017783176,0.004779133,0.042431302,8.140497e-05,0.00013061037,0.0352372,JE-TMA-41
JE-TMA-41_scene01_cell3182,0.013347618,0.3109213,1.6516652,0.86438173,2.2790332,0.57840455,18.390102,0.33009264,1.0008924,0.65242857,6.63804,0.77361107,0.52106243,0.40485197,0.21549395,0.026839538,0.08505613,0.044171166,0.030858101,0.011442237,0.08991566,0.09042517,0.24156135,0.1124353,JE-TMA-41
JE-TMA-41_scene01_cell2387,0.006274375,0.21596153,1.0655211,1.1799314,2.1319523,0.66677,2.5546944,0.2589416,1.009295,0.4988453,3.0300865,0.27323368,0.16720417,0.16256846,0.2212961,0.002998046,0.018238341,0.06377632,0.023370322,0.007908028,0.2615263,0.04705336,0.10460973,0.12135057,JE-TMA-41
JE-TMA-41_scene01_cell2004,0.0044949315,0.11343026,0.5747416,0.7570309,1.199606,0.9228845,1.3085089,0.34096554,0.71365315,0.042882413,0.4329013,0.017164063,0.015388332,0.0034963347,0.07230715,0.0,0.0002141101,0.024226889,0.025523812,0.03868585,0.110660285,0.0008798565,0.0,0.020089276,JE-TMA-41
JE-TMA-41_scene01_cell2704,0.006837856,0.25315037,0.39880568,6.1926427,0.59229445,0.6892707,0.9268916,0.31353185,1.4198391,1.105178,0.82017916,0.32894942,1.2100785,0.09094289,0.21061024,0.002625213,0.024420073,0.06799563,0.024621665,0.00895789,0.09377139,0.03967041,0.06493456,0.087115645,JE-TMA-41
JE-TMA-41_scene01_cell1970,0.005612536,0.22085512,0.05289369,9.003039,0.77177966,0.36747336,0.5969352,0.08586234,1.3658835,0.4971085,0.627988,0.36282584,0.07405967,0.049331795,0.25253823,0.0030629945,0.036447227,0.06376895,0.04867089,1.051773,0.09174361,1.9291722,0.09977707,0.09210747,JE-TMA-41
JE-TMA-41_scene01_cell365,0.005450598,0.19677044,0.19443543,9.696066,0.9689611,0.18809842,1.9489093,0.14289726,0.90649754,1.9649123,0.70545036,2.1846619,0.22472373,0.0007040698,0.20666124,0.0,0.044273857,0.04381979,0.12791838,0.10596535,0.06786526,0.23127651,0.50433445,0.054647315,JE-TMA-41
JE-TMA-41_scene01_cell1513,0.012453447,0.00019071388,0.38816896,1.9737375,0.9539693,0.80126786,5.259055,0.3997836,0.9208994,0.2706829,0.80710745,0.31469327,0.00045280354,0.0,0.00018726436,0.0,0.0,0.0011618915,0.062387858,0.0025475582,0.08011021,0.0,0.0,0.0,JE-TMA-41
JE-TMA-41_scene01_cell788,0.0030223574,0.20157543,0.022673594,11.851633,0.75668085,0.24891484,0.5657532,0.11535751,1.0002608,0.08423556,0.76240927,0.89792883,0.4545712,3.55713e-05,0.24218741,0.00011596406,0.069615185,0.046834953,0.057423092,0.5446422,0.057045937,0.43883455,0.069293454,0.101162545,JE-TMA-41
JE-TMA-41_scene01_cell1438,0.012734763,0.27873218,0.33818084,0.6975367,0.6438625,0.4104309,1.0349771,0.10076092,0.47622308,0.24334268,0.47472185,0.15461671,0.13796918,0.098020695,0.2048565,0.01920763,0.06018386,0.049106196,0.02764221,0.03974301,0.05593334,0.12806359,0.39609098,0.09775542,JE-TMA-41
JE-TMA-41_scene01_cell2057,0.0036041383,0.21107444,0.6373312,3.2434936,1.0414729,0.8842141,2.3162885,0.30104417,0.9588638,0.48867953,1.0012003,0.27306226,0.0076898914,0.009387235,0.17549424,0.000103875194,0.005961628,0.04887005,0.033618268,0.01453866,0.11829569,0.05976894,0.026818661,0.08980455,JE-TMA-41
JE-TMA-41_scene01_cell2446,0.005210168,0.2111324,0.7418014,1.0755525,3.424897,0.62899154,4.5211015,0.49493086,1.284121,0.28786963,1.5286127,0.15098515,0.26806486,0.10668508,0.23172344,0.004195856,0.038075715,0.06500524,0.026742697,0.024573412,0.12857845,0.07419324,0.10663159,0.15068832,JE-TMA-41
JE-TMA-41_scene01_cell634,0.0040683965,0.20309514,0.07170316,10.485294,0.86572254,0.4866112,0.82417125,0.082658224,0.80290025,0.15418269,0.51798695,2.7883253,0.5952845,0.0037373349,0.27018693,0.001870326,0.074318066,0.04798271,0.09614383,0.07824171,0.0653105,0.110079594,0.09759929,0.0867504,JE-TMA-41
