,CK19,HER2,Vim,CD20,CD3,CD31,CD4,CD44,CD45,CD68,CD8,PD1,PDPN,aSMA,CK14,CK17,CK5,CK7,Ecad,Ki67,LamAC,PCNA,pHH3,ER,batch
JE-TMA-41_scene01_cell2077,0.0018587022,0.018466443,0.03771603,0.07718496,0.24980399,0.45894137,0.5125393,0.104020834,0.09774184,0.050164036,0.74571484,0.00698314,0.0054005217,0.0,0.013001235,3.3319222e-05,0.0002328954,0.0057644383,0.0050139152,0.0009606919,0.020754665,2.2406606e-05,9.845727e-06,0.0077152383,JE-TMA-41
JE-TMA-41_scene01_cell3182,0.0025872872,0.029111195,0.4332138,0.0647547,0.50386715,0.0713668,1.0,0.08344778,0.21273877,0.11142454,0.72033435,0.08395363,0.05337067,0.039289657,0.018415408,0.0033711118,0.008582815,0.005850015,0.008700316,0.002300094,0.043979123,0.024888048,0.018202405,0.02461601,JE-TMA-41
JE-TMA-41_scene01_cell2387,0.0012162189,0.020226955,0.2822986,0.08802607,0.47314033,0.08221018,0.33278465,0.06547895,0.21450125,0.08529444,0.37752593,0.029754512,0.017153868,0.015791202,0.018910924,0.00037656378,0.0018404727,0.008446396,0.006589185,0.0015896558,0.12786512,0.012951182,0.007885161,0.026567504,JE-TMA-41
JE-TMA-41_scene01_cell2004,0.00087129336,0.010626268,0.15307392,0.056777164,0.27135074,0.113485426,0.17541784,0.08619227,0.15217437,0.007344235,0.05687605,0.0018700525,0.0015790168,0.00033967875,0.006180829,0.0,2.1606387e-05,0.0032086307,0.007196349,0.007776477,0.05412413,0.0002421793,0.0,0.004398602,JE-TMA-41
JE-TMA-41_scene01_cell2704,0.0013254435,0.02370731,0.10633648,0.39163256,0.1349276,0.084967375,0.124941505,0.0792668,0.29983732,0.18777175,0.10741419,0.03581384,0.12298668,0.0088348705,0.017998312,0.0003297348,0.0024642812,0.009005159,0.0069419937,0.0018006967,0.045864798,0.010919113,0.0048947874,0.019073294,JE-TMA-41
JE-TMA-41_scene01_cell1970,0.0010879287,0.020684993,0.014118096,0.50844747,0.17553239,0.045400865,0.080730066,0.021720773,0.28871682,0.08499845,0.0823944,0.03949593,0.0075990935,0.004792645,0.021578602,0.00038472147,0.0036779486,0.008445421,0.01372243,0.20989639,0.0448731,0.5186387,0.0075209397,0.020166095,JE-TMA-41
JE-TMA-41_scene01_cell365,0.0010565388,0.01843049,0.05188554,0.5330578,0.21988638,0.023254726,0.25792587,0.03614587,0.19290061,0.32841387,0.09249487,0.23103455,0.023051474,6.840236e-05,0.017661033,0.0,0.0044677276,0.0058034803,0.03606236,0.021299355,0.033194702,0.06363586,0.037953787,0.011964973,JE-TMA-41
JE-TMA-41_scene01_cell1513,0.0024139625,1.7867811e-05,0.10350609,0.14498068,0.2165248,0.09866533,0.6219122,0.101031594,0.19593175,0.046336327,0.105716966,0.034263812,4.6462836e-05,0.0,1.6007953e-05,0.0,0.0,0.00015388253,0.017589657,0.0005121052,0.039183557,0.0,0.0,0.0,JE-TMA-41
JE-TMA-41_scene01_cell788,0.000585851,0.018880308,0.006052004,0.60150987,0.17212439,0.030768054,0.0765313,0.029181072,0.21260627,0.014426056,0.09990818,0.09731262,0.0465802,3.4558518e-06,0.020694863,1.4565442e-05,0.0070248162,0.006202796,0.016189953,0.109267555,0.027902937,0.12063407,0.0052233418,0.022148365,JE-TMA-41
JE-TMA-41_scene01_cell1438,0.0024684924,0.02610066,0.09019839,0.05234484,0.14661342,0.050696973,0.13931933,0.025489224,0.101735845,0.04166004,0.06235489,0.01684309,0.014155424,0.0095223775,0.01750689,0.0024125313,0.006073158,0.0065035885,0.007793618,0.007988978,0.027358754,0.035245474,0.02982716,0.02140251,JE-TMA-41
JE-TMA-41_scene01_cell2057,0.00069862284,0.019769505,0.16965881,0.2296678,0.23611848,0.108779676,0.30373064,0.07611356,0.2039145,0.08356181,0.13084048,0.029735865,0.00078907073,0.0009119958,0.014998727,1.3047043e-05,0.0006016027,0.0064723147,0.009478522,0.002922529,0.057857946,0.016450927,0.0020216461,0.019661948,JE-TMA-41
JE-TMA-41_scene01_cell2446,0.0010099341,0.01977493,0.19728202,0.08036063,0.7310368,0.07757725,0.5503776,0.12500626,0.27180734,0.049275257,0.19807716,0.016447611,0.027493369,0.01036397,0.01980137,0.0005270123,0.0038422788,0.008609142,0.007540006,0.0049396795,0.062886134,0.020420838,0.00803754,0.032988716,JE-TMA-41
JE-TMA-41_scene01_cell634,0.0007886142,0.01902257,0.01913832,0.5594458,0.19670069,0.06007964,0.11122554,0.020910295,0.17105295,0.026402162,0.068018444,0.28991312,0.060939625,0.00036309258,0.02308521,0.00023491867,0.0074993465,0.0063548,0.027105862,0.015727356,0.031945176,0.03029681,0.0073568053,0.018993337,JE-TMA-41
JE-TMA-41_scene01_cell1095,0.0011404551,0.018427292,0.006235537,0.5707567,0.31875136,0.032956842,0.3534592,0.025774866,0.24855405,0.015593568,0.10666781,0.63479567,0.043728553,0.0,0.021599483,4.4000873e-05,0.006140295,0.0064668274,0.013732532,0.0089674825,0.036333706,0.06181858,0.004186185,0.017977081,JE-TMA-41
JE-TMA-41_scene01_cell863,0.0006891037,0.018903716,0.005377365,0.5983989,0.17827582,0.027167173,0.058951613,0.02684114,0.21945138,0.0153041035,0.12104526,0.084500015,0.029680178,5.6600653e-05,0.017557198,4.6719175e-05,0.007852774,0.006052821,0.014431261,0.09992203,0.028474484,0.1611356,0.010601152,0.016715623,JE-TMA-41
JE-TMA-41_scene01_cell2940,0.0007097849,0.017730365,0.36095423,0.11619699,0.6990995,0.12598127,0.5923499,0.16912147,0.31040388,0.0060715256,0.3447775,0.08367006,0.013193304,0.028860824,0.017229779,0.00078219053,0.004845825,0.0059312666,0.009361981,0.0035794324,0.20077755,0.018541377,0.016237196,0.024154471,JE-TMA-41
JE-TMA-41_scene01_cell3617,0.002707356,0.021569887,0.05098388,0.086324126,0.20104265,0.02638158,0.22152737,0.050051328,0.11807668,0.03155156,0.07993622,0.022329316,0.035065513,0.004086276,0.652176,0.18308786,0.73644364,0.0089203045,0.21015504,0.0021288295,0.05978509,0.034248002,0.0051799947,0.017904527,JE-TMA-41
JE-TMA-41_scene01_cell1731,0.00194106,0.038488705,0.20748934,0.13422799,0.4596783,0.08729787,0.43870032,0.19437835,0.33722892,0.115280814,0.17841507,0.050044816,0.07307885,0.032654084,0.024970744,0.0021694768,0.0068808543,0.009254536,0.012588061,0.005619422,0.06900074,0.059210334,0.03048429,0.03795903,JE-TMA-41
JE-TMA-41_scene01_cell2555,0.0019672236,0.026206143,0.08199814,0.06992364,0.20839548,0.039267465,0.26515016,0.028308127,0.15130809,0.021226792,0.060083047,0.015508681,0.0390982,0.008450686,0.010411067,0.001227269,2.4040073e-06,0.005678635,0.0076253405,0.0011689978,0.04194746,0.022713412,0.0018212775,0.03157596,JE-TMA-41
JE-TMA-41_scene01_cell3239,0.0011704818,0.018668357,0.28280342,0.066878,0.3513214,0.02286777,0.5905666,0.05939905,0.14678003,0.04458213,0.2171664,0.03923136,0.047891725,0.018459095,0.019310933,0.00043588463,0.006996268,0.0068122554,0.008725275,0.0010205482,0.10526408,0.023296919,0.009208683,0.014758103,JE-TMA-41
