,CD20,CD3,CD4,CD44,CD45,CD68,CK14,CK19,Ecad,ER,LamAC,PCNA,pHH3,batch
JE-TMA-41_scene01_cell2077,0.0654666,0.374094,0.84932595,0.6289109,0.20206055,0.17429721,0.06988033,0.36424938,0.020009933,0.15311567,0.07182422,0.00011360147,0.00013661689,JE-TMA-41
JE-TMA-41_scene01_cell3182,0.038713347,0.9782937,3.7952397,0.501924,0.6041607,0.38802102,0.098996334,0.50703037,0.036818665,0.48856342,0.15220186,0.12618925,0.25267032,JE-TMA-41
JE-TMA-41_scene01_cell2387,0.08894489,0.902744,0.51892054,0.39112404,0.61037815,0.29667994,0.1016618,0.23834203,0.0271926,0.5273028,0.4426902,0.06566345,0.10942054,JE-TMA-41
JE-TMA-41_scene01_cell2004,0.021624433,0.4238341,0.26108682,0.51885575,0.39161915,0.025503602,0.03321737,0.17074706,0.029961063,0.087293625,0.18731664,0.0012278488,0.0,JE-TMA-41
JE-TMA-41_scene01_cell2704,0.88690567,0.111881875,0.18213087,0.47613466,0.9141587,0.6572862,0.09675279,0.25974673,0.028801288,0.37854227,0.15872851,0.055360466,0.06792078,JE-TMA-41
JE-TMA-41_scene01_cell1970,1.3342856,0.2040764,0.11386345,0.12159663,0.87423444,0.29564703,0.116014205,0.21320103,0.05971825,0.40023318,0.15529606,2.6921794,0.10436564,JE-TMA-41
JE-TMA-41_scene01_cell365,1.4446067,0.30536085,0.39358458,0.21041419,0.5343136,1.1685989,0.09493865,0.20704956,0.16159643,0.23745815,0.11487674,0.32274872,0.52752787,JE-TMA-41
JE-TMA-41_scene01_cell1513,0.21530887,0.29766014,1.0784482,0.6104501,0.5449702,0.16098414,8.602787e-05,0.47306383,0.07735237,0.0,0.13560398,0.0,0.0,JE-TMA-41
JE-TMA-41_scene01_cell788,1.7877461,0.19632076,0.10741195,0.16752794,0.60369337,0.050097696,0.11125911,0.114809014,0.07096981,0.43958005,0.096562676,0.6123981,0.072480135,JE-TMA-41
JE-TMA-41_scene01_cell1438,0.012153702,0.13837036,0.20449357,0.14479743,0.21593374,0.14472401,0.09410957,0.48375008,0.032684408,0.42477512,0.09467936,0.17871405,0.4143065,JE-TMA-41
JE-TMA-41_scene01_cell2057,0.41743812,0.3426073,0.46959472,0.45668826,0.5730618,0.29063404,0.080620766,0.13690887,0.04036705,0.39022636,0.20024122,0.08340817,0.028052002,JE-TMA-41
JE-TMA-41_scene01_cell2446,0.072329074,1.5668792,0.92576677,0.75861806,0.81373465,0.17120567,0.10645204,0.19791646,0.031528022,0.65478367,0.21764703,0.103537425,0.111535385,JE-TMA-41
JE-TMA-41_scene01_cell634,1.5702419,0.2523312,0.1608782,0.116607025,0.45765722,0.09169759,0.12412188,0.15454446,0.12074803,0.3769552,0.11055226,0.15361719,0.10208771,JE-TMA-41
JE-TMA-41_scene01_cell1095,1.6265689,0.5340547,0.55460644,0.14655606,0.73092234,0.054152574,0.11612656,0.22349463,0.059764314,0.35678402,0.12574065,0.31352553,0.058087673,JE-TMA-41
JE-TMA-41_scene01_cell863,1.7708873,0.21032223,0.08044629,0.15312093,0.6278513,0.05314723,0.09438016,0.1350434,0.0629504,0.33174637,0.0985407,0.8188251,0.14711839,JE-TMA-41
JE-TMA-41_scene01_cell2940,0.15073125,1.4804717,1.0139806,1.0320209,0.9521994,0.021083906,0.09261913,0.13909629,0.039835658,0.4794016,0.6955892,0.0940076,0.22537303,JE-TMA-41
JE-TMA-41_scene01_cell3617,0.08524923,0.2622474,0.33451375,0.2960595,0.27274683,0.10958943,5.032249,0.53056026,0.9589252,0.35534397,0.20691222,0.17365526,0.071878605,JE-TMA-41
JE-TMA-41_scene01_cell1731,0.19099006,0.86989725,0.7076574,1.1891001,1.0492579,0.40152964,0.13427089,0.38038906,0.054545756,0.753475,0.23881488,0.30028895,0.42345387,JE-TMA-41
JE-TMA-41_scene01_cell2555,0.049818397,0.2790549,0.4054417,0.16215314,0.388593,0.07371883,0.055955343,0.38551632,0.03191712,0.62673426,0.14517002,0.1151622,0.025271699,JE-TMA-41
JE-TMA-41_scene01_cell3239,0.04327182,0.610504,1.0101552,0.3536535,0.37278065,0.15488401,0.103813626,0.22937894,0.036932472,0.29289395,0.3643882,0.11812098,0.12779014,JE-TMA-41
JE-TMA-41_scene01_cell1076,1.1917802,0.62072945,0.5887915,0.7331195,0.8017627,0.2277128,0.10374843,0.4750283,0.080123,0.2792201,0.13396552,0.1525157,0.14630805,JE-TMA-41
JE-TMA-41_scene01_cell2542,0.15757298,0.84101355,0.97944635,0.37288356,0.69609624,0.14054908,0.09138847,0.33743626,0.027789485,0.5523741,0.39324576,0.04223991,0.027322141,JE-TMA-41
JE-TMA-41_scene01_cell2411,0.0538173,1.9714842,1.6873171,0.9214079,0.95387256,0.10604225,0.09677468,0.16352662,0.036042266,0.61944777,0.22294098,0.05013357,0.036517695,JE-TMA-41
JE-TMA-41_scene01_cell977,1.7710756,0.23487882,0.19457547,0.42546448,0.83148324,0.18431221,0.11627375,0.16713886,0.07581906,0.4179554,0.12321879,0.27375922,0.08625669,JE-TMA-41
JE-TMA-41_scene01_cell1518,0.24560566,0.37493527,0.10798359,0.19818619,0.27438682,0.049301006,0.11048712,0.20447128,0.01763141,0.2621027,0.08222629,0.13213454,0.053486474,JE-TMA-41
JE-TMA-41_scene01_cell2332,0.05719876,2.0510821,2.5615466,0.7448469,1.0965976,0.14444244,0.09989322,0.2811254,0.031985737,0.62740993,0.1875592,0.077529706,0.10664865,JE-TMA-41
JE-TMA-41_scene01_cell1183,1.2348416,0.10084298,0.07641062,0.79703164,0.5149373,0.1862157,0.10028066,0.28073108,0.043090433,0.21456864,0.1545265,0.12648483,0.12203458,JE-TMA-41
JE-TMA-41_scene01_cell2294,0.0112674,0.18937,0.27950326,0.1350975,0.14145917,0.00024059736,0.00806701,0.112965725,0.007802971,0.03514064,0.13422012,0.0015147261,0.0,JE-TMA-41
JE-TMA-41_scene01_cell3345,0.37630573,0.15239534,0.17061399,0.4777937,0.5073033,0.24536078,1.006879,6.3835454,0.55011284,0.65562797,0.19237751,0.92239785,0.26049998,JE-TMA-41
JE-TMA-41_scene01_cell235,0.5798572,0.3662145,0.59503216,0.22207922,0.61311805,0.20208392,0.09499627,0.6502693,0.18439156,0.34872457,0.274292,0.16352843,0.052270986,JE-TMA-41
JE-TMA-41_scene01_cell1341,0.56455016,0.45393062,0.25476637,0.71585375,0.62854964,0.49993837,0.104509816,0.3508572,0.04621498,0.19907123,0.15415774,0.13041836,0.1286055,JE-TMA-41
JE-TMA-41_scene01_cell42,0.25966245,0.1413413,0.12927967,0.13770767,0.2028788,0.10812497,0.11841588,0.13586162,0.18560787,0.33925968,0.066145375,0.11960436,0.108551994,JE-TMA-41
JE-TMA-41_scene01_cell1844,0.019616263,0.5322991,1.4760338,0.48328623,0.4251779,0.06376056,0.08367213,0.86939204,0.021437315,0.24405725,0.1254961,0.01838127,0.06897244,JE-TMA-41
JE-TMA-41_scene01_cell1429,0.7292596,0.7442739,0.74388033,0.72648823,0.88794273,0.18198723,0.10626032,0.56661284,0.06709107,0.3350713,0.11536573,0.15045911,0.124387845,JE-TMA-41
JE-TMA-41_scene01_cell2686,1.4859807,0.27460638,0.2442617,0.7320282,1.2741195,0.22895806,0.09808771,0.27762502,0.036813322,0.46455154,0.1681218,0.11974559,0.12247262,JE-TMA-41
