,CK19_cytoplasm,HER2_cellmem25,Vim_nucadj2,CD20_perinuc5,CD3_perinuc5,CD31_perinuc5,CD4_perinuc5,CD44_perinuc5,CD45_perinuc5,CD68_perinuc5,CD8_perinuc5,PD1_perinuc5,PDPN_perinuc5,aSMA_perinuc5,CK14_cytoplasm,CK17_cytoplasm,CK5_cytoplasm,CK7_cytoplasm,Ecad_cytoplasm,Ki67_nuclei,LamAC_nuclei,PCNA_nuclei,pHH3_nuclei,ER_nuclei,batch
JE-TMA-41_scene01_cell2077,0.0024607078803376915,0.014367616527864826,0.01783858795613073,0.0211538425182253,0.03573326246330455,0.14368788623458814,0.19760561355958978,0.015139185692584501,0.005282259578075883,0.014116253786032089,0.5798712831962667,0.008365097505025747,0.010553035002438456,0.003721929185271753,0.0004432771186333917,0.0070562466096469635,0.0007850594629283881,0.001161221407908366,0.01229179171597869,0.019745298761424338,0.006532558940451345,0.012843955043029265,0.0015673653273666455,0.016797181837393753,JE-TMA-41
JE-TMA-41_scene01_cell3182,0.01785805856145096,0.006781979774156517,0.11946323265350942,0.01709581545945622,0.21593016150950922,0.014334606289639654,0.9999999999999999,0.012246677218213377,0.02014449906854715,0.013585044372026085,0.5492945055693407,0.015850596174331842,0.006097053480572006,0.014564883388909464,0.002913670586758377,0.004271503977617206,0.008067551906711299,0.006644604799699341,0.010740332871354457,0.017053607929479426,0.007020239479132074,0.0076459775762892585,0.0013596336784249586,0.0049044348473550724,JE-TMA-41
JE-TMA-41_scene01_cell2387,0.01287020549555067,0.011707645613398692,0.029999861551389534,0.026406874263458054,0.1933981637115713,0.0021441091319372996,0.10761131093295188,0.011024930667555858,0.021637465284045254,0.01323521480291824,0.21058171906502235,0.011171679465258108,0.013152435473615219,0.010360148653104525,0.0008717452162828022,0.009698532082454648,0.01330968798373503,0.011868711604108545,0.0024541719234558944,0.014686392154717325,0.007661188660170912,0.0051330532076451,0.010017850929038553,0.019436157733144693,JE-TMA-41
JE-TMA-41_scene01_cell2004,0.002774784545866795,0.0007831608335577256,0.01659005091351387,0.009142927441719016,0.05056777704259818,0.011527570848462898,0.037383760063690694,0.015153615593170171,0.009386931792459308,0.004203252480605102,0.010129571264876349,0.0019563727789096963,0.015431800785518795,0.0029490378967932628,0.008341295990278847,0.00615888746977914,0.007489126705776659,0.012292128616397438,0.01563530976935725,0.0016228401645759294,0.006887412131047668,0.01002985128273628,0.0006095772725224258,0.00820889681578477,JE-TMA-41
JE-TMA-41_scene01_cell2704,0.006542154758029806,3.732253376359518e-05,0.011250010844338776,0.20494261358742907,0.006117219349171341,0.012469144847258312,0.01763763817152437,0.006730932562523697,0.09458336500661174,0.02501484269003101,0.009739924415943504,0.010455982628779817,0.024840426658678545,0.011519814526918993,0.009894351944124859,0.018825332917236606,0.004469051811831579,0.014927077576694439,0.005420634801142108,0.005501557572221634,0.01942941140651135,0.014144070523443531,0.0064280464530568375,0.008385510619650139,JE-TMA-41
JE-TMA-41_scene01_cell1970,0.017213180126147573,0.002592120618472116,0.011716960082401036,0.3050393915422214,0.01653410980402759,0.018806913506503157,0.012766824508294378,0.009126747241639978,0.08499647642766622,0.018971588107401804,0.004284380580736689,0.01891285038801615,0.0028757820328551564,0.01974311111668016,0.009442686264742673,0.015272421753049437,0.019607567181705067,0.01817943064448277,0.00040441371709759144,0.035875237908675084,0.012890261103542851,0.22407258707767286,0.019145823569025368,0.0069125057894127845,JE-TMA-41
JE-TMA-41_scene01_cell365,0.01801758720647066,0.0005538610443338787,0.01740515379466088,0.3297226349294337,0.017808107611920695,0.009970577320875718,0.07347288549914335,0.0027444155405046454,0.002480924777208613,0.06605080244066219,0.018027388572157525,0.07890705613831087,0.01723859951490967,0.015733795932703267,0.003994678541944561,0.005118215617325537,0.01880985182596267,0.019956439017307096,0.012671606845015298,0.0063194426917330465,0.00732925900474767,0.017724640315450964,0.010119651390573435,0.012452294378235147,JE-TMA-41
JE-TMA-41_scene01_cell1513,0.012834642502990531,0.00020930157242295524,0.010257511950885327,0.05467955064245898,0.005943073865679048,0.006840024897569534,0.2600128770181683,0.019172989297144446,0.01016400785526553,0.011682031749559774,0.018513102610889905,0.014197109366681337,0.015666423799363404,0.01138526877800907,0.0013189644572606807,0.017003187935766193,0.00401455062501106,8.758224304668438e-05,0.013800301182168332,0.01301563920971159,0.011628311465979623,0.014735515778854756,0.009987802842751676,0.014169634840037202,JE-TMA-41
JE-TMA-41_scene01_cell788,0.0019285258235978487,0.014986984064910155,0.0038889597485218053,0.406496639216519,0.018216373900860172,0.013980601820623426,0.007217369465083687,0.0016096604789923809,0.02003227019274384,0.0021084282343619433,0.002797098428627318,0.012602238134867823,0.012494039264256952,0.01141558226293355,0.002568783543340556,0.002803990921544093,0.007103696550021941,0.018964304216964527,0.004860456029742694,0.008832235507762461,0.019984775178256343,0.004928173963863543,0.01657830862329188,0.0020288901216396816,JE-TMA-41
JE-TMA-41_scene01_cell1438,0.006776607391000665,0.00363239355216159,0.005523700514951811,0.0069532359052028436,0.01970316449120659,0.001445903229888439,0.021969147555841638,0.011016913101135267,0.014315565126809742,0.014933169526398133,0.004841864103718217,0.015644087354480238,0.002812085588164013,0.00589698853910742,0.011849523970557791,0.006034249422493623,0.011953423728893466,0.009624304573676197,0.0037698622095478987,0.009270722903660296,0.016111840257747728,0.016080924415315806,0.0032293282914259303,0.002620147339577934,JE-TMA-41
