,CK19,HER2,Vim,CD20,CD3,CD31,CD4,CD44,CD45,CD68,CD8,PD1,PDPN,aSMA,CK14,CK17,CK5,CK7,Ecad,Ki67,LamAC,PCNA,pHH3,ER,batch
JE-TMA-41_scene01_cell2077,0.002460708,0.014367617,0.017838588,0.021153843,0.035733264,0.14368789,0.19760561,0.015139186,0.0052822595,0.014116254,0.5798713,0.008365097,0.010553035,0.0037219292,0.00044327712,0.0070562465,0.00078505947,0.0011612214,0.012291792,0.0197453,0.006532559,0.012843955,0.0015673654,0.016797181,JE-TMA-41
JE-TMA-41_scene01_cell3182,0.017858058,0.00678198,0.119463235,0.017095815,0.21593016,0.014334606,1.0,0.012246678,0.0201445,0.013585044,0.54929453,0.015850596,0.0060970536,0.014564883,0.0029136706,0.004271504,0.008067552,0.0066446047,0.010740333,0.017053608,0.0070202393,0.0076459777,0.0013596336,0.004904435,JE-TMA-41
JE-TMA-41_scene01_cell2387,0.012870206,0.011707646,0.029999861,0.026406875,0.19339816,0.0021441092,0.10761131,0.0110249305,0.021637466,0.013235215,0.21058172,0.011171679,0.013152435,0.010360149,0.00087174523,0.0096985325,0.013309688,0.011868712,0.002454172,0.014686393,0.0076611885,0.0051330533,0.010017851,0.019436158,JE-TMA-41
JE-TMA-41_scene01_cell2004,0.0027747846,0.00078316085,0.016590051,0.009142928,0.050567776,0.011527571,0.03738376,0.015153616,0.009386932,0.0042032525,0.010129571,0.0019563728,0.015431801,0.0029490378,0.008341296,0.0061588874,0.0074891266,0.012292129,0.01563531,0.0016228402,0.006887412,0.010029851,0.0006095773,0.008208897,JE-TMA-41
JE-TMA-41_scene01_cell2704,0.0065421546,3.7322534e-05,0.011250011,0.20494261,0.0061172196,0.012469145,0.017637638,0.0067309327,0.09458336,0.025014842,0.009739924,0.010455983,0.024840428,0.011519815,0.009894352,0.018825334,0.004469052,0.014927078,0.005420635,0.0055015576,0.019429412,0.01414407,0.0064280466,0.00838551,JE-TMA-41
JE-TMA-41_scene01_cell1970,0.01721318,0.0025921206,0.01171696,0.3050394,0.01653411,0.018806914,0.012766824,0.009126747,0.08499648,0.018971588,0.0042843805,0.01891285,0.002875782,0.019743111,0.009442686,0.015272422,0.019607566,0.018179432,0.00040441373,0.03587524,0.012890261,0.22407259,0.019145824,0.0069125057,JE-TMA-41
JE-TMA-41_scene01_cell365,0.018017586,0.000553861,0.017405154,0.32972264,0.017808108,0.009970577,0.07347289,0.0027444155,0.0024809248,0.066050805,0.01802739,0.07890706,0.0172386,0.015733795,0.0039946786,0.0051182155,0.018809851,0.01995644,0.012671607,0.0063194428,0.007329259,0.01772464,0.010119651,0.012452294,JE-TMA-41
JE-TMA-41_scene01_cell1513,0.012834642,0.00020930158,0.010257512,0.05467955,0.005943074,0.006840025,0.26001287,0.019172989,0.010164008,0.011682032,0.018513102,0.014197109,0.015666423,0.0113852685,0.0013189644,0.017003188,0.0040145507,8.7582244e-05,0.013800302,0.013015639,0.011628311,0.014735516,0.009987803,0.014169635,JE-TMA-41
JE-TMA-41_scene01_cell788,0.0019285259,0.014986984,0.0038889598,0.40649664,0.018216373,0.013980602,0.0072173695,0.0016096605,0.02003227,0.0021084282,0.0027970984,0.012602238,0.01249404,0.011415582,0.0025687835,0.0028039909,0.0071036965,0.018964304,0.004860456,0.008832236,0.019984774,0.004928174,0.01657831,0.0020288902,JE-TMA-41
JE-TMA-41_scene01_cell1438,0.0067766076,0.0036323937,0.0055237007,0.0069532357,0.019703165,0.0014459032,0.021969147,0.011016913,0.014315565,0.01493317,0.004841864,0.015644087,0.0028120857,0.0058969883,0.0118495235,0.0060342494,0.011953424,0.009624304,0.0037698622,0.009270723,0.01611184,0.016080925,0.0032293282,0.0026201473,JE-TMA-41
JE-TMA-41_scene01_cell2057,0.0053981044,0.014293495,0.014658601,0.09990395,0.026342645,0.010324083,0.09417617,0.010223804,0.0026684036,0.007996104,0.020110967,0.005873141,0.0034523068,0.0142351305,0.013182128,0.015781932,0.0071493518,0.0066922763,0.011873047,0.0036988824,0.010311379,0.018097991,0.014769282,0.0092909355,JE-TMA-41
JE-TMA-41_scene01_cell2446,0.017169027,0.001724193,0.008864834,0.022689253,0.39147025,0.010974528,0.21842621,0.007961403,0.07046884,0.007936562,0.06962416,0.006730843,0.0095808385,0.011351875,0.018315926,0.0074408953,0.0053579956,0.0066693625,0.019102804,0.014324371,0.0073969425,0.004716791,0.0022926307,0.01200512,JE-TMA-41
JE-TMA-41_scene01_cell634,0.003774349,0.0122503275,0.010320451,0.35783228,0.016937578,0.008704877,0.014271676,0.0077058887,0.013817769,0.0039673387,0.010719508,0.10892453,0.0034292073,0.009199949,0.012550742,0.0060643596,0.0063052177,0.0024295815,0.01038256,0.006680374,0.009375955,0.01321629,0.014360281,0.013584298,JE-TMA-41
JE-TMA-41_scene01_cell1095,0.005114606,0.011129118,0.004225616,0.37043488,0.083440036,0.0093694525,0.117331274,0.00013255664,0.050583374,0.0071641584,0.015625007,0.3301591,0.016228423,0.0034940955,0.014573423,0.019580815,0.018751705,0.008162297,0.016610773,0.009326286,0.010673121,0.01967151,0.0080232695,0.014228794,JE-TMA-41
JE-TMA-41_scene01_cell863,0.005369182,0.008260878,0.016343266,0.40272465,0.0074316533,0.010229306,0.011663193,0.007848641,0.025833245,0.009169349,0.0117126545,0.010695842,0.0025967436,0.018414043,0.0060384753,0.019580688,0.0077100494,0.019207878,0.012339618,0.0062647243,0.0004769855,0.0141780265,0.012619141,0.0023233723,JE-TMA-41
JE-TMA-41_scene01_cell2940,0.005586465,0.011838602,0.076295935,0.040230952,0.36570007,0.021006523,0.24245352,0.01879041,0.10371796,0.019159485,0.18359531,0.0062502017,0.016923815,0.013745948,0.00573608,0.004278925,0.0047734734,0.010238992,0.0064804195,0.007656891,0.00530202,0.0018868253,0.0021655436,0.006533011,JE-TMA-41
JE-TMA-41_scene01_cell3617,0.011718353,0.004138568,0.00096408935,0.025580008,0.017231226,0.0036542893,0.057383444,0.0057093273,0.01702723,0.0040627234,0.01305935,0.008327074,0.014972777,0.0011874168,0.11241728,0.06664096,0.31719095,0.017047182,0.019642452,0.015320712,0.0058666365,0.003420352,0.0008156218,0.012287711,JE-TMA-41
JE-TMA-41_scene01_cell1731,0.008118835,0.014028862,0.012362297,0.04923846,0.18360193,0.013259315,0.15901859,0.0024587484,0.12702432,0.0034045035,0.055013023,0.0049542803,0.01200474,0.0009748673,0.0012523417,0.00820946,0.019887138,0.017397461,0.0054823323,0.0075283255,0.0012641666,0.0082692625,0.005938019,0.005689539,JE-TMA-41
JE-TMA-41_scene01_cell2555,0.009373847,0.018640598,0.0068626725,0.0127477255,0.018158184,0.00021402443,0.076702476,0.008455598,0.005429512,0.007415706,0.002281708,0.018672055,0.01731986,0.018625222,0.0070954426,0.0041993535,0.0154880285,0.019366868,0.017231233,0.014153382,0.016472895,0.011415942,0.005991163,0.012075858,JE-TMA-41
JE-TMA-41_scene01_cell3239,0.0043703266,0.015297732,0.030295027,0.0020764521,0.10624032,0.017361915,0.24141155,0.0044207936,0.004682258,0.018748473,0.08393219,0.010068027,0.01215347,0.010030364,0.0007771319,0.0011512917,0.01547218,0.0079506915,0.010115722,0.0029113977,0.018887542,0.0050030984,0.01437845,0.00016698349,JE-TMA-41
JE-TMA-41_scene01_cell1076,0.014271336,0.010249433,0.012382993,0.27315524,0.109289974,0.009072711,0.12664244,0.0033172548,0.067594066,0.018640185,0.011823313,0.043183975,0.013308217,0.017246068,0.005497054,0.013921857,0.009987835,0.015890535,0.0095219845,0.009354721,0.004892009,0.0016060416,0.00066927675,0.0014112312,JE-TMA-41
JE-TMA-41_scene01_cell2542,0.015269934,0.014234391,0.18418863,0.041761722,0.17498764,0.011969382,0.2330472,0.011677382,0.042220693,0.01701516,0.033043195,0.017449342,0.0018851452,0.006578995,0.015779983,0.0014716496,0.01402268,0.0014620629,0.008021993,0.017174214,0.008781694,0.008795082,0.00658571,0.000947911,JE-TMA-41
JE-TMA-41_scene01_cell2411,0.01926651,0.00070363615,0.0295064,0.013918597,0.5121399,0.0072510233,0.4258538,0.0067559993,0.10411975,0.0040802727,0.15702373,0.012530768,0.017768659,0.003226363,0.009275908,0.0077265957,0.019786514,0.00038349445,0.010372966,0.013297589,0.0058903694,0.01865799,0.0071347663,0.0014501862,JE-TMA-41
