,CD44_Ring,CD45_Ring,CD4_Ring,CK19_Ring,CK5_Ring,ER_Nuclei,Ecad_Ring,Ki67_Nuclei,PD1_Ring,Vim_Ring,aSMA_Ring,pHH3_Nuclei,batch
BM-Her2N75-15_scene017_cell03360,1.2264069329996492,0.9591789508649793,0.7945023802349237,0.20254230125925124,0.37612141876542055,0.4646098134107112,0.2491759547847944,0.6471699709800915,0.8784311177886389,0.6325143204216954,0.43171563145344133,0.5917382050379539,BM-Her2N75-15
BM-Her2N75-15_scene017_cell02007,0.9999839914492454,0.48576550859295897,0.5307592106824498,0.22934668261049038,0.3909757510112336,0.42193485581349366,0.3432611646783278,0.31182564282922826,0.7678626735228165,0.48331149936263834,0.46248323900544447,0.6689059200564956,BM-Her2N75-15
BM-Her2N75-15_scene017_cell04801,0.6866117597017567,0.6161129243862449,0.6394847628888966,0.296039978284597,0.4461222355283478,0.5457753795410644,0.5011335034620047,0.4142609885316164,0.8571630153125611,0.6828037808200897,0.5908461595213385,0.6350372841831732,BM-Her2N75-15
BM-Her2N75-15_scene017_cell02189,0.7770265294923644,0.7203932698814081,0.6761553635759601,0.18956411721547406,0.38806762108661436,0.44609915048236853,0.2685538171020422,2.0001475421072117,0.8056462708891119,0.5132877080682328,0.5471011297617073,0.6942392276194403,BM-Her2N75-15
BM-Her2N75-15_scene017_cell01507,1.063625694870919,0.7331573932675964,0.8647533182278917,0.20578788056071584,0.4409881079589777,0.5900151237267934,0.3315154234616058,4.65538783712723,1.007287137889433,0.7501830512099484,0.6386071729102052,1.1546597018439662,BM-Her2N75-15
BM-Her2N75-15_scene017_cell07521,0.5942691843852854,0.6084555084848708,0.6852252983624509,0.33659044396281007,0.4550463266165706,2.6944686304583385,0.8562106995491754,0.3233252973235186,0.7737815684515501,0.6316406429452752,0.6309467840786009,0.9470786735651158,BM-Her2N75-15
BM-Her2N75-15_scene017_cell02691,2.7663252463185426,1.1006439757770003,0.7122268007548318,0.1961178395653379,0.4229139754461153,0.48119702250655444,0.24823684670732543,0.34230695004038203,0.7991811340513418,0.6712440777774915,0.5857086084061347,0.7936102147206509,BM-Her2N75-15
BM-Her2N75-15_scene017_cell07964,3.8776965433939616,0.6263086018500864,0.5576924690086708,0.2021788899098853,0.4433842370162195,0.4817918317969061,0.2723224621306235,0.3287985001192631,0.8096528654149996,0.6192620368374046,0.5606215694316788,0.9346720389424868,BM-Her2N75-15
BM-Her2N75-15_scene017_cell07704,0.9127964146548111,0.8578118945578025,0.9488839227980708,0.19716054867308075,0.40125410683841356,0.4097430859837125,0.26514778201920425,0.297729483985413,0.7464987851297952,0.5373256141054311,0.5161771578829667,0.6107869922711858,BM-Her2N75-15
BM-Her2N75-15_scene017_cell02679,0.6682684862630467,0.5559010779895023,0.7765263131782151,0.18329060576128794,0.40433275061926627,0.5322502583288141,0.2720575771604669,0.3121903673134769,0.7729317151204842,0.5612128874625193,0.52471972756535,0.9050236795218636,BM-Her2N75-15
BM-Her2N75-15_scene017_cell05798,0.8743000916651888,0.6429179649411453,0.6277202296639273,0.20056273127464513,0.4617260057798625,0.4352758480332444,0.2866180644022975,0.32236841958862483,0.8558151174381445,0.6626125209713579,0.6469643956225215,0.6493377797967157,BM-Her2N75-15
BM-Her2N75-15_scene017_cell07101,0.4441276867360961,0.6347823477823171,0.5085265531613888,0.5483657508324242,0.4797530639625986,2.0924879012373476,0.9938688430662935,0.3031400690706875,0.7995655451739735,0.5051011530651156,0.5154615927695474,0.7085020662689823,BM-Her2N75-15
BM-Her2N75-15_scene017_cell07802,0.538534105215223,0.5734606972838089,0.39153870404720403,0.21395313513301187,0.41256438811752977,0.40057546875442285,0.29242714855259294,0.288869665288472,0.6760104765635497,0.8076596832734954,0.40635727467090893,0.5068304345071606,BM-Her2N75-15
BM-Her2N75-15_scene017_cell04363,0.7601245732862263,0.6134563232038699,0.5282441776614205,0.5724591739329234,0.481862851830129,2.3441344625728346,1.1564662191374282,0.3202944537412479,0.8435104925749713,0.5006394913914717,0.5612498059727863,0.697097702866414,BM-Her2N75-15
BM-Her2N75-15_scene017_cell04240,0.4499696996605145,0.5224159190081018,0.555061573712512,0.7583068093884128,0.5066230204188166,0.5493560413101986,0.5953965196523855,0.33388923107530943,0.8331172294541473,0.5083653233050465,0.5866372395682505,0.6196771513987334,BM-Her2N75-15
