,CD44_Ring,CD45_Ring,CD4_Ring,CK19_Ring,CK5_Ring,ER_Nuclei,Ecad_Ring,Ki67_Nuclei,PD1_Ring,Vim_Ring,aSMA_Ring,pHH3_Nuclei,batch
BM-Her2N75-15_scene017_cell03360,1.2264069,0.9591789,0.7945024,0.2025423,0.37612143,0.4646098,0.24917595,0.64716995,0.87843114,0.6325143,0.43171564,0.5917382,BM-Her2N75-15
BM-Her2N75-15_scene017_cell02007,0.99998397,0.48576552,0.5307592,0.22934668,0.39097574,0.42193484,0.34326115,0.31182563,0.7678627,0.4833115,0.46248323,0.6689059,BM-Her2N75-15
BM-Her2N75-15_scene017_cell04801,0.6866118,0.61611295,0.63948476,0.29603997,0.44612223,0.54577535,0.5011335,0.41426098,0.857163,0.6828038,0.5908462,0.6350373,BM-Her2N75-15
BM-Her2N75-15_scene017_cell02189,0.77702653,0.72039324,0.6761554,0.18956412,0.38806763,0.44609916,0.26855382,2.0001476,0.8056463,0.5132877,0.54710114,0.6942392,BM-Her2N75-15
BM-Her2N75-15_scene017_cell01507,1.0636257,0.7331574,0.8647533,0.20578788,0.4409881,0.5900151,0.33151543,4.655388,1.0072871,0.75018305,0.63860714,1.1546597,BM-Her2N75-15
BM-Her2N75-15_scene017_cell07521,0.59426916,0.6084555,0.6852253,0.33659044,0.45504633,2.6944687,0.8562107,0.3233253,0.7737816,0.6316407,0.63094676,0.94707865,BM-Her2N75-15
BM-Her2N75-15_scene017_cell02691,2.7663252,1.100644,0.7122268,0.19611783,0.42291397,0.48119703,0.24823685,0.34230694,0.79918116,0.6712441,0.5857086,0.7936102,BM-Her2N75-15
BM-Her2N75-15_scene017_cell07964,3.8776965,0.6263086,0.55769247,0.2021789,0.44338423,0.48179182,0.27232248,0.3287985,0.80965286,0.61926204,0.56062156,0.93467206,BM-Her2N75-15
BM-Her2N75-15_scene017_cell07704,0.91279644,0.85781187,0.94888395,0.19716054,0.40125412,0.4097431,0.26514778,0.2977295,0.74649876,0.5373256,0.5161772,0.610787,BM-Her2N75-15
BM-Her2N75-15_scene017_cell02679,0.6682685,0.55590105,0.77652633,0.1832906,0.40433276,0.5322503,0.27205756,0.31219035,0.7729317,0.5612129,0.5247197,0.9050237,BM-Her2N75-15
BM-Her2N75-15_scene017_cell05798,0.87430006,0.642918,0.62772024,0.20056273,0.461726,0.43527585,0.28661805,0.3223684,0.8558151,0.6626125,0.6469644,0.64933777,BM-Her2N75-15
BM-Her2N75-15_scene017_cell07101,0.44412768,0.6347824,0.50852656,0.5483658,0.47975308,2.0924878,0.9938688,0.30314007,0.79956555,0.50510114,0.51546156,0.70850205,BM-Her2N75-15
BM-Her2N75-15_scene017_cell07802,0.5385341,0.5734607,0.3915387,0.21395314,0.4125644,0.40057546,0.29242715,0.28886968,0.6760105,0.8076597,0.4063573,0.50683045,BM-Her2N75-15
BM-Her2N75-15_scene017_cell04363,0.76012456,0.6134563,0.5282442,0.57245916,0.48186284,2.3441346,1.1564662,0.32029444,0.8435105,0.5006395,0.5612498,0.6970977,BM-Her2N75-15
BM-Her2N75-15_scene017_cell04240,0.4499697,0.52241594,0.5550616,0.7583068,0.506623,0.54935604,0.5953965,0.33388922,0.83311725,0.50836533,0.58663726,0.6196771,BM-Her2N75-15
BM-Her2N75-15_scene017_cell00265,0.45647907,0.48346168,0.40599513,0.28479633,0.4088394,0.3954986,0.47193402,0.30481818,0.7676284,0.4278625,0.37773916,0.43737885,BM-Her2N75-15
BM-Her2N75-15_scene017_cell08059,2.477511,0.5539644,0.533268,0.20121203,0.39933547,0.366827,0.27118155,0.27950403,0.75236,0.83045644,0.5357824,0.48716643,BM-Her2N75-15
BM-Her2N75-15_scene017_cell00925,0.41637108,0.5706327,0.52516216,0.4147172,0.4626306,2.6196845,1.0582882,0.9161086,0.84226733,0.5145719,0.48715344,0.72352105,BM-Her2N75-15
BM-Her2N75-15_scene017_cell04540,0.94386125,0.5542225,0.49429688,0.2013778,0.43770528,0.44856364,0.30011612,0.31298238,0.80309397,0.5084599,0.7140598,0.62907255,BM-Her2N75-15
BM-Her2N75-15_scene017_cell04760,0.5269839,0.53498,0.47933596,0.5440727,0.44740912,1.8492696,1.161946,0.30216286,0.7873956,0.40886998,0.49018547,0.5326416,BM-Her2N75-15
BM-Her2N75-15_scene017_cell04346,0.6280599,0.54714036,0.63646436,0.19874798,0.43944687,0.47536495,0.2922023,0.3277761,0.8252194,0.9859638,0.6391743,0.7852584,BM-Her2N75-15
BM-Her2N75-15_scene017_cell00212,0.41584942,0.60403574,0.50403184,0.9721198,0.5135816,1.3377552,1.1286047,0.33379543,0.82630205,0.4397052,0.439835,0.5293346,BM-Her2N75-15
BM-Her2N75-15_scene017_cell01551,0.81353796,0.7916861,0.84805274,0.1971374,0.37984443,0.42901683,0.25414866,0.30614483,0.8132833,0.54769486,1.6712129,0.5936798,BM-Her2N75-15
BM-Her2N75-15_scene017_cell00781,0.4535093,0.635383,0.63262063,0.9559917,0.46031827,1.2861232,1.6008924,0.3225021,0.84572136,0.53396314,0.50615084,0.6262046,BM-Her2N75-15
BM-Her2N75-15_scene017_cell03850,0.610646,0.6680888,0.6383188,0.6044596,0.47659588,0.955127,1.0942237,0.34823498,0.8576596,0.62606794,0.866524,0.8793953,BM-Her2N75-15
BM-Her2N75-15_scene017_cell02319,0.42472565,0.58178425,0.5109921,0.8157846,0.44109386,1.547557,1.3773897,0.2991858,0.77813303,0.39976394,0.42700326,0.5242364,BM-Her2N75-15
BM-Her2N75-15_scene017_cell02157,1.3298991,0.6460075,0.58803993,0.21087417,0.45608136,0.5229858,0.31082302,0.4013508,0.86504734,0.69770485,1.0230968,0.8797077,BM-Her2N75-15
BM-Her2N75-15_scene017_cell03001,1.221612,0.79891723,0.8609267,0.19877842,0.4128062,0.48743713,0.25888675,0.3155038,0.80406076,0.69142556,0.6013315,0.8479618,BM-Her2N75-15
BM-Her2N75-15_scene017_cell04692,0.43877617,0.6471561,0.4926071,0.7238733,0.48622525,2.4303286,1.17248,0.3444641,0.78832567,0.39437327,0.42353874,0.5008054,BM-Her2N75-15
BM-Her2N75-15_scene017_cell06067,0.9740142,0.5547934,0.58043915,0.19008699,0.43164068,0.46546,0.2709315,0.30445275,0.8200346,0.600377,0.55110824,0.733767,BM-Her2N75-15
BM-Her2N75-15_scene017_cell06250,0.6709303,0.75461596,0.7108886,0.22824739,0.37520832,0.49786443,0.34611303,0.30654067,0.87097937,0.67012346,0.8341329,0.69807595,BM-Her2N75-15
BM-Her2N75-15_scene017_cell07951,1.3619269,0.7111813,0.50685984,0.20116702,0.44160247,0.40038288,0.28281623,0.3304044,0.81060684,0.95953393,1.0160396,0.8054519,BM-Her2N75-15
BM-Her2N75-15_scene017_cell07492,0.39377528,0.55318385,0.45783257,0.8517691,0.43492186,4.013114,0.6203149,0.36759153,0.71944445,0.3615694,0.38210458,0.45708722,BM-Her2N75-15
BM-Her2N75-15_scene017_cell00588,2.051936,0.8758563,1.1977555,0.2074624,0.4598648,0.41200697,0.30602297,0.35965192,0.98355424,0.72993433,0.511222,0.57908446,BM-Her2N75-15
BM-Her2N75-15_scene017_cell01662,0.39685625,0.46062884,0.3845433,0.35310608,0.38794932,1.4658107,0.5749973,0.30567965,0.7197624,0.39831114,0.33760065,0.5141355,BM-Her2N75-15
BM-Her2N75-15_scene017_cell07156,0.88150746,0.6156185,0.62122554,0.19767348,0.45935792,0.5172435,0.2646378,0.30894384,0.8703439,1.015081,0.8713006,0.7352068,BM-Her2N75-15
BM-Her2N75-15_scene017_cell01806,0.92873204,0.6762607,0.8523622,0.18177897,0.40619984,0.3597242,0.25352478,2.738639,0.91475254,0.98451775,0.5199479,0.5149749,BM-Her2N75-15
BM-Her2N75-15_scene017_cell04489,2.0850089,0.9130561,0.77084595,0.21370138,0.49765462,0.5260601,0.29342598,0.38087454,1.0590843,0.7540202,0.6771468,0.93516755,BM-Her2N75-15
BM-Her2N75-15_scene017_cell05553,0.42335945,0.6392878,0.47835007,0.5081178,0.46167567,1.617562,0.84440833,0.60647285,0.805674,0.38041013,0.39462367,0.4709099,BM-Her2N75-15
BM-Her2N75-15_scene017_cell00319,0.5013297,0.53634804,0.54548913,0.19685364,0.38323185,0.44998878,0.26772103,0.29874027,0.7518876,0.5725515,0.45121095,0.62109935,BM-Her2N75-15
BM-Her2N75-15_scene017_cell07247,0.6552738,0.6024078,0.6759545,0.18787406,0.38979664,0.50314826,0.26103663,0.3038579,0.7424545,0.4947565,0.63839704,0.95073813,BM-Her2N75-15
BM-Her2N75-15_scene017_cell05026,0.59264654,0.46177384,0.4644692,0.19024202,0.37977782,0.39668846,0.31305557,0.28011787,0.75313467,0.44653168,0.59892297,0.5995612,BM-Her2N75-15
BM-Her2N75-15_scene017_cell06847,2.7788503,0.5374052,0.61067766,0.18274172,0.41388026,0.42242137,0.2521398,0.28898442,0.81567085,0.77262324,0.6025358,0.6426886,BM-Her2N75-15
BM-Her2N75-15_scene017_cell05924,0.959312,0.5325522,0.75667876,0.42929375,0.4552612,0.59906214,0.4809052,0.33934635,0.97942406,0.7595839,0.9522462,0.6782367,BM-Her2N75-15
BM-Her2N75-15_scene017_cell00909,0.377523,0.549984,0.48482856,0.5154305,0.46187997,0.91676414,1.4107186,3.230466,0.8008213,0.43291804,0.44878072,0.61679965,BM-Her2N75-15
BM-Her2N75-15_scene017_cell07801,0.6349145,0.5575045,0.7143485,0.19901228,0.43120086,0.87014294,0.27245176,0.33489236,0.9272377,1.1398389,1.1740009,1.3426919,BM-Her2N75-15
