,CD44_Ring,CD45_Ring,CD4_Ring,CK19_Ring,CK5_Ring,ER_Nuclei,Ecad_Ring,Ki67_Nuclei,PD1_Ring,Vim_Ring,aSMA_Ring,pHH3_Nuclei,batch
BM-Her2N75-15_scene017_cell03360,0.392291,0.20425376,0.1432695,-0.53561765,-0.24626775,-0.2170672,-0.38882497,0.023679491,0.048607014,-0.077879965,-0.18809728,-0.14478876,BM-Her2N75-15
BM-Her2N75-15_scene017_cell02007,0.16586803,-0.26915964,-0.120473675,-0.5088133,-0.23141344,-0.25974214,-0.29473975,-0.31166482,-0.06196145,-0.22708276,-0.1573297,-0.06762106,BM-Her2N75-15
BM-Her2N75-15_scene017_cell04801,-0.14750417,-0.13881221,-0.011748126,-0.44212002,-0.17626695,-0.13590164,-0.1368674,-0.20922947,0.027338887,-0.027590454,-0.028966743,-0.10148967,BM-Her2N75-15
BM-Her2N75-15_scene017_cell02189,-0.057089396,-0.034531917,0.0249225,-0.54859585,-0.23432155,-0.23557784,-0.36944708,1.3766571,-0.024177825,-0.19710654,-0.07271179,-0.042287778,BM-Her2N75-15
BM-Her2N75-15_scene017_cell01507,0.22950976,-0.02176776,0.21352042,-0.5323721,-0.18140109,-0.09166188,-0.30648547,4.0318975,0.17746302,0.039788783,0.01879422,0.41813278,BM-Her2N75-15
BM-Her2N75-15_scene017_cell07521,-0.23984678,-0.14646968,0.033992417,-0.40156955,-0.16734286,2.0127916,0.2182098,-0.30016515,-0.05604253,-0.07875359,0.011133831,0.21055166,BM-Her2N75-15
BM-Her2N75-15_scene017_cell02691,1.9322093,0.34571883,0.060993917,-0.54204214,-0.19947521,-0.20047997,-0.38976407,-0.2811835,-0.030642962,-0.03915018,-0.034104306,0.057083238,BM-Her2N75-15
BM-Her2N75-15_scene017_cell07964,3.0435805,-0.12861654,-0.09354042,-0.53598106,-0.17900495,-0.19988517,-0.36567843,-0.29469195,-0.02017126,-0.09113222,-0.059191365,0.19814508,BM-Her2N75-15
BM-Her2N75-15_scene017_cell07704,0.07868051,0.102886714,0.29765105,-0.5409994,-0.22113506,-0.27193388,-0.37285313,-0.32576096,-0.08332536,-0.17306864,-0.10363575,-0.12574,BM-Her2N75-15
BM-Her2N75-15_scene017_cell02679,-0.16584744,-0.19902411,0.12529345,-0.55486935,-0.21805643,-0.14942671,-0.36594334,-0.3113001,-0.056892432,-0.14918137,-0.09509321,0.16849671,BM-Her2N75-15
BM-Her2N75-15_scene017_cell05798,0.040184133,-0.11200716,-0.023512652,-0.53759724,-0.16066317,-0.24640115,-0.35138285,-0.30112204,0.025990987,-0.047781765,0.027151447,-0.087189205,BM-Her2N75-15
BM-Her2N75-15_scene017_cell07101,-0.38998824,-0.12014278,-0.14270632,-0.18979421,-0.1426361,1.4108108,0.35586792,-0.32035038,-0.030258572,-0.20529312,-0.104351364,-0.028024921,BM-Her2N75-15
BM-Her2N75-15_scene017_cell07802,-0.29558182,-0.18146446,-0.2596942,-0.5242068,-0.20982479,-0.28110152,-0.34557375,-0.33462077,-0.15381363,0.09726542,-0.21345563,-0.22969653,BM-Her2N75-15
BM-Her2N75-15_scene017_cell04363,-0.073991366,-0.14146885,-0.12298869,-0.16570082,-0.14052634,1.6624576,0.51846534,-0.303196,0.013686383,-0.20975477,-0.05856313,-0.03942926,BM-Her2N75-15
BM-Her2N75-15_scene017_cell04240,-0.3841462,-0.23250923,-0.09617131,0.020146819,-0.11576615,-0.13232096,-0.042604394,-0.28960124,0.003293121,-0.20202893,-0.033175666,-0.11684985,BM-Her2N75-15
BM-Her2N75-15_scene017_cell00265,-0.37763685,-0.27146348,-0.24523775,-0.45336366,-0.21354978,-0.28617838,-0.16606688,-0.31867227,-0.062195756,-0.28253177,-0.24207376,-0.2991481,BM-Her2N75-15
BM-Her2N75-15_scene017_cell08059,1.643395,-0.20096079,-0.117964916,-0.53694797,-0.22305371,-0.31484997,-0.36681935,-0.34398642,-0.07746414,0.12006217,-0.08403053,-0.24936055,BM-Her2N75-15
BM-Her2N75-15_scene017_cell00925,-0.41774485,-0.18429247,-0.12607072,-0.3234428,-0.15975858,1.9380075,0.4202873,0.29261816,0.012443209,-0.19582236,-0.13265948,-0.013005922,BM-Her2N75-15
BM-Her2N75-15_scene017_cell04540,0.109745316,-0.20070264,-0.156936,-0.5367822,-0.1846839,-0.23311336,-0.33788478,-0.31050807,-0.026730156,-0.20193434,0.0942469,-0.10745443,BM-Her2N75-15
BM-Her2N75-15_scene017_cell04760,-0.307132,-0.21994516,-0.17189692,-0.1940873,-0.17498006,1.1675926,0.52394515,-0.3213276,-0.04242853,-0.30152428,-0.12962745,-0.20388539,BM-Her2N75-15
BM-Her2N75-15_scene017_cell04346,-0.20605601,-0.2077848,-0.014768532,-0.539412,-0.18294232,-0.20631205,-0.3457986,-0.29571435,-0.0046047326,0.27556956,0.019361358,0.048731435,BM-Her2N75-15
BM-Her2N75-15_scene017_cell00212,-0.4182665,-0.15088943,-0.14720105,0.23395982,-0.10880761,0.6560782,0.49060374,-0.28969502,-0.003522074,-0.27068907,-0.17997791,-0.20719238,BM-Her2N75-15
BM-Her2N75-15_scene017_cell01551,-0.020577976,0.03676096,0.19681986,-0.5410226,-0.24254476,-0.25266016,-0.38385224,-0.31734562,-0.016540801,-0.1626994,1.0514,-0.1428472,BM-Her2N75-15
BM-Her2N75-15_scene017_cell00781,-0.38060662,-0.119542144,-0.018612256,0.2178317,-0.16207092,0.6044462,0.9628915,-0.30098835,0.015897239,-0.17643112,-0.11366209,-0.11032236,BM-Her2N75-15
BM-Her2N75-15_scene017_cell03850,-0.22346993,-0.08683636,-0.012914112,-0.1337004,-0.1457933,0.27345002,0.45622283,-0.27525547,0.027835453,-0.08432633,0.24671106,0.14286833,BM-Her2N75-15
BM-Her2N75-15_scene017_cell02319,-0.40939027,-0.17314091,-0.14024077,0.07762459,-0.18129532,0.86588,0.73938876,-0.32430464,-0.051691093,-0.31063032,-0.19280966,-0.2122906,BM-Her2N75-15
BM-Her2N75-15_scene017_cell02157,0.49578315,-0.108917676,-0.063192956,-0.5272858,-0.16630782,-0.15869118,-0.32717788,-0.22213966,0.03522321,-0.012689412,0.40328386,0.14318071,BM-Her2N75-15
BM-Her2N75-15_scene017_cell03001,0.38749605,0.043992076,0.2096938,-0.53938156,-0.20958297,-0.19423987,-0.37911415,-0.30798665,-0.025763368,-0.018968701,-0.018481452,0.11143481,BM-Her2N75-15
BM-Her2N75-15_scene017_cell04692,-0.39533976,-0.107769035,-0.1586258,-0.014286665,-0.13616394,1.7486516,0.5344791,-0.27902636,-0.04149846,-0.316021,-0.19627418,-0.2357216,BM-Her2N75-15
BM-Her2N75-15_scene017_cell06067,0.13989829,-0.20013174,-0.07079374,-0.548073,-0.1907485,-0.216217,-0.3670694,-0.3190377,-0.009789502,-0.11001724,-0.06870469,-0.0027600026,BM-Her2N75-15
BM-Her2N75-15_scene017_cell06250,-0.16318561,-0.0003091936,0.059655733,-0.5099126,-0.24718086,-0.18381257,-0.29188788,-0.31694978,0.04115524,-0.040270805,0.21431999,-0.038451027,BM-Her2N75-15
BM-Her2N75-15_scene017_cell07951,0.527811,-0.043743875,-0.14437304,-0.53699297,-0.18078671,-0.2812941,-0.35518467,-0.29308605,-0.019217288,0.24913967,0.39622667,0.068924956,BM-Her2N75-15
BM-Her2N75-15_scene017_cell07492,-0.44034064,-0.20174131,-0.19340031,0.113609105,-0.18746732,3.3314369,-0.017686015,-0.25589892,-0.11037967,-0.34882486,-0.23770835,-0.27943975,BM-Her2N75-15
BM-Her2N75-15_scene017_cell00588,1.2178199,0.120931126,0.54652256,-0.5306976,-0.16252439,-0.26967,-0.33197793,-0.26383853,0.15373012,0.019540071,-0.10859092,-0.15744253,BM-Her2N75-15
BM-Her2N75-15_scene017_cell01662,-0.43725967,-0.29429632,-0.2666896,-0.3850539,-0.23443986,0.7841337,-0.06300361,-0.3178108,-0.11006174,-0.31208313,-0.2822123,-0.2223915,BM-Her2N75-15
BM-Her2N75-15_scene017_cell07156,0.047391526,-0.13930663,-0.030007353,-0.5404865,-0.16303127,-0.1644335,-0.3733631,-0.3145466,0.040519796,0.30468678,0.25148764,-0.0013201928,BM-Her2N75-15
