,HER2,Vim,CD20,CD3,CD31,CD4,CD44,CD45,CD68,CD8,PD1,PDPN,aSMA,CK14,CK17,CK19,CK5,CK7,Ecad,DAPI2,ER,Ki67,LamAC,PCNA,pHH3,batch
JE-TMA-41_scene01_cell2038,0.552345336045637,0.72210069512483,0.8057712369102833,0.8589347964281909,0.6849634379724324,0.8245499461096625,0.7170315139550869,0.8795188885749539,0.663188061480489,0.7717231208051663,0.5891588622850576,0.2032707264967985,0.2534222280608536,0.46979672672114253,0.11269825397765738,0.5978748451965513,0.33970772797979903,0.47581948274524566,0.6969396308728419,0.8971610681318304,0.5508068054916831,0.5188238928898634,0.8049514808357828,0.5435099177207462,0.3740164552805683,JE-TMA-41
JE-TMA-41_scene01_cell1897,0.5478117862441455,0.8625376297475409,0.788285275983227,0.8607783101273013,0.9811213612537099,0.7956619924136672,0.6768575635281701,0.8610657560649561,0.5550023777301596,0.760413905168174,0.6906509079814266,0.5355958235473819,0.681895744157304,0.4940947845917838,0.2916790546864351,0.5986044094616452,0.4179783584707268,0.4754829517563866,0.6907340651690101,0.9038837474851488,0.5708683306542475,0.5342227369984881,0.8910957317309507,0.6402206836695898,0.38227339583993336,JE-TMA-41
JE-TMA-41_scene01_cell828,0.5415864579521745,0.3561132741000896,0.9616710716686006,0.8428060991114427,0.5251588035519483,0.7026159831942848,0.5866800733118112,0.8778389492350799,0.4515430473558358,0.761617803077855,0.693843920698793,0.4349175978055895,0.07399079651337986,0.4690203148179479,0.06967934360781868,0.5984149200297936,0.45296951058604884,0.4587103646019313,0.6994163576185743,0.894464206392033,0.5051982577460608,0.8571880314576218,0.800658824707839,0.7741286110065978,0.3541754533211375,JE-TMA-41
JE-TMA-41_scene01_cell2480,0.5654170936065166,0.7781335378316647,0.7480172523029541,0.96215885925626,0.6461062555645735,0.9537892590233491,0.7059540063947387,0.8919141745156146,0.5531409508157213,0.7629145955188645,0.666113123305653,0.5834175678889875,0.491683282439715,0.4935788807321669,0.37335225529887284,0.5989934328818141,0.43186681296848023,0.4855539808050156,0.6881799402579419,0.8896537025536025,0.5815658047296342,0.46076710157541334,0.8016416985892343,0.5273349129967216,0.4161158462369524,JE-TMA-41
JE-TMA-41_scene01_cell589,0.5716564656587821,0.697643069051238,0.9172776054922829,0.8354647569457581,0.6510148299012438,0.7207322382408858,0.6875674010766827,0.8793800748542615,0.6508518208876928,0.7596285836577733,0.6313550678709965,0.49864766290621587,0.14055659667907958,0.4680672962440454,0.17182425596742149,0.6060908470089623,0.4209191541944834,0.47198739056163824,0.7112664257801509,0.8882508430374135,0.4228041943114486,0.42953972531012197,0.8038380330907994,0.6208068183684429,0.42038712218717994,JE-TMA-41
JE-TMA-41_scene01_cell815,0.5713711206388244,0.7087278782824423,0.91726812689206,0.8306611748482949,0.64678386720619,0.6906883846096717,0.7170817865666415,0.8885333325065197,0.5999775552742593,0.7793687233644964,0.6010925749640164,0.5970399113272318,0.2755854480722103,0.4691687953602825,0.24236087569553044,0.6104263102895825,0.4589325378585855,0.4835823310200108,0.7102057542230449,0.8908523765315618,0.49467034087343914,0.42882032754173355,0.8097910176060256,0.5944710227019515,0.3889474640251305,JE-TMA-41
JE-TMA-41_scene01_cell2533,0.5563464006824483,0.8894153752197471,0.7468840245677165,0.9469377100589823,0.7112198449107663,0.9072140826570101,0.7427071967958518,0.8915834906695752,0.7853680507993961,0.8763634141626067,0.7166134799490785,0.7697430179983314,0.6837462228246498,0.5396603007321973,0.6149612141818567,0.5997844426958173,0.4095574037657077,0.5406141588238784,0.697634774843395,0.8899800140780936,0.6100421312835528,0.7649185416846327,0.8530219675518734,0.7063357185077388,0.5959921651819865,JE-TMA-41
JE-TMA-41_scene01_cell2360,0.5590095194347263,0.8177274601019904,0.7865635998584313,0.9416349078702932,0.6785749772520039,0.923536497518589,0.7201952663091139,0.9030928199111158,0.5902556331513755,0.8425435834397444,0.5265793174397982,0.5291070713959185,0.5061722187637084,0.48037245655491917,0.14629426761422715,0.5997655548375255,0.28137455897563307,0.4965711637131782,0.6886305634138373,0.943514527246661,0.5760641103236402,0.4809124458286856,0.8114472399357819,0.5675676112660195,0.3914676100135701,JE-TMA-41
JE-TMA-41_scene01_cell2849,0.38965572220922545,0.6888819342117248,0.7244229077938109,0.8842624207873757,0.5454318761066463,0.8764334785419176,0.6496747793524097,0.8657882256431199,0.07772988465427234,0.07141955675270972,0.5864932223454736,0.07228607967425892,0.06447193142088173,0.31363218664036124,0.06967934360781868,0.5978075845194355,0.08777408405380989,0.37417761187067333,0.6850836121967033,0.9115437590328038,0.23692354470497398,0.20944992849359972,0.8047798614599595,0.06775909906211768,0.0679493237573353,JE-TMA-41
JE-TMA-41_scene01_cell2872,0.5380488860289395,0.6818703590146936,0.8489343529666042,0.8330217126647341,0.5912200373962018,0.7243816647417077,0.6461259431892716,0.8776177577121773,0.3862533897722686,0.7377153271200642,0.6311023280871768,0.5510382858438188,0.12545981000179862,0.43656234591459936,0.08475223337309276,0.608744832925677,0.17405393805098004,0.4766929471029345,0.6844169214065248,0.862229343608468,0.3562143686184878,0.5052491403622622,0.7989983472600594,0.28935513323663564,0.24063391629851624,JE-TMA-41
JE-TMA-41_scene01_cell2346,0.5549953102168274,0.7450114424265991,0.7974859089013642,0.8755072164505983,0.5834678552986188,0.8649074165183632,0.6653198704068841,0.8731710553259757,0.639271489621861,0.7365235670457917,0.614916928007161,0.34059138133817907,0.3549053186736999,0.4738607941879531,0.1673826668619838,0.5994123852529525,0.2841851688211488,0.4940041645780024,0.68917670371702,0.9359476888204312,0.5984555692316513,0.5588325547213574,0.8087573013788906,0.5614943418666001,0.3611100620282896,JE-TMA-41
JE-TMA-41_scene01_cell1921,0.5457132435840015,0.5706092407729445,0.9132121855459092,0.8558443400518074,0.5659499143927605,0.7529135389909292,0.5809853787211164,0.8988209214760553,0.6595594881994841,0.7732767853968775,0.6683264514074677,0.3284110943572618,0.1609730973565985,0.4763081247247439,0.09724040340973071,0.6007530455092678,0.6419427220663328,0.48270178096681016,0.6979911055005907,0.9373050368185827,0.5626920392974628,0.6761207605956941,0.8187852470707481,0.7095448605080779,0.3400058893753033,JE-TMA-41
JE-TMA-41_scene01_cell3135,0.5821654863081142,0.8316074710534499,0.7940929546414903,0.8760454185474633,0.7932520753625163,0.8396699094265645,0.7543772502667058,0.8992275874556188,0.7203999911576981,0.8198310631825125,0.7176445310882493,0.7987617846308478,0.4847785886711245,0.4826729373612871,0.4257372595498909,0.6030700136659748,0.378777836603876,0.47577398333194754,0.7019209377870375,0.8962985716305257,0.5417845631651774,0.4521992424060882,0.8270026492365157,0.7002521277573275,0.44825398838093594,JE-TMA-41
JE-TMA-41_scene01_cell2740,0.5660873019463842,0.7698764433607399,0.8958947944187527,0.8420263338547123,0.6140467077359975,0.7225717541021933,0.679096486188849,0.8945103500863966,0.5733708829213772,0.7497303801896078,0.5701539602672516,0.6804849263149703,0.33970025580328683,0.4650086333466661,0.10483066204969932,0.5997799474847877,0.25970192413904053,0.5012306044225042,0.6883571218224656,0.917796888163525,0.5267011792681395,0.4707215446581972,0.8069381368128524,0.5212922259189701,0.2963838620090641,JE-TMA-41
JE-TMA-41_scene01_cell599,0.5664644670182107,0.7488603040619027,0.9243404785549015,0.8417351925669662,0.6283256330604198,0.7612589668419152,0.7076785730754266,0.8775452237831647,0.6482015383888808,0.7635448701031414,0.6656272470870798,0.49544671637852905,0.21037413043689393,0.47125046053577996,0.08552515770580915,0.6047151420716113,0.3963427720214395,0.46442267052104735,0.7273468577157292,0.886714160755924,0.45027094175322574,0.4458146231441976,0.8044961680825378,0.6221832184582505,0.37608433687224874,JE-TMA-41
JE-TMA-41_scene01_cell2239,0.5547728971220203,0.77279296250426,0.7688798599812164,0.9161746766483926,0.6570085778331239,0.9276774886590196,0.722156979890896,0.8874537242630708,0.8422591910696801,0.7783742798291883,0.6467497629614121,0.5813659558317855,0.4516661454960732,0.47501017463172795,0.16339099649685965,0.5979428365739815,0.37357215738378996,0.466869017412122,0.6902979932074875,0.9158767685965207,0.5923501453700839,0.4977676946684753,0.8041555273934686,0.5917238439583854,0.39082042150150376,JE-TMA-41
JE-TMA-41_scene01_cell2074,0.5504364732257403,0.7893099596793469,0.7692642037321693,0.9277831739746366,0.6838967339851149,0.899448696308164,0.7644932191670772,0.8879545146257768,0.729681669405997,0.8897069653818918,0.4526297658452961,0.44530767198138554,0.4596904012923352,0.46631055807501554,0.11483830640820329,0.598817502317987,0.37098379855180885,0.4780031439635542,0.6895275851009738,0.9053763425368175,0.590159646486485,0.47670109391892446,0.813928439846913,0.5590805640399674,0.3750779774646422,JE-TMA-41
JE-TMA-41_scene01_cell3231,0.5867944653908873,0.6092735460514422,0.8129373519070099,0.83240858732722,0.5514830095960179,0.6516768548401993,0.6381807525473998,0.854706312615265,0.6240082071287184,0.6740298380388776,0.6492348693781058,0.6351115483752507,0.4641578353150341,0.7868977662550218,0.7885493036204311,0.6399863407494503,0.895432347009919,0.528094187263045,0.8267211533590075,0.88649116251694,0.6433740182704318,0.6176377705475878,0.8258368341175499,0.7252233646363986,0.37749204692445937,JE-TMA-41
