,HER2_cellmem25,Vim_nucadj2,CD20_perinuc5,CD3_perinuc5,CD31_perinuc5,CD4_perinuc5,CD44_perinuc5,CD45_perinuc5,CD68_perinuc5,CD8_perinuc5,PD1_perinuc5,PDPN_perinuc5,aSMA_perinuc5,CK14_cytoplasm,CK17_cytoplasm,CK19_cytoplasm,CK5_cytoplasm,CK7_cytoplasm,Ecad_cytoplasm,DAPI2_nuclei,ER_nuclei,Ki67_nuclei,LamAC_nuclei,PCNA_nuclei,pHH3_nuclei,batch
JE-TMA-41_scene01_cell2038,104.51610608797262,752.1267804979602,4362.317303967197,1469.234584656442,399.3093589679077,2019.2936843102884,899.3724916121868,2703.9774300040763,312.6412594948637,578.642161020059,71.91055286921326,97.35486905951637,-48.370457195217625,48.41456797979498,41.78656902188425,153.7642865098319,18.921815935441828,36.12959319569836,688.990073104857,8029.5401674868,89.43342433166535,-191.0113016289149,888.4080714072672,118.58955833473055,103.26983509941196,JE-TMA-41
JE-TMA-41_scene01_cell1897,96.82167931485924,3229.3474389449684,3607.0992490655444,1499.4066643524964,6036.520495935627,1483.6568585583036,726.5978773417389,1690.785343301871,110.26996679774814,496.89895014208304,322.0561377993292,245.79505953985924,822.4800222678346,65.7773911776452,47.48679728082243,156.39838628938924,44.690126433471164,35.844778025809774,648.2278364455649,8580.608640200448,103.7887810973962,-171.90510390502845,1912.8378584318816,295.3474559306609,104.71949634510396,JE-TMA-41
JE-TMA-41_scene01_cell828,86.80174538123629,11.525775752624781,24658.68606692608,1226.5984514132135,63.58876657058897,518.0869913680405,516.8110610503113,2603.9914015287623,35.1934662907517,505.1801743548422,334.56854044286075,149.92519043301647,-55.878266553531205,47.932125979870364,41.38423094207997,155.71231936356025,65.33738289508051,22.900130532573257,706.0134298040039,7819.140452518011,65.03367104532816,4099.898151285577,855.7459970346639,1121.1191518929443,100.24721529097762,JE-TMA-41
JE-TMA-41_scene01_cell2480,128.73113582728217,1346.5584089359672,2343.1032401646203,4312.245784985301,270.3068041345638,7687.921764022242,844.7383709796292,3494.73819935064,108.21869505834445,514.209361077054,237.70316635583518,335.87811358909056,56.652644299259066,65.35888272100243,56.08023414700381,157.8111541113865,51.97324494960935,44.839074847294796,632.2055184573301,7458.26993093793,112.57549099391935,-239.68740177739505,863.1099395342064,102.63374649212392,112.11878272801265,JE-TMA-41
JE-TMA-41_scene01_cell589,141.43873214429686,582.8671997736669,14994.531769956891,1127.868125856611,284.2650218751765,642.6526208404653,766.2100313375652,2695.653271868626,278.5793194652471,491.5488593259938,147.62852718052227,199.60249298043453,-54.5440308393687,47.345500776824395,42.71187976131199,184.61376654127935,46.14315260728654,32.947594821859184,793.8654945911683,7356.407123889481,39.907704606579955,-255.43791586370503,879.8105490385243,244.66442771392803,113.24751825937805,JE-TMA-41
JE-TMA-41_scene01_cell815,140.84034381564936,654.3069403878307,14992.942845290287,1066.8901713268556,272.1978516248338,447.6282179009956,899.6342714160764,3269.467707065811,171.7516682662707,639.2124814915189,90.31068366321989,370.0539619353377,-46.00701138675112,48.02407121567842,44.828486605503485,201.98537237764072,69.69444925238031,42.99931877979179,785.5500456058403,7546.499254786693,60.69163982054744,-255.74025070095536,926.8275629771941,190.18016562104958,105.9838456161683,JE-TMA-41
JE-TMA-41_scene01_cell2533,111.59890950955457,4265.127062920867,2315.1878659040217,3700.0600894854297,515.2325901654615,4773.388654923949,1051.3953986028107,3472.3745173193865,957.723216283818,1963.3771490067156,435.84736429404194,1553.0075139080568,840.1554059805371,113.79987378345191,211.5194016342689,160.7014070449543,40.7739362445526,116.09870264180154,693.723490720824,7482.179116036341,140.5574640684046,1282.8617371693786,1358.7380445509739,567.3485838967616,245.55073275913028,JE-TMA-41
JE-TMA-41_scene01_cell2360,116.47074094697928,2030.2406087432355,3540.4901569617173,3506.715119874142,374.94457439253955,5643.670336815848,916.0994892232202,4294.894378085369,156.2984741296103,1355.8944961591947,3.4749779831325043,236.4546868312135,75.83601840084464,55.409907091833134,42.24516105294913,160.6321277169352,9.80267328885941,55.88296496959447,635.0013009179238,12749.589308109615,107.95054651087199,-226.21052466089282,940.3775677496719,147.7839027192723,106.48410670696427,JE-TMA-41
JE-TMA-41_scene01_cell2849,-35.98861579202526,531.9168372253141,1829.610005094542,1933.713393052869,84.80085893027305,3474.6042688037114,642.9277601257916,1932.9389542208837,-12.56944136510856,-206.84929359394283,68.0809100177182,92.78015374011613,-56.00240361092108,1.6371115360241788,41.38423094207997,153.52243481587834,0.6199985305162272,-15.873430496700166,613.3482733259882,9257.621759130798,21.40510847249527,-290.12610985657125,887.077103653656,14.766183405032052,87.50030843906349,JE-TMA-41
JE-TMA-41_scene01_cell2872,81.37638465196369,494.3370033446223,7009.648322575227,1096.508314555867,149.30395756771745,670.6108181724387,633.5625735674557,2590.947992129423,13.334088346056944,357.58086248324565,147.07753700790784,270.5072899214335,-54.935116998866704,31.020554531072435,41.506090533492966,195.15491866700586,2.626170734268044,36.873746950446275,609.3673922595626,5714.4502112235805,29.627062287950025,-205.3466438455332,843.457018332085,21.732660693459366,91.00477327803289,JE-TMA-41
