,HER2_cellmem25,Vim_nucadj2,CD20_perinuc5,CD3_perinuc5,CD31_perinuc5,CD4_perinuc5,CD44_perinuc5,CD45_perinuc5,CD68_perinuc5,CD8_perinuc5,PD1_perinuc5,PDPN_perinuc5,aSMA_perinuc5,CK14_cytoplasm,CK17_cytoplasm,CK19_cytoplasm,CK5_cytoplasm,CK7_cytoplasm,Ecad_cytoplasm,DAPI2_nuclei,ER_nuclei,Ki67_nuclei,LamAC_nuclei,PCNA_nuclei,pHH3_nuclei,batch
JE-TMA-41_scene01_cell2038,-499.68372,193.89256,919.7807,238.98059,123.26787,1340.3241,-49.685783,468.4706,-4.1263328,194.68599,-171.04076,-125.721115,-435.47784,-440.06232,-462.76007,-1467.7966,-601.15936,-2577.3638,-1832.7745,2429.189,-253.81157,-3277.0273,-874.81903,-1287.746,-110.966545,JE-TMA-41
JE-TMA-41_scene01_cell1897,-504.79782,3039.7544,117.70964,269.4662,2827.2092,837.08984,-237.00262,20.738428,-118.67136,101.667244,66.46449,-44.232475,320.47406,-414.47357,-455.1932,-1465.9025,-576.14716,-2577.6995,-1879.4891,2864.0024,-239.44576,-3247.3176,209.57465,-1068.3029,-108.97211,JE-TMA-41
JE-TMA-41_scene01_cell828,-511.4576,-656.91907,22475.316,-6.1767516,-37.763668,-70.069244,-464.44693,424.28653,-161.16571,111.09077,78.34462,-96.861786,-441.9951,-440.77332,-463.29416,-1466.3959,-556.1057,-2592.955,-1813.2654,2263.1758,-278.22906,3395.2322,-909.39294,-43.11587,-115.12505,JE-TMA-41
JE-TMA-41_scene01_cell2480,-483.58914,876.783,-1224.7035,3111.5334,61.390583,6666.0366,-108.91839,817.9098,-119.832405,121.365425,-13.625964,5.2200694,-344.3113,-415.09036,-443.7857,-1464.8865,-569.0777,-2567.0994,-1897.8512,1978.4357,-230.65265,-3352.7175,-901.59796,-1307.5549,-98.7922,JE-TMA-41
JE-TMA-41_scene01_cell589,-475.143,-0.5549479,12211.607,-105.932976,68.08577,46.960968,-194.05637,464.79214,-23.405874,95.57917,-99.14896,-69.59063,-440.83688,-441.63785,-461.53177,-1445.6123,-574.73676,-2581.1138,-1712.5846,1898.0621,-303.37332,-3377.2092,-883.9198,-1131.2253,-97.23929,JE-TMA-41
JE-TMA-41_scene01_cell815,-475.5407,81.515915,12209.92,-167.54456,62.29764,-136.26572,-49.40197,718.3622,-83.87184,263.61127,-153.57042,23.981453,-433.42624,-440.63782,-458.72202,-1433.1201,-551.87646,-2569.2676,-1722.1143,2048.0518,-282.57428,-3377.6792,-834.1507,-1198.867,-107.23262,JE-TMA-41
JE-TMA-41_scene01_cell2533,-494.9761,4229.671,-1254.3507,2492.9866,178.87154,3927.8142,115.1327,808.0272,360.9992,1770.4291,174.50563,673.3829,335.81738,-343.69974,-237.44516,-1462.8081,-579.9484,-2483.118,-1827.35,1997.3009,-202.65031,-985.1908,-376.9588,-730.6163,84.78295,JE-TMA-41
JE-TMA-41_scene01_cell2360,-491.73804,1662.2056,46.96818,2297.6326,111.58107,4745.449,-31.550898,1171.5009,-92.61857,1079.1512,-236.01816,-49.360023,-327.65897,-429.7528,-462.1513,-1462.8579,-610.011,-2554.0837,-1894.6471,6153.483,-235.28096,-3331.7612,-819.80756,-1251.5015,-106.54436,JE-TMA-41
JE-TMA-41_scene01_cell2849,-593.07056,-59.087357,-1770.0533,708.28577,-27.589088,2707.598,-327.71515,127.74673,-188.2002,-699.1549,-174.67688,-128.23248,-442.10284,-509.00128,-463.29416,-1467.9706,-618.9242,-2638.651,-1919.462,3398.191,-321.8894,-3431.1484,-876.2279,-1416.6416,-132.6622,JE-TMA-41
JE-TMA-41_scene01_cell2872,-515.0636,-102.25954,3731.3496,-137.61865,3.3504288,73.227875,-337.8686,418.5226,-173.53844,-56.868156,-99.672104,-30.666298,-441.17636,-465.697,-463.13242,-1438.032,-616.97687,-2576.4868,-1924.0243,602.49713,-313.66147,-3299.3186,-922.40125,-1407.9928,-127.84077,JE-TMA-41
