,HER2,Vim,CD20,CD3,CD31,CD4,CD44,CD45,CD68,CD8,PD1,PDPN,aSMA,CK14,CK17,CK19,CK5,CK7,Ecad,DAPI2,ER,Ki67,LamAC,PCNA,pHH3,batch
JE-TMA-41_scene01_cell2038,-0.5229754083707924,0.17168310170614431,0.17571066773791968,0.6108094726520104,0.6803215745159845,1.232752601794432,-0.04905215273557259,0.8776401111431393,-0.020388809743169214,0.3757899804580537,-0.3145674044173428,-0.30661076623237754,-0.26974217554926205,-0.22873334303110834,-0.3861920466021705,-0.7409477785360222,-0.26914464668654864,-0.6723329745320777,-0.6912586918059225,1.4910189421918871,-0.5278185807870018,-0.7225004793580062,-1.4294985541318008,-0.7851792447440269,-0.16317351169546623,JE-TMA-41
JE-TMA-41_scene01_cell1897,-0.528327917625849,2.6915657118777365,0.02248670145704317,0.6887274010002902,15.603509895187708,0.7699068384441828,-0.23398033187841946,0.038851746869928844,-0.5863716762927439,0.1962417441859779,0.12223728636215045,-0.10787490260127629,0.1985069492350092,-0.21543296696236758,-0.37987718604557225,-0.7399915656525714,-0.2579464353707638,-0.6724205361751165,-0.708877809992075,1.7579042979288044,-0.49794390326277027,-0.7159502581639559,0.3424553010217093,-0.65137788859033,-0.16024074080552622,JE-TMA-41
JE-TMA-41_scene01_cell828,-0.5352981199457282,-0.5816722807379292,4.293582333900737,-0.0157868726662129,-0.20841958872244315,-0.06444566575531796,-0.45852422680107013,0.7948647892551723,-0.7963422375203403,0.21443146770572027,0.14408649040834962,-0.23622815417631374,-0.2737790626563796,-0.22910290868027733,-0.38663776713588294,-0.7402406195245431,-0.2489736938952758,-0.6764001326492914,-0.6839004983271945,1.3891212460163866,-0.578596480502486,0.7485615552893277,-1.4859940696206113,-0.026289125090959316,-0.16928849525591985,JE-TMA-41
JE-TMA-41_scene01_cell2480,-0.5061306197955205,0.7763518999755115,-0.2339618146144369,7.952752196782719,0.33881769812200124,6.131035180440233,-0.10752945594849185,1.5322851365954988,-0.5921085836098735,0.23426396704945007,-0.025059995761227832,0.012730793552130828,-0.2132721217850888,-0.21575355693077328,-0.37035715356983046,-0.739478717001375,-0.25478138749505447,-0.6696554039533575,-0.7158033021613429,1.2143497223353625,-0.4796580313365364,-0.7391882146927962,-1.4732566469666735,-0.797257406632784,-0.14527143882633864,JE-TMA-41
JE-TMA-41_scene01_cell589,-0.4972907765826731,-0.0004913882498586195,2.3328500517971036,-0.2707533208175489,0.37576879690917275,0.04319200047986134,-0.19158172580025254,0.8707487250660187,-0.11565168612595719,0.18449032605181445,-0.18234852602490648,-0.16971880211017712,-0.2730616551465886,-0.22955227752489046,-0.38516696335872536,-0.7297490340516952,-0.25731498940626696,-0.6733112232864931,-0.6459272133924272,1.1650169688451422,-0.6308856832742334,-0.7445879973079406,-1.4443696957256038,-0.6897436800421258,-0.14298792734597124,JE-TMA-41
JE-TMA-41_scene01_cell815,-0.49770704304422086,0.07217865682405113,2.3325276352205124,-0.42822614863988,0.34382379631234766,-0.12532935327095232,-0.048771991574383035,1.3457908171472934,-0.41442244602191863,0.508832007621279,-0.2824370420629496,0.058486383639150735,-0.2684713700976016,-0.22903247512551575,-0.3828221313782466,-0.7234429272857804,-0.24708023266948098,-0.6702210025406323,-0.6495214810638144,1.2570796323520899,-0.5876326037742573,-0.7446916477474133,-1.3630444372237756,-0.7309869238730755,-0.15768286828688044,JE-TMA-41
JE-TMA-41_scene01_cell2533,-0.5180483741163152,3.745183356103359,-0.2396254833199697,6.371811430766462,0.9872008989201891,3.6125762920979834,0.11366451576756922,1.5137707421830953,1.7837474098479007,3.417346312273057,0.3209397340172699,1.6422576260631074,0.20801084603698172,-0.17864649150648548,-0.19815761071528237,-0.738429517571296,-0.2596483046751338,-0.6477479234599455,-0.6892127039802883,1.2259289245454124,-0.42142523936073445,-0.21720927984320734,-0.6159698039898822,-0.4454797545423375,0.12467120760225699,JE-TMA-41
JE-TMA-41_scene01_cell2360,-0.5146593595393048,1.4718081959348026,0.008972573250983851,5.872506921845368,0.6158215159050091,4.364589788929166,-0.031148554796803205,2.1947083502607683,-0.45764123381251703,2.083016689975163,-0.43406972614701483,-0.1203800606923507,-0.20295737944345132,-0.22337473152427298,-0.3856840064801579,-0.7384546711237473,-0.2731075799755989,-0.6662601585578506,-0.714594866856727,3.776964102610787,-0.4892829240695326,-0.734567905578895,-1.3396070945587184,-0.7630798475257743,-0.15667080374825998,JE-TMA-41
JE-TMA-41_scene01_cell2849,-0.6207152579195775,-0.05231922373448134,-0.338142963260864,1.8103039216243155,-0.1522655855358766,2.490291862553292,-0.3235360793875987,0.23932272602645147,-0.9299233777890082,-1.349534035695499,-0.32125472110832054,-0.31273552231416163,-0.27384581012838877,-0.26456609488123906,-0.38663776713588294,-0.7410355703169791,-0.27709812266655637,-0.6883203604174528,-0.7239541954890121,2.085785469064619,-0.6693911124025056,-0.7564802284973953,-1.4318007318807424,-0.8637709804562842,-0.19507642359752211,JE-TMA-41
JE-TMA-41_scene01_cell2872,-0.5390721865430441,-0.09054621765833619,0.7128200845965618,-0.3517386397688099,0.01849117567767948,0.06735077187797675,-0.3335600251018854,0.7840669980517674,-0.8574775586753379,-0.1097689173908513,-0.18331067781354524,-0.07478948213819213,-0.2732719389219848,-0.24205761249511115,-0.3865027679254218,-0.725922473436376,-0.2762262944335388,-0.672104198278452,-0.7256748854144627,0.3698084582389597,-0.6522805489991905,-0.7274150944979592,-1.5072503415500504,-0.8584975290957699,-0.18798663391416373,JE-TMA-41
