,CD20_Ring,CD44_Ring,CD45_Ring,CD4_Ring,CD68_Ring,CD8_Ring,CK14_Ring,CK19_Ring,CK5_Ring,CK7_Ring,ER_Nuclei,Ecad_Ring,HER2_Ring,Ki67_Nuclei,LamAC_Nuclei,PCNA_Nuclei,PD1_Ring,Vim_Ring,aSMA_Ring,pHH3_Nuclei,batch
BM-Her2N75-15_scene017_cell04093,3117.9705,1430.0763,1356.483,1616.3263,617.1907,1535.4957,528.5,614.4873,625.9195,244.36864,1654.2876,1187.5974,2159.0042,398.5055,3367.0183,1386.1959,1356.6483,2671.2246,2079.5806,909.0238,BM-Her2N75-15
BM-Her2N75-15_scene017_cell04072,5501.4453,1266.0073,1393.1898,2850.332,1135.7993,2508.7993,596.927,599.38684,570.2117,308.2263,2111.6248,1203.0475,3414.533,384.47885,1722.7361,2002.9978,1396.9417,1359.708,1859.8285,1654.5802,BM-Her2N75-15
BM-Her2N75-15_scene017_cell01207,2696.8242,1851.0743,1632.8716,1840.777,687.0338,1613.4933,432.6757,620.8919,602.8514,269.68918,1992.6553,1249.7972,1734.7972,422.8457,3550.8677,1581.4248,1400.8041,1163.9933,1438.7297,1034.1643,BM-Her2N75-15
BM-Her2N75-15_scene017_cell02528,3641.677,1022.58856,1699.5104,1704.1146,673.2344,1898.0,605.42706,1372.901,686.86456,898.6094,11839.772,4061.5105,2763.4636,466.68854,1688.8407,2105.5925,1400.2709,941.0781,1803.4062,1119.2201,BM-Her2N75-15
BM-Her2N75-15_scene017_cell03451,3859.4316,2714.94,1637.0874,2126.519,952.40436,2244.2515,529.74316,641.6229,628.30054,288.39343,2057.9795,1196.1311,1718.2458,4246.874,1865.3368,2608.2856,1411.6174,1097.7103,2336.6338,1320.3673,BM-Her2N75-15
BM-Her2N75-15_scene017_cell00440,3790.2207,1385.8312,1508.8182,1902.3052,623.0714,2014.617,521.6688,682.8571,649.44806,311.22726,1993.6687,1234.2402,2120.7598,425.95822,5280.764,1660.594,1514.3376,2102.0066,2277.9092,1062.4269,BM-Her2N75-15
BM-Her2N75-15_scene017_cell05087,3569.7993,1455.8729,1566.0367,1741.9491,645.96326,1884.8701,564.62994,1067.8446,692.7571,619.9972,3924.2332,2235.2373,1939.5339,440.75272,2681.5435,1740.5347,1492.9011,1100.1864,3115.709,1144.0315,BM-Her2N75-15
BM-Her2N75-15_scene017_cell07124,3128.437,2558.934,4056.7905,2809.1497,1549.9221,3856.6348,547.93414,636.16766,615.503,389.04193,2104.4417,1261.5449,1374.2455,371.89322,1640.8156,1813.1844,1715.2036,1787.2335,1528.5808,1136.3544,BM-Her2N75-15
BM-Her2N75-15_scene017_cell05046,7593.581,1868.1538,1475.5214,3924.6155,818.89746,4512.812,806.4872,639.1196,603.3504,398.11966,3980.704,1220.1367,2922.701,435.78854,2573.7163,3588.3682,1863.5983,1690.7693,2378.393,2597.7263,BM-Her2N75-15
BM-Her2N75-15_scene017_cell03222,3002.834,1888.9751,1475.9336,1577.0789,620.27386,1545.278,535.80914,1697.1287,673.22406,1167.166,5989.9136,4744.44,2607.249,419.18857,1689.481,1586.0052,1283.9626,842.30707,1751.1909,957.0052,BM-Her2N75-15
BM-Her2N75-15_scene017_cell02328,3263.9683,1582.25,1386.0955,1700.341,1050.659,1793.3318,444.76364,681.4227,534.2864,351.70908,1785.0144,1329.6,2466.209,373.53497,2124.6213,1547.3889,1259.45,1245.8,2017.6364,1064.7017,BM-Her2N75-15
BM-Her2N75-15_scene017_cell06206,3620.4087,1095.0807,1450.2258,1616.9409,574.0914,1765.1827,510.77957,917.74194,557.1989,632.2043,2337.621,2360.7634,4830.215,374.6187,3231.2517,1645.4988,1384.828,994.75806,1335.9409,935.7506,BM-Her2N75-15
BM-Her2N75-15_scene017_cell04899,4203.0605,5406.235,1487.2576,1809.409,734.74243,2208.197,558.7955,632.5227,656.24243,299.45456,2299.0662,1263.409,1718.9166,407.1486,1885.5642,2300.6907,1466.8788,1161.5,2343.7349,1535.5903,BM-Her2N75-15
