,CD20_Ring,CD44_Ring,CD45_Ring,CD4_Ring,CD68_Ring,CD8_Ring,CK14_Ring,CK19_Ring,CK5_Ring,CK7_Ring,ER_Nuclei,Ecad_Ring,HER2_Ring,Ki67_Nuclei,LamAC_Nuclei,PCNA_Nuclei,PD1_Ring,Vim_Ring,aSMA_Ring,pHH3_Nuclei,batch
BM-Her2N75-15_scene017_cell04093,3230.2486013292964,1200.9425233044026,1465.9657010798878,1658.7485851986187,564.81150614049,1816.2157269121608,465.4381535588324,616.6307056610206,585.577171890665,-13.565976408843198,1509.6623552425522,1040.9030568125117,2074.550692248722,380.4190677869972,3490.488458030395,1336.9704858463201,1344.2466260404112,4195.139228322948,1878.8123195052913,787.3137873841545,BM-Her2N75-15
BM-Her2N75-15_scene017_cell04072,5775.629531182667,1063.6825693287792,1501.0907202768026,3595.994852947858,1024.77386983205,2711.3488898797127,550.315292359192,600.5797308919236,531.2168894868199,87.86792945176649,1982.2070361031292,1054.4447006029186,3248.050280158694,366.8915053439582,1666.9845791155874,2006.4012378410562,1388.3498260694553,1767.3616908133206,1676.3237441463339,1657.3287685215096,BM-Her2N75-15
BM-Her2N75-15_scene017_cell01207,2780.4944925368927,1553.1491144361466,1730.4441227071954,2011.1101957981627,626.7565123799408,1887.9489477965415,346.5772791399078,623.4384505639157,563.0670619508169,26.654128471696822,1859.2815420888778,1095.4198164624024,1678.059086716793,403.8932331464077,3694.3768326811232,1548.8573516959405,1392.5774577624504,1405.0698185733406,1288.3060797585601,933.344473740385,BM-Her2N75-15
BM-Her2N75-15_scene017_cell02528,3789.5297891907367,860.0386496221811,1794.2113194823808,1796.5661087761405,614.5175679849102,2149.6056370170627,560.8588035419077,1422.7833649925763,645.0480118410735,1025.6547376846206,12033.838245607778,3559.8236265925802,2639.518168275715,446.17610366757697,1629.3947016725842,2117.749901315424,1391.9938385584114,992.4266081680538,1624.3339768997314,1032.5989480053813,BM-Her2N75-15
BM-Her2N75-15_scene017_cell03451,4022.0761925416914,2275.858306644557,1734.4782750007773,2459.6921861880046,862.1179253039537,2468.0480762034526,466.98017945025924,645.474399316764,587.9006182347744,56.36467266174532,1926.777942825192,1048.3826465483812,1662.5890703453447,4091.859494495241,1825.1283211007226,2663.335511751404,1404.4132498758668,1282.3719596593,2115.6717020655306,1267.3244400708663,BM-Her2N75-15
BM-Her2N75-15_scene017_cell00440,3948.163853928206,1163.9270976640532,1611.736481475116,2107.7023499532634,570.0272268378282,2256.8565447080337,456.9647333987641,689.3041107444628,608.5365930304303,92.63479404078316,1860.328668649066,1081.7844477677124,2038.8049813935497,406.89500550676235,5612.826657425367,1634.781684547339,1516.8459930745166,3141.4471016845673,2061.5604383594364,966.325026576015,BM-Her2N75-15
BM-Her2N75-15_scene017_cell05087,3712.769554106589,1222.5239617103678,1666.4893289727938,1855.9618544601685,590.3303737474666,2137.530274647316,510.2538866945242,1098.5249470931067,650.7979921132876,583.0966171107038,3855.0888734989453,1959.136001312424,1869.4194320858276,421.16309990221754,2730.298975901495,1721.5433289928699,1493.3825770527878,1286.955475691294,2833.543541301271,1061.5522116273605,BM-Her2N75-15
BM-Her2N75-15_scene017_cell07124,3241.42613219021,2145.3439436091357,4049.911616066812,3531.3432909086314,1392.0660581329462,3950.9335607049666,489.54434572612024,639.6757522593477,575.4126376087684,216.2385515850765,1974.7850756950688,1105.7163959298578,1341.063761466483,354.7536801236505,1576.1349634810513,1800.391981415816,1736.704486328006,2558.7636716936245,1371.0985448438444,1052.5935158882648,BM-Her2N75-15
BM-Her2N75-15_scene017_cell05046,8009.881095856783,1567.437781966742,1579.8744345439216,5282.495600720526,743.7085066035744,4554.4102358982245,810.2546150469914,642.8135314349029,563.5540142798891,230.65795824981979,3913.437610912661,1069.4230316247335,2788.351799293687,416.3755568565621,2610.719003405435,3727.043972223919,1899.1303338030566,2380.1965847510714,2154.1504129939262,2757.9178803224886,BM-Her2N75-15
BM-Her2N75-15_scene017_cell03222,3107.2910688137017,1584.8568538558075,1580.2689021225474,1597.1346496833567,567.5460378584562,1825.2122984895318,474.5044451228561,1767.4197982874805,631.737465337277,1452.2402553249135,5989.457964843106,4158.396015926066,2493.5097557149174,400.36622199495497,1630.1047466797636,1553.8286243140772,1264.6882921410772,809.5893085349762,1576.2206283204034,843.3048879016218,BM-Her2N75-15
BM-Her2N75-15_scene017_cell02328,3386.1638283485504,1328.2509102844474,1494.3020699164222,1790.641865109379,949.2616020779915,2053.3438030542466,361.5712248278098,687.7794348754514,496.16061002352166,156.93763341035947,1644.7361318117407,1165.3651290487464,2361.6844829009633,356.33701931701063,2112.674076659307,1511.9173369334185,1237.8578422498915,1556.5041356467532,1821.7343801659274,968.9795446326216,BM-Her2N75-15
BM-Her2N75-15_scene017_cell06206,3766.8167523838392,920.6854980709929,1555.6689367321214,1659.7134738206714,526.5860386002959,2027.4555329131485,443.4576601330282,938.9739526463504,518.5189047130268,602.486823844104,2215.7182770960435,2069.156841864174,4571.23943919106,357.3821991864198,3339.9237188530665,1618.398464336834,1375.0907940839177,1091.7947229878732,1193.592246572131,818.502202217629,BM-Her2N75-15
BM-Her2N75-15_scene017_cell04899,4389.047324469091,4527.393241782175,1591.1049043134908,1961.8661899085002,669.0700547654102,2434.8893287248015,503.0167824617439,635.8013589049599,615.1666133728952,73.93458436400533,2175.881304436086,1107.3502692327193,1663.2160219414263,388.7546362448274,1847.5604636793064,2329.4948746464815,1464.8997419289208,1400.454441184587,2122.2149231058547,1518.4754659484925,BM-Her2N75-15
BM-Her2N75-15_scene017_cell07139,4179.0867242458535,1044.3360106729447,1798.9053318149492,2009.934507278541,665.6561530967269,2209.6176956830222,550.4894970712978,1309.5953366715007,609.2396244996534,2117.5944214246506,9294.3735377706,4248.53369579042,2998.7683926207096,363.5046186957229,2616.6175889255164,2054.010218642166,1375.709553363658,1630.7528471841542,1973.6051140678176,1090.8067527212863,BM-Her2N75-15
BM-Her2N75-15_scene017_cell03029,4237.530263298377,1683.3100266026588,1716.168414627061,2574.100572776797,991.939568248977,2480.4824661750818,399.22639478414976,650.9473635154745,534.4355038233407,45.185692668637785,2118.659407384779,1070.9737722213988,2317.854690446379,383.8742360667101,1524.3313252127255,1824.1811696820162,1280.9711075988241,1055.9780386487305,1527.523730425989,1199.1375847546112,BM-Her2N75-15
BM-Her2N75-15_scene017_cell03610,4758.029687136643,1498.9225411971386,1797.125263283507,2929.4133819423023,677.9554017248331,2844.7463924497215,865.7017566582085,3112.0729749766588,780.3424395686668,4794.592590242901,16275.464149703976,5517.58473458449,4084.229828670504,496.9789913467788,1904.0795047484094,2727.780682437123,1583.880297104023,1362.5380708382818,1719.5926660773475,1288.3707013700055,BM-Her2N75-15
