,CD20_Ring,CD44_Ring,CD45_Ring,CD4_Ring,CD68_Ring,CD8_Ring,CK14_Ring,CK19_Ring,CK5_Ring,CK7_Ring,ER_Nuclei,Ecad_Ring,HER2_Ring,Ki67_Nuclei,LamAC_Nuclei,PCNA_Nuclei,PD1_Ring,Vim_Ring,aSMA_Ring,pHH3_Nuclei,batch
BM-Her2N75-15_scene017_cell04093,-404.99084,-525.0132,-513.5456,-423.52985,-74.96121,-415.9702,-171.11488,-1706.8413,-217.27626,-1757.4518,-1387.9885,-1510.0972,-294.10062,-359.1283,776.4864,-596.58307,-66.66401,1314.6968,105.60221,-281.85098,BM-Her2N75-15
BM-Her2N75-15_scene017_cell04072,1978.484,-689.08215,-476.8388,810.4759,443.64743,557.3334,-102.68788,-1721.9418,-272.98407,-1693.5941,-930.65137,-1494.6471,961.42816,-373.15494,-867.79584,20.2188,-26.370674,3.1801395,-114.149864,463.7054,BM-Her2N75-15
BM-Her2N75-15_scene017_cell01207,-826.1371,-104.01516,-237.15704,-199.07918,-5.118069,-337.97266,-266.9392,-1700.4368,-240.34438,-1732.1312,-1049.6208,-1447.8973,-718.30756,-334.7881,960.33575,-401.3542,-22.508247,-192.53458,-535.2486,-156.71048,BM-Her2N75-15
BM-Her2N75-15_scene017_cell02528,118.7157,-932.5009,-170.51825,-335.74152,-18.917507,-53.465942,-94.18782,-948.4276,-156.33119,-1103.211,8797.496,1363.8159,310.35886,-290.94525,-901.6912,122.81353,-23.04145,-415.44974,-170.57211,-71.6547,BM-Her2N75-15
BM-Her2N75-15_scene017_cell03451,336.47034,759.85046,-232.94122,86.66289,260.25247,292.78552,-169.87172,-1679.7057,-214.89522,-1713.427,-984.29663,-1501.5635,-734.85895,3489.2402,-725.1951,625.50665,-11.694893,-258.81754,362.65543,129.49252,BM-Her2N75-15
BM-Her2N75-15_scene017_cell00440,267.2594,-569.2583,-361.2104,-137.55098,-69.080475,63.151,-177.94606,-1638.4716,-193.7477,-1690.5931,-1048.6074,-1463.4543,-332.345,-331.67557,2690.2322,-322.185,91.02532,745.4787,303.93082,-128.4479,BM-Her2N75-15
BM-Her2N75-15_scene017_cell05087,46.838013,-499.21658,-303.99188,-297.90704,-46.188625,-66.595825,-134.98494,-1253.484,-150.43867,-1381.8232,881.95703,-462.45728,-513.57086,-316.88107,91.01152,-242.24434,69.5888,-256.34146,1141.7306,-46.8433,BM-Her2N75-15
BM-Her2N75-15_scene017_cell07124,-394.5243,603.8446,2186.762,769.2935,857.77026,1905.1688,-151.68074,-1685.161,-227.69276,-1612.7784,-937.8345,-1436.1497,-1078.8593,-385.74057,-949.7164,-169.59456,291.8913,430.70566,-445.39755,-54.520424,BM-Her2N75-15
BM-Her2N75-15_scene017_cell05046,4070.6199,-86.93569,-394.50726,1884.7593,126.745575,2561.346,106.8723,-1682.209,-239.84535,-1603.7008,938.428,-1477.5579,469.59616,-321.84525,-16.815632,1605.5891,440.28595,334.24142,404.4147,1406.8516,BM-Her2N75-15
BM-Her2N75-15_scene017_cell03222,-520.1273,-66.1144,-394.09503,-462.77728,-71.87802,-406.188,-163.80574,-624.19995,-169.9717,-834.6544,2947.6375,2046.7454,154.14424,-338.44522,-901.05096,-396.77374,-139.34969,-514.2208,-222.78745,-233.8696,BM-Her2N75-15
BM-Her2N75-15_scene017_cell02328,-258.99304,-372.8395,-483.93317,-339.5152,358.50717,-158.13416,-254.85124,-1639.9059,-308.90936,-1650.1113,-1257.2617,-1368.0946,13.104207,-384.09882,-465.9106,-435.39008,-163.86238,-110.72782,43.657997,-126.173134,BM-Her2N75-15
BM-Her2N75-15_scene017_cell06206,97.44739,-860.0088,-419.8028,-422.91522,-118.06052,-186.2832,-188.83531,-1403.5867,-285.99683,-1369.6161,-704.655,-336.93115,2377.11,-383.01508,640.7198,-337.2802,-38.48432,-361.7698,-638.0374,-255.12418,BM-Her2N75-15
BM-Her2N75-15_scene017_cell04899,680.09924,3451.1453,-382.77106,-230.4471,42.59055,256.73108,-140.81941,-1688.8059,-186.95332,-1702.3658,-743.20996,-1434.2855,-734.1882,-350.4852,-704.9677,317.91168,43.56646,-195.02786,369.7565,344.71555,BM-Her2N75-15
BM-Her2N75-15_scene017_cell07139,483.49377,-712.2074,-165.61285,-199.82808,38.741367,11.786865,-102.54744,-1054.9128,-193.02724,-415.78113,6146.1934,2149.5862,694.7211,-376.66678,-11.496783,64.08489,-37.919014,-70.617714,208.47672,-21.77372,BM-Her2N75-15
BM-Her2N75-15_scene017_cell03029,538.21985,51.56821,-252.07562,159.53984,406.62668,306.3058,-224.49406,-1674.5569,-269.68567,-1720.4647,-798.59033,-1475.7886,-33.78935,-355.54565,-996.4285,-147.67561,-124.47346,-381.11844,-275.63608,71.06002,BM-Her2N75-15
BM-Her2N75-15_scene017_cell03610,1025.6115,-168.83304,-167.47308,385.87042,52.6088,702.38025,151.57317,640.8252,-17.682934,1269.5214,12902.617,3597.485,1856.0579,-238.26807,-654.0036,684.8853,152.26884,-215.51077,-67.19198,147.52805,BM-Her2N75-15
BM-Her2N75-15_scene017_cell06020,-827.5409,-690.7489,-261.7967,-499.87067,-21.36929,-519.7051,-125.745316,-894.8141,-104.217476,-915.103,10424.8125,373.04443,-367.01053,-357.36993,39.333538,-294.8515,5.9774704,-583.1221,-444.39145,-336.15048,BM-Her2N75-15
BM-Her2N75-15_scene017_cell01750,-443.7594,-895.6023,-411.3139,-460.19904,-60.03329,-386.1294,-105.579605,236.64575,-168.11562,-593.6185,9596.945,4389.3403,1347.7095,-336.39633,-478.20993,85.07256,-9.023872,-457.9349,-245.43344,34.291832,BM-Her2N75-15
BM-Her2N75-15_scene017_cell05548,-246.86243,-826.8286,-209.18304,-350.67328,-98.08743,-275.50342,-168.65535,-360.495,-195.41914,-54.24023,5043.009,1549.0251,557.94916,2340.9456,-642.8201,1091.7942,-26.415718,-495.6238,-434.71445,-256.1027,BM-Her2N75-15
BM-Her2N75-15_scene017_cell01235,-937.202,-718.3462,414.09442,-531.6369,-228.25348,-316.2467,-246.94643,-948.53186,-245.7947,-1083.7616,2759.41,832.6531,1933.1731,-368.8817,-1212.7924,-405.21906,185.27055,-693.07336,-840.86066,-393.9905,BM-Her2N75-15
BM-Her2N75-15_scene017_cell08103,-1700.9734,-399.10562,-292.59088,123.80644,182.31802,-615.0924,-380.17715,-1728.8386,-286.94275,-1791.5112,-1404.3407,-1520.7509,-1476.6108,-390.27252,-801.49176,-710.0634,97.22588,-309.3793,-462.32773,-270.78928,BM-Her2N75-15
BM-Her2N75-15_scene017_cell00658,-606.72327,-1012.37915,-411.17548,-437.8482,-118.786835,-431.4818,-157.99983,264.8816,-163.5807,-540.00696,444.98068,3727.2976,849.8078,-288.8633,-1024.1659,-594.0577,-40.72895,-549.9565,-538.1767,-285.3939,BM-Her2N75-15
BM-Her2N75-15_scene017_cell00069,736.5934,-491.0259,-223.24677,-191.64705,-3.6882596,343.32507,-165.55122,-1640.8378,-234.24123,-1616.8295,-1223.4875,-1238.5128,-285.15018,-341.0355,1087.1868,-453.22504,180.3604,2407.9995,-81.14205,-67.41813,BM-Her2N75-15
