,CD44_Ring,CD45_Ring,CD4_Ring,CD8_Ring,CK14_Ring,CK19_Ring,CK5_Ring,ER_Nuclei,Ecad_Ring,HER2_Ring,Ki67_Nuclei,PD1_Ring,Vim_Ring,aSMA_Ring,pHH3_Nuclei,batch
BM-Her2N75-15_scene017_cell04093,0.41926268,0.5429731,0.5531822,0.49365604,0.51838154,0.26211846,0.47039172,0.29566112,0.32532337,0.6897309,0.41357583,0.79880315,1.3714095,0.71903086,0.5381369,BM-Her2N75-15
BM-Her2N75-15_scene017_cell04072,0.37116176,0.55766606,0.9755165,0.8065694,0.58549845,0.25567716,0.42852613,0.3773983,0.32955566,1.090831,0.39901873,0.82252806,0.69807553,0.6430499,0.979502,BM-Her2N75-15
BM-Her2N75-15_scene017_cell01207,0.5426888,0.6536059,0.6299997,0.51873195,0.42439184,0.26485044,0.45305553,0.3561356,0.34236205,0.5542107,0.43883651,0.82480234,0.59759533,0.49745178,0.6122194,BM-Her2N75-15
BM-Her2N75-15_scene017_cell02528,0.29979745,0.6802801,0.5832274,0.61019975,0.5938358,0.58563083,0.5161933,2.1160533,1.112586,0.8828358,0.48433736,0.82448834,0.4831505,0.6235415,0.6625719,BM-Her2N75-15
BM-Her2N75-15_scene017_cell03451,0.7959526,0.6552934,0.72779393,0.7215183,0.5196009,0.27369356,0.47218114,0.36781064,0.32766107,0.5489231,4.407479,0.83116937,0.5635657,0.807909,0.78164995,BM-Her2N75-15
BM-Her2N75-15_scene017_cell00440,0.40629113,0.6039498,0.6510575,0.64769167,0.51168114,0.29128262,0.48807395,0.35631672,0.33810043,0.67751306,0.44206673,0.89165163,1.0791724,0.78760445,0.62895066,BM-Her2N75-15
BM-Her2N75-15_scene017_cell05087,0.4268256,0.6268532,0.59617615,0.60597855,0.5538198,0.4555046,0.5206216,0.7013552,0.6123076,0.61961734,0.4574207,0.8790297,0.56483686,1.0772802,0.6772601,BM-Her2N75-15
BM-Her2N75-15_scene017_cell07124,0.75021565,1.6238523,0.9614219,1.2398934,0.5374436,0.27136654,0.4625635,0.37611455,0.3455801,0.43902627,0.38595715,1.0099227,0.91756755,0.5285185,0.6727153,BM-Her2N75-15
BM-Her2N75-15_scene017_cell05046,0.5476961,0.5906217,1.3431863,1.4508519,0.7910465,0.27262574,0.4534306,0.7114479,0.334237,0.9337069,0.45226884,1.0972985,0.8680427,0.8223476,1.5378392,BM-Her2N75-15
BM-Her2N75-15_scene017_cell03222,0.55380034,0.59078676,0.53974986,0.496801,0.5255507,0.7239348,0.5059421,1.0705422,1.2996637,0.8329303,0.4350411,0.75600535,0.43244132,0.6054876,0.5665416,BM-Her2N75-15
BM-Her2N75-15_scene017_cell02328,0.46387622,0.5548263,0.5819359,0.57654935,0.43624836,0.29067075,0.4015275,0.3190252,0.3642227,0.78787273,0.387661,0.74157214,0.63959503,0.6976132,0.6302973,BM-Her2N75-15
BM-Her2N75-15_scene017_cell06206,0.32105032,0.58049643,0.5533925,0.5674996,0.50100034,0.39147612,0.41874677,0.41778934,0.6466935,1.543095,0.38878572,0.8153955,0.5107098,0.46191174,0.553959,BM-Her2N75-15
BM-Her2N75-15_scene017_cell04899,1.5849732,0.5953195,0.6192641,0.7099269,0.54809695,0.26981175,0.49318007,0.41089866,0.34609076,0.54913735,0.4225458,0.86370754,0.5963153,0.8103642,0.9090607,BM-Her2N75-15
BM-Her2N75-15_scene017_cell07139,0.364382,0.6822436,0.62974334,0.6311783,0.5856362,0.540208,0.4886154,1.6422014,1.3278353,1.0056269,0.3953741,0.81572837,0.6601876,0.7546005,0.6921011,BM-Her2N75-15
BM-Her2N75-15_scene017_cell03029,0.58830196,0.64763427,0.7527358,0.72586507,0.4660243,0.2758899,0.43100494,0.40100083,0.33472168,0.77289176,0.41729394,0.7647646,0.50077623,0.5872148,0.7470582,BM-Her2N75-15
BM-Her2N75-15_scene017_cell03610,0.5236858,0.681499,0.8301966,0.85320145,0.8348915,1.2635497,0.62039036,2.8497376,1.724464,1.3766358,0.53900665,0.9277122,0.5857994,0.6592859,0.7923268,BM-Her2N75-15
BM-Her2N75-15_scene017_cell06020,0.37067312,0.6437431,0.5270548,0.46030566,0.5628825,0.6085004,0.55535775,2.406894,0.84118,0.6664385,0.41540068,0.84157497,0.39706734,0.52886635,0.5059919,BM-Her2N75-15
BM-Her2N75-15_scene017_cell01750,0.3106152,0.5838944,0.54063225,0.50324976,0.5826621,1.0911411,0.507337,2.258934,1.9413803,1.2142352,0.43716744,0.83274204,0.46133855,0.59765756,0.72529167,BM-Her2N75-15
BM-Her2N75-15_scene017_cell05548,0.33077794,0.6648033,0.57811713,0.53881556,0.520794,0.83642197,0.4868178,1.4450357,1.1633211,0.9619328,3.2157588,0.82250154,0.44198903,0.53221226,0.5533797,BM-Her2N75-15
BM-Her2N75-15_scene017_cell01235,0.3625823,0.9142888,0.5161829,0.5257168,0.44400182,0.58558637,0.44895953,1.0369014,0.96708244,1.4012717,0.40345356,0.9471438,0.34061825,0.39178407,0.47175094,BM-Her2N75-15
