,CD44_Ring,CD45_Ring,CD4_Ring,CD8_Ring,CK14_Ring,CK19_Ring,CK5_Ring,ER_Nuclei,Ecad_Ring,HER2_Ring,Ki67_Nuclei,PD1_Ring,Vim_Ring,aSMA_Ring,pHH3_Nuclei,batch
BM-Her2N75-15_scene017_cell04093,-0.15392081,-0.205562,-0.14495166,-0.13373283,-0.16783875,-0.7280779,-0.1632877,-0.24806711,-0.41366705,-0.09395544,-0.3727095,-0.039252196,0.67496675,0.036512744,-0.16685411,BM-Her2N75-15
BM-Her2N75-15_scene017_cell04072,-0.20202173,-0.19086903,0.27738267,0.17918053,-0.100721836,-0.7345192,-0.20515329,-0.16632992,-0.40943477,0.3071447,-0.3872666,-0.015527281,0.0016327512,-0.039468218,0.274511,BM-Her2N75-15
BM-Her2N75-15_scene017_cell01207,-0.030494701,-0.09492922,-0.06813414,-0.10865692,-0.26182845,-0.7253459,-0.18062389,-0.18759263,-0.39662838,-0.2294756,-0.34744883,-0.013253006,-0.09884745,-0.18506633,-0.09277163,BM-Her2N75-15
BM-Her2N75-15_scene017_cell02528,-0.27338603,-0.06825501,-0.11490644,-0.017189123,-0.09238452,-0.40456554,-0.11748615,1.5723251,0.3735956,0.09914948,-0.30194798,-0.013567003,-0.21329227,-0.05897664,-0.042419113,BM-Her2N75-15
BM-Her2N75-15_scene017_cell03451,0.22276913,-0.09324169,0.029660096,0.094129406,-0.16661936,-0.7165028,-0.16149828,-0.1759176,-0.41132936,-0.23476325,3.6211934,-0.006885979,-0.13287711,0.1253909,0.07665893,BM-Her2N75-15
BM-Her2N75-15_scene017_cell00440,-0.16689236,-0.14458531,-0.047076356,0.020302795,-0.17453915,-0.69891375,-0.14560547,-0.18741152,-0.40089,-0.10617326,-0.3442186,0.053596284,0.3827296,0.10508634,-0.076040365,BM-Her2N75-15
BM-Her2N75-15_scene017_cell05087,-0.14635788,-0.12168187,-0.101957686,-0.021410324,-0.13240051,-0.53469175,-0.11305782,0.15762699,-0.1266828,-0.16406898,-0.32886463,0.040974345,-0.13160592,0.39476204,-0.02773092,BM-Her2N75-15
BM-Her2N75-15_scene017_cell07124,0.17703216,0.87531716,0.26328808,0.61250454,-0.14877671,-0.7188298,-0.1711159,-0.16761369,-0.39341033,-0.34466007,-0.4003282,0.1718674,0.22112477,-0.15399961,-0.032275714,BM-Her2N75-15
BM-Her2N75-15_scene017_cell05046,-0.025487375,-0.15791339,0.64505243,0.823463,0.10482621,-0.7175706,-0.18024883,0.16771966,-0.40475342,0.15002055,-0.3340165,0.25924316,0.17159992,0.13982947,0.83284813,BM-Her2N75-15
BM-Her2N75-15_scene017_cell03222,-0.019383144,-0.15774834,-0.15838398,-0.13058788,-0.16066957,-0.26626155,-0.12773731,0.526814,0.56067324,0.049243998,-0.35124424,-0.082049996,-0.26400146,-0.077030525,-0.1384494,BM-Her2N75-15
BM-Her2N75-15_scene017_cell02328,-0.109307274,-0.19370878,-0.11619795,-0.05083952,-0.24997193,-0.6995256,-0.23215193,-0.22470304,-0.37476772,0.004186404,-0.39862433,-0.0964832,-0.05684775,0.015095068,-0.07469372,BM-Her2N75-15
BM-Her2N75-15_scene017_cell06206,-0.25213316,-0.16803867,-0.14474131,-0.059889294,-0.18521994,-0.59872025,-0.21493265,-0.12593889,-0.09229689,0.75940865,-0.39749962,-0.022659872,-0.18573296,-0.22060637,-0.151032,BM-Her2N75-15
BM-Her2N75-15_scene017_cell04899,1.0117897,-0.15321559,-0.07886971,0.08253803,-0.13812333,-0.7203846,-0.14049935,-0.13282958,-0.39289966,-0.23454897,-0.36373955,0.025652196,-0.10012746,0.12784608,0.2040697,BM-Her2N75-15
BM-Her2N75-15_scene017_cell07139,-0.2088015,-0.06629151,-0.068390496,0.0037894477,-0.10058409,-0.4499884,-0.14506403,1.0984732,0.5888449,0.22194059,-0.39091125,-0.02232698,-0.03625518,0.072082415,-0.012889899,BM-Her2N75-15
BM-Her2N75-15_scene017_cell03029,0.015118468,-0.10090083,0.054601956,0.098476194,-0.22019598,-0.7143065,-0.20267448,-0.1427274,-0.40426874,-0.010794568,-0.3689914,-0.073290735,-0.19566655,-0.09530328,0.042067192,BM-Her2N75-15
BM-Her2N75-15_scene017_cell03610,-0.049497675,-0.06703609,0.13206278,0.22581258,0.14867121,0.2733533,-0.013289066,2.3060093,0.98547363,0.59294945,-0.24727868,0.08965686,-0.11064339,-0.023232209,0.08733579,BM-Her2N75-15
BM-Her2N75-15_scene017_cell06020,-0.20251037,-0.104792,-0.17107905,-0.1670832,-0.123337805,-0.38169596,-0.078321666,1.8631657,0.10218961,-0.117247805,-0.37088466,0.0035196212,-0.29937544,-0.15365176,-0.19899914,BM-Her2N75-15
BM-Her2N75-15_scene017_cell01750,-0.26256827,-0.16464072,-0.1575016,-0.12413911,-0.10355818,0.10094473,-0.12634245,1.7152058,1.2023898,0.43054885,-0.3491179,-0.0053133103,-0.23510423,-0.08486055,0.02030065,BM-Her2N75-15
BM-Her2N75-15_scene017_cell05548,-0.24240555,-0.08373177,-0.1200167,-0.088573314,-0.16542631,-0.15377441,-0.14686161,0.90130746,0.4243307,0.17824645,2.4294734,-0.015553805,-0.25445375,-0.15030585,-0.1516113,BM-Her2N75-15
BM-Her2N75-15_scene017_cell01235,-0.2106012,0.16575372,-0.18195094,-0.10167209,-0.24221846,-0.40461,-0.18471989,0.49317312,0.22809203,0.61758536,-0.38283178,0.10908845,-0.35582453,-0.29073405,-0.23324007,BM-Her2N75-15
BM-Her2N75-15_scene017_cell08103,-0.11700781,-0.11711824,0.042372335,-0.19774988,-0.37289837,-0.7374612,-0.21564353,-0.25098962,-0.41658545,-0.4717286,-0.40503153,0.057247188,-0.15883559,-0.15985338,-0.16030565,BM-Her2N75-15
BM-Her2N75-15_scene017_cell00658,-0.29680434,-0.16458529,-0.14985205,-0.13871974,-0.15497476,0.11298916,-0.12293431,0.07952875,1.0210338,0.27148575,-0.29978728,-0.023981486,-0.28234816,-0.18607874,-0.16895154,BM-Her2N75-15
BM-Her2N75-15_scene017_cell00069,-0.14395656,-0.08936119,-0.06559057,0.11037769,-0.16238165,-0.6999231,-0.17603722,-0.21866679,-0.33927083,-0.09109609,-0.35393247,0.10619733,1.2362696,-0.028055476,-0.03991113,BM-Her2N75-15
