,CD20_Ring,CD44_Ring,CD45_Ring,CD4_Ring,CD68_Ring,CD8_Ring,CK14_Ring,CK19_Ring,CK5_Ring,CK7_Ring,ER_Nuclei,Ecad_Ring,HER2_Ring,Ki67_Nuclei,LamAC_Nuclei,PCNA_Nuclei,PD1_Ring,Vim_Ring,aSMA_Ring,pHH3_Nuclei
BM-Her2N75-15_scene017_cell04093,3117.9703389830506,1430.0762711864404,1356.4830508474574,1616.3262711864404,617.1906779661018,1535.4957627118647,528.5,614.4872881355933,625.9194915254237,244.36864406779662,1654.2875457875455,1187.5974576271187,2159.004237288136,398.50549450549454,3367.0183150183148,1386.1959706959708,1356.6483050847455,2671.2245762711864,2079.580508474576,909.0238095238096
BM-Her2N75-15_scene017_cell04072,5501.445255474453,1266.007299270073,1393.1897810218975,2850.332116788321,1135.7992700729926,2508.799270072993,596.92700729927,599.3868613138686,570.2116788321168,308.2262773722628,2111.624721603564,1203.0474452554745,3414.532846715329,384.47884187082406,1722.7360801781738,2002.997772828508,1396.9416058394158,1359.7080291970806,1859.8284671532847,1654.5801781737189
BM-Her2N75-15_scene017_cell01207,2696.824324324324,1851.0743243243246,1632.8716216216214,1840.777027027027,687.0337837837837,1613.4932432432431,432.6756756756757,620.8918918918919,602.8513513513514,269.68918918918916,1992.6553106212423,1249.7972972972973,1734.7972972972973,422.84569138276566,3550.8677354709416,1581.4248496993987,1400.804054054054,1163.9932432432433,1438.7297297297296,1034.1643286573146
BM-Her2N75-15_scene017_cell02528,3641.677083333334,1022.5885416666664,1699.510416666667,1704.114583333333,673.234375,1898.0,605.4270833333334,1372.9010416666667,686.8645833333334,898.609375,11839.772833723653,4061.510416666666,2763.463541666666,466.688524590164,1688.84074941452,2105.592505854801,1400.270833333333,941.078125,1803.40625,1119.2201405152223
BM-Her2N75-15_scene017_cell03451,3859.431693989071,2714.9398907103823,1637.0874316939892,2126.519125683061,952.4043715846994,2244.2513661202192,529.7431693989071,641.6229508196723,628.3005464480874,288.39344262295083,2057.9795918367345,1196.1311475409834,1718.2459016393445,4246.874149659864,1865.3367346938776,2608.285714285714,1411.6174863387976,1097.7103825136612,2336.6338797814205,1320.3673469387754
BM-Her2N75-15_scene017_cell00440,3790.2207792207782,1385.8311688311687,1508.8181818181818,1902.3051948051948,623.0714285714286,2014.6168831168832,521.6688311688312,682.8571428571429,649.4480519480519,311.22727272727275,1993.6686567164181,1234.2402597402595,2120.7597402597407,425.9582089552238,5280.764179104478,1660.5940298507462,1514.3376623376623,2102.0064935064934,2277.909090909091,1062.4268656716417
BM-Her2N75-15_scene017_cell05087,3569.799435028249,1455.872881355932,1566.0367231638418,1741.949152542373,645.9632768361582,1884.870056497175,564.6299435028249,1067.8446327683616,692.7570621468927,619.9971751412429,3924.2331887201735,2235.2372881355927,1939.5338983050851,440.7527114967462,2681.543383947939,1740.5347071583515,1492.9011299435028,1100.1864406779664,3115.709039548023,1144.0314533622561
BM-Her2N75-15_scene017_cell07124,3128.4371257485027,2558.934131736527,4056.790419161677,2809.1497005988026,1549.9221556886228,3856.634730538922,547.934131736527,636.1676646706587,615.502994011976,389.0419161676648,2104.4417475728155,1261.5449101796407,1374.245508982036,371.8932038834951,1640.8155339805826,1813.1844660194167,1715.2035928143716,1787.2335329341315,1528.5808383233532,1136.3543689320388
BM-Her2N75-15_scene017_cell05046,7593.581196581196,1868.1538461538464,1475.5213675213674,3924.615384615385,818.8974358974359,4512.811965811966,806.4871794871794,639.1196581196581,603.3504273504274,398.11965811965797,3980.703980099503,1220.1367521367524,2922.7008547008545,435.78855721393035,2573.716417910448,3588.3681592039793,1863.5982905982903,1690.7692307692307,2378.3931623931626,2597.726368159204
BM-Her2N75-15_scene017_cell03222,3002.8340248962654,1888.97510373444,1475.9336099585062,1577.078838174274,620.2738589211617,1545.2780082987551,535.8091286307053,1697.1286307053942,673.2240663900415,1167.1659751037344,5989.913494809689,4744.439834024896,2607.2489626556016,419.18858131487883,1689.4809688581315,1586.0051903114183,1283.9626556016594,842.3070539419087,1751.1908713692947,957.0051903114188
BM-Her2N75-15_scene017_cell02328,3263.9681818181816,1582.25,1386.0954545454545,1700.340909090909,1050.659090909091,1793.3318181818179,444.7636363636364,681.4227272727272,534.2863636363636,351.7090909090909,1785.014403292181,1329.6,2466.2090909090907,373.5349794238683,2124.6213991769546,1547.388888888889,1259.45,1245.8,2017.6363636363642,1064.701646090535
BM-Her2N75-15_scene017_cell06206,3620.4086021505377,1095.0806451612902,1450.225806451613,1616.9408602150538,574.0913978494624,1765.1827956989248,510.7795698924732,917.741935483871,557.1989247311827,632.2043010752689,2337.621103117506,2360.7634408602153,4830.215053763442,374.61870503597123,3231.251798561151,1645.4988009592325,1384.8279569892472,994.758064516129,1335.9408602150538,935.7505995203836
BM-Her2N75-15_scene017_cell04899,4203.060606060606,5406.234848484848,1487.2575757575758,1809.409090909091,734.7424242424244,2208.1969696969695,558.7954545454545,632.5227272727273,656.2424242424242,299.45454545454544,2299.066265060241,1263.409090909091,1718.916666666667,407.14859437751005,1885.5642570281125,2300.6907630522087,1466.8787878787882,1161.5,2343.7348484848485,1535.5903614457834
BM-Her2N75-15_scene017_cell07139,4006.4550561797746,1242.8820224719102,1704.415730337079,1840.0280898876404,730.8932584269662,1963.252808988764,597.0674157303372,1266.4157303370787,650.1685393258427,1586.0393258426966,9188.470103092784,4847.280898876405,3147.825842696629,380.9670103092784,2579.035051546392,2046.863917525773,1385.3932584269662,1285.9101123595506,2182.455056179775,1169.1010309278352
BM-Her2N75-15_scene017_cell03029,4061.1812080536906,2006.6577181208054,1617.9530201342282,2199.3959731543623,1098.778523489933,2257.771812080537,475.1208053691275,646.7718120805371,573.510067114094,281.3557046979866,2243.685823754789,1221.9060402684565,2419.315436241611,402.088122605364,1594.103448275862,1835.103448275862,1298.8389261744967,975.4093959731545,1698.3422818791946,1261.934865900383
BM-Her2N75-15_scene017_cell03610,4548.5726495726485,1786.2564102564102,1702.5555555555554,2425.726495726496,744.7606837606837,2653.846153846154,851.1880341880342,2962.1538461538453,825.5128205128206,3271.3418803418804,15944.893992932864,6295.179487179487,4309.1623931623935,519.3657243816256,1936.5282685512368,2667.664310954064,1575.5811965811965,1141.017094017094,1906.7863247863247,1338.4028268551235
BM-Her2N75-15_scene017_cell06020,2695.4202898550725,1264.340579710145,1608.2318840579708,1539.9855072463768,670.7826086956521,1431.7608695652175,573.8695652173913,1426.5144927536232,738.9782608695652,1086.7173913043478,13467.088390501322,3070.7391304347825,2086.0942028985505,400.26385224274406,2629.865435356201,1687.9274406332456,1429.2898550724638,773.4057971014493,1529.5869565217392,854.7242744063326
BM-Her2N75-15_scene017_cell01750,3079.2019230769233,1059.4871794871794,1458.7147435897436,1579.6570512820515,632.1185897435898,1565.3365384615383,594.0352564102565,2557.9743589743593,675.0801282051283,1408.2019230769226,12639.221461187217,7087.035256410258,3800.814102564103,421.2374429223743,2112.321917808219,2067.851598173516,1414.2884615384617,898.5929487179487,1728.5448717948718,1225.1666666666667
BM-Her2N75-15_scene017_cell05548,3276.0989505247376,1128.2608695652175,1660.8455772113944,1689.1829085457266,594.064467766117,1675.9625187406298,530.95952023988,1960.833583208396,647.776611694153,1947.5802098950528,8085.285140562249,4246.71964017991,3011.053973013493,3098.5793172690765,1947.7118473895584,3074.573293172691,1396.896551724138,860.904047976012,1539.263868065967,934.7720883534137
BM-Her2N75-15_scene017_cell01235,2585.7593582887703,1236.7433155080216,2284.1229946524068,1508.2192513368984,463.8983957219251,1635.2192513368984,452.6684491978609,1372.7967914438502,597.4010695187168,918.0588235294116,5801.6859504132235,3530.3475935828887,4386.278074866311,388.7520661157025,1377.7396694214874,1577.559917355372,1608.5828877005347,663.4545454545455,1133.1176470588236,796.8842975206611
BM-Her2N75-15_scene017_cell08103,1821.987951807229,1555.983935742972,1577.437751004016,2163.6626506024095,874.4698795180722,1336.3734939759036,319.4377510040161,592.4899598393574,556.2530120481928,210.30923694779116,1637.9354275741712,1176.9437751004014,976.4939759036143,367.3612565445026,1789.0401396160555,1272.7155322862131,1520.5381526104418,1047.14859437751,1511.6506024096384,920.0855148342059
BM-Her2N75-15_scene017_cell00658,2916.238095238096,942.7103174603177,1458.8531746031747,1602.0079365079364,573.3650793650794,1519.984126984127,541.6150793650794,2586.2103174603176,679.6150793650794,1461.813492063492,3487.256830601093,6424.992063492065,3302.9126984126983,468.7704918032787,1566.366120218579,1388.72131147541,1382.583333333333,806.5714285714287,1435.8015873015872,905.48087431694
BM-Her2N75-15_scene017_cell00069,4259.554545454545,1464.0636363636365,1646.7818181818182,1848.209090909091,688.4636363636363,2294.7909090909093,534.0636363636364,680.4909090909091,608.9545454545455,384.9909090909091,1818.7885835095133,1459.1818181818182,2167.9545454545455,416.5983086680761,3677.7188160676533,1529.5539112050735,1603.6727272727273,3764.527272727273,1892.8363636363642,1123.4566596194504
BM-Her2N75-15_scene017_cell04367,3943.1875,2134.69921875,2134.06640625,1795.64453125,776.015625,2075.375,649.3203125,2474.3125,737.0703125,1441.26953125,9515.450166112956,3372.66796875,2180.29296875,704.8970099667772,2441.855481727575,2157.205980066445,1473.578125,1132.69140625,2061.28515625,1156.1611295681066
BM-Her2N75-15_scene017_cell01439,3444.063157894737,1188.0105263157895,1235.7684210526315,1537.7894736842104,611.9473684210526,1663.7894736842104,512.5157894736842,571.6947368421053,559.5157894736842,264.8421052631579,1940.027972027972,1110.115789473684,3462.252631578948,415.6573426573426,3132.86013986014,1637.8251748251748,1320.1368421052632,893.8210526315787,1336.621052631579,1140.6433566433566
BM-Her2N75-15_scene017_cell01347,2421.57908847185,912.7319034852549,1393.509383378016,1481.3941018766754,556.916890080429,1318.2117962466486,482.8445040214477,1759.3538873994635,634.7694369973191,1001.2037533512064,6741.309840425533,4928.756032171582,2680.5871313672924,423.8630319148937,1839.4827127659576,1435.9255319148936,1352.0697050938338,731.2064343163539,1308.1260053619305,808.876329787234
BM-Her2N75-15_scene017_cell03418,3832.849056603774,2708.3849056603767,2044.1735849056604,2366.1622641509434,753.5509433962262,2481.279245283019,551.2641509433962,675.2981132075472,664.0113207547171,312.5622641509433,2151.188940092166,1644.535849056604,1722.275471698113,477.35138248847926,1700.4735023041476,1775.4539170506912,1428.4981132075472,1412.9207547169808,4590.42641509434,1195.7304147465438
BM-Her2N75-15_scene017_cell02796,3515.843501326261,1196.0557029177721,1608.8116710875327,1961.474801061008,623.5039787798407,2052.5782493368697,591.8514588859416,2003.209549071618,656.8965517241379,1527.079575596817,14719.518102372034,4516.0,3121.127320954907,437.3820224719101,1710.574282147316,2082.123595505618,1420.8620689655172,932.1538461538464,1679.9336870026525,1158.2933832709116
BM-Her2N75-15_scene017_cell04821,3603.870370370369,1394.5555555555554,1670.4768518518522,2051.3888888888887,1015.1435185185184,2220.305555555556,458.6898148148149,1018.6527777777776,567.9074074074074,531.9907407407408,2686.342857142857,1966.041666666667,2067.5925925925926,376.534065934066,1488.0395604395605,1593.2483516483514,1430.4027777777774,963.1712962962964,1804.4907407407406,915.6109890109892
BM-Her2N75-15_scene017_cell05975,2750.7644230769233,1695.4759615384617,1580.1153846153845,1358.7115384615386,503.54807692307685,1291.4086538461538,424.29326923076917,607.3605769230769,556.6634615384615,271.9230769230769,1844.8408163265306,1189.1298076923074,2258.1875,1064.2551020408164,1442.7346938775506,1719.8102040816327,1292.5240384615386,893.3798076923077,1506.6153846153845,832.4510204081633
BM-Her2N75-15_scene017_cell04831,3161.4083333333333,1837.825,1371.9083333333333,1518.958333333333,625.3416666666667,1580.875,481.025,833.4666666666667,652.3583333333332,426.04166666666674,2053.4707070707072,2188.0,1893.0583333333327,392.4525252525253,4380.486868686869,1553.0626262626267,1409.25,1091.8333333333333,2259.575,1011.8424242424243
BM-Her2N75-15_scene017_cell02524,4043.7892156862745,1597.9754901960785,1458.3872549019613,1673.411764705883,736.2107843137254,2088.8235294117653,577.8480392156863,616.9362745098039,665.1715686274507,299.01470588235287,2262.2256097560976,1133.0,1871.485294117647,489.76676829268285,7431.053353658536,1802.6371951219512,1879.3774509803925,1201.2941176470588,28970.754901960787,1132.4466463414635
BM-Her2N75-15_scene017_cell05332,3485.1277777777777,1195.5,1696.15,1746.911111111111,610.5777777777778,1807.3722222222225,578.8055555555555,2755.2833333333333,649.3388888888887,2824.572222222222,10887.051764705882,4109.605555555556,2892.322222222222,1211.4470588235295,2233.6470588235293,2246.1176470588234,1412.4833333333331,1001.45,1725.5777777777778,948.6588235294116
BM-Her2N75-15_scene017_cell07787,2676.181818181818,7120.443181818182,1466.8977272727273,1621.4924242424242,845.9204545454545,1562.219696969697,386.8598484848485,613.4507575757576,576.1515151515151,222.5871212121212,1767.6970198675494,1210.4545454545455,1746.534090909091,365.4387417218544,1728.273178807947,1279.4288079470198,1654.5757575757575,1095.0530303030305,2977.598484848485,911.2516556291392
BM-Her2N75-15_scene017_cell04735,3574.7816091954023,1125.83908045977,1531.7931034482758,1819.2413793103449,630.4597701149428,1932.942528735632,654.1724137931035,2202.3793103448274,861.4022988505748,2542.1494252873567,4579.648780487805,3389.977011494253,1554.5172413793102,15787.439024390244,1757.775609756097,3779.809756097561,1543.7011494252874,955.8505747126436,1915.5632183908046,1027.029268292683
BM-Her2N75-15_scene017_cell05650,3055.917808219178,1281.0639269406392,1255.8173515981734,1549.1735159817351,631.337899543379,1643.2054794520548,409.7534246575343,568.5799086757991,550.5616438356166,249.92694063926945,1742.2581453634084,1136.689497716895,1658.8858447488587,354.8671679197995,2336.441102756892,1333.8997493734335,1292.5844748858447,1032.9497716894978,1823.7945205479446,922.812030075188
