,CD44_Ring,CD45_Ring,CD4_Ring,CD68_Ring,CK14_Ring,CK19_Ring,CK5_Ring,CK7_Ring,ER_Nuclei,Ecad_Ring,Ki67_Nuclei,PD1_Ring,Vim_Ring,aSMA_Ring,pHH3_Nuclei,batch
BM-Her2N75-15_scene017_cell04093,0.012665501059608007,0.010373766123268098,0.010187359552827317,0.00041809433581994297,0.003789830280414324,0.014795759127939548,0.008843552337029374,0.010343702582532609,0.009043464515597439,0.019883981092396977,0.017775182117772872,0.0032345314439019136,0.06409127132989019,0.010873428307621412,0.003264184059201449,BM-Her2N75-15
BM-Her2N75-15_scene017_cell04072,0.008958140718355418,0.017477525095420943,0.01270670559906601,0.02357281846589827,0.004054171392861521,0.019907057550898822,0.006675686062373687,0.013474241381316213,0.0044309513133392,0.005990115483347776,0.007984376079442045,0.0019035661932155625,0.01712634855717598,0.01341597225171501,0.010739054672915652,BM-Her2N75-15
BM-Her2N75-15_scene017_cell01207,0.015912607605552666,0.0011919828499550689,0.018308026118076578,0.001236681921089804,0.013932630433221562,0.001144852279503419,0.011676657791873487,0.015649677517460377,0.005471200191342853,0.01465669950809829,0.01576977829243044,0.013438300045833127,0.01246296107668843,7.5389217609807e-05,0.013493767060693874,BM-Her2N75-15
BM-Her2N75-15_scene017_cell02528,0.0016738189015145456,0.006273783525253769,0.016706119917050583,0.006133137114241383,0.018808208195865084,0.010070137852709254,0.005987539654081123,0.017869364243759265,0.047047338530148974,0.06667473342622993,0.017314210675731995,0.0015138694996352188,0.007821664257048137,0.008957446683636263,0.00863504426964595,BM-Her2N75-15
BM-Her2N75-15_scene017_cell03451,0.016234016366655727,0.004987165653387418,0.005412038930944696,0.0128612565898798,0.015133579234975792,0.010163652369977441,0.017061215102046976,0.019166745756568706,0.01350700234985445,0.0009816468580715364,0.09182320950767854,0.005409267388829289,0.0017245449569589688,0.014010917787799908,0.017430802392195754,BM-Her2N75-15
BM-Her2N75-15_scene017_cell00440,0.0029624911013654723,0.015372571938921598,0.018200309647260996,0.01757012452721482,0.014797865947579153,0.013944450070535557,0.013451378594009836,0.016473360804609757,0.003099235988324818,0.010451708501336176,0.001905595522152006,0.009017686320285177,0.024028788815898136,0.01380722465491455,0.010355666967772594,BM-Her2N75-15
BM-Her2N75-15_scene017_cell05087,0.0180458696499143,0.013395151764002312,0.007822645032918345,0.006778767822809211,0.016892252836548122,0.002449599324879612,0.01825614881259693,0.017189166815745494,0.0007169186318371024,0.004919558502587427,0.0030801828730820068,0.012211902328535473,0.013642347365463691,0.02624325168521023,0.004939479967614773,BM-Her2N75-15
BM-Her2N75-15_scene017_cell07124,0.015919575335886022,0.10733041096239337,0.014948973103355832,0.038656453971353255,0.010112410263560972,0.0034816386151114887,0.0041463162602948,0.0009267681081069723,0.004544046405054447,0.0014581171565931194,0.007528736601189519,0.02116319432585645,0.004706539714887341,0.004515792962002507,0.014351495049182759,BM-Her2N75-15
BM-Her2N75-15_scene017_cell05046,0.01317362953368913,0.009369438689743157,0.12198525782916164,0.01065431957889432,0.0032298207471583317,0.009320341481559994,0.010662862703396215,0.01395246441104371,0.008431318146862777,0.012202653721981014,0.01987161382618078,0.04744911169637778,0.01296912258756303,0.004949159641515555,0.051292888640941975,BM-Her2N75-15
BM-Her2N75-15_scene017_cell03222,0.00739555888293661,0.01880164135134173,0.01722997059170215,0.015410945585566533,0.0002740971186787067,0.0010854612464945967,0.0196314729020862,0.01927853687049884,0.011143679587695353,0.12178331875923659,0.005839612994053385,0.0007053949890386324,0.016714405056161,0.01780359258802586,0.0032830582336794657,BM-Her2N75-15
