,HER2_cellmem25,Vim_nucadj2,CD20_perinuc5,CD3_perinuc5,CD31_perinuc5,CD4_perinuc5,CD44_perinuc5,CD45_perinuc5,CD68_perinuc5,CD8_perinuc5,PD1_perinuc5,PDPN_perinuc5,aSMA_perinuc5,CK14_cytoplasm,CK17_cytoplasm,CK19_cytoplasm,CK5_cytoplasm,CK7_cytoplasm,Ecad_cytoplasm,DAPI2_nuclei,ER_nuclei,Ki67_nuclei,LamAC_nuclei,PCNA_nuclei,pHH3_nuclei,batch
JE-TMA-41_scene01_cell1608,5.975806082219073,8.924516505346679,8.66183797601281,8.071888462281983,7.3450758186039495,8.72685372825751,8.330335073004008,8.835027817929907,7.6505529070534335,8.245073148183405,6.742231198388746,7.513442376731925,6.763583576927477,5.512471258930041,4.305644122475344,6.379131350412142,4.086895592643555,5.236873672406925,7.498060151199721,9.54389229053393,5.513612221964077,5.444767714846315,7.758900421592911,5.88521530220953,3.4284775804036425,JE-TMA-41
JE-TMA-41_scene01_cell204,6.154000673164663,7.1509397978267,9.686519293694342,8.111505372729248,5.337834890299294,7.728682215395873,6.527793552105141,8.499931942984814,6.2998941899901615,6.938633986656543,6.767954444879009,6.349938082632387,6.1651680434597385,5.905185019394443,5.7744285607948,6.2365475089555495,5.941263918945787,5.476763918959932,8.03439816812898,9.283254313810444,5.344415489832322,5.719077312329337,7.453731353270707,7.07720305577249,5.764399764133129,JE-TMA-41
JE-TMA-41_scene01_cell2297,5.291560500490604,8.775735063096963,8.22160028307886,8.241328803814449,5.9419968382259345,7.516589035223239,6.950592402112458,8.538258512326946,3.6402519113842224,0.0,5.884000111795627,2.6269627852303468,2.4787171998926,4.651757385502299,0.018795885743232495,6.194961800306568,0.6334671691038902,4.870769222930267,7.296026244504681,9.145727473486396,4.99083680133719,8.085600325555086,7.456910864177597,5.5507281718178785,1.5312927143684945,JE-TMA-41
JE-TMA-41_scene01_cell1231,5.434683208032928,7.093147162359356,10.176785920661757,8.212823014604277,5.745011553085158,8.537325776126144,7.334379857544122,8.618340785634917,4.997776164008074,7.378858437964698,6.057454111425233,5.103452647799179,1.8463795277400474,5.109247184356453,0.9415443832848543,6.286558633635223,4.2952941189924285,5.151593954504341,7.290164241092144,9.275091053741992,3.77335801948099,4.549697187505004,7.518437776689999,6.087180609327282,3.8084453189534213,JE-TMA-41
JE-TMA-41_scene01_cell3042,5.353188639009061,9.017799124156713,8.496378093402674,8.438411148699384,6.047249279131907,10.073660203471256,6.646356910168681,8.549489942801658,5.388720280284479,9.159897413520307,6.334247636806027,8.822012118586192,5.877393432091044,5.169373157700059,0.677860276464227,6.258618245262934,4.337958578520371,5.151753129100618,7.280222200802825,9.200125375445628,4.538087301206678,5.538618924164641,8.182583383672805,5.778680045873245,4.277217185052874,JE-TMA-41
JE-TMA-41_scene01_cell3099,5.580606203017336,8.337635528561536,9.59391536451886,7.977245620579502,5.95706549659129,7.848180480554338,7.72154317763494,8.727264589521994,6.203292549964827,7.367952237899607,6.12071835374772,7.322480148792486,5.037900349516103,5.335674758646659,4.908596981984981,6.265014247167901,4.6093143297395205,5.260563109559667,7.300242188542819,9.40601885085954,4.087010491384424,5.125064863144576,7.585099395812322,6.319401545911342,4.534478496690665,JE-TMA-41
JE-TMA-41_scene01_cell127,5.622340556603746,7.339513045316881,9.73439104613874,8.096357769695274,5.065126912953139,8.06310843650012,6.872258700203436,8.444409536225708,6.043893839841291,7.2992064327823325,6.609610199748073,5.498051577659872,1.668446973162776,5.250133891012125,1.6164418415176924,6.224828877942734,5.2239129093404095,5.163444144604923,7.855488923202204,9.427505820564733,5.215677141615932,6.713602709463312,7.542762099881361,6.411424534004051,4.174093478701576,JE-TMA-41
JE-TMA-41_scene01_cell2985,5.3430992867330565,6.752853336457611,8.94514356698042,8.542061585326204,5.175102947258057,8.899576671879434,6.722998615445454,8.67617582826158,6.325319328214058,6.552433692448951,6.380112471331359,5.127582331912977,4.041215174418573,6.146775083848379,5.9360717836856765,6.212824255920547,4.386561194057931,5.357831975321179,7.182694865674491,8.786864751770906,4.5590207378773275,5.303670346041147,7.538206055787349,5.615870685460143,3.7488222916551615,JE-TMA-41
JE-TMA-41_scene01_cell1592,5.350021643213431,5.450284324132946,10.232465741518778,8.037594825881428,4.627051411814958,7.101868665078298,5.630916740869125,8.680116178589486,4.93554020526728,7.515191147732425,5.744094338908427,2.4315274988256412,0.06437271027061311,5.194588241991937,0.0,6.2325241910614375,4.329129550811238,5.258959270495332,7.24123494758262,9.452540405392762,5.000191071038911,9.860869234871892,7.531417094416819,8.486386792077878,3.9639930320966323,JE-TMA-41
JE-TMA-41_scene01_cell2304,5.550158079584407,8.767156303960983,8.47996542576727,8.72650174591301,5.630619892182767,9.93354658291626,7.2229402391920265,8.764897252246483,6.265419346215882,8.720547057647062,6.153569986936488,3.8720108653321046,5.824354842420133,5.1520010056822425,0.868536639487953,6.25456208062876,3.280829934463022,5.305215935102799,7.297605583651958,9.84418180085974,5.381533319716939,5.290622054339813,7.562140244871689,5.943571489863918,3.889258390262033,JE-TMA-41
JE-TMA-41_scene01_cell3355,5.601452964164263,8.53316744781222,9.846961361898327,7.97621447440029,6.545578365885197,8.177507325649888,7.807308404786365,8.687354626831349,7.881350556148265,7.501445064375505,6.267363470164041,7.255613336545781,5.355671932324257,5.735383618282873,4.865046146950382,6.28459327138079,4.062492413420258,5.233243972910993,7.392804570330226,9.440877138412532,4.316048950634992,4.542601862428373,7.868140368084483,6.0971596130587855,4.455714647333857,JE-TMA-41
