,HER2,Vim,CD20,CD3,CD31,CD4,CD44,CD45,CD68,CD8,PD1,PDPN,aSMA,CK14,CK17,CK19,CK5,CK7,Ecad,DAPI2,ER,Ki67,LamAC,PCNA,pHH3,batch
JE-TMA-41_scene01_cell1608,0.21855417000018673,1.8626778672422448,0.9141443965054604,0.95701850494071,2.2661905763926122,1.7700020977048923,1.2719872366611742,1.7747737606947662,2.3259865164186575,2.102489843480008,1.1780113461327542,1.9236553773762939,1.1644429873791502,0.9246403237089801,0.6804645668014857,-0.46583773396078904,-0.6627824005675536,-0.7441397968580269,-0.1332442207564003,1.7249838985999117,-0.07143234531721863,-0.9345068403172123,-0.7678030230155262,-0.8065060840521616,-1.424863564010026,JE-TMA-41
JE-TMA-41_scene01_cell204,0.34924807899101096,0.43564119012435937,1.258802558867382,1.2400032188990595,1.0869124803217263,1.1943035765031036,0.3150069711223233,0.8444730450870079,0.9255076097561274,-0.6062801283809804,1.223093249955194,1.3842023337753335,1.0307519033521406,1.1759235244349675,0.793951452018476,-1.1624475140543766,1.0888683966180908,-0.42971653464538717,0.20891593005811196,1.1308292780043359,-0.20562653958767704,-0.7627008169693177,-1.8225434579634374,-0.09940601954647756,1.4212098901294956,JE-TMA-41
JE-TMA-41_scene01_cell2297,-2.0484809221633076,1.6674084060309942,0.6985808633356149,1.5977569436628691,1.5898407884202146,1.107297454994801,0.6262363487523797,0.965454418365022,-1.726121846878887,-5.199337582605575,-0.3546005980547142,-0.9938259214153946,-1.098212891599086,-2.479552354060952,-2.0300082565760382,-2.748316442048564,-2.4610733756016137,-2.6941353413497127,-0.4360779200975895,0.8758465523789489,-0.5056004469426874,0.05908010918411774,-1.7769861337633852,-1.0187646002065944,-2.1835780993829452,JE-TMA-41
JE-TMA-41_scene01_cell1231,-1.4277218531535758,0.40878550066437286,1.5251373825156396,1.5369606844679773,1.4104376856743701,1.6522324810346551,0.8864251815684916,1.2360332061205568,-0.7444031337201314,0.8959856246298632,-0.11819931336445978,0.587914801813243,-1.290161354991521,-1.2446807537938493,-1.1594043576121262,-0.6957283312675636,-0.3167652700385404,-0.9856240757030071,-0.46610802709156585,1.1070062673700383,-1.7413421276557588,-1.544463526468741,-1.1933975327621467,-0.6789993349188895,-1.1661829490646665,JE-TMA-41
JE-TMA-41_scene01_cell3042,-1.7479114535777052,1.9676625753568073,0.8654090230313806,1.8807234186149155,1.6517636432939127,3.346254408614377,0.40735928997925197,1.0174733152842719,-0.31483802724006327,2.9728916650937727,0.33021866411972567,2.861990716863855,0.9181591282899131,-0.7603510845639108,-1.2580569011974476,-0.8620113885358776,-0.24590337643283636,-0.9839520859646701,-0.522167948310076,0.9888216674249849,-0.9644668971505032,-0.8668430622735273,0.08262473424531377,-0.8699079383879841,-0.7184520156821204,JE-TMA-41
JE-TMA-41_scene01_cell3099,-0.5795388528136064,1.2137389997506807,1.2303030877914591,0.19744062774868307,1.6147257609102659,1.2586658850850423,1.0611672787450805,1.5427682955415793,0.7748163481512715,0.8409458012926855,-0.02642330249949533,1.8400809923308041,0.5514693177686408,0.2805908036000628,0.7463477094871582,-0.8213813793674037,0.15015293354099,-0.6962243845016057,-0.40414401428343744,1.395830918327113,-1.4028237176197873,-1.1684381433605826,-0.971205946394572,-0.5069465466953283,-0.4254635739189994,JE-TMA-41
JE-TMA-41_scene01_cell127,-0.41077277872770235,0.5284676900978327,1.2743495797860405,1.140045349422434,0.7684938395916772,1.3750738143198247,0.5701569974637165,0.5998123997485806,0.5421060456880921,0.5560751979941391,0.9125165344171633,0.8656946894203672,-1.3400835383410459,-0.19213094744973455,-0.9435575679291595,-1.5110036552051984,0.836179662024171,-0.9407295557792916,0.08167013036484405,1.4492287852591086,-0.30814132470386474,-0.4630883728055968,-1.074954628042326,-0.4520285638532962,-0.8414910316921104,JE-TMA-41
JE-TMA-41_scene01_cell2985,-1.8269899487514305,0.29051284191495624,1.0261390938243284,2.015359821147957,0.9340640397296862,1.889935021258809,0.4634477710461847,1.4160823322230593,0.9617554446720159,-1.4971892973958114,0.4368400349413709,0.6091658557159805,-0.1706427278570561,1.2129519332234737,0.8022058813600691,-1.880415092047671,-0.15477669551000983,-0.5408903660440129,-1.6047439766701428,0.0738946254227815,-0.9372984859537632,-1.03017623730289,-1.0981903258981345,-0.9656164429950482,-1.2213482660440498,JE-TMA-41
JE-TMA-41_scene01_cell1592,-1.763651262760385,-0.07162439411430534,1.5713233053180828,0.7369259363434827,-0.10551635050572122,0.9280783112039529,-0.38516772785160813,1.4249663047150487,-0.8044362050034597,1.4001136537582912,-0.5205373012164137,-1.0886170672198086,-1.983088524588735,-0.5802885719275657,-5.199337582605575,-1.265502385321327,-0.26026591051108966,-0.6989978626637394,-0.8159931381163017,1.5211101356147074,-0.4951172773212378,1.252417946139393,-1.126080693445759,0.8089935663809485,-1.0576979103841775,JE-TMA-41
JE-TMA-41_scene01_cell2304,-0.7207455929869209,1.6575966974660075,0.8581366417311631,2.171368127984856,1.2812955497138274,2.895830581193826,0.800069726266725,1.6006428804810278,0.8864693040285474,2.4524723574329452,0.02884818990133171,-0.24958911486865235,0.8990909975210871,-0.9033669155718792,-1.18823201060693,-0.8957275094079886,-1.5333295239218399,-0.605747093011356,-0.4302285485253678,2.547675774068674,-0.17882147216683503,-1.0373620330125455,-1.014725016068669,-0.761238765070396,-1.1141821952672264,JE-TMA-41
