,HER2,Vim,CD20,CD3,CD31,CD4,CD44,CD45,CD68,CD8,PD1,PDPN,aSMA,CK14,CK17,CK19,CK5,CK7,Ecad,DAPI2,ER,Ki67,LamAC,PCNA,pHH3,batch
JE-TMA-41_scene01_cell1608,-0.32657584981668764,1.709563616127252,0.3342691746643544,0.4988016607338165,3.5324744329530797,2.5915392595895486,1.7091518389659148,2.3507501402107476,2.005895155899552,2.1200804371843813,0.7639828643353213,1.9964749240420532,1.1721638549026583,-0.06834140359955879,0.2583853552883608,-1.0197981342990163,-0.4608418793377964,-1.0777440210819162,-0.6237909262509075,1.8220801269143572,-0.13409881459871606,-1.1257579606839034,-0.9158476637717803,-0.7495263011131116,-1.1992660853813693,JE-TMA-41
JE-TMA-41_scene01_cell204,-0.16941104293349862,0.6247301229783832,1.7516633620847184,0.7170553489445127,0.8050087840377766,1.286938484745092,0.13904291053127646,0.5971651473517268,0.7236204558341931,-0.31018205578207947,0.7893698432556837,1.3021168023847427,0.8787779500869278,0.311626433665374,0.8408886759353944,-1.1479382974715566,0.6947615154307298,-0.9467269036569341,-0.039322562343741284,1.201334269019189,-0.26908011212580674,-0.9833076044223111,-1.7419427581742533,0.0019346944262906831,0.9680771480868844,JE-TMA-41
JE-TMA-41_scene01_cell2297,-0.9300696154937109,1.6185593246144376,-0.2746912272484895,1.4322661599498485,1.6259520679829944,1.0097346939865395,0.5073230536690321,0.7977313191589617,-1.8013638070266493,-13.217558401180337,-0.083028982026552,-0.9196868880617107,-0.9285827479738384,-0.901119935738383,-1.4417302422485079,-1.1853113927500185,-2.612945942606899,-1.2776935827507065,-0.843955119674841,0.8737948307771103,-0.5511571330568902,0.2456397216227749,-1.733335796868439,-0.9603959440669989,-2.9595348180815115,JE-TMA-41
JE-TMA-41_scene01_cell1231,-0.8038376542870044,0.5893804330853626,2.42982647032026,1.275224796546244,1.358285844667667,2.3438280095495596,0.8416222103919115,1.2168086136493963,-0.5125711743107154,0.5087316785938689,0.08815753729231252,0.5582370508503327,-1.2385997006062202,-0.45847843207469985,-1.0757786091041277,-1.1029932769739392,-0.33097229458612887,-1.1243199155793335,-0.8503431724244122,1.181892321463755,-1.522433963384094,-1.590572595931627,-1.566781955485795,-0.6222019638475016,-0.8467198777986834,JE-TMA-41
JE-TMA-41_scene01_cell3042,-0.8757145734162477,1.766621260594893,0.10539618574962062,2.5180133362625625,1.76897048345442,4.35180264968786,0.24231786143943912,0.8565063426713189,-0.1414206067338737,3.8218535967592207,0.3613326746838921,2.777405456588751,0.7376903445394171,-0.4003039081471393,-1.1803527479754545,-1.128103316713044,-0.30438469946430635,-1.124232981670718,-0.8611773997929391,1.003351055636866,-0.9123503677747418,-1.0770205547540785,0.23106548335808552,-0.8166889792087648,-0.411778363433326,JE-TMA-41
JE-TMA-41_scene01_cell3099,-0.6751358839086661,1.3505894948451171,1.6235686377243672,-0.02259561712318312,1.6464275612270756,1.4431215928678247,1.178861923646261,1.7868160716426948,0.6319097687269155,0.48844376183546756,0.15059475674910325,1.882512152635057,0.3261110591713612,-0.23939979424328298,0.4975096499737316,-1.1223552268917727,-0.13528149442622384,-1.064805930376812,-0.8393608417446622,1.493715213759605,-1.2722091682790884,-1.291781262604932,-1.3863284224831225,-0.47580366766623666,-0.17308309914112135,JE-TMA-41
JE-TMA-41_scene01_cell127,-0.6383268450540255,0.7400736397948922,1.817882139069785,0.63360562526864,0.4344495602254985,1.7240304088875724,0.439090259395668,0.3066117071575261,0.4805814349055681,0.3605615330678924,0.6330955559171305,0.7937264883500926,-1.3258349085867323,-0.32216434630385704,-0.8081218990652607,-1.158469836493095,0.24772343233660826,-1.1178478819296733,-0.23428691387135508,1.5448894425151036,-0.3717846328621231,-0.46684555412272455,-1.500935819199701,-0.4177899120400101,-0.5074598329306571,JE-TMA-41
JE-TMA-41_scene01_cell2985,-0.884613222323716,0.3812348601959945,0.7261526714863243,3.089034393257061,0.5838864571823282,2.8172865216373006,0.30907683722464635,1.5194642725055183,0.747758316182108,-1.0285990455854166,0.40659794039291625,0.5726372058153023,-0.16253498284883344,0.5453754476716689,0.9049945526301102,-1.1692583957648401,-0.2740965702328113,-1.0116821098364266,-0.9674567240240258,0.019112981039582887,-0.8956501489944799,-1.1990305353159798,-1.5132690667881217,-0.9193283592640239,-0.9020400274483008,JE-TMA-41
JE-TMA-41_scene01_cell1592,-0.8785078135476045,-0.41550005728245876,2.5068457865481757,0.3098744439953677,-0.16081325259235377,0.4676990725894121,-0.6421841917023737,1.5400844583038489,-0.5716561188044279,0.7623403278674926,-0.22110583435811218,-1.036319099100135,-2.1122663307176124,-0.3759072049771055,-1.4491844782645582,-1.151554055093036,-0.3098867641018776,-1.0656818741637821,-0.9036633235641282,1.6045128137194122,-0.5436945098380594,1.167545812086704,-1.5316468391984022,0.8903218529492657,-0.7023977398821921,JE-TMA-41
JE-TMA-41_scene01_cell2304,-0.7019906465246244,1.6133120042132907,0.08269330310204591,4.105134458804314,1.2028489356080478,4.168675466045574,0.7445524132597372,1.9837509715599249,0.6908910776411723,3.004565871012904,0.18301693641365022,-0.17666492359052643,0.7116870512582786,-0.4171122293606394,-1.1047326557873167,-1.131748593714758,-0.963165068203531,-1.0404185925354252,-0.8422340524777991,2.5372616674074817,-0.23946835322189444,-1.20580657894885,-1.4484790266317622,-0.7127369979180311,-0.7717389283062358,JE-TMA-41
