,HER2,Vim,CD20,CD3,CD31,CD4,CD44,CD45,CD68,CD8,PD1,PDPN,aSMA,CK14,CK17,CK19,CK5,CK7,Ecad,DAPI2,ER,Ki67,LamAC,PCNA,pHH3,batch
JE-TMA-41_scene01_cell1608,-0.29002846467110677,1.6580663024112112,0.0,1.0,2.5814443715970503,1.9520685807097369,1.502342158022407,0.0,2.5855853799141415,2.8497271089328056,0.7948726764589873,2.0422477694750727,1.1731379798839892,0.00309540922243917,0.4572157367728707,-1.0385226525569675,-0.41837646351040647,-1.1065887941213868,-0.5182733288167245,1.7670741203501446,-0.1361169567152686,-1.1486949619862032,-0.9436058226840971,-0.8737004248575527,-1.232156806327474,JE-TMA-41
JE-TMA-41_scene01_cell204,-0.12579004016526174,0.6454698585086265,0.0,1.0,0.9438399527821416,1.4509915416754284,0.3963499477452722,0.0,0.7607518527932735,-0.43661347274912043,0.8261119677698202,1.3305361426161355,0.9004073483598686,0.4207738914802556,0.9438254819699377,-1.202350572617097,0.7840082692495618,-0.940889501523249,0.26499115327189243,1.1919811608150555,-0.2723324927537789,-1.0265645996762809,-1.6242542863701779,-0.11765193931467066,0.993731556570847,JE-TMA-41
JE-TMA-41_scene01_cell2297,-0.9466720334494406,1.5753966255899436,0.0,1.0,1.567508119487914,1.2837289223433404,0.7315029321583888,0.0,-1.772300156201923,-6.106698765649912,-0.18134767857783232,-0.9510249254807904,-0.9428137643404801,-1.017293223018475,-2.0867374902579696,-1.2511194372541314,-3.5830298047598204,-1.3713637488765245,-0.9012530336350242,0.8812795122001309,-0.5569507901029817,0.1766992865047512,-1.6176265588854228,-1.061395330141213,-2.7691906430977147,JE-TMA-41
JE-TMA-41_scene01_cell1231,-0.8057419661907599,0.6113961386385345,0.0,1.0,1.3801452923468454,1.883487406409827,0.9885482661445564,0.0,-0.6577849384672456,0.5670170188735865,0.005562882003655085,0.560515103599162,-1.2705303226827416,-0.4555121507553546,-1.1996680731593234,-1.1442979968350657,-0.2688291143841219,-1.166942768147065,-0.9132471141195,1.173681328140915,-1.5309842902730177,-1.519138034556013,-1.4874974181103935,-0.755142465432504,-0.8848407818670635,JE-TMA-41
JE-TMA-41_scene01_cell3042,-0.8857460454478046,1.7097036912857788,0.0,1.0,1.6620489141064412,2.24881338771711,0.49656883430231846,0.0,-0.26738538707993414,5.731059888110937,0.3147624466345499,2.8338071820685347,0.7666191924418537,-0.38506978933414243,-1.387096060649124,-1.1766512594317342,-0.23871355349460113,-1.1668293884247845,-0.9337103385982647,1.0047900259974551,-0.9208457584339527,-1.107346606700337,0.16204339708749968,-0.9346563247326288,-0.44602233772466454,JE-TMA-41
JE-TMA-41_scene01_cell3099,-0.6640565302095437,1.3296825565642072,0.0,1.0,1.5812723547958765,1.5332785908919908,1.2111989675211745,0.0,0.6439603118210343,0.5409103075147299,0.07505096970608742,1.925954455404696,0.36590569219394153,-0.1940578246449427,0.6699402522289325,-1.1692273204807764,-0.05102709492943149,-1.0899608853880176,-0.8926594615482684,1.4650568782825137,-1.281782988074267,-1.286061242790218,-1.3424271748503267,-0.6139881275792471,-0.20138397804507527,JE-TMA-41
JE-TMA-41_scene01_cell127,-0.623897733215998,0.7561410944923646,0.0,1.0,0.6081196939741187,1.6629777861147383,0.673875750378129,0.0,0.45527399216559705,0.3778184355031502,0.63563270714525,0.804942466191927,-1.3613666749789728,-0.2916175404150396,-0.787755079230302,-1.2160474190471022,0.3509332201889951,-1.1585094075895463,0.03579035206478238,1.512446219989921,-0.37597778316786046,-0.5524420313435167,-1.4350586098114224,-0.556626541265381,-0.543386286036593,JE-TMA-41
JE-TMA-41_scene01_cell2985,-0.8956952406220169,0.4092389890738045,0.0,1.0,0.7481747714893068,2.0069352078008573,0.5586550207205923,0.0,0.7917967133507023,-1.234393846007732,0.3672904751092565,0.5754732047688498,-0.13063399447752452,0.6649179435955856,0.9913885262220382,-1.2301158494334408,-0.20460999509432803,-1.0223018088231226,-1.1428015131762788,0.04554798638040658,-0.9040464445324312,-1.2099905777581268,-1.4449237991527404,-1.0256908222882615,-0.9398936072731162,JE-TMA-41
JE-TMA-41_scene01_cell1592,-0.8888679880330841,-0.390492326326499,0.0,1.0,-0.021958399099161613,0.8565281148092411,-0.5678449127946334,0.0,-0.7170987018488815,0.898779454321794,-0.3282437500187565,-1.0635155918892085,-2.264090435501833,-0.355749957970151,-2.1183828385849686,-1.207049017548029,-0.24493194052951597,-1.091084771141246,-1.0154501784295442,1.5675091647868706,-0.5494235382533201,1.2387781822171693,-1.4595869348715167,0.9490272506507489,-0.7403536176153559,JE-TMA-41
JE-TMA-41_scene01_cell2304,-0.6934564204818656,1.5706181113640125,0.0,1.0,1.2646244922964174,2.228699690182508,0.917970106712367,0.0,0.7188605362446904,4.284878179907744,0.11141135860306456,-0.20182453374915196,0.7417671772782806,-0.4053458139973949,-1.249294710710473,-1.1813647980649398,-1.0371046974399398,-1.0587788326760896,-0.8980306033609547,2.4084707031552166,-0.24244895197679514,-1.2156058571099386,-1.3928757555144102,-0.8398471174664757,-0.8099250110444076,JE-TMA-41
JE-TMA-41_scene01_cell3355,-0.6439767870680274,1.4397786288136258,0.0,1.0,2.0637162541401595,1.7236427889322667,1.2562353159918835,0.0,2.9330934305171983,0.8648723078788744,0.23881960031015798,1.8851853413076198,0.5194579341533747,0.24347042326951318,0.65522866022006,-1.1465672024013875,-0.4361580029287188,-1.1091417686399097,-0.7106455358552991,1.541876218805783,-1.0987998058457489,-1.5218942460565532,-0.6771465677996354,-0.7491829809527812,-0.27653259168215133,JE-TMA-41
JE-TMA-41_scene01_cell1292,-0.6498066172532949,0.7666400941632256,0.0,1.0,1.5072429260904594,2.1587154648649385,1.1047321077887509,0.0,-0.24615410169363902,1.0902807480473329,0.7056057303342054,0.4944482161980793,-0.38751054252177425,-0.3247364642471769,-0.4562125083568501,-1.1715320350077825,-0.10233394178771134,-1.1293892075757928,-0.9471748978194131,1.1738144278019869,-1.0018073420976463,-1.542166910070575,-1.5696280203560458,-0.5335525428650197,-0.18341479651953105,JE-TMA-41
JE-TMA-41_scene01_cell1784,-0.7800470160188856,1.1479027850192365,0.0,1.0,0.119808300926572,2.192047610619505,1.0704556361581101,0.0,-0.21754255637682782,3.8752230546901267,-0.738850697665444,0.8116238975545133,0.08298682912824135,-0.4026069872469752,-0.9125758398769336,-1.1905626434144443,-1.1198973042838518,-1.0502973040790122,-1.025227088006641,1.2594817981095172,-0.7646529900044132,-1.1890330864387926,-1.5001036731860982,-1.3825259439035058,-1.6843252837180254,JE-TMA-41
JE-TMA-41_scene01_cell2440,-0.7755365879679544,1.1875773418947242,0.0,1.0,-0.25670837667373947,1.9310173749101738,-0.3454525288549496,-1.3991374644301184,-1.4722737741228868,0.7547828503196735,-0.4668798271379679,0.1703642866502434,0.5996902286979541,-0.2545908041570549,-0.12267272589741182,-1.2512314561062319,-0.36328280380316064,-1.1105149171603457,-1.2179912751559037,0.8356757777409132,-0.4661185810870532,-1.2608040703760786,-1.740208342000897,-1.0305081997017609,-0.22830091687450974,JE-TMA-41
JE-TMA-41_scene01_cell2353,-0.5564103012755036,1.3318623718086393,0.0,1.0,0.9284855789038691,2.151708358904998,0.9232185824397339,1.3991374644301184,-0.3593479550851154,3.126622218907511,0.45416502374260803,0.4288718903884311,0.6093566969820343,-0.33046178454311265,-0.14948494796049008,-1.2124234319988643,-0.4089468106676773,-0.9621561881565482,-1.0328899312760937,1.8189118083041025,-0.2754897464800209,-1.229365028975839,-1.4013140189097288,-0.7293769282244168,-0.2457509765522531,JE-TMA-41
JE-TMA-41_scene01_cell2415,-0.7743680602256758,1.3054697588789814,0.0,1.0,1.7928617897326786,2.0930962398545567,0.8801946436632582,0.0,0.1919095580181279,2.8657864072043457,1.71456219405456,1.3457253708625079,0.7832792279714758,-0.4021001474173435,-0.9080133377720134,-1.1945552723777115,-1.5441557867652829,-0.9808315002855421,-0.7863555364315584,1.605009610340751,-0.21120501064203145,-1.048821948410967,-1.3327786357761278,-0.7655511522754067,-0.553944265794164,JE-TMA-41
JE-TMA-41_scene01_cell3112,-0.7660718061303909,1.216820712086679,0.0,1.0,2.3464438216112127,1.863177689421619,0.9926488762715704,0.0,1.8494561624290191,1.387548125076112,0.34744413713061095,1.1536104319272695,-1.5043380630845866,-0.22436015184169977,0.35221969242425544,-1.144998313116306,-0.6944134961037688,-1.1530235288417656,-0.8178010512980318,0.8468534210591298,-1.677793118746852,-1.9338979735969433,-1.567555935631598,-1.4021598980285532,-1.3875510178775865,JE-TMA-41
JE-TMA-41_scene01_cell512,-0.768572071716521,0.6783639490124654,0.0,1.0,0.4146632956079334,1.413369421846305,0.6093165181375382,0.0,-0.4369367147713242,0.29048966813544436,-0.8332092296787805,0.36561221028063184,-0.40568852585404963,-0.3931576056090836,-0.32600055868722777,-1.2356139286263161,0.22922646084858314,-0.9957846140843286,-0.7750953666993761,1.2011019112163672,-0.7531229288152601,0.583029942821728,-1.5147689091175398,-0.438702360098815,-1.1156241651500145,JE-TMA-41
JE-TMA-41_scene01_cell84,-0.7127512218619122,-0.6848223317966889,0.0,1.0,0.5151964092568352,1.7187556028203508,-0.6009588633978684,0.0,-0.8814761101114015,0.02776243951614491,2.868471589268569,-0.5965395074609021,-2.319940166399867,-0.5489678962580967,-0.7894959277320464,-1.116863545489134,0.0722274326218122,-1.166479297172072,-0.38492328769998413,0.766585065586752,-1.3402410638429874,1.318176401511888,-1.6118480626183251,0.14104389017683178,0.8667215139889614,JE-TMA-41
JE-TMA-41_scene01_cell2548,-0.912236355485997,0.746254521606173,0.0,1.0,-0.40915604878727035,0.6595783684824392,-1.1609594062914304,-2.798274928860237,-1.9327900512805318,-1.5305177282427775,-2.4984371969326995,-0.7627740644318434,-0.40410374428237567,-0.4522813309663887,-0.25120252412299926,-1.1975012956753175,-0.30997538484623066,-0.9809760004885052,-1.3067767153603123,0.6301415624267078,-0.3822275993925189,-1.2634399280051023,-1.6032143416049014,-1.398093368172695,-0.5866733222450834,JE-TMA-41
JE-TMA-41_scene01_cell1800,-0.6574809511052673,0.8948915831066997,0.0,1.0,1.2685279900090813,1.3648058721302652,0.3613321336509514,0.0,-0.7492686537441795,1.7962371882051649,0.4455154032894658,0.5852106280514981,0.857383887942429,-0.12016974021576644,-0.062397318016900905,-1.231864914423267,-0.19712235237255352,-1.1171591941581342,-1.0366937229107853,1.7212842872753338,-0.5480335268264598,0.2677397920824125,-1.08077844575053,-0.5519379284205177,-0.5359574493613052,JE-TMA-41
JE-TMA-41_scene01_cell1197,-1.0157538419923064,1.014809614015672,0.0,1.0,0.6785749438511869,2.062509345961749,0.945652323994376,0.0,-2.4079012747074766,-0.10340554238681872,-0.12013556597928547,-0.803872266016683,-1.5795461760413207,-0.917219565877794,-2.1183828385849686,-1.1674546016812497,-1.0742588986524764,-1.3667106820160748,-0.9725547875732604,0.5357362382944918,-3.012947848355787,0.08965980038837013,-1.6414983652879764,-1.9223061182067602,-3.7026394199369106,JE-TMA-41
JE-TMA-41_scene01_cell2582,-0.6369697832053126,0.9058204015256425,0.0,1.0,0.36177063985215463,2.050618355228449,-0.063537704039804,0.0,-0.7625745741613953,1.5555416348024877,-0.8082351482577951,0.6506327451637396,-0.20748008539980917,-0.555485226239964,0.13872216540870935,-1.1860756706627456,-0.2275686751288785,-1.1386958070284976,-1.1482519311136146,0.770824731174808,-0.3640872128504688,-0.7178541898847504,-1.4065243291121092,-1.7044173785596965,-2.0145848257850494,JE-TMA-41
JE-TMA-41_scene01_cell1716,-0.5102171705302517,1.079969435388418,0.0,1.0,2.184274854982872,2.090124457103253,0.9750277997065684,0.0,0.39015893420159503,5.226367082820847,0.4508265807541317,0.8592830193484785,0.40754439666056735,-0.4411772752908091,0.506357797640941,-1.1579511495408408,0.18367861304687322,-1.165169640873864,-1.0244510472478534,0.057026147193232415,-0.7513014873524085,-1.5440271534791075,-1.6730400448762819,-0.4264012434517328,0.554284866592162,JE-TMA-41
JE-TMA-41_scene01_cell2857,-0.9710339310781616,1.4170702981362733,0.0,1.0,2.068427604456093,1.180011119377653,0.23837065886634023,-1.3991374644301184,-0.8271956689061111,-0.821631289908752,0.5519062490776968,0.42647362533329564,1.5252180349253004,-0.24791865591372628,0.3747921483441594,-1.2429104722120712,0.032410950982252586,-1.0539004500630487,-1.1347634925110008,1.5615514626191633,-0.5571685173500668,-0.9958690687467345,-1.008760522744037,-1.0794855669338144,-1.1541634692130502,JE-TMA-41
JE-TMA-41_scene01_cell26,-1.023042912498126,-0.4949994388964215,0.0,1.0,-0.5300104364406898,-0.8294130394409671,-1.3487036821041383,-2.798274928860237,-2.0727481798169145,-3.9333719961828333,0.8623042392055528,-1.6832529363833586,-0.806968049771209,0.11875217651394127,0.2497292911243337,-1.2642066653272919,-0.15078601761779534,-1.1544933105411057,-1.1627349108863145,-0.48522626984055006,-1.0628330705167037,-1.3004443754670223,-1.8715013251698431,-1.104323358401099,-0.2681990771000602,JE-TMA-41
JE-TMA-41_scene01_cell2492,-0.7677843207892887,1.1239474417544288,0.0,1.0,1.0981207202070338,2.0859742552079212,0.6988634436427155,0.0,-1.2998743699070507,-0.3668442368580164,-0.9617234393492913,0.09322144107750988,0.2060518888152898,-0.30760802250657315,-0.282902108424971,-1.2177509469918286,-0.44824212689281545,-0.9403248092622356,-1.1671609926918,2.14069691943564,-0.16525897329163414,-1.208745216554892,-1.3822935134419425,-0.9817706315715296,-0.7999855104079033,JE-TMA-41
JE-TMA-41_scene01_cell1611,-0.7703334661913278,1.0091760440694868,0.0,1.0,1.3030212763644362,1.9894626342573167,0.9296238119142591,0.0,2.233380685256124,0.636032633319219,0.6655100347256206,-0.5461130378565818,-1.0270718838560813,-0.4418461362729818,-1.8440743101468182,-1.1944480431026103,-0.35557375294073296,-1.3091406260510348,-0.9810825855744545,1.9897664876302747,-0.7267208209328849,-1.0688371576773898,-1.5599230260761598,-0.6782905335787127,-0.5050987447112375,JE-TMA-41
JE-TMA-41_scene01_cell499,-0.491597038327115,0.9745991726700952,0.0,1.0,0.57328160254959,1.9326598514887103,0.939865824799787,0.0,0.48849931008291686,0.616837390151354,0.21158809031471074,1.1967687166552863,0.10505185603833071,-0.3457171048578881,0.08090420519907553,-1.2003270595246938,0.3456273360624249,-0.9507724999343428,0.16749482809479682,1.6978776399108053,-0.5544031442722076,-0.7819587636737644,-1.2624483146772756,-0.44035381616289765,0.403933685258523,JE-TMA-41
JE-TMA-41_scene01_cell3037,-0.6029524072063324,1.5333602640776167,0.0,1.0,1.7562044910627748,1.971785629935521,1.2851277457185897,1.3991374644301184,-0.00013416613607542885,0.6165041826888992,0.22383006459661445,2.467268265570894,0.6896794330981865,-0.1183179962457793,0.7536994772765471,-1.1443878196888722,0.03607254528804519,-1.0554460668624208,-0.875979134006663,1.468893191082915,-1.4289259667141863,-1.8324356043913888,-1.5079599234854175,-0.6566054857807121,-0.21216292262697076,JE-TMA-41
JE-TMA-41_scene01_cell3614,-0.6683847941209896,1.923047508439878,0.0,1.0,0.9478846793778142,1.9876631381444858,1.0248570475883165,0.0,1.8455646595644075,0.6890832179355787,1.2117887254499093,0.6039357804094139,0.9717182632539187,2.7209481753983873,1.4609802185571799,-0.24085035004068037,2.701304299319791,-0.5259510066590362,1.2984606262928453,0.6515206020794851,-1.5715843045907358,-0.4372563123410441,-1.291175748487859,-0.4285023701107275,-0.44596628301016344,JE-TMA-41
JE-TMA-41_scene01_cell2893,-0.9419425995988707,1.5999113556714182,0.0,1.0,0.8649165735880754,1.4603729805243224,0.34847311156872657,0.0,-1.3620483288503396,0.06833324365470173,0.3571806072343424,0.272058980758346,0.9582224404281804,-0.19778632265096163,0.39173747582485474,-1.2258388641345541,0.0016574553555208941,-1.0911366108506941,-1.095032055908066,1.3098975742437482,-0.204252707467535,-1.3014675220306942,-0.5491767302464172,-0.9646802439053739,-0.9715289474954016,JE-TMA-41
JE-TMA-41_scene01_cell2399,-0.7555403141036843,1.4521845162807594,0.0,1.0,1.0670571735632788,1.990034021367865,0.5896581545647522,0.0,0.6049740213167356,0.7929218158367947,-0.9288653507600886,-0.12003513216153308,0.7456687098296538,-0.31110016735106216,-0.5562396669859796,-1.213335772387802,-1.2626505922320015,-0.9578987071411861,-1.0310401485866734,2.2300367107743724,-0.3416024536192994,-1.1522090900408606,-1.3683784030205788,-0.9299502229841892,-1.167245849074471,JE-TMA-41
JE-TMA-41_scene01_cell700,-0.6087261185755106,-0.31902013617952973,0.0,1.0,1.0831863427554471,1.7543911800740275,0.2989869614558094,0.0,0.15682037280808744,0.8039885134165812,2.3479211619129767,0.612158514947418,-0.8368832534068907,-0.2729272296241003,-0.04867493953364549,-1.1677364678384756,0.09944113635327259,-1.15730563502732,-0.1900493033702361,1.387127945370791,-0.769447804707179,0.7322814661830034,-1.6146764114797243,0.17221862255572448,-0.0909173371516701,JE-TMA-41
JE-TMA-41_scene01_cell2951,-0.5152417152019686,1.0498575213067047,0.0,1.0,1.3393086574142012,-0.10982674669342041,0.7216479817368325,0.0,-0.302687163312085,0.7915828369240921,-0.11287246675307169,1.9207364414637793,-1.878140361205521,-0.45776531100679607,-1.1950901422800808,-1.1265654410578787,-1.5197519250420444,-0.9900437995213857,-0.8776214080323641,1.7181915840077977,-0.914922618610434,-1.1019101385289347,-1.6012530535087535,-0.7494070704724088,-0.02017692225044161,JE-TMA-41
JE-TMA-41_scene01_cell1938,-0.9377108285890189,0.9428097677440493,0.0,1.0,2.091405613252313,1.2330121051075178,0.8410579134001207,0.0,-1.5440132036648397,2.35860095104515,-0.024637537548357003,1.918831362825783,-0.014884199335974775,-0.30859775198450795,-1.5657698705915415,-1.2404216871704303,-0.7320759391783324,-1.1538398173042073,-1.1159438534354127,1.6442498259122926,-0.6247787942610872,-1.102453738362534,-1.5560084823006801,-0.8728813534717523,-0.4397219278261202,JE-TMA-41
JE-TMA-41_scene01_cell3506,-0.7749843603611689,1.3218368374864082,0.0,1.0,1.4453652627279763,1.7232440299458536,0.9770787832443217,0.0,0.5398208324007794,-0.48583793137860826,-0.26942085660353887,1.127071035511394,0.5265723990567889,-0.06342390953647298,0.5102056303628261,-1.2148945577295602,-0.19768007734665421,-1.0694029433183383,-0.9770405219438284,1.7842329093199243,-1.1503705550045318,-1.920954775394941,-1.5246483826827377,-0.9239441237473695,-0.04777818419517157,JE-TMA-41
JE-TMA-41_scene01_cell3118,0.5387357472756668,0.910819466157424,0.0,1.0,1.5366160830805624,2.0418239116191415,1.035165530581013,1.3991374644301184,0.05038908599991721,0.9537409747089669,2.430212941110333,2.4506601504756764,0.14567530715672325,-0.26762687177943395,0.6013866380509149,-1.1808379924123598,-0.19494835949796935,-1.0699401231730954,-0.8703430505318871,3.4871082500164947,0.772747959681991,-1.563291384373806,-1.5565450898589053,0.925168599149134,0.11182783635709814,JE-TMA-41
JE-TMA-41_scene01_cell548,-0.8194106110218752,-0.023370636324775658,0.0,1.0,0.9186673478269369,1.568627721844857,-0.12359739045187369,0.0,0.6354488151036266,0.1460733436522554,2.4407365391987343,0.3495895215727113,-1.6895252757169001,-0.2827131697157667,-0.47992593485627166,-1.2102644762448553,0.11737032127086255,-1.197604558375705,-0.6749138152982589,1.4589374525640157,-1.091591169280649,1.0915168305768432,-1.6818343201628438,0.5406670551571447,0.24146686356348107,JE-TMA-41
