,HER2,Vim,CD20,CD3,CD31,CD4,CD44,CD45,CD68,CD8,PD1,PDPN,aSMA,CK14,CK17,CK19,CK5,CK7,Ecad,DAPI2,ER,Ki67,LamAC,PCNA,pHH3,batch
JE-TMA-41_scene01_cell1608,0.029385208704863924,0.32294747319637024,0.07959041784216143,0.3208861832470505,0.15904239080322857,0.2561847635671058,0.2483574405142321,0.5010587733156946,0.1952832571787108,0.268223402463711,0.060493176439191,0.1907137445234272,0.028693480914811397,0.004548173817971396,0.0038600992130325487,0.015086372154605268,0.0012134750340771733,0.0023008830822376027,0.054547334308846736,0.43644212219677014,0.03211301169746024,0.003180212574167415,0.27207848784913496,0.01728170292285259,0.0011264660757336507,JE-TMA-41
JE-TMA-41_scene01_cell204,0.035088127326015364,0.05488352836000795,0.2217062264596144,0.33384578705848883,0.021545851933282748,0.09447002664167135,0.041048879078315406,0.3584335710040632,0.05072933859891385,0.0727328065586508,0.06206573681960534,0.05971978453547987,0.01580201991614481,0.006718361137769904,0.016431677266385652,0.013088384494081076,0.0075408514964607895,0.0029181422223008664,0.09321861085227483,0.336319111300468,0.027154195793790532,0.004175394518052288,0.20058252457092338,0.056700599398196355,0.011016411192975507,JE-TMA-41
JE-TMA-41_scene01_cell2297,0.014897279159945036,0.2783142655222642,0.051256750392516745,0.3800981838111307,0.039253258452916155,0.07643166255980825,0.06258700740249462,0.3724320562601501,0.0037199294534319416,0.00014076961878805178,0.02572562928753859,0.0016383303082095097,0.00045771674717011776,0.0019441182839743632,0.00010335030955920431,0.012557330782563882,6.612583553507562e-05,0.001602876117687964,0.04457987927368355,0.2931138235224902,0.01914293981847688,0.04424817596253402,0.20122055508046333,0.012395680027550147,0.0002200879443908516,JE-TMA-41
JE-TMA-41_scene01_cell1231,0.01716680283361323,0.05180640116491227,0.36197374863098664,0.3694217838932135,0.03227145466561185,0.21196869783849515,0.0918113490108464,0.40347186990813483,0.013930685366113915,0.11288031311179496,0.0305713092663009,0.017317804022305455,0.00027045583607937816,0.0030509433902889695,0.00021170812649637743,0.013756982036321705,0.0014856429805406991,0.002114766364729164,0.04431966904958513,0.3335853347126833,0.005843984748344419,0.0013153547870138104,0.21397511207263656,0.02112811018336847,0.0016162756246543776,JE-TMA-41
JE-TMA-41_scene01_cell3042,0.015834858068799695,0.35451427383647927,0.06745738534921399,0.462856805207452,0.04358730600925396,0.984826490354562,0.0462009920010516,0.376636932853967,0.020506482831888627,0.6693652752292564,0.04027499070470035,0.7052466906102004,0.01186691579913629,0.0032377675650801466,0.00017559645387785474,0.013379329829991604,0.001548702619409379,0.0021150991769681524,0.0438818212473839,0.3094967587432768,0.012265273796943916,0.003490464971000038,0.41549848318800525,0.015544901027252311,0.002542517978664476,JE-TMA-41
JE-TMA-41_scene01_cell3099,0.019840594916158378,0.17961597443502694,0.20209973708509377,0.29192752481869105,0.039846124856685664,0.10645068972803429,0.13516291935743327,0.4498855800260554,0.04607512184558153,0.111657432741748,0.03255858883591758,0.157596912498177,0.0051630643354410866,0.0038170193850495535,0.006971290124673592,0.013464851567476732,0.00201934468328972,0.0023554631289464923,0.04476796733218461,0.3802403326331367,0.00790424115907907,0.002317408795901468,0.22870921820523885,0.02662603465552066,0.003268544415738801,JE-TMA-41
JE-TMA-41_scene01_cell127,0.0206798459977476,0.06625544030870571,0.2325764871166412,0.3288299406503247,0.016451874217073205,0.13195473608523273,0.057880449776329224,0.3390827436528866,0.03931353810163286,0.1042487008137266,0.05299740767409536,0.025595889702811632,0.00023528434722184323,0.003507054329119261,0.0003467611170468009,0.01293649493703414,0.0037003723318005622,0.002139688881241124,0.07795759356174141,0.3884975959308395,0.023904946552836013,0.011241643834432458,0.2192380176233892,0.02918332324743353,0.0023000226501830043,JE-TMA-41
JE-TMA-41_scene01_cell2985,0.01567738141890064,0.0368881885320068,0.10564811925168771,0.5133847587358601,0.018340720860692702,0.30446935237484785,0.049871617509072014,0.4274859866205681,0.05203090361172178,0.049476759983650906,0.04215853947750343,0.017735712005918895,0.001946913654762699,0.008544373461892098,0.019296717636093242,0.012782733209237049,0.0016238937002202554,0.0025936284070713737,0.03980982214854999,0.2047501294825918,0.01251935819217431,0.0027652790490489596,0.21824248608409194,0.01322363880072873,0.001526610033034624,JE-TMA-41
JE-TMA-41_scene01_cell1592,0.015785255769296725,0.010089815804373273,0.3826984691199807,0.31007512835659934,0.010688200304305215,0.05051319986647189,0.016812133964248528,0.42917317860270915,0.013101247369044474,0.12934741646847653,0.022385435052663025,0.0013814420647226947,7.039414294927773e-05,0.0033195213410605363,0.0001014434772795142,0.013036035999649257,0.0015354313861906368,0.002351726969481112,0.0422062181298477,0.3983446510434051,0.019320450498444337,0.2610134153005246,0.21676743396607245,0.23175824439206266,0.0018769682078324298,JE-TMA-41
JE-TMA-41_scene01_cell2304,0.019250026488000425,0.27593762049745335,0.06635971410043916,0.6173277359908397,0.028805285688341013,0.8560806066524644,0.0821420340419578,0.46713298336239134,0.04901653474518935,0.431425809205061,0.03364120827422604,0.005199825603057613,0.011257317882717312,0.0031826299637893823,0.00020105363870457935,0.013325377100569948,0.0005631833699031356,0.0024619248720617612,0.04465024626447582,0.5892839310366822,0.028171372074481327,0.0027297825597492717,0.22352333474009983,0.018314476828423968,0.0017466561897507365,JE-TMA-41
JE-TMA-41_scene01_cell3355,0.02025543202345278,0.21838685562034035,0.2602849149177953,0.29162686630245427,0.0716110773405257,0.14793748934386713,0.14725611228373303,0.43228993782219877,0.24593146229715504,0.1275834814434092,0.03767853891227402,0.1474169463351159,0.007069772804692554,0.005674841472672834,0.006678491317182878,0.013730071118642764,0.0011851553948585601,0.002292633955573803,0.049103782318160094,0.3937263646904579,0.009873599641221977,0.0013062454630754536,0.3034577149422054,0.021339046912917277,0.0030261236433356035,JE-TMA-41
JE-TMA-41_scene01_cell1292,0.020134013077844494,0.06745442439103375,0.25089188318371564,0.634765641837018,0.03679629866625954,0.5691010301817466,0.11153306928778725,0.4803623214401437,0.020925679140140173,0.13967069405566768,0.05618667699143913,0.015588271252544719,0.0012063546289314544,0.003408682142658798,0.0005672984934768071,0.013438230260477618,0.0018760178772220819,0.0022284151102127878,0.04359784226210717,0.3336051281819405,0.011111957161401873,0.0012409062289268284,0.20587463936830278,0.03026935158010214,0.0033292892055576755,JE-TMA-41
JE-TMA-41_scene01_cell1784,0.017620536921565875,0.13043917257122198,0.05843849797451081,0.7008070783168591,0.011690735688127415,0.682121601845406,0.10514698276139153,0.4615453232034827,0.021501621942432606,0.37835395692587676,0.014902018244998818,0.025871506325295123,0.002938682793752554,0.0031900121599568415,0.00029478281044752945,0.01322086253113036,0.0005123883018725901,0.002491842115515367,0.042013321188153444,0.34662195643557825,0.014843889774496905,0.002901397020057816,0.2127205014012135,0.006683904020626214,0.000701389095882139,JE-TMA-41
JE-TMA-41_scene01_cell2440,0.017701544938902376,0.13983057963945147,0.06868151058868356,0.4017940513215552,0.009289316190440869,0.2410311803722704,0.02001057222143361,0.29584563433364586,0.0055363015057358625,0.12198534422122624,0.01957310016288166,0.009326971476802486,0.008350718278703857,0.0036210494754070365,0.00102916722800171,0.0125561418005589,0.0013063725228434524,0.0022882112880489996,0.03850500522880916,0.28731238725639857,0.02139961315481415,0.0024584251702926135,0.1896000952701305,0.01310932383952095,0.0031795899990676225,JE-TMA-41
JE-TMA-41_scene01_cell2353,0.022179817593911424,0.18031016359181332,0.057953204718744725,0.9488546672084205,0.02126648760773798,0.5492558693326626,0.08281066506777114,0.5408217907220256,0.01876885481494767,0.2950136067007985,0.045438289481674124,0.01404479153211369,0.008520841042376031,0.0033920103064226737,0.0009770608601132158,0.012976471079741756,0.001228813732992616,0.0028290486890830387,0.041863215431610604,0.4469921546897861,0.027048917974747125,0.002644503855220515,0.22266239841935528,0.022052894014787685,0.0031232007574451453,JE-TMA-41
JE-TMA-41_scene01_cell2415,0.017722599006649107,0.17208828774699853,0.2127849229835373,0.525797447811664,0.05074575258930957,0.4201320306695415,0.07754595562190134,0.470163224008646,0.03127501814224046,0.2697218551266188,0.12432978249353971,0.061208339024617045,0.012294946642591842,0.003191380522372993,0.00029647674327496734,0.013175807932287682,0.0003249205275021779,0.002753397548047321,0.047214695753701706,0.40521054457232347,0.02927601935685994,0.0039756448838325275,0.22970862136030934,0.020763908604447965,0.0022751368691479317,JE-TMA-41
JE-TMA-41_scene01_cell3112,0.017872876340053443,0.1471987813920852,0.30260511958345165,0.2965229468639895,0.10787322032523586,0.20134481226094395,0.09242116572062409,0.432440327393896,0.11690922604514409,0.15696240691426824,0.041438271524419326,0.044854921228254525,0.000190103756201523,0.0037173892937868436,0.0029484180240479337,0.01374866996294014,0.0008499473880731735,0.00215608464075181,0.04646700485901205,0.2887223338991914,0.00489428146188795,0.0004231628703987682,0.20607687979179856,0.0064207183141284175,0.000957691374175496,JE-TMA-41
JE-TMA-41_scene01_cell512,0.017827439010381217,0.058034571296899116,0.208828132951194,0.3203624814149928,0.014275594813779035,0.08977537564720185,0.053184497468920545,0.34493852708724343,0.017397570115109194,0.10044148039123552,0.013514431284338529,0.012702886705299324,0.0011669957577348043,0.0032156387819789163,0.0007067067125309696,0.012723252591924273,0.0030635428370907746,0.0026945092128863478,0.047487561068241875,0.3376910011744038,0.015054694914698463,0.0895239230289678,0.21126612565763359,0.0351034766962218,0.0012718636657776795,JE-TMA-41
JE-TMA-41_scene01_cell84,0.018873005112669282,0.006387689271145364,0.3915056009266372,0.32644627292070966,0.015350404892084073,0.14652513124629946,0.016402723086162748,0.3899909629609584,0.011006245305932782,0.08963157419579447,0.28219946696535275,0.0028186961475578512,6.613397867857216e-05,0.0028225263250639407,0.00034594826867116377,0.014087506627423623,0.0024181587742222593,0.0021161272121157774,0.05896911603109725,0.27876681107118895,0.007362907016144018,0.29568865019610213,0.201777745102881,0.08166569127451703,0.009690244593921449,JE-TMA-41
JE-TMA-41_scene01_cell2548,0.015419395133719005,0.06514661351459962,0.04860199128853266,0.2822040277613972,0.008523322954476472,0.04347800366703013,0.01127944278627592,0.2276879320419184,0.0029514374298766407,0.04245929694623967,0.0015431806439944271,0.0021834240556352614,0.0011703710166147314,0.003059226306185023,0.0008076353976247825,0.013142684547294302,0.0014042417377692546,0.002752821392388868,0.03705876363175231,0.2627153646258484,0.02372205954872464,0.0024433631316899333,0.20261183410850261,0.006474531012696742,0.0021996648244899586,JE-TMA-41
JE-TMA-41_scene01_cell1800,0.019975401231762883,0.08405875429181774,0.1439000759005408,0.37373221571520326,0.028913681856449457,0.08431038985831117,0.03944356647601019,0.33995741475814056,0.012668170728233962,0.1834365949218317,0.045102290683682225,0.018013248458990907,0.014405182992168988,0.004073499022049553,0.0011598607367273124,0.012763774059447765,0.0016409633400445952,0.002266950917681348,0.04178905374005285,0.4273537709855565,0.019353411729435076,0.05198091653034139,0.2566816989720556,0.029401275483159055,0.002317693267042289,JE-TMA-41
