,HER2_cellmem25,Vim_nucadj2,CD20_perinuc5,CD3_perinuc5,CD31_perinuc5,CD4_perinuc5,CD44_perinuc5,CD45_perinuc5,CD68_perinuc5,CD8_perinuc5,PD1_perinuc5,PDPN_perinuc5,aSMA_perinuc5,CK14_cytoplasm,CK17_cytoplasm,CK19_cytoplasm,CK5_cytoplasm,CK7_cytoplasm,Ecad_cytoplasm,ER_nuclei,Ki67_nuclei,LamAC_nuclei,PCNA_nuclei,pHH3_nuclei,batch
JE-TMA-41_scene01_cell1608,0.29086277,1.6711208,0.18556473,0.8599036,3.0194554,2.8132813,1.8674927,1.1974515,2.2004864,2.1546266,0.776374,1.9907105,0.5577383,0.13251427,0.014861448,0.14377992,0.009612721,0.015813056,0.23429485,0.20392507,0.007603196,0.49172065,0.087957904,0.03110062,JE-TMA-41
JE-TMA-41_scene01_cell204,0.3475985,0.28363055,0.51702183,0.8946541,0.4056814,1.0368423,0.30791026,0.85650045,0.57007724,0.58343476,0.796604,0.62187546,0.3065777,0.19625463,0.06456854,0.12467359,0.061419707,0.020100346,0.40058205,0.17218153,0.010003011,0.36239746,0.2897021,0.32188448,JE-TMA-41
JE-TMA-41_scene01_cell2297,0.14672896,1.4401008,0.11948203,1.0186776,0.74229467,0.8386906,0.46994162,0.8899644,0.039862815,0.0,0.3291116,0.014947244,0.0076290937,0.056030802,7.5394746e-06,0.11959523,0.00021851108,0.010964919,0.19143462,0.120898,0.10663586,0.36355156,0.06295145,0.0044513172,JE-TMA-41
JE-TMA-41_scene01_cell1231,0.16930743,0.26770344,0.8441681,0.99004936,0.60957235,2.327567,0.6897964,0.9641662,0.15502891,0.90610725,0.3914482,0.17879154,0.0039807437,0.08853926,0.00043597832,0.13106725,0.011841165,0.014520348,0.19031571,0.035765607,0.0031062153,0.38662222,0.10764365,0.045501985,JE-TMA-41
JE-TMA-41_scene01_cell3042,0.15605651,1.8345095,0.15726681,1.2405908,0.8246838,10.817422,0.3466696,0.9000163,0.22919668,5.3786736,0.5162799,7.3673763,0.22991121,0.094026454,0.00029319542,0.12745583,0.012357482,0.0145226605,0.18843295,0.07687107,0.008351349,0.75114137,0.079069026,0.07273534,JE-TMA-41
JE-TMA-41_scene01_cell3099,0.19590776,0.9292416,0.47129354,0.7822524,0.7535649,1.1684501,1.0159303,1.07512,0.51758283,0.89627874,0.4170133,1.6446527,0.099302016,0.1110396,0.027162869,0.12827367,0.016210983,0.016192153,0.1922434,0.048954204,0.005522602,0.41327354,0.13578178,0.094081946,JE-TMA-41
JE-TMA-41_scene01_cell127,0.20425709,0.34249118,0.54237455,0.88120437,0.3088462,1.4486125,0.4345342,0.8102416,0.44131958,0.8367335,0.6799457,0.26529425,0.0032955075,0.10193565,0.0009699679,0.1232211,0.029974818,0.014693452,0.3349594,0.15138167,0.0270428,0.39614186,0.14886987,0.0656055,JE-TMA-41
JE-TMA-41_scene01_cell2985,0.15448985,0.19048725,0.24633917,1.376079,0.34475267,3.3436882,0.37428373,1.0215728,0.5847575,0.3965219,0.54051054,0.18315852,0.036642686,0.24988626,0.0758967,0.121750705,0.012973127,0.017846374,0.17092328,0.078497574,0.0066026114,0.3943411,0.06718891,0.04286564,JE-TMA-41
JE-TMA-41_scene01_cell1592,0.15556304,0.05177975,0.89250445,0.83091426,0.19928023,0.5539758,0.12557723,1.0256062,0.14567377,1.0384562,0.28614214,0.012262863,8.299955e-05,0.096427634,0.0,0.124172986,0.01224882,0.016166203,0.18122783,0.122034326,0.62935084,0.39167303,1.1856394,0.053166863,JE-TMA-41
JE-TMA-41_scene01_cell2304,0.19003247,1.4277993,0.15470672,1.654797,0.5436814,9.403147,0.6170541,1.1163505,0.5507587,3.4663126,0.4309405,0.05216346,0.2180346,0.09240701,0.00039385125,0.1269399,0.004288295,0.016931603,0.19173719,0.17869292,0.006517014,0.4038932,0.09324359,0.04933543,JE-TMA-41
JE-TMA-41_scene01_cell3355,0.20003478,1.1299185,0.606999,0.78144616,1.3574085,1.6241832,1.1069074,1.0330569,2.7717426,1.0242791,0.4828782,1.5382761,0.13644986,0.16560552,0.026005164,0.1308099,0.009380847,0.015755761,0.21088748,0.061560925,0.0030842489,0.54848,0.10872321,0.086954296,JE-TMA-41
JE-TMA-41_scene01_cell1292,0.19882683,0.3486971,0.5850916,1.7015558,0.69558847,6.2506714,0.8381629,1.1479758,0.23392475,1.1214262,0.7209736,0.1607186,0.022214588,0.099046364,0.0018419564,0.1280191,0.015037457,0.0153097175,0.18721184,0.06948819,0.0029266877,0.37196994,0.15442811,0.09586796,JE-TMA-41
JE-TMA-41_scene01_cell1784,0.17382142,0.6747041,0.13623203,1.8786427,0.21833818,7.492204,0.79012036,1.102993,0.24042076,3.039765,0.18987273,0.26817435,0.055965036,0.09262383,0.0007644495,0.12594044,0.0038723974,0.0171394,0.18039837,0.09337791,0.006930851,0.38435286,0.03371883,0.01860252,JE-TMA-41
JE-TMA-41_scene01_cell2440,0.17462732,0.7233137,0.16012184,1.076854,0.1726878,2.6468189,0.14963907,0.70688164,0.060349494,0.97928596,0.24996324,0.095290504,0.16140616,0.10528379,0.0036681513,0.11958386,0.010373343,0.015725043,0.16531254,0.13534395,0.0058626537,0.34253225,0.06660385,0.09146651,JE-TMA-41
