,HER2_cellmem25,Vim_nucadj2,CD20_perinuc5,CD3_perinuc5,CD31_perinuc5,CD4_perinuc5,CD44_perinuc5,CD45_perinuc5,CD68_perinuc5,CD8_perinuc5,PD1_perinuc5,PDPN_perinuc5,aSMA_perinuc5,CK14_cytoplasm,CK17_cytoplasm,CK19_cytoplasm,CK5_cytoplasm,CK7_cytoplasm,Ecad_cytoplasm,ER_nuclei,Ki67_nuclei,LamAC_nuclei,PCNA_nuclei,pHH3_nuclei,batch
JE-TMA-41_scene01_cell1608,-0.6272004,1.3357543,-0.03565049,0.058609653,2.6614518,2.1933522,1.2890295,0.41799438,1.7854532,1.3848907,0.20983121,1.7177929,0.041339535,-0.37138727,-0.1588179,-0.66947925,-0.17759413,-0.42233446,-0.42625603,-0.3161842,-0.2234517,-0.24433409,-0.58904886,-0.30006015,JE-TMA-41
JE-TMA-41_scene01_cell204,-0.57046473,-0.051735878,0.29580662,0.09336017,0.047677718,0.41691327,-0.2705529,0.07704336,0.15504396,-0.1863012,0.2300612,0.34895784,-0.20982106,-0.30764693,-0.10911081,-0.6885856,-0.12578714,-0.4180472,-0.25996882,-0.34792775,-0.2210519,-0.37365726,-0.38730466,-0.009276297,JE-TMA-41
JE-TMA-41_scene01_cell2297,-0.77133423,1.1047343,-0.101733185,0.21738367,0.384291,0.21876152,-0.108521566,0.11050732,-0.37517047,-0.769736,-0.23743117,-0.2579704,-0.5087697,-0.44787073,-0.17367181,-0.6936639,-0.18698834,-0.4271826,-0.46911624,-0.39921126,-0.12441905,-0.37250316,-0.6140553,-0.32670945,JE-TMA-41
JE-TMA-41_scene01_cell1231,-0.74875575,-0.067662984,0.62295294,0.18875544,0.25156868,1.707638,0.11133321,0.18470915,-0.26000437,0.13637128,-0.17509457,-0.09412609,-0.51241803,-0.4153623,-0.17324337,-0.6821919,-0.17536569,-0.42362717,-0.47023517,-0.48434368,-0.2279487,-0.3494325,-0.5693631,-0.2856588,JE-TMA-41
JE-TMA-41_scene01_cell3042,-0.7620067,1.499143,-0.06394841,0.4392969,0.4666801,10.197493,-0.23179357,0.12055922,-0.1858366,4.6089377,-0.050262894,7.0944586,-0.28648755,-0.4098751,-0.17338616,-0.6858033,-0.17484936,-0.42362487,-0.47211793,-0.4432382,-0.22270356,0.01508664,-0.5979377,-0.25842544,JE-TMA-41
JE-TMA-41_scene01_cell3099,-0.72215545,0.59387517,0.25007832,-0.019041551,0.39556122,0.54852104,0.43746713,0.29566288,0.10254955,0.12654278,-0.14952949,1.3717351,-0.41709676,-0.39286193,-0.14651649,-0.68498546,-0.17099586,-0.42195538,-0.46830747,-0.47115508,-0.22553231,-0.32278118,-0.54122496,-0.23707883,JE-TMA-41
JE-TMA-41_scene01_cell127,-0.7138061,0.007124752,0.32115933,0.07991044,-0.049157478,0.8286834,-0.14392899,0.030784497,0.026286308,0.06699755,0.11340293,-0.007623376,-0.51310325,-0.4019659,-0.17270938,-0.690038,-0.15723203,-0.42345408,-0.32559147,-0.3687276,-0.20401211,-0.33991286,-0.52813685,-0.2655553,JE-TMA-41
JE-TMA-41_scene01_cell2985,-0.76357335,-0.14487918,0.025123956,0.57478505,-0.013251012,2.7237592,-0.20417945,0.24211575,0.16972423,-0.37321407,-0.026032235,-0.08975911,-0.4797561,-0.2540153,-0.09778265,-0.6915085,-0.17423372,-0.42030114,-0.4896276,-0.4416117,-0.2244523,-0.3417136,-0.6098178,-0.28829515,JE-TMA-41
JE-TMA-41_scene01_cell1592,-0.76250017,-0.28358668,0.67128927,0.029620336,-0.15872344,-0.06595324,-0.45288596,0.24614908,-0.2693595,0.26872024,-0.28040063,-0.26065478,-0.51631576,-0.40747392,-0.17367935,-0.68908614,-0.17495802,-0.42198133,-0.47932303,-0.39807495,0.39829594,-0.3443817,0.50863266,-0.27799392,JE-TMA-41
JE-TMA-41_scene01_cell2304,-0.72803074,1.0924329,-0.0665085,0.85350305,0.1856777,8.783217,0.038590923,0.33689344,0.13572544,2.6965766,-0.13560227,-0.22075418,-0.29836416,-0.41149452,-0.1732855,-0.68631923,-0.18291855,-0.42121592,-0.4688137,-0.34141636,-0.2245379,-0.33216152,-0.5837631,-0.28182536,JE-TMA-41
