,CK19_cytoplasm,HER2_cellmem25,Vim_nucadj2,CD20_perinuc5,CD3_perinuc5,CD31_perinuc5,CD4_perinuc5,CD44_perinuc5,CD45_perinuc5,CD68_perinuc5,CD8_perinuc5,PD1_perinuc5,PDPN_perinuc5,aSMA_perinuc5,CK14_cytoplasm,CK17_cytoplasm,CK5_cytoplasm,CK7_cytoplasm,Ecad_cytoplasm,Ki67_nuclei,LamAC_nuclei,PCNA_nuclei,pHH3_nuclei,ER_nuclei,batch
JE-TMA-41_scene01_cell1608,0.005044031384464811,0.0332412617001052,0.38166608456365675,0.10482634008556463,0.204483153355552,0.42232980997300784,0.41625497697935043,0.3511358244910117,0.32500155020330307,0.4545785975525704,0.2699653184675885,0.09780149656998592,0.33400618611076477,0.06802926108940939,0.02500720691353633,0.0027743751569100092,0.0032561764473884704,0.006870604075540922,0.027694868005921754,0.0019203613474134836,0.1184848873312886,0.017001062951889082,0.003591950104875832,0.035903408573556526,JE-TMA-41
JE-TMA-41_scene01_cell204,0.0013710425847805474,0.039711075139145485,0.06563829707826443,0.30346505845790417,0.2213048303353601,0.061159052901419306,0.15811939340891026,0.05559383072074564,0.1802313860415952,0.12295368092991003,0.07500903139534477,0.10032183574834644,0.11099970429142744,0.037479495993670744,0.03701072623095727,0.0120531286128853,0.02079933016567102,0.008733546587490716,0.0862731124169747,0.002526488512802757,0.034118895335035704,0.0559814462337919,0.03711642911030419,0.030316144959842722,JE-TMA-41
JE-TMA-41_scene01_cell2297,0.00039477765065796226,0.016779413076795435,0.33003114338307027,0.059832803381143836,0.2809330363128748,0.11148317432430901,0.12720224497691346,0.08671732443727095,0.1946279158717096,0.008626996360057705,0.0,0.04164140371846395,0.0026888110207099586,0.0009335909994878212,0.010578712618168914,1.4074939777800518e-06,7.401812321798046e-05,0.004763892773303569,0.012584616987846018,0.026930123671393063,0.03487210693159089,0.012167808090237254,0.0005141102017478551,0.021287989948761625,JE-TMA-41
JE-TMA-41_scene01_cell1231,0.0026001597272649127,0.019360035435119785,0.06195514026716513,0.45029896379651857,0.2672300667492589,0.09171018849346563,0.34971706261397806,0.1288605598305098,0.2264229344754171,0.033542903861123505,0.1161414606449842,0.04950871307034292,0.032141347096312736,0.0004871336225088501,0.01671381135318689,8.138986892212368e-05,0.004011016482521478,0.006308876068314132,0.012190122100496342,0.0007845462628036589,0.049928404216575184,0.02080578529139519,0.005255137720651859,0.006298049882994096,JE-TMA-41
JE-TMA-41_scene01_cell3042,0.0019059027004554585,0.01784557832550283,0.4178561834841199,0.08570262434134955,0.38569373612668645,0.12370226506984223,1.0,0.0630426168002163,0.19894567171397112,0.04957523257799931,0.6043199195738503,0.06523082708895384,0.8607428985975534,0.028119113053270008,0.017749067271079267,5.473468693405272e-05,0.00418590705587245,0.006309880549452377,0.011526315455346882,0.0021093242720900693,0.2871985941079637,0.015283039090454491,0.008399961998742234,0.013536137709501198,JE-TMA-41
JE-TMA-41_scene01_cell3099,0.002063121706101878,0.022399582790433838,0.21421252849223865,0.27920506338897216,0.1667404360645147,0.11315730638589115,0.17848049331845836,0.19110132042554523,0.2735933316347957,0.11169867553947128,0.11489440589929904,0.052732321427811174,0.2815126753440353,0.012150573146145385,0.02095820909873411,0.005070798739937976,0.005491175689605873,0.007035333876113486,0.012869769573627864,0.0013948600740105364,0.06731909672766477,0.02624384347386062,0.010864605530783012,0.008620419549264034,JE-TMA-41
JE-TMA-41_scene01_cell127,0.0010918158459743384,0.0233534490457737,0.0792453176551913,0.31648238670008044,0.21479965304097276,0.04659238388868525,0.2212869674590138,0.07991997617156425,0.16027746654955247,0.09531381429033452,0.10733061813522124,0.08576040648671111,0.04765458689226393,0.0004032795960786569,0.019241091623173338,0.00018107680445176604,0.010152940701448347,0.006384096211695124,0.06316828877417008,0.006830230727385202,0.05614055672701283,0.028773151591774997,0.007576677357212419,0.02665467002379306,JE-TMA-41
JE-TMA-41_scene01_cell2985,0.0008091473028151537,0.01766651049703272,0.044092659315383614,0.1449740633221817,0.4482003811241286,0.05199714374476934,0.4850500234767896,0.06834819118909205,0.2508882200110279,0.12609748629666276,0.05103799879063506,0.06827673792305902,0.03292533447088331,0.004483994864719034,0.04708846028677579,0.014167444949986526,0.004394442498002048,0.007754142960819447,0.005352788714777943,0.001667641027425519,0.05496549212829156,0.0129868372759111,0.004950677707431778,0.013822531981839813,JE-TMA-41
JE-TMA-41_scene01_cell1592,0.0012748075447162885,0.0177891754748004,0.011987634772398479,0.468602952300847,0.19041648084760496,0.030079910678858766,0.08233268836052936,0.02053140833936079,0.25260241594748495,0.03151971563083463,0.13289223014317994,0.036213209033617945,0.0022059298592519544,1.0156865387537533e-05,0.018202060210126488,0.0,0.004149100454407547,0.007024057666408774,0.008985966383318193,0.1583017756404727,0.05322440749470245,0.22812761969365425,0.006140300638900683,0.021488050679215782,JE-TMA-41
JE-TMA-41_scene01_cell2304,0.0018067185988476207,0.021728305512280666,0.3272673972682134,0.0839610297734379,0.572746502299059,0.08185781131153058,1.0,0.11493033184063381,0.29099465439665795,0.11881406464397609,0.41791815267694327,0.05448769428632235,0.009383034875029526,0.02666804938088762,0.017443541732496747,7.352545030027326e-05,0.0014526086211036871,0.00735664823709619,0.012691297555414831,0.0016460214529241577,0.06119853186901528,0.018022658276358967,0.005697839480784788,0.031462300594214704,JE-TMA-41
