,CD20_Ring,CD44_Ring,CD45_Ring,CD4_Ring,CD68_Ring,CD8_Ring,CK14_Ring,CK19_Ring,CK5_Ring,CK7_Ring,ER_Nuclei,Ecad_Ring,HER2_Ring,Ki67_Nuclei,LamAC_Nuclei,PCNA_Nuclei,PD1_Ring,Vim_Ring,aSMA_Ring,pHH3_Nuclei,batch
BM-Her2N75-18_scene017_cell06161,4855.467413803236,1547.7337514346175,1735.431425778831,2079.498777999258,703.0022208418624,3006.361470516167,492.24937328131773,705.7215278644117,441.23090591502404,325.90209456145476,2192.490856096515,1423.1500611675488,2535.583110103428,389.12425148153216,6687.567483570776,1941.0669534797628,1620.3265344571766,3549.4837411464528,5036.88399099665,1358.311392805822,BM-Her2N75-18
BM-Her2N75-18_scene049_cell03929,5254.623366411572,750.5532941300519,1364.427914530102,1914.2109134946206,496.45831321602316,2297.647723087773,493.66971061797835,616.0832209009125,601.1307534637208,370.36298050295227,1733.1824310527716,1221.8890304591578,2523.896304599905,314.4125257714451,1100.530569898833,2379.9988737302006,1275.266630972249,1159.4400341909643,769.9706029406202,1570.0843688710122,BM-Her2N75-18
BM-Her2N75-15_scene017_cell00833,3192.5201706797543,5584.666067947344,2088.248438152793,3234.895395221182,2974.9679688529286,3295.927617824371,201.88354431865525,620.0540355496485,507.1754801480439,460.76402882095135,1944.8216047149824,977.5655721175326,1182.413265373899,352.15053650495224,2210.2889526716067,1602.5069841316663,1360.693507430091,3181.792457474062,1355.2928989580232,1130.468248404467,BM-Her2N75-15
BM-Her2N75-18_scene049_cell02064,3244.1383315054713,1069.9066605420048,1633.2106939050395,3164.5721377406553,1478.6111385122904,3976.105191957607,357.2160415864616,649.7837207740049,372.3793903045028,291.65318980111624,1656.806384605604,1162.6204860599573,1225.8501405886655,428.10025626453586,1494.687606899202,1895.769525848694,1285.365363258138,2248.9871681441164,1152.1362336455868,1651.5251720483916,BM-Her2N75-18
BM-Her2N75-17_scene017_cell00375,2914.981098597098,1708.0399955679527,2384.968432510177,3163.5529273837406,458.343329770134,1614.8481612172595,785.1061522501441,575.4777718588223,1217.7095016279904,93.06154335148085,2120.1918057925645,1056.269295433771,2561.977121951557,384.43140547112415,1230.343184253856,1284.0400597599855,1630.8335812085,1597.054575152797,1224.4121612528356,870.1770313225069,BM-Her2N75-17
BM-Her2N75-17_scene049_cell05548,4142.852238880283,951.0163171027109,1659.2812766347247,1790.9919635211104,456.38506190892844,2007.0906831235486,965.9336333457511,3208.101308514678,1389.732830325247,3540.7588285321526,2904.1400095910135,3342.6043765592403,2461.807800080298,1121.1586134648803,1937.3144300973568,2316.432457123751,1329.9995351484004,854.3875878987027,1263.0500686393211,1048.2856884752866,BM-Her2N75-17
BM-Her2N75-18_scene017_cell04018,3152.989716373831,1140.2701509214126,1827.52379387488,1687.1587930236756,566.1157286016938,2345.5542475939546,356.2127877910151,1566.7886498386852,314.6614508536781,2022.8854390520933,3065.1385872520677,2385.507779686233,2299.687897206556,367.608429297015,1382.0287718272189,1555.4625740427814,1346.5261331226586,1112.1125081249697,1710.9772720669353,995.1287931934164,BM-Her2N75-18
BM-Her2N75-17_scene017_cell08384,3232.974424644578,1494.4331089100856,1599.65944372897,2114.5338820864617,654.1587388849089,2196.704218110091,856.49294464823,1704.1977675501223,1379.4255212890826,1083.3927571635197,7073.579353554651,3486.6271522550305,1897.0219823203443,409.2260056985769,3085.8583025114604,1575.0867937467162,1575.2839754165082,912.1528536908636,4940.536790204838,846.5676093432162,BM-Her2N75-17
BM-Her2N75-17_scene017_cell01067,3070.269791315843,1450.5480362634976,1470.5506791219277,2515.8281065253104,620.8567145831956,1826.8100504472663,890.2236345191807,1447.4055742430337,1313.5467907953002,1812.3483369720216,19269.66873459948,3614.5571951218126,2329.321309888482,382.2906590008723,2084.7198333619285,1711.7930905519524,1351.6396490730958,907.1404367492285,1464.2870392451955,1121.0561216587435,BM-Her2N75-17
BM-Her2N75-18_scene049_cell03239,3482.187349944281,1106.1627214608648,1695.5391639644079,2383.0653520793,1171.2867136919976,3126.087550563576,323.5102755534658,897.8946803531121,306.315758038368,713.317480216308,1730.821971851398,1617.4175593832529,2034.4732621504975,413.9243312506234,1622.2398103540174,1504.3908609819327,1346.6227152631873,2762.313830976891,1039.833387215708,963.9011261857238,BM-Her2N75-18
