,CD20_Ring,CD44_Ring,CD45_Ring,CD4_Ring,CD68_Ring,CD8_Ring,CK14_Ring,CK19_Ring,CK5_Ring,CK7_Ring,ER_Nuclei,Ecad_Ring,HER2_Ring,Ki67_Nuclei,LamAC_Nuclei,PCNA_Nuclei,PD1_Ring,Vim_Ring,aSMA_Ring,pHH3_Nuclei,batch
BM-Her2N75-18_scene017_cell06161,4984.387661128177,1392.8926195524095,1987.6821838359263,2211.541384164138,614.9620773487181,3019.638839185127,660.398647870869,613.0953708885686,876.2507596277342,428.4252103364993,1541.0827633723648,1078.699950518769,2296.0671690998197,439.6900734852832,7569.2630563056255,2074.810317370782,1651.3334437762028,4441.153353113727,3730.0271643433034,1395.0612941829268,BM-Her2N75-18
BM-Her2N75-18_scene049_cell03929,5395.010731130884,707.9024422915452,1187.195458221423,1954.6128640306654,418.0515362748167,2228.3886452854886,662.4218079697591,398.37611029176924,1248.363148219886,519.9470749205091,1211.313012700395,841.582894716724,2279.823930044056,360.1684856533973,1170.0374399198263,2599.119683855604,1210.224862844653,1345.0905566981537,599.6082509323298,1644.0097674857136,BM-Her2N75-18
BM-Her2N75-15_scene017_cell00833,3205.104652063687,14121.02228067622,2438.7547534264822,3962.7730564747253,4244.33902114899,3189.585721073632,538.8989162497162,-70.82778750572243,677.0595205630337,-1025.5093017421286,2105.685657393819,695.06643919404,1069.2710765403983,268.1417803261684,2799.595177796912,1681.2635935446408,1457.4618279634512,1954.8067468368886,1520.9207726164395,1029.3763302781933,BM-Her2N75-15
BM-Her2N75-18_scene049_cell02064,3326.7676501171354,982.3119778777915,1767.1281015520224,3898.212655464826,1354.3959991514093,4102.318426547051,468.0541662792374,479.1021598973184,716.0223271133237,357.9245093889117,1156.4772892063297,771.7552549588138,475.69754656870305,481.1753123581576,1621.4931662779625,2020.7020046942125,1223.134613942496,2756.489995359713,879.9838783737631,1739.7470234485343,BM-Her2N75-18
BM-Her2N75-17_scene017_cell00375,2720.5208258903212,1315.5906914315153,1915.5054735471056,2679.401179791213,521.979065156656,1777.436940438068,406.7646565778182,503.1139883050962,487.9830911035704,216.53249709849024,5661.139038787636,1122.7871853757392,2522.3388939519473,403.12319547754015,975.4376653102747,1141.2581034231519,1525.7518167138876,1639.751517983462,1242.7388460227107,795.8545689770442,BM-Her2N75-17
BM-Her2N75-17_scene049_cell05548,4220.836312362902,627.588966677627,1467.4656737727296,1661.6375385486672,520.0901741342319,2143.2998936108247,481.3681728099467,2429.285857977068,574.8417841144488,2764.7219069958446,10834.49379426027,2754.718634011615,2443.7637152007846,1202.543270374856,1528.4272082189207,2032.9591912743851,1313.085205244776,760.233901126809,1278.9896791645256,1080.6920204338874,BM-Her2N75-17
BM-Her2N75-18_scene017_cell04018,3233.0004798487903,1042.772942902765,2186.383047725781,1601.676092292471,484.46007628486336,2281.8743395338615,466.62510925481286,2675.692289746222,581.7034979029164,3921.632252142918,2167.617808315683,2212.508259262613,1968.201497506419,416.7890853557811,1492.4570932316858,1614.2013286669696,1301.3197062442973,1283.7824758990932,1289.9773319932735,968.1241306998315,BM-Her2N75-18
BM-Her2N75-17_scene017_cell08384,3109.0716241067585,1121.4595029092945,1430.6551089708078,1901.5461544887514,710.8571934539247,2320.161309692267,436.2165169541422,1328.9474863974815,569.6373772580039,948.4852477572206,38349.05247713795,2857.518656159765,2000.7323982508062,430.0277280586787,2426.8127574911723,1392.641869880773,1486.4825033268392,828.6435245226987,4729.2789557349415,758.0975744858567,BM-Her2N75-17
BM-Her2N75-17_scene017_cell01067,2910.265517264273,1081.57567030182,1350.9432598973976,2199.1086539533376,678.7349817901278,1975.143712199785,450.1326985768784,1141.0642238601456,536.3736305834107,1487.2555443078556,118832.29957418593,2948.8320694486283,2339.838187359879,400.80027909137164,1643.7270129178864,1510.718246545905,1328.3831070628805,822.7074736696793,1467.794103028057,1197.0689841409703,BM-Her2N75-17
BM-Her2N75-18_scene049_cell03239,3571.6554392725407,1013.4655835238246,1901.6096129060643,2683.414566591183,1061.4054216408153,3153.308158280602,420.04292332986154,1073.4262116498976,562.2817427507382,1225.9122084660492,1209.6182733926319,1307.577528323086,1599.5853930453763,466.0867562395848,1767.5876597253055,1553.1955637981262,1301.4431723744437,3421.453392714986,797.5929501964874,931.4146308815934,BM-Her2N75-18
